0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Ticker,Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,SMA10,SMA50,SMA200,RSI_14,CMF_20,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,OBV_SMA_Diff,EMA5,EMA10,EMA20,EMA50,PSARl_0.02_0.2,PSARl_0.01_0.1,OBV_RoC,ATR,Rolling_Std_10,Rolling_Std_50,RSI Strategy,RSI Strategy2,RSI14_OBV_RoC Strategy,RSIMACD Strategy,RSICMF Strategy,RSI OBV Strategy,OBV Strategy,MACD Strategy,CMF Strategy,EMA5 PSAR Strategy,EMA5 PSAR Strategy2,Rolling Std10 Strategy,Rolling Std50 Strategy,RSI Strategy Alt,RSI Strategy2 Alt,RSI14_OBV_RoC Strategy Alt,RSIMACD Strategy Alt,RSICMF Strategy Alt,RSI OBV Strategy Alt,OBV Strategy Alt,MACD Strategy Alt,CMF Strategy Alt,EMA5 PSAR Strategy Alt,EMA5 PSAR Strategy2 Alt,Rolling Std10 Strategy Alt,Rolling Std50 Strategy Alt
AAHP,2024-03-17 00:00:00,0.95,0.95,0.95,0.95,0.05,5.56,300000,285000,0.83,0.9,1.09,63.43,-0.19,-0.01,-0.03,0.02,-2279478.25,0.8868269288123445,0.8588087093204455,0.8587156524043584,0.8931985000219986,0.80784,0.80396,0.4872339112073742,0.0244932223572839,0.061904945054668,0.0712282906418197,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Buy,Sell,Buy,Buy,Hold,Hold,Monitor-Monitor,Sell,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Sell-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
AIPM,2024-04-03 00:00:00,4.9,4.9,4.9,4.9,0.2,4.26,200000,980000,5.0,5.42,5.24,42.06,0.12,-0.13,-0.1,-0.02,-137697.90000009537,4.913280942502547,4.98872436707382,5.09578258494286,5.224990614211525,5.0,5.0,0.0135355948702287,0.130178355742402,0.1165475582471745,0.5197580284739655,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Buy,Sell,Sell,Hold,Hold,Hold-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Hold-Hold,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Buy,Sell-Monitor,Sell-Monitor,Hold-Hold,Monitor-Monitor
AIRP,2024-04-02 00:00:00,22.0,22.0,22.0,22.0,-0.01,-0.05,347,7634,21.23,22.41,22.7,52.66,0.07,-0.09,-0.46,0.37,-29764.59999999404,21.74449722060088,21.393629285700467,21.257796378237824,22.191029075868546,20.24,19.51147683568026,0.0001819961852556,0.8641225360977727,1.7002120782747632,2.114352711293757,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Buy,Buy,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
AISP,2024-04-03 00:00:00,8.75,8.8,8.8,8.75,-0.05,-0.57,3115859,27359660,8.99,9.61,10.84,41.32,-0.09,-0.21,-0.26,0.05,9235809.199999988,8.821472211289345,8.868510601572632,8.98088763512137,9.583335475376698,8.65,8.65,-1.052872325637766,0.2505013603573667,0.2507233978356404,0.930591560815619,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Buy,Sell,Buy,Buy,Hold,Hold,Hold-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Sell-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
AMAP,2024-03-31 00:00:00,0.53,0.53,0.53,0.53,0.02,3.92,200000,106000,0.59,0.45,0.38,47.16,0.56,0.02,0.05,-0.03,-1547436.75,0.538495597045104,0.5674393198113883,0.5690678983625418,0.4909840658621923,0.51,0.51,-0.0580020497924382,0.0322371072253281,0.0719258877827299,0.1758511661976164,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Buy,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
AMEF,2024-03-27 00:00:00,7.4,7.4,7.4,7.4,0.0,0.0,100000,740000,7.64,7.96,8.99,32.33,0.0,-0.17,-0.13,-0.04,8888273.2,7.453092461959427,7.566596739956799,7.707630132927632,7.998205674025792,7.4,7.4,0.0,0.0820695500715462,0.2913569784451106,0.2596079461688476,Buy,Buy,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Buy,Buy,Hold,Buy,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Hold-Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Hold-Hold,Buy-Hold
BAIB,2024-03-27 00:00:00,0.9,0.9,0.9,0.9,0.0,0.0,200000,180000,0.97,1.04,,0.0,0.0,-0.04,-0.02,-0.02,-120000.0,0.922094193256128,0.9568641415376788,0.9941844980468262,1.032396521839755,0.9,0.9,0.0,,0.0661311827607323,0.046738962464361,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Buy,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Buy-Hold
BASH,2024-04-03 00:00:00,0.29,0.29,0.29,0.29,0.0,0.0,16000000,4640000,0.3,0.33,0.38,34.99,-0.47,-0.01,-0.01,0.0,-18125147.5,0.2923353322227245,0.2961344026462767,0.3037829208087493,0.3301790894964136,0.29,0.29,0.0,0.0090614021992031,0.0082327260235216,0.0389012354874622,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Buy-Hold,Buy-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Hold-Hold,Monitor-Monitor
BBOB,2024-04-03 00:00:00,3.25,3.3,3.36,3.24,-0.04,-1.22,40635000,133651712,3.29,3.46,2.92,39.76,-0.48,-0.1,-0.05,-0.05,-455111084.6499996,3.2257585906188817,3.2944159553252685,3.3976193726400608,3.433435014447773,3.05,3.05,0.3085851533376926,0.1061019468777681,0.1966271146669183,0.205259517167404,Hold,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Hold-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
BCIH,2023-06-19 00:00:00,2.2,2.2,2.2,2.2,0.0,0.0,100000,220000,2.2,2.26,,0.06,0.0,-0.02,-0.02,0.0,-40000.0,2.2001370194956325,2.203629455615878,2.218208571678895,2.257906194756776,2.2,2.2,0.0,0.0025085368180689,0.0,0.0424090864348935,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Hold-Hold,Hold-Hold
BCOI,2024-04-03 00:00:00,0.79,0.79,0.79,0.79,0.0,0.0,9843926,7776702,0.79,0.86,0.68,41.72,-0.5,-0.02,-0.02,-0.0,-83975998.0,0.7833391135287386,0.7899862549087799,0.8079719144156048,0.8234741683864608,0.77,0.77,0.0,0.0156701698451876,0.0207899548393429,0.0441282916329941,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Hold-Hold,Hold-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Hold-Hold,Hold-Hold
BEFI,2024-04-03 00:00:00,0.21,0.21,0.23,0.21,0.01,5.0,200267385,45056432,0.2,0.21,0.19,52.1,-0.02,-0.0,-0.0,0.0,158245766.0,0.2043828501931177,0.2045772075902138,0.2059443538376468,0.2075401955002772,0.2,0.2,-0.1690085043761446,0.0103708398311546,0.0052704627670578,0.0095532877128333,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Sell,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy,Monitor-Monitor,Sell,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
BGUC,2024-04-03 00:00:00,0.17,0.17,0.17,0.17,0.01,6.25,15002794,2550475,0.17,0.18,0.18,46.15,-0.25,-0.0,-0.0,-0.0,-61710446.55000305,0.166083508148075,0.1677632259717348,0.1716996431090539,0.1779478954222286,0.16,0.16,-0.0147882251376185,0.003821399578509,0.0048304589154103,0.0096235255961643,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Hold-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy,Buy,Hold-Hold,Hold-Hold
BIBI,2024-04-03 00:00:00,0.33,0.33,0.33,0.33,-0.01,-2.94,17250000,5692500,0.35,0.39,0.38,20.73,-0.26,-0.01,-0.01,-0.0,-51258619.79999924,0.3396554980181823,0.3460074662331274,0.3552118088982587,0.3790191418408692,0.33,0.33,-0.0585014988949805,0.0069843759977305,0.0103279555897686,0.0536523198806294,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Sell,Sell,Hold,Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Sell,Sell,Hold-Hold,Monitor-Monitor
BIIB,2024-04-03 00:00:00,0.85,0.87,0.87,0.85,-0.02,-2.3,4000000,3431155,0.91,0.93,0.65,33.46,0.09,-0.02,-0.0,-0.01,-25710080.94999695,0.8777475756619071,0.8995022605721102,0.9200816565084762,0.8964108378368159,0.89,0.89,-0.0074405610662964,0.021572065728898,0.0337309617084647,0.0681310262266328,Buy,Buy,Hold,Hold,Buy,Hold,Sell,Hold,Buy,Sell,Sell,Hold,Hold,Buy,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Buy,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Buy-Hold,Sell,Sell,Hold-Hold,Monitor-Monitor
