Date,Open,High,Low,Close,Volume,Change,Change_Percent,SMA10,SMA50,SMA200,EMA5,EMA10,EMA20,EMA50,EMA200,RSI_14,STOCHk_9_6_3,STOCHd_9_6_3,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,CMF,OBV,ATR,PSAR,PSARl_0.01_0.1,Rolling_Std,Golden_Cross,Death_Cross,Price_Cross_SMA10_Up,Price_Cross_SMA10_Down,Price_Cross_SMA50_Up,Price_Cross_SMA50_Down,Price_Cross_SMA200_Up,Price_Cross_SMA200_Down,SMA10_Up,SMA50_Up,SMA200_Up,Price_Distance_SMA10,Price_Distance_SMA50,Price_Distance_SMA200,SMA50_Above_SMA200,Golden_Death_Cross_Desc,Price_SMA10_Crossover_Desc,Price_Crossover_Desc,RSI_Desc,Stochastic_Desc,CMF_Desc,MACD_Desc,OBV_Desc,PSAR_Desc,ATR_Desc,RSI_9,RSI_25,CMF_20,OBV_SMA_Diff,OBV_RoC,PSARl_0.02_0.2,Rolling_Std_10,Rolling_Std_50
2010-02-15T00:00:00Z,1.75,1.75,1.75,0,274400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274400,0,0,1.75,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.75,0,0
2010-02-16T00:00:00Z,1.6,1.6,1.6,0,596432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274400,0,0,1.75,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.75,0,0
2010-02-18T00:00:00Z,1.6,1.6,1.6,0,512000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274400,0,0,1.7485,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.747,0,0
2010-02-25T00:00:00Z,1.65,1.65,1.65,0,825000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274400,0,0,1.747,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.7441,0,0
2010-02-28T00:00:00Z,1.6,1.6,1.6,0,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274400,0,0,1.7455,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.7412,0,0
2010-03-01T00:00:00Z,1.65,1.65,1.65,0,670121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274400,0,0,1.744,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.7384,0,0
2010-03-10T00:00:00Z,1.75,1.75,1.75,0,120494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274400,0,0,1.6,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.6,0,0
2010-03-15T00:00:00Z,1.7,1.7,1.66,0,524915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274400,0,0,1.6015,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.603,0,0
2010-03-16T00:00:00Z,1.65,1.65,1.65,0,660000,0,0,0,0,0,0,0,0,0,0,0,-1066.67,0,0,0,0,0,274400,0,0,1.603,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.6059,0,0
2010-03-17T00:00:00Z,1.75,1.75,1.75,0,97500,0,0,0,0,0,0,0,0,0,0,0,-1066.67,0,0,0,0,0,274400,0,0,1.6045,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.6088,0,0
