Date,Open,High,Low,Close,Volume,Change,Change_Percent,SMA10,SMA50,SMA200,EMA5,EMA10,EMA20,EMA50,EMA200,RSI_14,STOCHk_9_6_3,STOCHd_9_6_3,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,CMF,OBV,ATR,PSAR,PSARl_0.01_0.1,Rolling_Std,Golden_Cross,Death_Cross,Price_Cross_SMA10_Up,Price_Cross_SMA10_Down,Price_Cross_SMA50_Up,Price_Cross_SMA50_Down,Price_Cross_SMA200_Up,Price_Cross_SMA200_Down,SMA10_Up,SMA50_Up,SMA200_Up,Price_Distance_SMA10,Price_Distance_SMA50,Price_Distance_SMA200,SMA50_Above_SMA200,Golden_Death_Cross_Desc,Price_SMA10_Crossover_Desc,Price_Crossover_Desc,RSI_Desc,Stochastic_Desc,CMF_Desc,MACD_Desc,OBV_Desc,PSAR_Desc,ATR_Desc,RSI_9,RSI_25,CMF_20,OBV_SMA_Diff,OBV_RoC,PSARl_0.02_0.2,Rolling_Std_10,Rolling_Std_50
2011-11-13T00:00:00Z,1,1.1,1,0,2116140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116140,0,0,1,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1,0,0
2011-11-14T00:00:00Z,1,1.03,1,0,18105375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116140,0,0,1.1,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.1,0,0
2011-11-15T00:00:00Z,1.03,1.03,1,0,10965714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116140,0,0,1.099,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.098,0,0
2011-11-16T00:00:00Z,0.95,0.99,0.95,0,13611091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116140,0,0,1.098,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.096,0,0
2011-11-20T00:00:00Z,0.99,0.99,0.98,0,161624732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116140,0,0,1.095,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.0902,0,0
2011-11-21T00:00:00Z,0.98,0.98,0.98,0,9800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116140,0,0,1.0921,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.0846,0,0
2011-11-22T00:00:00Z,0.98,0.98,0.97,0,11059500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116140,0,0,1.0893,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.0792,0,0
2011-11-24T00:00:00Z,0.95,0.96,0.94,0,47247164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116140,0,0,1.0865,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.074,0,0
2011-11-28T00:00:00Z,1,1,0.95,0,4932419,0,0,0,0,0,0,0,0,0,0,0,-587.5,0,0,0,0,0,2116140,0,0,1.0821,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.066,0,0
2011-11-29T00:00:00Z,0.95,0.95,0.95,0,33850798,0,0,0,0,0,0,0,0,0,0,0,-1044.44,0,0,0,0,0,2116140,0,0,1.0778,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.0584,0,0
