Date,Open,High,Low,Close,Volume,Change,Change_Percent,SMA10,SMA50,SMA200,EMA5,EMA10,EMA20,EMA50,EMA200,RSI_14,STOCHk_9_6_3,STOCHd_9_6_3,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,CMF,OBV,ATR,PSAR,PSARl_0.01_0.1,Rolling_Std,Golden_Cross,Death_Cross,Price_Cross_SMA10_Up,Price_Cross_SMA10_Down,Price_Cross_SMA50_Up,Price_Cross_SMA50_Down,Price_Cross_SMA200_Up,Price_Cross_SMA200_Down,SMA10_Up,SMA50_Up,SMA200_Up,Price_Distance_SMA10,Price_Distance_SMA50,Price_Distance_SMA200,SMA50_Above_SMA200,Golden_Death_Cross_Desc,Price_SMA10_Crossover_Desc,Price_Crossover_Desc,RSI_Desc,Stochastic_Desc,CMF_Desc,MACD_Desc,OBV_Desc,PSAR_Desc,ATR_Desc,RSI_9,RSI_25,CMF_20,OBV_SMA_Diff,OBV_RoC,PSARl_0.02_0.2,Rolling_Std_10,Rolling_Std_50
2013-09-17T00:00:00Z,1.01,1.01,1.01,1.01,60158592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60158592,0,0,1.01,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.01,0,0
2013-09-18T00:00:00Z,1.01,1.02,1.01,1.01,58977160,0,0,0,0,0,1.01,1.01,1.01,1.01,1.01,0,0,0,0,0,0,0,60158592,0,0,1.01,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.01,0,0
2013-09-19T00:00:00Z,1.01,1.01,1,1,187999520,-0.01,-0.99,0,0,0,1.01,1.01,1.01,1.01,1.01,0,0,0,0,0,0,0,-127840928,0,0,1.02,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.02,0,0
2013-09-22T00:00:00Z,1.01,1.01,1.01,1.01,37363703,0.01,1,0,0,0,1.01,1.01,1.01,1.01,1.01,0,0,0,0,0,0,0,-90477225,0,0,1.0198,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.0196,0,0
2013-09-23T00:00:00Z,1,1,0.99,0.99,70723384,-0.02,-1.98,0,0,0,1,1.01,1.01,1.01,1.01,0,0,0,0,0,0,0,-161200609,0,0,1.0196,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.0192,0,0
2013-09-24T00:00:00Z,1,1.01,0.99,1.01,36792916,0.02,2.02,0,0,0,1,1.01,1.01,1.01,1.01,0,0,0,0,0,0,0,-124407693,0,0,1.019,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.018,0,0
2013-09-25T00:00:00Z,1.01,1.01,1,1,31585092,-0.01,-0.99,0,0,0,1,1,1.01,1.01,1.01,0,0,0,0,0,0,0,-155992785,0,0,1.0184,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.0169,0,0
2013-09-26T00:00:00Z,1.01,1.01,1.01,1.01,5277157,0.01,1,0,0,0,1.01,1.01,1.01,1.01,1.01,0,0,0,0,0,0,0,-150715628,0,0,1.0178,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.0158,0,0
2013-09-29T00:00:00Z,1.01,1.03,1.01,1.02,148988511,0.01,0.99,0,0,0,1.01,1.01,1.01,1.01,1.01,0,75,0,0,0,0,0,-1727117,0,0,0.99,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.99,0,0
2013-09-30T00:00:00Z,1.01,1.01,1.01,1.01,216452672,-0.01,-0.98,1.01,0,0,1.01,1.01,1.01,1.01,1.01,0,50,0,0,0,0,0,-218179789,0,0,0.9904,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,50,0,0,0,0,0.9908,0.0078,0
