Date,Open,High,Low,Close,Volume,Change,Change_Percent,SMA10,SMA50,SMA200,EMA5,EMA10,EMA20,EMA50,EMA200,RSI_14,STOCHk_9_6_3,STOCHd_9_6_3,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,CMF,OBV,ATR,PSAR,PSARl_0.01_0.1,Rolling_Std,Golden_Cross,Death_Cross,Price_Cross_SMA10_Up,Price_Cross_SMA10_Down,Price_Cross_SMA50_Up,Price_Cross_SMA50_Down,Price_Cross_SMA200_Up,Price_Cross_SMA200_Down,SMA10_Up,SMA50_Up,SMA200_Up,Price_Distance_SMA10,Price_Distance_SMA50,Price_Distance_SMA200,SMA50_Above_SMA200,Golden_Death_Cross_Desc,Price_SMA10_Crossover_Desc,Price_Crossover_Desc,RSI_Desc,Stochastic_Desc,CMF_Desc,MACD_Desc,OBV_Desc,PSAR_Desc,ATR_Desc,RSI_9,RSI_25,CMF_20,OBV_SMA_Diff,OBV_RoC,PSARl_0.02_0.2,Rolling_Std_10,Rolling_Std_50
2013-02-25T00:00:00Z,0.99,0.99,0.99,0.99,4023063575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023063575,0,0,0.99,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.99,0,0
2013-02-26T00:00:00Z,0.99,0.99,0.99,0.99,192973776,0,0,0,0,0,0.99,0.99,0.99,0.99,0.99,0,0,0,0,0,0,0,4023063575,0,0,0.99,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.99,0,0
2013-02-27T00:00:00Z,0.99,0.99,0.99,0.99,467249283,0,0,0,0,0,0.99,0.99,0.99,0.99,0.99,0,0,0,0,0,0,0,4023063575,0,0,0.99,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.99,0,0
2013-02-28T00:00:00Z,0.99,1,0.98,1,227952060,0.01,1.01,0,0,0,0.99,0.99,0.99,0.99,0.99,0,0,0,0,0,0,0,4251015635,0,0,0.99,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.99,0,0
2013-03-03T00:00:00Z,1,1.01,1,1,4873647283,0,0,0,0,0,1,0.99,0.99,0.99,0.99,0,0,0,0,0,0,0,4251015635,0,0,0.98,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.98,0,0
2013-03-04T00:00:00Z,1,1,1,1,81700826,0,0,0,0,0,1,0.99,0.99,0.99,0.99,0,0,0,0,0,0,0,4251015635,0,0,0.9803,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.9806,0,0
2013-03-05T00:00:00Z,1,1,0.99,0.99,47842980,-0.01,-1,0,0,0,0.99,0.99,0.99,0.99,0.99,0,0,0,0,0,0,0,4203172655,0,0,0.9806,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.9812,0,0
2013-03-06T00:00:00Z,0.99,0.99,0.99,0.99,61486804,0,0,0,0,0,0.99,0.99,0.99,0.99,0.99,0,0,0,0,0,0,0,4203172655,0,0,0.9809,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.9818,0,0
2013-03-07T00:00:00Z,1,1,0.99,0.99,26801864,0,0,0,0,0,0.99,0.99,0.99,0.99,0.99,0,33.33,0,0,0,0,0,4203172655,0,0,0.9812,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.9824,0,0
2013-03-10T00:00:00Z,0.99,0.99,0.99,0.99,69299297,0,0,0.99,0,0,0.99,0.99,0.99,0.99,0.99,0,33.33,0,0,0,0,0,4203172655,0,0,0.9815,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,50,0,0,0,0,0.983,0.0047,0
2013-03-11T00:00:00Z,0.99,0.99,0.99,0.99,72010705,0,0,0.99,0,0,0.99,0.99,0.99,0.99,0.99,0,33.33,0,0,0,0,0,4203172655,0,0,0.9818,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,50,0,0,0,4.48,0.9835,0.0047,0
2013-03-12T00:00:00Z,0.99,0.99,0.98,0.98,16553275,-0.01,-1.01,0.99,0,0,0.99,0.99,0.99,0.99,0.99,0,0,22.22,0,0,0,0,4186619380,0,0,1.01,0,false,false,false,true,false,false,false,false,false,false,false,-0.01,0,0,false,,,,,,,,,,,33.33,0,0,0,4.07,1.01,0.006,0
2013-03-13T00:00:00Z,0.98,0.99,0.98,0.99,88746327,0.01,1.02,0.99,0,0,0.99,0.99,0.99,0.99,0.99,0,33.33,22.22,0,0,0,0,4275365707,0,0,1.0097,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,33.33,0,0,0,6.27,1.0094,0.006,0
2013-03-14T00:00:00Z,0.99,0.99,0.99,0.99,108284534,0,0,0.99,0,0,0.99,0.99,0.99,0.99,0.99,0,50,27.78,0,0,0,0,4275365707,0,0,1.0094,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,33.33,0,0,0,0.57,1.0088,0.0054,0
2013-03-17T00:00:00Z,0.99,0.99,0.99,0.99,58385354,0,0,0.99,0,0,0.99,0.99,0.99,0.99,0.99,50,50,44.44,0,0,0,0,4275365707,0.005,0,1.0091,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,33.33,0,0,0,0.57,1.0082,0.0046,0
2013-03-18T00:00:00Z,0.99,0.99,0.99,0.99,19049630,0,0,0.99,0,0,0.99,0.99,0.99,0.99,0.99,50,50,50,0,0,0,0,4275365707,0.005,0,1.0088,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,50,0,0,0,0.57,1.0076,0.0033,0
2013-03-19T00:00:00Z,0.99,0.99,0.99,0.99,14867959,0,0,0.99,0,0,0.99,0.99,0.99,0.99,0.99,50,50,50,0,0,0,0,4275365707,0.005,0,1.0085,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,50,0,0,0,1.72,1.007,0.0033,0
2013-03-20T00:00:00Z,0.99,1,0.99,1,220200898,0.01,1.01,0.99,0,0,0.99,0.99,0.99,0.99,0.99,50,100,66.67,0,0,0,0,4495566605,0.0043,0,1.0082,0,false,false,true,false,false,false,false,false,false,false,false,0.01,0,0,false,,,,,,,,,,,66.67,0,0,0,6.96,1.0065,0.0046,0
2013-03-24T00:00:00Z,0.99,1,0.99,1,236286031,0,0,0.99,0,0,1,0.99,0.99,0.99,0.99,50,100,83.33,0,0,0,0,4495566605,0.0043,0,1.0079,0,false,false,false,false,false,false,false,false,false,false,false,0.01,0,0,false,,,,,,,,,,,66.67,0,0,0,6.96,1.006,0.0054,0
2013-03-25T00:00:00Z,1,1,1,1,28121242,0,0,0.99,0,0,1,0.99,0.99,0.99,0.99,50,100,100,0,0,0,0,4495566605,0.0043,0,1.0076,0,false,false,false,false,false,false,false,false,false,false,false,0.01,0,0,false,,,,,,,,,,,66.67,0,-0.3833,0,6.96,1.0055,0.006,0
2013-03-26T00:00:00Z,1,1,1,1,85050864,0,0,0.99,0,0,1,1,0.99,0.99,0.99,66.67,100,100,0,0,0,0,4495566605,0.0036,0,1.0073,0,false,false,false,false,false,false,false,false,false,false,false,0.01,0,0,false,,,,,,,,,,,0,0,-0.5991,0,6.96,1.005,0.0064,0
2013-03-27T00:00:00Z,1,1,1,1,69436181,0,0,1,0,0,1,1,0.99,0.99,0.99,66.67,100,100,0,0,0,0,4495566605,0.0036,0,1.007,0,false,false,false,false,false,false,false,false,true,false,false,0,0,0,false,,,,,,,,,,,0,0,-0.6099,0,7.38,1.0045,0.0051,0
2013-03-28T00:00:00Z,1,1.01,1,1,303848533,0,0,1,0,0,1,1,0.99,0.99,0.99,66.67,50,83.33,0,0,0,0,4495566605,0.0036,0,0.98,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,-0.67,0,5.15,0.98,0.005,0
2013-03-31T00:00:00Z,1,1,1,1,60375918,0,0,1,0,0,1,1,1,0.99,0.99,66.67,50,66.67,0,0,0,0,4495566605,0.0036,0,0.9803,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,-0.722,0,5.15,0.9806,0.0047,0
2013-04-02T00:00:00Z,1.01,1.02,1.01,1.02,74495973,0.02,2,1,0,0,1.01,1,1,0.99,0.99,80,100,66.67,0,0,0,0,4570062578,0.005,0,0.9806,0,false,false,true,false,false,false,false,false,false,false,false,0.02,0,0,false,,,,,,,,,,,0,0,0.1289,0,6.89,0.9812,0.0078,0
2013-04-03T00:00:00Z,1.02,1.04,1.02,1.03,50185805,0.01,0.98,1,0,0,1.01,1.01,1,1,0.99,0,80,76.67,0.0062,0,0,0,4620248383,0.0057,0,0.9814,0,false,false,false,false,false,false,false,false,false,false,false,0.03,0,0,false,,,,,,,,,,,0,75,0.1313,0,8.07,0.9828,0.0112,0
2013-04-04T00:00:00Z,1.03,1.03,1.03,1.03,97767476,0,0,1.01,0,0,1.02,1.01,1,1,0.99,0,80,86.67,0.0077,0.0065,0.0012,0,4620248383,0.005,0,0.9832,0,false,false,false,false,false,false,false,false,true,false,false,0.02,0,0,false,,,,,,,,,,,0,75,0.1547,0,8.07,0.9862,0.0125,0
2013-04-07T00:00:00Z,1.03,1.04,1.03,1.04,155677181,0.01,0.97,1.01,0,0,1.03,1.02,1.01,1,0.99,0,100,86.67,0.0097,0.0071,0.0026,0,4775925564,0.0057,0,0.9849,0,false,false,false,false,false,false,false,false,false,false,false,0.03,0,0,false,,,,,,,,,,,0,77.78,0.2308,0,6.24,0.9894,0.0154,0
2013-04-08T00:00:00Z,1.04,1.07,1.04,1.06,497591818,0.02,1.92,1.02,0,0,1.04,1.02,1.01,1,0.99,0,85.71,88.57,0.0126,0.0082,0.0044,0,5273517382,0.0079,0,0.9866,0,false,false,false,false,false,false,false,false,true,false,false,0.04,0,0,false,,,,,,,,,,,0,80,0.2669,0,17.3,0.9924,0.0204,0
2013-04-09T00:00:00Z,1.06,1.06,1.04,1.04,85599677,-0.02,-1.89,1.02,0,0,1.04,1.03,1.01,1,0.99,77.78,57.14,80.95,0.0132,0.0092,0.004,0,5187917705,0.0093,0,0.9899,0,false,false,false,false,false,false,false,false,false,false,false,0.02,0,0,false,,,,,,,,,,,75,66.67,0.2285,0,15.4,0.9986,0.0204,0
2013-04-10T00:00:00Z,1.04,1.05,1.04,1.05,4943080440,0.01,0.96,1.03,0,0,1.04,1.03,1.02,1,0.99,80,71.43,71.43,0.0144,0.0103,0.0041,0,10130998145,0.01,0,0.9931,0,false,false,false,false,false,false,false,false,true,false,false,0.02,0,0,false,,,,,,,,,,,77.78,69.23,0.7594,0,125.36,1.0043,0.0205,0
2013-04-14T00:00:00Z,1.04,1.09,1.04,1.07,1897496616,0.02,1.9,1.03,0,0,1.05,1.04,1.02,1.01,0.99,81.82,77.78,68.78,0.0167,0.0115,0.0052,0,12028494761,0.0129,0,0.9962,0,false,false,false,false,false,false,false,false,false,false,false,0.04,0,0,false,,,,,,,,,,,81.82,78.57,0.6459,0,167.56,1.0096,0.022,0
2013-04-15T00:00:00Z,1.08,1.09,1.07,1.09,751413376,0.02,1.87,1.04,0,0,1.06,1.05,1.03,1.01,1,84.62,100,83.07,0.0199,0.0132,0.0067,0,12779908137,0.0136,0,1.0009,0,false,false,false,false,false,false,false,false,true,false,false,0.05,0,0,false,,,,,,,,,,,84.62,81.25,0.67,0,184.28,1.0176,0.0246,0
2013-04-16T00:00:00Z,1.09,1.11,1.09,1.1,2448638208,0.01,0.92,1.05,0,0,1.08,1.06,1.04,1.01,1,85.71,88.89,88.89,0.023,0.0152,0.0078,0,15228546345,0.015,0,1.0054,0,false,false,false,false,false,false,false,false,true,false,false,0.05,0,0,false,,,,,,,,,,,83.33,82.35,0.5404,0,238.75,1.0248,0.0254,0
2013-04-17T00:00:00Z,1.11,1.15,1.11,1.13,244671872,0.03,2.73,1.06,0,0,1.09,1.07,1.05,1.02,1,88.24,83.33,90.74,0.0275,0.0176,0.0099,0,15473218217,0.0186,0,1.0117,0,false,false,false,false,false,false,false,false,true,false,false,0.07,0,0,false,,,,,,,,,,,85.71,85,0.5322,0,238.58,1.035,0.0317,0
2013-04-22T00:00:00Z,1.15,1.15,1.11,1.11,88168008,-0.02,-1.77,1.07,0,0,1.1,1.08,1.05,1.02,1,78.95,66.67,79.63,0.0292,0.02,0.0092,0,15385050209,0.0214,0,1.0214,0,false,false,false,false,false,false,false,false,true,false,false,0.04,0,0,false,,,,,,,,,,,75,77.27,0.5221,0,232.99,1.0511,0.0322,0
2013-04-23T00:00:00Z,1.1,1.12,1.1,1.11,83908344,0,0,1.08,0,0,1.1,1.08,1.06,1.03,1,78.95,63.64,71.21,0.0301,0.022,0.0081,0,15385050209,0.0221,0,1.0304,0,false,false,false,false,false,false,false,false,true,false,false,0.03,0,0,false,,,,,,,,,,,73.33,80.95,0.5192,0,232.99,1.0649,0.0307,0
2013-04-24T00:00:00Z,1.11,1.13,1.1,1.13,198315888,0.02,1.8,1.09,0,0,1.11,1.09,1.06,1.03,1,80.95,81.82,70.71,0.0321,0.024,0.0081,0,15583366097,0.0243,0,1.0388,0,false,false,false,false,false,false,false,false,true,false,false,0.04,0,0,false,,,,,,,,,,,73.33,81.82,0.5183,0,226.29,1.0768,0.0308,0
2013-04-25T00:00:00Z,1.12,1.13,1.12,1.13,147803604,0,0,1.1,0,0,1.12,1.1,1.07,1.03,1,78.95,81.82,75.76,0.0333,0.0259,0.0074,0,15583366097,0.0236,0,1.0466,0,false,false,false,false,false,false,false,false,true,false,false,0.03,0,0,false,,,,,,,,,,,84.62,81.82,0.5148,0,195.5,1.087,0.0314,0
2013-04-28T00:00:00Z,1.13,1.17,1.13,1.17,124456121,0.04,3.54,1.11,0,0,1.14,1.11,1.08,1.04,1,81.82,100,87.88,0.0371,0.0281,0.009,0,15707822218,0.025,0,1.0538,0,false,false,false,false,false,false,false,false,true,false,false,0.06,0,0,false,,,,,,,,,,,87.5,84.62,0.5209,0,202.78,1.0958,0.0324,0
2013-04-29T00:00:00Z,1.16,1.2,1.16,1.19,2586546688,0.02,1.71,1.12,0,0,1.15,1.13,1.09,1.04,1.01,83.33,92.31,91.38,0.0412,0.0307,0.0105,0,18294368906,0.0279,0,1.0631,0,false,false,false,false,false,false,false,false,true,false,false,0.07,0,0,false,,,,,,,,,,,87.5,85.71,0.5202,0,80.58,1.1077,0.0341,0
2013-04-30T00:00:00Z,1.19,1.19,1.15,1.15,233813568,-0.04,-3.36,1.13,0,0,1.15,1.13,1.1,1.05,1.01,70.37,54.55,82.29,0.0408,0.0327,0.0081,0,18060555338,0.03,0,1.0754,0,false,false,false,false,false,false,false,false,true,false,false,0.02,0,0,false,,,,,,,,,,,66.67,75,0.499,0,50.15,1.1243,0.0298,0
2013-05-02T00:00:00Z,1.15,1.18,1.13,1.16,219637648,0.01,0.87,1.14,0,0,1.15,1.14,1.1,1.05,1.01,69.23,60,68.95,0.0408,0.0344,0.0064,0,18280192986,0.0314,0,1.0866,0,false,false,false,false,false,false,false,false,true,false,false,0.02,0,0,false,,,,,,,,,,,66.67,75,0.525,0,43.04,1.2,0.0275,0
2013-05-05T00:00:00Z,1.15,1.17,1.15,1.16,3487105792,0,0,1.14,0,0,1.16,1.14,1.11,1.06,1.01,75,60,58.18,0.0403,0.0355,0.0048,0,18280192986,0.0314,0,1.0968,0,false,false,false,false,false,false,false,false,false,false,false,0.02,0,0,false,,,,,,,,,,,60,75,0.4273,0,20.04,1.1986,0.0251,0
2013-05-06T00:00:00Z,1.16,1.16,1.16,1.16,10703477,0,0,1.15,0,0,1.16,1.14,1.11,1.06,1.01,73.91,60,60,0.0395,0.0363,0.0032,0,18280192986,0.0307,0,1.1061,0,false,false,false,false,false,false,false,false,true,false,false,0.01,0,0,false,,,,,,,,,,,69.23,75,0.4248,0,18.14,1.1972,0.025,0
2013-05-07T00:00:00Z,1.16,1.17,1.16,1.16,27271264,0,0,1.15,0,0,1.16,1.15,1.12,1.07,1.01,71.43,60,60,0.0384,0.0367,0.0017,0,18280192986,0.0279,0,1.1146,0,false,false,false,false,false,false,false,false,false,false,false,0.01,0,0,false,,,,,,,,,,,69.23,75,0.4238,0,18.82,1.1959,0.0218,0
2013-05-08T00:00:00Z,1.17,1.17,1.16,1.16,1558514,0,0,1.16,0,0,1.16,1.15,1.12,1.07,1.02,68.42,50,56.67,0.0371,0.0368,0.0003,0,18280192986,0.0271,0,1.1223,0,false,false,false,false,false,false,false,false,true,false,false,0,0,0,false,,,,,,,,,,,63.64,75,0.426,0,18.82,1.1946,0.0168,0
2013-05-09T00:00:00Z,1.16,1.18,1.16,1.17,100354304,0.01,0.86,1.16,0,0,1.16,1.15,1.13,1.07,1.02,68.42,57.14,55.71,0.0364,0.0367,-0.0003,0,18380547290,0.0271,0,1.1293,0,false,false,true,false,false,false,false,false,false,false,false,0.01,0,0,false,,,,,,,,,,,66.67,75.76,0.4187,0,17.95,1.1933,0.0145,0
2013-05-12T00:00:00Z,1.17,1.18,1.17,1.18,125978816,0.01,0.85,1.17,0,0,1.17,1.16,1.13,1.08,1.02,64.71,71.43,59.52,0.0363,0.0366,-0.0003,0,18506526106,0.0243,0,1.1357,0,false,false,false,false,false,false,false,false,true,false,false,0.01,0,0,false,,,,,,,,,,,55.56,76.47,0.4252,0,18.76,1.192,0.0112,0
2013-05-13T00:00:00Z,1.19,1.19,1.19,1.19,374285703,0.01,0.85,1.17,1.06,0,1.18,1.16,1.14,1.08,1.02,75,100,76.19,0.0366,0.0366,0,0,18880811809,0.0221,0,1.1415,0,false,false,false,false,false,false,false,false,false,false,false,0.02,0.13,0,false,,,,,,,,,,,50,75.76,0.4231,0,20.2,1.1908,0.0133,0.0725
2013-05-14T00:00:00Z,1.19,1.19,1.18,1.18,825046848,-0.01,-0.84,1.17,1.06,0,1.18,1.17,1.14,1.09,1.02,70.59,83.33,84.92,0.0356,0.0364,-0.0008,0,18055764961,0.0214,0,1.1468,0,false,false,false,false,false,false,false,false,false,false,false,0.01,0.12,0,false,,,,,,,,,,,80,72.73,0.1351,0,-1.3,1.13,0.0119,0.0739
