Date,Open,High,Low,Close,Volume,Change,Change_Percent,SMA10,SMA50,SMA200,EMA5,EMA10,EMA20,EMA50,EMA200,RSI_14,STOCHk_9_6_3,STOCHd_9_6_3,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,CMF,OBV,ATR,PSAR,PSARl_0.01_0.1,Rolling_Std,Golden_Cross,Death_Cross,Price_Cross_SMA10_Up,Price_Cross_SMA10_Down,Price_Cross_SMA50_Up,Price_Cross_SMA50_Down,Price_Cross_SMA200_Up,Price_Cross_SMA200_Down,SMA10_Up,SMA50_Up,SMA200_Up,Price_Distance_SMA10,Price_Distance_SMA50,Price_Distance_SMA200,SMA50_Above_SMA200,Golden_Death_Cross_Desc,Price_SMA10_Crossover_Desc,Price_Crossover_Desc,RSI_Desc,Stochastic_Desc,CMF_Desc,MACD_Desc,OBV_Desc,PSAR_Desc,ATR_Desc,RSI_9,RSI_25,CMF_20,OBV_SMA_Diff,OBV_RoC,PSARl_0.02_0.2,Rolling_Std_10,Rolling_Std_50
2017-06-04T00:00:00Z,1,1,1,1,31576406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31576406,0,0,1,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1,0,0
2017-06-05T00:00:00Z,0.9,0.9,0.9,0.9,900000,-0.1,-10,0,0,0,0.97,0.98,0.99,1,1,0,0,0,0,0,0,0,30676406,0,0,1,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1,0,0
2017-06-20T00:00:00Z,0.9,0.9,0.9,0.9,180000,0,0,0,0,0,0.94,0.97,0.98,0.99,1,0,0,0,0,0,0,0,30676406,0,0,0.999,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.998,0,0
2017-07-13T00:00:00Z,0.94,0.94,0.94,0.94,2820000,0.04,4.44,0,0,0,0.94,0.96,0.98,0.99,1,0,0,0,0,0,0,0,33496406,0,0,0.998,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.996,0,0
2017-07-26T00:00:00Z,0.93,0.93,0.93,0.93,1860,-0.01,-1.06,0,0,0,0.94,0.96,0.97,0.99,1,0,0,0,0,0,0,0,33494546,0,0,0.997,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.9941,0,0
2017-08-02T00:00:00Z,0.84,0.84,0.84,0.84,840000,-0.09,-9.68,0,0,0,0.91,0.94,0.96,0.98,1,0,0,0,0,0,0,0,32654546,0,0,0.996,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.9922,0,0
2017-08-07T00:00:00Z,0.76,0.76,0.76,0.76,760000,-0.08,-9.52,0,0,0,0.86,0.9,0.94,0.97,0.99,0,0,0,0,0,0,0,31894546,0,0,0.9929,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.9861,0,0
2017-08-20T00:00:00Z,0.69,0.69,0.69,0.69,690000,-0.07,-9.21,0,0,0,0.8,0.86,0.92,0.96,0.99,0,0,0,0,0,0,0,31204546,0,0,0.9859,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.9725,0,0
2017-08-29T00:00:00Z,0.69,0.69,0.63,0.63,160500,-0.06,-8.7,0,0,0,0.74,0.82,0.89,0.95,0.99,0,0,0,0,0,0,0,31044046,0,0,0.9741,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.9499,0,0
2017-08-31T00:00:00Z,0.57,0.57,0.57,0.57,114000,-0.06,-9.52,0.82,0,0,0.69,0.78,0.86,0.93,0.98,0,0,0,0,0,0,0,30930046,0,0,0.9569,0,false,false,false,false,false,false,false,false,false,false,false,-0.25,0,0,false,,,,,,,,,,,7.84,0,0,0,0,0.9179,0.1383,0
2017-09-06T00:00:00Z,0.52,0.52,0.52,0.52,104000,-0.05,-8.77,0.77,0,0,0.63,0.73,0.83,0.92,0.98,0,0,0,0,0,0,0,30826046,0,0,0.9337,0,false,false,false,false,false,false,false,false,false,false,false,-0.25,0,0,false,,,,,,,,,,,8.7,0,0,0,-2.38,0.8762,0.1489,0
