Date,Open,High,Low,Close,Volume,Change,Change_Percent,SMA10,SMA50,SMA200,EMA5,EMA10,EMA20,EMA50,EMA200,RSI_14,STOCHk_9_6_3,STOCHd_9_6_3,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,CMF,OBV,ATR,PSAR,PSARl_0.01_0.1,Rolling_Std,Golden_Cross,Death_Cross,Price_Cross_SMA10_Up,Price_Cross_SMA10_Down,Price_Cross_SMA50_Up,Price_Cross_SMA50_Down,Price_Cross_SMA200_Up,Price_Cross_SMA200_Down,SMA10_Up,SMA50_Up,SMA200_Up,Price_Distance_SMA10,Price_Distance_SMA50,Price_Distance_SMA200,SMA50_Above_SMA200,Golden_Death_Cross_Desc,Price_SMA10_Crossover_Desc,Price_Crossover_Desc,RSI_Desc,Stochastic_Desc,CMF_Desc,MACD_Desc,OBV_Desc,PSAR_Desc,ATR_Desc,RSI_9,RSI_25,CMF_20,OBV_SMA_Diff,OBV_RoC,PSARl_0.02_0.2,Rolling_Std_10,Rolling_Std_50
2013-11-28T00:00:00Z,1.76,1.81,1.76,1.81,75084008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75084008,0,0,1.76,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.76,0,0
2013-12-01T00:00:00Z,1.81,1.84,1.8,1.84,84219960,0.03,1.66,0,0,0,1.82,1.82,1.81,1.81,1.81,0,0,0,0,0,0,0,159303968,0,0,1.7605,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.761,0,0
2013-12-02T00:00:00Z,1.82,1.84,1.82,1.84,35908024,0,0,0,0,0,1.83,1.82,1.82,1.81,1.81,0,0,0,0,0,0,0,159303968,0,0,1.7621,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.7642,0,0
2013-12-03T00:00:00Z,1.84,1.85,1.83,1.83,145746816,-0.01,-0.54,0,0,0,1.83,1.82,1.82,1.81,1.81,0,0,0,0,0,0,0,13557152,0,0,1.7637,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.7672,0,0
2013-12-04T00:00:00Z,1.85,1.85,1.84,1.84,8804110,0.01,0.55,0,0,0,1.83,1.83,1.82,1.81,1.81,0,0,0,0,0,0,0,22361262,0,0,1.7663,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.7722,0,0
2013-12-05T00:00:00Z,1.84,1.84,1.83,1.84,161846800,0,0,0,0,0,1.83,1.83,1.82,1.82,1.81,0,0,0,0,0,0,0,22361262,0,0,1.7688,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.7769,0,0
2013-12-08T00:00:00Z,1.84,1.85,1.83,1.84,194677072,0,0,0,0,0,1.84,1.83,1.82,1.82,1.81,0,0,0,0,0,0,0,22361262,0,0,1.7712,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.7813,0,0
2013-12-09T00:00:00Z,1.84,1.84,1.84,1.84,138000000,0,0,0,0,0,1.84,1.83,1.82,1.82,1.81,0,0,0,0,0,0,0,22361262,0,0,1.7736,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.7854,0,0
2013-12-10T00:00:00Z,1.84,1.84,1.84,1.84,139565408,0,0,0,0,0,1.84,1.83,1.83,1.82,1.81,0,88.89,0,0,0,0,0,22361262,0,0,1.7759,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,1.7893,0,0
2013-12-11T00:00:00Z,1.84,1.84,1.84,1.84,92000000,0,0,1.84,0,0,1.84,1.83,1.83,1.82,1.81,0,80,0,0,0,0,0,22361262,0,0,1.7781,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,80,0,0,0,0,1.7929,0.0092,0
2013-12-12T00:00:00Z,1.84,1.84,1.84,1.84,50608460,0,0,1.84,0,0,1.84,1.84,1.83,1.82,1.81,0,66.67,0,0,0,0,0,22361262,0,0,1.7803,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,50,0,0,0,-70.22,1.7963,0.0033,0
2013-12-15T00:00:00Z,1.84,1.84,1.84,1.84,164770160,0,0,1.84,0,0,1.84,1.84,1.83,1.82,1.81,0,50,65.56,0,0,0,0,22361262,0,0,1.7824,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,50,0,0,0,-85.96,1.7995,0.0033,0
2013-12-16T00:00:00Z,1.83,1.83,1.82,1.82,63750000,-0.02,-1.09,1.84,0,0,1.83,1.83,1.83,1.82,1.81,0,0,38.89,0,0,0,0,-41388738,0,0,1.7844,0,false,false,false,true,false,false,false,false,false,false,false,-0.02,0,0,false,,,,,,,,,,,33.33,0,0,0,-125.98,1.8025,0.0064,0
2013-12-17T00:00:00Z,1.82,1.82,1.79,1.79,113472440,-0.03,-1.65,1.83,0,0,1.82,1.83,1.82,1.82,1.81,0,0,16.67,0,0,0,0,-154861178,0,0,1.7864,0,false,false,false,false,false,false,false,false,false,false,false,-0.04,0,0,false,,,,,,,,,,,0,0,0,0,-1242.28,1.85,0.0155,0
