Date,Open,High,Low,Close,Volume,Change,Change_Percent,SMA10,SMA50,SMA200,EMA5,EMA10,EMA20,EMA50,EMA200,RSI_14,STOCHk_9_6_3,STOCHd_9_6_3,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,CMF,OBV,ATR,PSAR,PSARl_0.01_0.1,Rolling_Std,Golden_Cross,Death_Cross,Price_Cross_SMA10_Up,Price_Cross_SMA10_Down,Price_Cross_SMA50_Up,Price_Cross_SMA50_Down,Price_Cross_SMA200_Up,Price_Cross_SMA200_Down,SMA10_Up,SMA50_Up,SMA200_Up,Price_Distance_SMA10,Price_Distance_SMA50,Price_Distance_SMA200,SMA50_Above_SMA200,Golden_Death_Cross_Desc,Price_SMA10_Crossover_Desc,Price_Crossover_Desc,RSI_Desc,Stochastic_Desc,CMF_Desc,MACD_Desc,OBV_Desc,PSAR_Desc,ATR_Desc,RSI_9,RSI_25,CMF_20,OBV_SMA_Diff,OBV_RoC,PSARl_0.02_0.2,Rolling_Std_10,Rolling_Std_50
2010-06-16T00:00:00Z,0.79,0.79,0.79,0,79000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79000,0,0,0.79,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.79,0,0
2010-06-17T00:00:00Z,0.82,0.82,0.79,0,41140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79000,0,0,0.79,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.79,0,0
2010-06-21T00:00:00Z,0.82,0.82,0.82,0,6558360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79000,0,0,0.7906,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.7912,0,0
2010-06-23T00:00:00Z,0.82,0.82,0.82,0,83435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79000,0,0,0.7912,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.7924,0,0
2010-06-24T00:00:00Z,0.82,0.82,0.82,0,1640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79000,0,0,0.7918,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.7935,0,0
2010-06-27T00:00:00Z,0.83,0.83,0.83,0,20750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79000,0,0,0.7924,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.7946,0,0
2010-06-28T00:00:00Z,0.83,0.83,0.8,0,483857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79000,0,0,0.7935,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.7967,0,0
2010-06-29T00:00:00Z,0.81,0.82,0.81,0,14531478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79000,0,0,0.7946,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.7987,0,0
2010-06-30T00:00:00Z,0.83,0.83,0.83,0,9841087,0,0,0,0,0,0,0,0,0,0,0,-1975,0,0,0,0,0,79000,0,0,0.7957,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.8006,0,0
2010-07-04T00:00:00Z,0.83,0.84,0.83,0,6889200,0,0,0,0,0,0,0,0,0,0,0,-1580,0,0,0,0,0,79000,0,0,0.7967,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.8024,0,0
2010-07-05T00:00:00Z,0.83,0.83,0.83,0,6640000,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0,0,0,0,79000,0,0,0.7984,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.8054,0,0
2010-07-06T00:00:00Z,0.85,0.85,0.85,0,18700000,0,0,0,0,0,0,0,0,0,0,0,-1600,-1726.67,0,0,0,0,79000,0,0,0.8001,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.8082,0,0
2010-07-12T00:00:00Z,0.85,0.85,0.85,0,3575721,0,0,0,0,0,0,0,0,0,0,0,-1600,-1733.33,0,0,0,0,79000,0,0,0.8026,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.8124,0,0
2010-07-19T00:00:00Z,0.83,0.83,0.83,0,17517519,0,0,0,0,0,0,0,0,0,0,0,-1600,-1600,0,0,0,0,79000,0,0,0.805,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.8162,0,0
2010-07-20T00:00:00Z,0.83,0.83,0.83,0,1159060,0,0,0,0,0,0,0,0,0,0,0,-1600,-1600,0,0,0,0,79000,0.83,0,0.8073,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.8196,0,0
2010-07-22T00:00:00Z,0.84,0.84,0.84,0,3045045,0,0,0,0,0,0,0,0,0,0,0,-2025,-1741.67,0,0,0,0,79000,0.8314,0,0.8094,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.8226,0,0
2010-07-25T00:00:00Z,0.84,0.84,0.84,0,7190400,0,0,0,0,0,0,0,0,0,0,0,-4150,-2591.67,0,0,0,0,79000,0.8329,0,0.8114,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.8253,0,0
2010-07-29T00:00:00Z,0.82,0.82,0.82,0,100123,0,0,0,0,0,0,0,0,0,0,0,-2733.33,-2969.44,0,0,0,0,79000,0.8329,0,0.8133,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.85,0,0
2010-08-01T00:00:00Z,0.84,0.84,0.84,0,4853489,0,0,0,0,0,0,0,0,0,0,0,-2733.33,-3205.55,0,0,0,0,79000,0.8343,0,0.8151,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,0.8494,0,0
2010-08-02T00:00:00Z,0.82,0.82,0.82,0,2204160,0,0,0,0,0,0,0,0,0,0,0,-2733.33,-2733.33,0,0,0,0,79000,0.8336,0,0.8168,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,-33.7375,0,0,0.8488,0,0
2010-08-03T00:00:00Z,0.83,0.83,0.82,0,677188,0,0,0,0,0,0,0,0,0,0,0,-2733.33,-2733.33,0,0,0,0,79000,0.8336,0,0.8185,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,-34.6032,0,0,0.8482,0,0
2010-08-05T00:00:00Z,0.82,0.82,0.82,0,26568,0,0,0,0,0,0,0,0,0,0,0,-4100,-3188.89,0,0,0,0,79000,0.8336,0,0.85,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,-34.5871,0,0,0.8476,0,0
2010-08-09T00:00:00Z,0.82,0.83,0.82,0,46669625,0,0,0,0,0,0,0,0,0,0,0,-4100,-3644.44,0,0,0,0,79000,0.8336,0,0.8497,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,-77.8728,0,0,0.847,0,0
2010-08-10T00:00:00Z,0.82,0.83,0.82,0,44394793,0,0,0,0,0,0,0,0,0,0,0,-4100,-4100,0,0,0,0,79000,0.8329,0,0.8494,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,-98.2477,0,0,0.8465,0,0
2010-08-11T00:00:00Z,0.83,0.83,0.83,0,83000,0,0,0,0,0,0,0,0,0,0,0,-4100,-4100,0,0,0,0,79000,0.8329,0,0.8491,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,-99.0587,0,0,0.846,0,0
2010-08-12T00:00:00Z,0.82,0.82,0.82,0,8446000,0,0,0,0,0,0,0,0,0,0,0,-4100,-4100,0,0,0,0,79000,0.8307,0,0.8488,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,-94.8228,0,0,0.8455,0,0
2010-08-15T00:00:00Z,0.82,0.82,0.82,0,7292034,0,0,0,0,0,0,0,0,0,0,0,-4100,-4100,0,0,0,0,79000,0.8286,0,0.8485,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,-91.5268,0,0,0.845,0,0
2010-08-16T00:00:00Z,0.82,0.82,0.82,0,5949965,0,0,0,0,0,0,0,0,0,0,0,-8200,-5466.67,0,0,0,0,79000,0.8279,0,0.8482,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,-83.4184,0,0,0.8445,0,0
2010-08-17T00:00:00Z,0.82,0.82,0.82,0,492414,0,0,0,0,0,0,0,0,0,0,0,-8200,-6833.33,0,0,0,0,79000,0.8271,0,0.8479,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,-87.6133,0,0,0.844,0,0
