Date,Open,High,Low,Close,Volume,Change,Change_Percent,SMA10,SMA50,SMA200,EMA5,EMA10,EMA20,EMA50,EMA200,RSI_14,STOCHk_9_6_3,STOCHd_9_6_3,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,CMF,OBV,ATR,PSAR,PSARl_0.01_0.1,Rolling_Std,Golden_Cross,Death_Cross,Price_Cross_SMA10_Up,Price_Cross_SMA10_Down,Price_Cross_SMA50_Up,Price_Cross_SMA50_Down,Price_Cross_SMA200_Up,Price_Cross_SMA200_Down,SMA10_Up,SMA50_Up,SMA200_Up,Price_Distance_SMA10,Price_Distance_SMA50,Price_Distance_SMA200,SMA50_Above_SMA200,Golden_Death_Cross_Desc,Price_SMA10_Crossover_Desc,Price_Crossover_Desc,RSI_Desc,Stochastic_Desc,CMF_Desc,MACD_Desc,OBV_Desc,PSAR_Desc,ATR_Desc,RSI_9,RSI_25,CMF_20,OBV_SMA_Diff,OBV_RoC,PSARl_0.02_0.2,Rolling_Std_10,Rolling_Std_50
2012-01-23T00:00:00Z,3.46,3.46,3.46,3.46,346000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346000,0,0,3.46,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,3.46,0,0
2012-01-24T00:00:00Z,3.46,3.5,3.46,3.5,20208002,0.04,1.16,0,0,0,3.47,3.47,3.46,3.46,3.46,0,0,0,0,0,0,0,20554002,0,0,3.46,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,3.46,0,0
2012-01-25T00:00:00Z,3.5,3.5,3.5,3.5,17500000,0,0,0,0,0,3.48,3.47,3.47,3.46,3.46,0,0,0,0,0,0,0,20554002,0,0,3.4608,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,3.4616,0,0
2012-01-26T00:00:00Z,3.45,3.45,3.42,3.42,2400000,-0.08,-2.29,0,0,0,3.46,3.46,3.46,3.46,3.46,0,0,0,0,0,0,0,18154002,0,0,3.5,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,3.5,0,0
2012-01-29T00:00:00Z,3.4,3.4,3.4,3.4,22610000,-0.02,-0.58,0,0,0,3.44,3.45,3.46,3.46,3.46,0,0,0,0,0,0,0,-4455998,0,0,3.4992,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,3.4984,0,0
2012-01-30T00:00:00Z,3.37,3.4,3.37,3.37,11051000,-0.03,-0.88,0,0,0,3.42,3.44,3.45,3.46,3.46,0,0,0,0,0,0,0,-15506998,0,0,3.4972,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,3.4945,0,0
2012-01-31T00:00:00Z,3.4,3.45,3.4,3.44,55944480,0.07,2.08,0,0,0,3.42,3.44,3.45,3.45,3.46,0,0,0,0,0,0,0,40437482,0,0,3.4934,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,3.487,0,0
2012-02-01T00:00:00Z,3.44,3.5,3.44,3.5,3327001,0.06,1.74,0,0,0,3.45,3.45,3.45,3.46,3.46,0,0,0,0,0,0,0,43764483,0,0,3.37,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,3.37,0,0
2012-02-08T00:00:00Z,3.5,3.5,3.5,3.5,25674999,0,0,0,0,0,3.47,3.46,3.46,3.46,3.46,0,100,0,0,0,0,0,43764483,0,0,3.3713,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,,,,,,,,,,,0,0,0,0,0,3.3726,0,0
2012-02-09T00:00:00Z,3.45,3.45,3.36,3.36,9885951,-0.14,-4,3.45,0,0,3.43,3.44,3.45,3.45,3.46,0,0,0,0,0,0,0,33878532,0,0,3.5,0,false,false,false,false,false,false,false,false,false,false,false,-0.09,0,0,false,,,,,,,,,,,38.64,0,0,0,0,3.5,0.0528,0
