Ticker,Buy Date,Sell Date,Buy Price,Sell Price,Profit,Profit Percent,Gain Factor,Trade Status,Buy Price Commission,Sell Price Commission,Profit Commission,Profit Percent Commission,Gain Factor Commission,Simulation Status,Trade Iteration Number,1th Iteration,2th Iteration,3th Iteration,4th Iteration,5th Iteration
IBSD,2023-05-21,2023-05-24 00:00:00,3.06,3.05,-0.0100000000000002,-0.3267973856209226,0.9967320261437908,Closed,3.061836,3.04817,-0.0136660000000001,-0.4463335070852972,0.995536664929147,True,1,0.995536664929147,,,,
BMNS,2023-05-21,2023-06-13 00:00:00,0.58,0.59,0.01,1.7241379310344844,1.0172413793103448,Closed,0.580348,0.589646,0.009298,1.60214216297808,1.0160214216297807,True,2,,1.0160214216297807,,,
BBOB,2023-05-31,2023-08-01 00:00:00,2.1,2.24,0.1400000000000001,6.666666666666672,1.0666666666666669,Closed,2.10126,2.238656,0.1373960000000003,6.5387434206143125,1.0653874342061431,True,1,1.0653874342061431,,,,
IBSD,2023-06-04,2023-07-17 00:00:00,2.95,3.31,0.3599999999999999,12.203389830508469,1.1220338983050846,Closed,2.95177,3.308014,0.3562439999999998,12.068826500709736,1.1206882650070973,True,3,,,1.1206882650070973,,
TASC,2023-06-05,2023-06-22 00:00:00,7.49,7.3,-0.1900000000000004,-2.5367156208277755,0.9746328437917222,Closed,7.494494,7.295619999999999,-0.1988740000000008,-2.653601430596927,0.9734639856940308,True,4,,,,0.9734639856940308,
BNOI,2023-06-22,2023-08-21 00:00:00,1.24,1.46,0.2199999999999999,17.741935483870964,1.1774193548387095,Closed,1.240744,1.459124,0.2183799999999998,17.600729884649837,1.1760072988464985,True,2,,1.1760072988464985,,,
BMNS,2023-07-04,2023-07-27 00:00:00,0.65,0.87,0.2199999999999999,33.84615384615384,1.3384615384615384,Closed,0.65039,0.869478,0.2190879999999999,33.685634772982354,1.3368563477298236,True,4,,,,1.3368563477298236,
TASC,2023-07-09,2023-07-10 00:00:00,7.4,7.39,-0.0100000000000006,-0.1351351351351442,0.9986486486486486,Closed,7.40444,7.385566,-0.0188740000000002,-0.2549011133860262,0.9974509888661396,True,5,,,,,0.9974509888661396
IBSD,2023-07-18,2023-07-26 00:00:00,3.28,3.25,-0.0299999999999998,-0.9146341463414576,0.9908536585365856,Closed,3.281968,3.24805,-0.0339179999999998,-1.0334652866816465,0.9896653471331835,True,3,,,0.9896653471331835,,
IBSD,2023-07-27,2023-08-01 00:00:00,3.33,3.28,-0.0500000000000002,-1.5015015015015094,0.9849849849849848,Closed,3.331998,3.278032,-0.0539660000000004,-1.6196288233066287,0.9838037117669336,True,3,,,0.9838037117669336,,
TASC,2023-07-31,2023-08-01 00:00:00,7.7,7.46,-0.2400000000000002,-3.11688311688312,0.9688311688311688,Closed,7.70462,7.455524,-0.2490960000000006,-3.23307314312712,0.9676692685687288,True,4,,,,0.9676692685687288,
BMNS,2023-07-31,2023-08-01 00:00:00,0.88,0.85,-0.03,-3.4090909090909123,0.9659090909090908,Closed,0.880528,0.84949,-0.031038,-3.5249304962477077,0.964750695037523,True,5,,,,,0.964750695037523
BBOB,2023-08-02,2023-08-28 00:00:00,2.18,3.37,1.19,54.58715596330275,1.5458715596330277,Closed,2.181308,3.367978,1.18667,54.40176261215747,1.5440176261215748,True,1,1.5440176261215748,,,,
BMNS,2023-08-02,2023-09-21 00:00:00,0.84,0.94,0.0999999999999999,11.904761904761903,1.119047619047619,Closed,0.8405039999999999,0.939436,0.098932,11.770556713590896,1.117705567135909,True,3,,,1.117705567135909,,
TASC,2023-08-07,2023-08-09 00:00:00,7.73,7.62,-0.1100000000000003,-1.423027166882281,0.9857697283311772,Closed,7.734638,7.615428,-0.1192099999999998,-1.5412486014212925,0.984587513985787,True,4,,,,0.984587513985787,
TASC,2023-08-10,2023-08-13 00:00:00,7.64,7.7,0.0600000000000005,0.7853403141361323,1.0078534031413613,Closed,7.644584,7.69538,0.050796,0.6644704276910302,1.0066447042769102,True,4,,,,1.0066447042769102,
TASC,2023-08-14,2023-08-15 00:00:00,7.8,7.75,-0.0499999999999998,-0.6410256410256387,0.9935897435897436,Closed,7.804679999999999,7.74535,-0.0593299999999992,-0.7601849146922003,0.992398150853078,True,4,,,,0.992398150853078,
BNOI,2023-08-22,2023-10-30 00:00:00,1.61,2.35,0.74,45.962732919254655,1.4596273291925466,Closed,1.610966,2.34859,0.7376240000000001,45.787682669901166,1.4578768266990116,True,2,,1.4578768266990116,,,
TASC,2023-08-27,2023-09-24 00:00:00,8.06,8.79,0.7299999999999986,9.05707196029775,1.0905707196029777,Closed,8.064836,8.784726,0.7198899999999995,8.92628194795281,1.0892628194795282,True,4,,,,1.0892628194795282,
BBOB,2023-08-29,2023-11-08 00:00:00,3.25,3.16,-0.0899999999999998,-2.7692307692307647,0.9723076923076924,Closed,3.25195,3.158104,-0.0938459999999996,-2.8858377281323406,0.9711416227186764,True,1,0.9711416227186764,,,,
IBSD,2023-09-17,2023-09-24 00:00:00,3.37,3.47,0.1,2.9673590504451064,1.0296735905044512,Closed,3.3720220000000003,3.467918,0.0958959999999997,2.8438723116278526,1.0284387231162786,True,5,,,,,1.0284387231162786
BMNS,2023-09-24,2023-10-19 00:00:00,0.94,0.93,-0.0099999999999998,-1.063829787234032,0.9893617021276596,Closed,0.940564,0.929442,-0.0111219999999998,-1.1824820001615897,0.988175179998384,True,3,,,0.988175179998384,,
