Ticker,Buy Date,Sell Date,Buy Price,Sell Price,Profit,Profit Percent,Gain Factor,Trade Status,Buy Price Commission,Sell Price Commission,Profit Commission,Profit Percent Commission,Gain Factor Commission,Simulation Status,Trade Iteration Number,1th Iteration,2th Iteration,3th Iteration,4th Iteration,5th Iteration
BBOB,2023-04-05,2023-04-13 00:00:00,1.76,1.75,-0.01,-0.5681818181818187,0.9943181818181818,Closed,1.761056,1.74895,-0.0121059999999999,-0.6874284520196945,0.9931257154798032,True,1,0.9931257154798032,,,,
IBSD,2023-04-05,2023-04-13 00:00:00,2.7,2.68,-0.02,-0.7407407407407414,0.9925925925925926,Closed,2.70162,2.678392,-0.023228,-0.8597804280394736,0.9914021957196052,True,2,,0.9914021957196052,,,
TASC,2023-04-05,2023-06-05 00:00:00,7.86,7.49,-0.3700000000000001,-4.707379134860052,0.9529262086513994,Closed,7.864716,7.485506,-0.3792100000000005,-4.821661710352929,0.9517833828964708,True,3,,,0.9517833828964708,,
BNOI,2023-04-05,2023-05-04 00:00:00,1.27,1.32,0.05,3.9370078740157513,1.0393700787401574,Closed,1.270762,1.3192080000000002,0.0484460000000002,3.812358254338752,1.0381235825433874,True,4,,,,1.0381235825433874,
IBSD,2023-04-16,2023-04-30 00:00:00,3.15,3.06,-0.0899999999999998,-2.8571428571428523,0.9714285714285714,Closed,3.15189,3.058164,-0.0937259999999997,-2.973644384797685,0.9702635561520232,True,1,0.9702635561520232,,,,
BBOB,2023-04-16,2023-05-15 00:00:00,2.03,2.16,0.1300000000000003,6.403940886699525,1.064039408866995,Closed,2.031218,2.158704,0.1274860000000002,6.276332722533978,1.0627633272253398,True,2,,1.0627633272253398,,,
BMNS,2023-04-18,2023-05-03 00:00:00,0.55,0.56,0.01,1.8181818181818197,1.0181818181818183,Closed,0.5503300000000001,0.559664,0.0093339999999999,1.696073265131821,1.016960732651318,True,5,,,,,1.016960732651318
IBSD,2023-05-03,2023-05-17 00:00:00,3.08,3.04,-0.04,-1.2987012987012998,0.987012987012987,Closed,3.081848,3.038176,-0.0436719999999999,-1.417071834821183,0.9858292816517882,True,1,0.9858292816517882,,,,
BMNS,2023-05-08,2023-05-14 00:00:00,0.58,0.58,0.0,0.0,1.0,Closed,0.580348,0.579652,-0.000696,-0.1199280431741007,0.998800719568259,True,4,,,,0.998800719568259,
BNOI,2023-05-09,2023-05-14 00:00:00,1.31,1.26,-0.05,-3.816793893129775,0.9618320610687022,Closed,1.310786,1.259244,-0.0515419999999999,-3.9321445300758455,0.9606785546992416,True,5,,,,,0.9606785546992416
BNOI,2023-05-16,2023-05-25 00:00:00,1.25,1.2,-0.05,-4.000000000000004,0.96,Closed,1.25075,1.19928,-0.0514700000000001,-4.115130921447141,0.9588486907855286,True,2,,0.9588486907855286,,,
BBOB,2023-05-17,2023-05-22 00:00:00,2.13,2.02,-0.1099999999999998,-5.164319248826286,0.9483568075117372,Closed,2.131278,2.018788,-0.1124900000000002,-5.278053824982015,0.9472194617501798,True,4,,,,0.9472194617501798,
IBSD,2023-05-21,2023-05-25 00:00:00,3.06,3.0,-0.06,-1.960784313725492,0.9803921568627452,Closed,3.061836,2.9982,-0.0636359999999998,-2.078360826641264,0.9792163917335872,True,1,0.9792163917335872,,,,
