Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,SMA10,SMA50,SMA200,RSI_14,CMF_20,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,OBV_SMA_Diff,EMA5,EMA10,EMA20,EMA50,PSARl_0.02_0.2,PSARl_0.01_0.1,OBV_RoC,ATR,Rolling_Std_10,Rolling_Std_50,RSI Strategy,RSI Strategy2,RSI14_OBV_RoC Strategy,RSIMACD Strategy,RSICMF Strategy,RSI OBV Strategy,OBV Strategy,MACD Strategy,CMF Strategy,EMA5 PSAR Strategy,EMA5 PSAR Strategy2,Rolling Std10 Strategy,Rolling Std50 Strategy,RSI Strategy Alt,RSI Strategy2 Alt,RSI14_OBV_RoC Strategy Alt,RSIMACD Strategy Alt,RSICMF Strategy Alt,RSI OBV Strategy Alt,OBV Strategy Alt,MACD Strategy Alt,CMF Strategy Alt,EMA5 PSAR Strategy Alt,EMA5 PSAR Strategy2 Alt,Rolling Std10 Strategy Alt,Rolling Std50 Strategy Alt
2024-01-02,0.43,0.43,0.43,0.43,0.22,104.76,272741,117279,0.26,0.3,0.36,75.05,-0.53,-0.0,-0.01,0.01,-14370411.050000012,0.292140388523861,0.2731680627799266,0.2740847766234534,0.284982003310341,0.22,0.22,-0.0789777590017637,,0.0639878460681779,0.0471649298976003,Sell,Sell,Sell,Hold,Sell,Sell,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor
2024-01-03,0.49,0.49,0.49,0.49,0.06,13.95,1345000,659050,0.28,0.31,0.36,79.16,-0.53,0.01,-0.01,0.02,-11969096.600000024,0.3580935923492407,0.3125920513653945,0.2946481312307435,0.2930219247491512,0.22,0.22,-0.3897802177149967,,0.0983248583918541,0.0537947725250424,Sell,Sell,Sell,Hold,Sell,Sell,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor
2024-01-04,0.56,0.52,0.56,0.52,0.07,14.29,1454696,810971,0.31,0.31,0.36,82.73,-0.47,0.03,0.0,0.03,-9580820.949999988,0.4253957282328272,0.3575753147535045,0.3199197377801965,0.303491653190361,0.22,0.22,-0.4232196813083289,,0.1319764288718943,0.0645347557047998,Sell,Sell,Sell,Hold,Sell,Sell,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy,Buy,Monitor-Monitor,Monitor-Monitor
2024-01-07,0.6,0.58,0.6,0.58,0.04,7.14,725608,434407,0.34,0.32,0.36,84.38,-0.3,0.05,0.01,0.04,-7957913.699999988,0.4835971521552181,0.4016525302528673,0.3465940484677968,0.3151194314966213,0.22,0.22,-0.212000845808602,,0.1586085327675251,0.0763065782062834,Sell,Sell,Sell,Hold,Sell,Sell,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
2024-01-08,0.6,0.6,0.6,0.6,0.0,0.0,1331345,798807,0.38,0.32,0.36,84.38,-0.29,0.06,0.02,0.04,-7058114.449999988,0.5223981014368121,0.4377157065705278,0.3707279486137209,0.3262912184967539,0.22,0.22,0.0,,0.1728486814143142,0.0861240206839888,Sell,Sell,Hold,Hold,Sell,Sell,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
2024-01-10,0.57,0.58,0.58,0.55,-0.03,-5.0,398255,230485,0.41,0.33,0.36,77.91,-0.28,0.07,0.03,0.04,-6536657.449999988,0.5382654009578748,0.4617673962849772,0.389706239221938,0.3358484256145282,0.22,0.22,0.1166053437615444,,0.1737207209543217,0.092825049398958,Sell,Sell,Hold,Hold,Sell,Sell,Sell,Hold,Sell,Sell,Sell,Hold,Hold,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Sell,Sell,Monitor-Monitor,Monitor-Monitor
2024-01-15,0.56,0.51,0.6,0.51,-0.01,-1.75,2030000,1114300,0.45,0.33,0.36,75.83,-0.26,0.08,0.04,0.04,-7537695.449999988,0.5455102673052499,0.4796278696877086,0.4059246926293725,0.3446386834335664,0.55,0.55,0.5936727828747435,,0.1662795504230431,0.0981338111863582,Sell,Sell,Hold,Hold,Sell,Sell,Sell,Hold,Sell,Sell,Sell,Hold,Hold,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor
2024-01-23,0.61,0.61,0.61,0.61,0.05,8.93,140739,85851,0.49,0.33,0.37,78.87,-0.27,0.08,0.05,0.03,-6375031.399999976,0.5670068448701666,0.5033318933808525,0.4253604361884798,0.3550450095734265,0.55,0.55,-0.0409161627102139,,0.1525523589533203,0.1050978164397756,Sell,Sell,Sell,Hold,Sell,Sell,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy,Buy,Monitor-Monitor,Monitor-Monitor
2024-01-25,0.64,0.64,0.64,0.62,0.03,4.92,1120000,698400,0.53,0.34,0.37,80.46,-0.23,0.09,0.06,0.03,-4294106.350000024,0.591337896580111,0.5281806400388793,0.4458022994086246,0.366219715080351,0.55,0.55,-0.3257438250451772,,0.1271962613007528,0.1134147166781466,Sell,Sell,Sell,Hold,Sell,Sell,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
2024-01-29,0.62,0.62,0.62,0.62,-0.02,-3.13,40739,25258,0.57,0.34,0.37,76.34,-0.23,0.09,0.06,0.03,-3371883.350000024,0.6008919310534073,0.5448750691227194,0.4623925566078032,0.3761718831164156,0.55,0.55,0.0118873631447247,,0.0640832791503928,0.1201395447139793,Sell,Sell,Hold,Hold,Sell,Sell,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
2024-01-30,0.62,0.62,0.62,0.62,0.0,0.0,100164,62102,0.59,0.35,0.37,76.34,-0.19,0.09,0.07,0.02,-2508921.350000024,0.6072612873689383,0.5585341474640431,0.4774027893118219,0.3857337700530268,0.55,0.55,0.0,,0.0434741302385743,0.126264380874226,Sell,Sell,Hold,Hold,Sell,Sell,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
2024-02-01,0.64,0.63,0.64,0.63,0.02,3.23,2600000,1644000,0.6,0.36,0.37,77.67,-0.12,0.09,0.07,0.02,720339.1499999762,0.6181741915792922,0.5733461206523989,0.4928882379487912,0.3957049947568296,0.62,0.62,-0.7585721438549409,,0.030110906108372,0.1324962841219444,Sell,Sell,Sell,Hold,Sell,Hold,Buy,Hold,Sell,Sell,Sell,Hold,Hold,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Buy,Monitor-Monitor,Sell-Monitor,Sell,Sell,Monitor-Monitor,Monitor-Monitor
2024-02-05,0.62,0.62,0.62,0.62,-0.02,-3.13,119097,73840,0.61,0.36,0.37,73.24,-0.06,0.09,0.08,0.01,1111457.5,0.6187827943861948,0.5818286441701446,0.5049941200489063,0.4045008773153853,0.62,0.62,0.0350131641936091,,0.0265832027165125,0.137532927411764,Sell,Sell,Hold,Hold,Sell,Hold,Buy,Hold,Sell,Sell,Sell,Hold,Hold,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Buy-Hold,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor
2024-02-11,0.7,0.7,0.7,0.7,0.08,12.9,5000,3500,0.62,0.37,0.37,78.51,-0.06,0.1,0.08,0.01,1626422.8500000238,0.6458551962574632,0.6033143452301182,0.5235661086156771,0.4160890782049781,0.62,0.62,-0.001469428670231,,0.039101008796314,0.1454968966637298,Sell,Sell,Sell,Hold,Sell,Hold,Buy,Hold,Sell,Buy,Buy,Hold,Hold,Sell-Monitor,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Buy-Hold,Monitor-Monitor,Sell-Monitor,Buy,Buy,Monitor-Monitor,Monitor-Monitor
2024-02-19,0.67,0.69,0.69,0.67,-0.03,-4.29,90004,61703,0.62,0.38,0.37,72.73,0.07,0.1,0.08,0.01,1837134.399999976,0.6539034641716421,0.615439009733733,0.5375121935094221,0.4260463692557632,0.6248,0.6224,0.0264512802898408,0.0381798384617934,0.0416999866773292,0.1514614519558425,Sell,Sell,Hold,Hold,Hold,Hold,Buy,Hold,Buy,Buy,Buy,Hold,Hold,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Monitor-Monitor,Buy,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
2024-02-20,0.65,0.65,0.65,0.65,-0.02,-2.99,617093,401110,0.63,0.38,0.37,69.07,0.08,0.09,0.09,0.01,1301611.6000000238,0.6526023094477615,0.6217228261457814,0.5482253179370962,0.4348288645790666,0.629312,0.624728,0.1813095355057026,0.0362445038534786,0.0374314187696867,0.1560561123573254,Sell,Sell,Hold,Hold,Hold,Hold,Buy,Hold,Buy,Buy,Buy,Hold,Hold,Sell-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Monitor-Monitor,Buy-Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
