Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,SMA10,SMA50,SMA200,RSI_14,CMF_20,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,OBV_SMA_Diff,EMA5,EMA10,EMA20,EMA50,PSARl_0.02_0.2,PSARl_0.01_0.1,OBV_RoC,ATR,Rolling_Std_10,Rolling_Std_50,RSI Strategy,RSI Strategy2,RSI14_OBV_RoC Strategy,RSIMACD Strategy,RSICMF Strategy,RSI OBV Strategy,OBV Strategy,MACD Strategy,CMF Strategy,EMA5 PSAR Strategy,EMA5 PSAR Strategy2,Rolling Std10 Strategy,Rolling Std50 Strategy,RSI Strategy Alt,RSI Strategy2 Alt,RSI14_OBV_RoC Strategy Alt,RSIMACD Strategy Alt,RSICMF Strategy Alt,RSI OBV Strategy Alt,OBV Strategy Alt,MACD Strategy Alt,CMF Strategy Alt,EMA5 PSAR Strategy Alt,EMA5 PSAR Strategy2 Alt,Rolling Std10 Strategy Alt,Rolling Std50 Strategy Alt
2023-07-10,1.06,1.06,1.06,1.06,0.0,0.0,10000000,10600000,1.06,1.07,,0.0,0.0,-0.0,-0.0,0.0,0.0,1.060000057945501,1.060036139486462,1.0608563282194736,1.0660841113769748,1.06,1.06,0.0,,0.0,0.0096489398804395,Buy,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor
2023-09-21,1.06,1.06,1.06,1.06,0.0,0.0,38110000,40396600,1.06,1.07,,0.0,0.0,-0.0,-0.0,0.0,0.0,1.060000038630334,1.0600295686707415,1.0607747731509525,1.0658455187739562,1.06,1.06,0.0,,0.0,0.0095297600458051,Buy,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor
2023-09-28,1.06,1.06,1.06,1.06,0.0,0.0,940000000,996400000,1.06,1.07,,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0600000257535562,1.0600241925487888,1.060700985231814,1.0656162827436049,1.06,1.06,0.0,,0.0,0.0093917028079398,Buy,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Buy,Buy,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy,Buy,Monitor-Monitor,Monitor-Monitor
2023-10-02,1.06,1.06,1.06,1.06,0.0,0.0,1892500000,2006050048,1.06,1.07,,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0600000171690376,1.0600197939035545,1.0606342247335458,1.0653960363615027,1.06,1.06,0.0,,0.0,0.0092339214921105,Buy,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
2023-10-05,1.06,1.06,1.06,1.06,0.0,0.0,1167500000,1237549952,1.06,1.07,,0.0,0.0,-0.0,-0.0,0.0,0.0,1.060000011446025,1.060016195011999,1.0605738223779702,1.0651844270924242,1.06,1.06,0.0,,0.0,0.0090553851381381,Buy,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
2023-10-11,1.06,1.06,1.06,1.06,0.0,0.0,90000000,95400000,1.06,1.07,,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0600000076306837,1.060013250464363,1.0605191726276872,1.0649811162260543,1.06,1.06,0.0,,0.0,0.0088548384098932,Buy,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
2023-10-15,1.0,1.0,1.0,1.0,-0.06,-5.66,100000,100000,1.05,1.06,,0.0,0.0,-0.01,-0.0,-0.0,-95000.0,1.0400000050871223,1.0491017503799331,1.0547554419012408,1.0624328371583662,1.06,1.06,0.0144854059535015,,0.0189736659610104,0.0125989957487717,Buy,Buy,Buy,Hold,Hold,Hold,Sell,Hold,Hold,Sell,Sell,Buy,Buy,Buy-Hold,Buy-Hold,Buy,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Sell,Sell,Buy,Buy
2023-10-16,1.0,1.0,1.0,1.0,0.0,0.0,92100000,92100000,1.05,1.06,,0.0,0.0,-0.01,-0.0,-0.01,-90000.0,1.0266666700580815,1.0401741594017635,1.0495406379106464,1.0599844906031364,1.06,1.06,0.0,,0.0252982212813472,0.0152917211161431,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Sell,Sell,Hold,Buy,Buy-Hold,Buy-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Hold-Hold,Buy-Hold
2023-10-18,1.0,1.0,1.0,1.0,0.0,0.0,200000,200000,1.04,1.06,,0.0,0.0,-0.01,-0.01,-0.01,-85000.0,1.017777780038721,1.032869766783261,1.0448224819191565,1.0576321576383076,1.0,1.0,0.0,,0.0289827534923791,0.0174274004290459,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Buy,Buy-Hold,Buy-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Buy,Buy,Hold-Hold,Buy-Hold
2023-11-06,1.0,1.0,1.0,1.0,0.0,0.0,400000,400000,1.04,1.06,,0.0,0.0,-0.01,-0.01,-0.01,-80000.0,1.0118518533591474,1.0268934455499408,1.0405536741173318,1.0553720730250409,1.0,1.0,0.0,,0.0309838667696596,0.0191928983464927,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Buy,Buy-Hold,Buy-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Hold-Hold,Buy-Hold
