Date,Open,High,Low,Close,Volume,Trades,Change,Change_Percent,SMA10,SMA50,SMA200,EMA5,EMA10,EMA20,EMA50,EMA200,RSI_14,STOCHk_9_6_3,STOCHd_9_6_3,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,CMF,OBV,ATR,PSAR,PSARl_0.01_0.1,Rolling_Std,Golden_Cross,Death_Cross,Price_Cross_SMA10_Up,Price_Cross_SMA10_Down,Price_Cross_SMA50_Up,Price_Cross_SMA50_Down,Price_Cross_SMA200_Up,Price_Cross_SMA200_Down,SMA10_Up,SMA50_Up,SMA200_Up,Price_Distance_SMA10,Price_Distance_SMA50,Price_Distance_SMA200,SMA50_Above_SMA200,Golden_Death_Cross_Desc,Price_SMA10_Crossover_Desc,Price_Crossover_Desc,RSI_Desc,Stochastic_Desc,CMF_Desc,MACD_Desc,OBV_Desc,PSAR_Desc,ATR_Desc,RSI_9,RSI_25,CMF_20,OBV_SMA_Diff,OBV_RoC,PSARl_0.02_0.2,Rolling_Std_10,Rolling_Std_50,RSI Strategy,RSI Strategy2,RSI14_OBV_RoC Strategy,RSIMACD Strategy,RSICMF Strategy,RSI OBV Strategy,OBV Strategy,MACD Strategy,CMF Strategy,EMA5 PSAR Strategy,EMA5 PSAR Strategy2,Rolling Std10 Strategy,Rolling Std50 Strategy
2024-06-23T00:00:00Z,0.35,0.36,0.35,0.36,23120334,0,0.01,2.86,0.34,0,0,0.35,0.34,0.33,0.3,0,60.47,71.43,50.26,0,0,0,0,10093443,0.0364,0,0.3268,0,false,false,true,false,false,false,false,false,false,false,false,0.02,0,0,false,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Buy - Price Crossed Above SMA10: The asset's price has surged above its 10-period average. This upward crossover is historically a sign of short-term bullish momentum. Interpretation: It might be an opportunity to capitalize on the momentum; but also consider other indicators for confirmation.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Neutral-Bullish - RSI Above Midline: RSI is above 50; showing bullish momentum but not extreme. The trend appears healthy with room for further upside. Interpretation: Maintain bullish bias but monitor for overbought conditions.,Neutral-Bullish; Stochastic Bullish Crossover: %K is above %D - indicating bullish momentum. The trend appears to be strengthening. Interpretation: Monitor for continuation of upward movement.,,,Sell; Strong Volume Distribution: OBV is falling strongly - indicating heavy distribution. Smart money is selling aggressively. Interpretation: This supports bearish price action and suggests institutional selling.,,High Volatility Warning: ATR indicates high volatility (>5% of price). Market conditions are unstable with large price swings. Interpretation: Use wider stops; reduce position sizes - and expect increased risk.,52,0,0,0,-87.6,0.3881,0.0217,0,Weak Sell,Weak Sell,Sell,Weak Sell,Weak Sell,Sell,Strong Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell
2024-06-24T00:00:00Z,0.36,0.36,0.36,0.36,27780,0,0,0,0.34,0,0,0.35,0.35,0.33,0.3,0,59.52,71.43,66.67,0,0,0,0,10093443,0.0357,0,0.3305,0,false,false,false,false,false,false,false,false,false,false,false,0.02,0,0,false,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Neutral-Bullish - RSI Above Midline: RSI is above 50; showing bullish momentum but not extreme. The trend appears healthy with room for further upside. Interpretation: Maintain bullish bias but monitor for overbought conditions.,Neutral-Bullish; Stochastic Bullish Crossover: %K is above %D - indicating bullish momentum. The trend appears to be strengthening. Interpretation: Monitor for continuation of upward movement.,,,Sell; Strong Volume Distribution: OBV is falling strongly - indicating heavy distribution. Smart money is selling aggressively. Interpretation: This supports bearish price action and suggests institutional selling.,,High Volatility Warning: ATR indicates high volatility (>5% of price). Market conditions are unstable with large price swings. Interpretation: Use wider stops; reduce position sizes - and expect increased risk.,61.9,0,0,0,-57.09,0.3865,0.0223,0,Weak Sell,Weak Sell,Sell,Weak Sell,Weak Sell,Sell,Strong Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell
2024-06-26T00:00:00Z,0.35,0.36,0.35,0.36,218438,0,0,0,0.35,0,0,0.36,0.35,0.33,0.31,0,54.05,71.43,71.43,0,0,0,0,10093443,0.0329,0,0.334,0,false,false,false,false,false,false,false,false,true,false,false,0.01,0,0,false,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Neutral-Bullish - RSI Above Midline: RSI is above 50; showing bullish momentum but not extreme. The trend appears healthy with room for further upside. Interpretation: Maintain bullish bias but monitor for overbought conditions.,Neutral-Bearish; Stochastic Bearish Crossover: %K is below %D - indicating bearish momentum. Weakness may be developing. Interpretation: Exercise caution and consider defensive positioning.,,,Sell; Strong Volume Distribution: OBV is falling strongly - indicating heavy distribution. Smart money is selling aggressively. Interpretation: This supports bearish price action and suggests institutional selling.,,High Volatility Warning: ATR indicates high volatility (>5% of price). Market conditions are unstable with large price swings. Interpretation: Use wider stops; reduce position sizes - and expect increased risk.,61.9,0,0,0,-55.32,0.385,0.02,0,Weak Sell,Weak Sell,Sell,Weak Sell,Weak Sell,Sell,Strong Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell
2024-06-30T00:00:00Z,0.36,0.36,0.36,0.36,36000000,0,0,0,0.35,0,0,0.36,0.35,0.34,0.31,0,45.16,71.43,71.43,0,0,0,0,10093443,0.0286,0,0.3373,0,false,false,false,false,false,false,false,false,false,false,false,0.01,0,0,false,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Neutral-Bearish - RSI Below Midline: RSI is below 50; indicating bearish momentum but not extreme oversold. The trend shows weakness with potential for further decline. Interpretation: Exercise caution and look for confirmation before buying.,Neutral-Bearish; Stochastic Bearish Crossover: %K is below %D - indicating bearish momentum. Weakness may be developing. Interpretation: Exercise caution and consider defensive positioning.,,,Sell; Strong Volume Distribution: OBV is falling strongly - indicating heavy distribution. Smart money is selling aggressively. Interpretation: This supports bearish price action and suggests institutional selling.,,High Volatility Warning: ATR indicates high volatility (>5% of price). Market conditions are unstable with large price swings. Interpretation: Use wider stops; reduce position sizes - and expect increased risk.,52.94,0,0,0,-55.32,0.3835,0.016,0,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Strong Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell
2024-07-01T00:00:00Z,0.38,0.38,0.36,0.36,783200,0,0,0,0.35,0,0,0.36,0.35,0.34,0.31,0,43.33,66.67,69.84,0,0,0,0,10093443,0.0293,0,0.3404,0,false,false,false,false,false,false,false,false,false,false,false,0.01,0,0,false,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Neutral-Bearish - RSI Below Midline: RSI is below 50; indicating bearish momentum but not extreme oversold. The trend shows weakness with potential for further decline. Interpretation: Exercise caution and look for confirmation before buying.,Neutral-Bearish; Stochastic Bearish Crossover: %K is below %D - indicating bearish momentum. Weakness may be developing. Interpretation: Exercise caution and consider defensive positioning.,,,Sell; Strong Volume Distribution: OBV is falling strongly - indicating heavy distribution. Smart money is selling aggressively. Interpretation: This supports bearish price action and suggests institutional selling.,,High Volatility Warning: ATR indicates high volatility (>5% of price). Market conditions are unstable with large price swings. Interpretation: Use wider stops; reduce position sizes - and expect increased risk.,64.29,0,0.3193,0,-56.02,0.382,0.0162,0,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Strong Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell
2024-07-02T00:00:00Z,0.36,0.36,0.36,0.36,468000000,0,0,0,0.36,0,0,0.36,0.35,0.34,0.31,0,52,66.67,68.26,0,0,0,0,10093443,0.0257,0,0.3434,0,false,false,false,false,false,false,false,false,true,false,false,0,0,0,false,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Neutral-Bullish - RSI Above Midline: RSI is above 50; showing bullish momentum but not extreme. The trend appears healthy with room for further upside. Interpretation: Maintain bullish bias but monitor for overbought conditions.,Neutral-Bearish; Stochastic Bearish Crossover: %K is below %D - indicating bearish momentum. Weakness may be developing. Interpretation: Exercise caution and consider defensive positioning.,,,Buy; Strong Volume Accumulation: OBV is rising strongly - indicating heavy accumulation. Smart money is buying aggressively. Interpretation: This supports bullish price action and suggests strong institutional interest.,,High Volatility Warning: ATR indicates high volatility (>5% of price). Market conditions are unstable with large price swings. Interpretation: Use wider stops; reduce position sizes - and expect increased risk.,37.5,0,0.1838,0,204.87,0.3806,0.0119,0,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Strong Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy
2024-07-03T00:00:00Z,0.36,0.36,0.36,0.36,612000,0,0,0,0.36,0,0,0.36,0.35,0.34,0.31,0,61.9,66.67,66.67,0,0,0,0,10093443,0.0229,0,0.3462,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Neutral-Bullish - RSI Above Midline: RSI is above 50; showing bullish momentum but not extreme. The trend appears healthy with room for further upside. Interpretation: Maintain bullish bias but monitor for overbought conditions.,Neutral-Bearish; Stochastic Bearish Crossover: %K is below %D - indicating bearish momentum. Weakness may be developing. Interpretation: Exercise caution and consider defensive positioning.,,,Sell; Strong Volume Distribution: OBV is falling strongly - indicating heavy distribution. Smart money is selling aggressively. Interpretation: This supports bearish price action and suggests institutional selling.,,High Volatility Warning: ATR indicates high volatility (>5% of price). Market conditions are unstable with large price swings. Interpretation: Use wider stops; reduce position sizes - and expect increased risk.,60,0,0.2192,0,-80.05,0.3792,0.0092,0,Weak Sell,Weak Sell,Sell,Weak Sell,Weak Sell,Sell,Strong Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell
2024-07-04T00:00:00Z,0.33,0.33,0.33,0.33,3300349440,0,-0.03,-8.33,0.35,0,0,0.35,0.35,0.34,0.31,0,54.17,0,44.45,0,0,0,0,-3290255997,0.025,0,0.4,0,false,false,false,true,false,false,false,false,false,false,false,-0.02,0,0,false,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Sell - Price Crossed Below SMA10: The asset's price is dipping below its recent 10-period average. This can hint at a short-term decline or a potential pullback. Interpretation: It might be wise to exercise caution; adjust strategies or set stop losses.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Neutral-Bullish - RSI Above Midline: RSI is above 50; showing bullish momentum but not extreme. The trend appears healthy with room for further upside. Interpretation: Maintain bullish bias but monitor for overbought conditions.,,,,Sell; Strong Volume Distribution: OBV is falling strongly - indicating heavy distribution. Smart money is selling aggressively. Interpretation: This supports bearish price action and suggests institutional selling.,,High Volatility Warning: ATR indicates high volatility (>5% of price). Market conditions are unstable with large price swings. Interpretation: Use wider stops; reduce position sizes - and expect increased risk.,50,0,0.0526,0,-6653.65,0.3778,0.0119,0,Weak Sell,Weak Sell,Sell,Weak Sell,Weak Sell,Sell,Strong Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Buy,Weak Sell
2024-07-08T00:00:00Z,0.34,0.34,0.34,0.34,156092,0,0.01,3.03,0.35,0,0,0.35,0.35,0.34,0.32,0,47.62,20,28.89,0,0,0,0,-3290099905,0.0214,0,0.3993,0,false,false,false,false,false,false,false,false,false,false,false,-0.01,0,0,false,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Neutral-Bearish - RSI Below Midline: RSI is below 50; indicating bearish momentum but not extreme oversold. The trend shows weakness with potential for further decline. Interpretation: Exercise caution and look for confirmation before buying.,Neutral-Bearish; Stochastic Bearish Crossover: %K is below %D - indicating bearish momentum. Weakness may be developing. Interpretation: Exercise caution and consider defensive positioning.,,,Sell; Strong Volume Distribution: OBV is falling strongly - indicating heavy distribution. Smart money is selling aggressively. Interpretation: This supports bearish price action and suggests institutional selling.,,High Volatility Warning: ATR indicates high volatility (>5% of price). Market conditions are unstable with large price swings. Interpretation: Use wider stops; reduce position sizes - and expect increased risk.,40,0,0.0526,0,-3338.97,0.3764,0.0102,0,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Strong Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Buy,Weak Sell
2024-07-09T00:00:00Z,0.35,0.35,0.35,0.35,35000,0,0.01,2.94,0.35,0,0,0.35,0.35,0.34,0.32,0,57.89,40,20,0,0,0,0,-3290064905,0.0186,0,0.3986,0,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Neutral-Bullish - RSI Above Midline: RSI is above 50; showing bullish momentum but not extreme. The trend appears healthy with room for further upside. Interpretation: Maintain bullish bias but monitor for overbought conditions.,Neutral-Bullish; Stochastic Bullish Crossover: %K is above %D - indicating bullish momentum. The trend appears to be strengthening. Interpretation: Monitor for continuation of upward movement.,,,Sell; Strong Volume Distribution: OBV is falling strongly - indicating heavy distribution. Smart money is selling aggressively. Interpretation: This supports bearish price action and suggests institutional selling.,,High Volatility Warning: ATR indicates high volatility (>5% of price). Market conditions are unstable with large price swings. Interpretation: Use wider stops; reduce position sizes - and expect increased risk.,40,0,0.0491,0,-25155.95,0.3751,0.0102,0,Weak Sell,Weak Sell,Sell,Weak Sell,Weak Sell,Sell,Strong Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell,Weak Sell
