Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,SMA10,SMA50,SMA200,RSI_14,CMF_20,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,OBV_SMA_Diff,EMA5,EMA10,EMA20,EMA50,PSARl_0.02_0.2,PSARl_0.01_0.1,OBV_RoC,ATR,Rolling_Std_10,Rolling_Std_50,RSI Strategy,RSI Strategy2,RSI14_OBV_RoC Strategy,RSIMACD Strategy,RSICMF Strategy,RSI OBV Strategy,OBV Strategy,MACD Strategy,CMF Strategy,EMA5 PSAR Strategy,EMA5 PSAR Strategy2,Rolling Std10 Strategy,Rolling Std50 Strategy,RSI Strategy Alt,RSI Strategy2 Alt,RSI14_OBV_RoC Strategy Alt,RSIMACD Strategy Alt,RSICMF Strategy Alt,RSI OBV Strategy Alt,OBV Strategy Alt,MACD Strategy Alt,CMF Strategy Alt,EMA5 PSAR Strategy Alt,EMA5 PSAR Strategy2 Alt,Rolling Std10 Strategy Alt,Rolling Std50 Strategy Alt
2023-07-23,0.5,0.5,0.5,0.5,0.0,0.0,48000,24000,0.67,0.91,0.92,15.7,-0.0,-0.12,-0.07,-0.05,4395000.0,0.5486365449544455,0.6489581032231363,0.7695985280523066,0.8510841995442343,0.5,0.5,0.0,,0.1767484087622825,0.1649847240918806,Buy,Buy,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Buy,Buy,Hold,Buy,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor
2023-07-31,0.5,0.5,0.5,0.5,0.0,0.0,100000,50000,0.62,0.91,0.92,15.7,-0.0,-0.13,-0.08,-0.05,-360000.0,0.5324243633029637,0.6218748117280206,0.7439224777616107,0.8373161917189703,0.5,0.5,0.0,,0.139108271181515,0.1737933325791875,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Buy,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor
2023-12-06,0.5,0.5,0.5,0.5,0.0,0.0,148000,74000,0.58,0.9,0.91,15.7,-0.0,-0.13,-0.09,-0.04,-4865000.0,0.5216162422019759,0.5997157550501987,0.7206917655938383,0.8240881057692069,0.5,0.5,0.0,,0.1014122499722947,0.1825757880096576,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Buy,Buy,Buy,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Buy,Buy,Monitor-Monitor,Buy
2023-12-07,0.5,0.5,0.5,0.5,0.0,0.0,7070792546,3535396352,0.55,0.9,0.91,15.7,-0.0,-0.13,-0.1,-0.03,-4720000.0,0.5144108281346507,0.5815856177683444,0.6996735022039489,0.8113787682880615,0.5,0.5,0.0,,0.0745355992499842,0.190762273256427,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Buy,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Buy-Hold
2023-12-12,0.5,0.5,0.5,0.5,0.0,0.0,17979207454,8989603840,0.53,0.89,0.91,15.7,-0.0,-0.13,-0.11,-0.03,-4575000.0,0.5096072187564338,0.5667518690831909,0.6806569781845251,0.7991678361983338,0.5,0.5,0.0,,0.0537483849886446,0.198426565864596,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Hold-Hold
2024-02-21,0.5,0.5,0.5,0.5,0.0,0.0,50000,25000,0.51,0.88,0.91,15.7,-0.0,-0.13,-0.11,-0.02,-4430000.0,0.5064048125042893,0.5546151656135198,0.6634515516907609,0.787435764190556,0.5,0.5,0.0,,0.0337474278855075,0.2056270648429309,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Hold-Hold
2024-02-29,0.5,0.5,0.5,0.5,0.0,0.0,13386116020,6693058048,0.5,0.88,0.9,15.7,-0.0,-0.13,-0.11,-0.01,-4285000.0,0.5042698750028596,0.5446851355019707,0.6478847372440217,0.7761637734379853,0.5,0.5,0.0,,0.0158113883007985,0.2124109417220918,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Hold-Hold
2024-03-04,0.5,0.5,0.5,0.5,0.0,0.0,3000000000,1500000000,0.5,0.87,0.9,15.7,-0.0,-0.12,-0.12,-0.01,-4140000.0,0.5028465833352398,0.5365605654107033,0.633800476554115,0.7653338215384565,0.5,0.5,0.0,,0.0,0.2188169489387367,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Hold-Hold
2024-03-06,0.5,0.5,0.5,0.5,0.0,0.0,7975883980,3987941888,0.5,0.86,0.9,15.7,-0.0,-0.12,-0.12,-0.0,-3720000.0,0.5018977222234933,0.5299131898814845,0.6210575740251516,0.7549285736349877,0.5,0.5,0.0,,0.0,0.2238166158957395,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Hold-Hold
2024-03-27,0.5,0.5,0.5,0.5,0.0,0.0,5000,2500,0.5,0.85,0.89,15.7,-0.0,-0.11,-0.12,0.0,-3305000.0,0.5012651481489956,0.5244744280848509,0.6095282812608513,0.7449313746689098,0.5,0.5,0.0,,0.0,0.2288887083635345,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Hold-Hold
