Date,Open,High,Low,Close,Volume,Trades,Change,Change_Percent,SMA10,SMA50,SMA200,EMA5,EMA10,EMA20,EMA50,EMA200,RSI_14,STOCHk_9_6_3,STOCHd_9_6_3,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,CMF,OBV,ATR,PSAR,PSARl_0.01_0.1,Rolling_Std,Golden_Cross,Death_Cross,Price_Cross_SMA10_Up,Price_Cross_SMA10_Down,Price_Cross_SMA50_Up,Price_Cross_SMA50_Down,Price_Cross_SMA200_Up,Price_Cross_SMA200_Down,SMA10_Up,SMA50_Up,SMA200_Up,Price_Distance_SMA10,Price_Distance_SMA50,Price_Distance_SMA200,SMA50_Above_SMA200,Golden_Death_Cross_Desc,Price_SMA10_Crossover_Desc,Price_Crossover_Desc,RSI_Desc,Stochastic_Desc,CMF_Desc,MACD_Desc,OBV_Desc,PSAR_Desc,ATR_Desc,RSI_9,RSI_25,CMF_20,OBV_SMA_Diff,OBV_RoC,PSARl_0.02_0.2,Rolling_Std_10,Rolling_Std_50,RSI Strategy,RSI Strategy2,RSI14_OBV_RoC Strategy,RSIMACD Strategy,RSICMF Strategy,RSI OBV Strategy,OBV Strategy,MACD Strategy,CMF Strategy,EMA5 PSAR Strategy,EMA5 PSAR Strategy2,Rolling Std10 Strategy,Rolling Std50 Strategy
2024-06-27T00:00:00Z,2.3,2.3,2.3,2.3,2300,0,0,0,2.43,2.89,1.99,2.33,2.41,2.54,2.67,2.09,16.42,0,0,-0.1593,-0.1354,-0.0239,0,112440785,0.0479,0,2.7249,0,false,false,false,false,false,false,false,false,false,false,true,-0.13,-0.59,0.31,true,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Buy - RSI Oversold: RSI is below 30; indicating the asset may be oversold. This suggests a potential bounce or reversal. Interpretation: Look for buying opportunities; but confirm with other indicators and price action.,,,Sell; MACD Bearish: MACD line is below signal line with negative histogram - indicating strong bearish momentum. The trend is accelerating downward. Interpretation: Consider reducing positions or entering short positions.,Neutral-Bearish; Mild Volume Distribution: OBV is declining moderately - showing steady distribution. Selling pressure is present but not overwhelming. Interpretation: Cautiously bearish volume pattern.,,Moderate Volatility: ATR shows moderate volatility (2-5% of price). Normal market conditions with reasonable price movement. Interpretation: Standard risk management applies - monitor for volatility changes.,3.12,24.41,0.1648,0,-0.67,2.6189,0.1355,0.328,Strong Buy,Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Sell,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy
2024-08-08T00:00:00Z,2.3,2.3,2.3,2.3,4600,0,0,0,2.4,2.88,1.99,2.32,2.39,2.52,2.65,2.09,16.42,0,0,-0.1584,-0.14,-0.0184,0,112440785,0.0479,0,2.6909,0,false,false,false,false,false,false,false,false,false,false,false,-0.1,-0.58,0.31,true,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Buy - RSI Oversold: RSI is below 30; indicating the asset may be oversold. This suggests a potential bounce or reversal. Interpretation: Look for buying opportunities; but confirm with other indicators and price action.,,,Sell; MACD Bearish: MACD line is below signal line with negative histogram - indicating strong bearish momentum. The trend is accelerating downward. Interpretation: Consider reducing positions or entering short positions.,Neutral-Bearish; Mild Volume Distribution: OBV is declining moderately - showing steady distribution. Selling pressure is present but not overwhelming. Interpretation: Cautiously bearish volume pattern.,,Moderate Volatility: ATR shows moderate volatility (2-5% of price). Normal market conditions with reasonable price movement. Interpretation: Standard risk management applies - monitor for volatility changes.,0,24.41,0.0692,0,-0.7,2.5806,0.1268,0.3378,Strong Buy,Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Sell,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy
2024-08-12T00:00:00Z,2,2,2,2,90678,0,-0.3,-13.04,2.34,2.85,2,2.21,2.32,2.47,2.63,2.09,15.28,0,0,-0.1798,-0.148,-0.0318,0,112350107,0.0514,0,2.6596,0,false,false,false,false,false,false,false,false,false,false,true,-0.34,-0.85,0,true,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Buy - RSI Oversold: RSI is below 30; indicating the asset may be oversold. This suggests a potential bounce or reversal. Interpretation: Look for buying opportunities; but confirm with other indicators and price action.,,,Sell; MACD Bearish: MACD line is below signal line with negative histogram - indicating strong bearish momentum. The trend is accelerating downward. Interpretation: Consider reducing positions or entering short positions.,Neutral-Bearish; Mild Volume Distribution: OBV is declining moderately - showing steady distribution. Selling pressure is present but not overwhelming. Interpretation: Cautiously bearish volume pattern.,,Moderate Volatility: ATR shows moderate volatility (2-5% of price). Normal market conditions with reasonable price movement. Interpretation: Standard risk management applies - monitor for volatility changes.,0,19.75,0.0743,0,-0.8,2.5469,0.1535,0.3551,Strong Buy,Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Sell,Weak Buy,Weak Buy,Weak Buy,Buy,Buy
2024-08-13T00:00:00Z,1.8,1.8,1.8,1.8,360000,0,-0.2,-10,2.26,2.82,2,2.08,2.22,2.4,2.59,2.08,11.96,0,0,-0.2105,-0.1605,-0.05,0,111990107,0.0657,0,2.6002,0,false,false,false,false,false,false,false,false,false,false,false,-0.46,-1.02,-0.2,true,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Buy - RSI Oversold: RSI is below 30; indicating the asset may be oversold. This suggests a potential bounce or reversal. Interpretation: Look for buying opportunities; but confirm with other indicators and price action.,,,Sell; MACD Bearish: MACD line is below signal line with negative histogram - indicating strong bearish momentum. The trend is accelerating downward. Interpretation: Consider reducing positions or entering short positions.,Neutral-Bearish; Mild Volume Distribution: OBV is declining moderately - showing steady distribution. Selling pressure is present but not overwhelming. Interpretation: Cautiously bearish volume pattern.,,Moderate Volatility: ATR shows moderate volatility (2-5% of price). Normal market conditions with reasonable price movement. Interpretation: Standard risk management applies - monitor for volatility changes.,0,19.14,0.0369,0,-1.12,2.4703,0.1955,0.3797,Strong Buy,Strong Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Sell,Weak Buy,Weak Buy,Weak Buy,Buy,Strong Buy
2024-08-14T00:00:00Z,1.7,1.7,1.7,1.7,92924,0,-0.1,-5.56,2.18,2.79,2,1.95,2.13,2.34,2.56,2.08,10.78,0,0,-0.2401,-0.1764,-0.0637,0,111897183,0.0729,0,2.5202,0,false,false,false,false,false,false,false,false,false,false,false,-0.48,-1.09,-0.3,true,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Buy - RSI Oversold: RSI is below 30; indicating the asset may be oversold. This suggests a potential bounce or reversal. Interpretation: Look for buying opportunities; but confirm with other indicators and price action.,,,Sell; MACD Bearish: MACD line is below signal line with negative histogram - indicating strong bearish momentum. The trend is accelerating downward. Interpretation: Consider reducing positions or entering short positions.,Neutral-Bearish; Mild Volume Distribution: OBV is declining moderately - showing steady distribution. Selling pressure is present but not overwhelming. Interpretation: Cautiously bearish volume pattern.,,Moderate Volatility: ATR shows moderate volatility (2-5% of price). Normal market conditions with reasonable price movement. Interpretation: Standard risk management applies - monitor for volatility changes.,0,18.02,-0.1397,0,-1.09,2.3631,0.238,0.406,Strong Buy,Strong Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Sell,Weak Buy,Weak Buy,Weak Buy,Buy,Strong Buy
2024-08-15T00:00:00Z,1.5,1.5,1.5,1.5,173787,0,-0.2,-11.76,2.08,2.76,2,1.8,2.01,2.26,2.52,2.07,0.89,0,0,-0.2765,-0.1964,-0.0801,0,111723396,0.08,0,2.4382,0,false,false,false,false,false,false,false,false,false,false,false,-0.58,-1.26,-0.5,true,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Buy - RSI Oversold: RSI is below 30; indicating the asset may be oversold. This suggests a potential bounce or reversal. Interpretation: Look for buying opportunities; but confirm with other indicators and price action.,,,Sell; MACD Bearish: MACD line is below signal line with negative histogram - indicating strong bearish momentum. The trend is accelerating downward. Interpretation: Consider reducing positions or entering short positions.,Neutral-Bearish; Mild Volume Distribution: OBV is declining moderately - showing steady distribution. Selling pressure is present but not overwhelming. Interpretation: Cautiously bearish volume pattern.,,High Volatility Warning: ATR indicates high volatility (>5% of price). Market conditions are unstable with large price swings. Interpretation: Use wider stops; reduce position sizes - and expect increased risk.,0,16.15,-0.2437,0,-0.77,2.2437,0.2926,0.4379,Strong Buy,Strong Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Sell,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Strong Buy
2024-08-18T00:00:00Z,1.8,1.8,1.8,1.8,4500,0,0.3,20,2.03,2.73,2,1.8,1.97,2.21,2.49,2.07,21.28,37.5,12.5,-0.278,-0.2127,-0.0653,0,111727896,0.1007,0,2.3444,0,false,false,false,false,false,false,false,false,false,false,false,-0.23,-0.93,-0.2,true,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Buy - RSI Oversold: RSI is below 30; indicating the asset may be oversold. This suggests a potential bounce or reversal. Interpretation: Look for buying opportunities; but confirm with other indicators and price action.,Neutral-Bullish; Stochastic Bullish Crossover: %K is above %D - indicating bullish momentum. The trend appears to be strengthening. Interpretation: Monitor for continuation of upward movement.,,Sell; MACD Bearish: MACD line is below signal line with negative histogram - indicating strong bearish momentum. The trend is accelerating downward. Interpretation: Consider reducing positions or entering short positions.,Neutral-Bearish; Mild Volume Distribution: OBV is declining moderately - showing steady distribution. Selling pressure is present but not overwhelming. Interpretation: Cautiously bearish volume pattern.,,High Volatility Warning: ATR indicates high volatility (>5% of price). Market conditions are unstable with large price swings. Interpretation: Use wider stops; reduce position sizes - and expect increased risk.,27.27,27.48,-0.2856,0,-0.63,2.095,0.2935,0.4531,Buy,Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Sell,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Buy
2024-08-19T00:00:00Z,2,2.16,2,2.16,578771,0,0.36,20,2.02,2.71,2.01,1.92,2.01,2.21,2.48,2.07,37.29,82.5,40,-0.2472,-0.2196,-0.0276,0,112306667,0.1264,0,2.26,0,false,false,true,false,false,false,false,false,false,false,true,0.14,-0.55,0.15,true,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Buy - Price Crossed Above SMA10: The asset's price has surged above its 10-period average. This upward crossover is historically a sign of short-term bullish momentum. Interpretation: It might be an opportunity to capitalize on the momentum; but also consider other indicators for confirmation.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Neutral-Bearish - RSI Below Midline: RSI is below 50; indicating bearish momentum but not extreme oversold. The trend shows weakness with potential for further decline. Interpretation: Exercise caution and look for confirmation before buying.,Neutral-Bullish; Stochastic Bullish Crossover: %K is above %D - indicating bullish momentum. The trend appears to be strengthening. Interpretation: Monitor for continuation of upward movement.,,Sell; MACD Bearish: MACD line is below signal line with negative histogram - indicating strong bearish momentum. The trend is accelerating downward. Interpretation: Consider reducing positions or entering short positions.,Neutral-Bearish; Mild Volume Distribution: OBV is declining moderately - showing steady distribution. Selling pressure is present but not overwhelming. Interpretation: Cautiously bearish volume pattern.,,High Volatility Warning: ATR indicates high volatility (>5% of price). Market conditions are unstable with large price swings. Interpretation: Use wider stops; reduce position sizes - and expect increased risk.,45.21,37.6,-0.2928,0,-0.12,1.5,0.2834,0.4548,Weak Buy,Hold,Hold,Weak Sell,Hold,Hold,Hold,Weak Sell,Hold,Hold,Hold,Hold,Weak Buy
2024-08-21T00:00:00Z,2,2,2,2,400000,0,-0.16,-7.41,1.99,2.68,2.01,1.95,2.01,2.19,2.46,2.07,36.26,62.5,60.83,-0.2331,-0.2223,-0.0108,0,111906667,0.13,0,2.184,0,false,false,false,false,false,false,false,false,false,false,false,0.01,-0.68,-0.01,true,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Neutral-Bearish - RSI Below Midline: RSI is below 50; indicating bearish momentum but not extreme oversold. The trend shows weakness with potential for further decline. Interpretation: Exercise caution and look for confirmation before buying.,Neutral-Bullish; Stochastic Bullish Crossover: %K is above %D - indicating bullish momentum. The trend appears to be strengthening. Interpretation: Monitor for continuation of upward movement.,,Sell; MACD Bearish: MACD line is below signal line with negative histogram - indicating strong bearish momentum. The trend is accelerating downward. Interpretation: Consider reducing positions or entering short positions.,Neutral-Bearish; Mild Volume Distribution: OBV is declining moderately - showing steady distribution. Selling pressure is present but not overwhelming. Interpretation: Cautiously bearish volume pattern.,,High Volatility Warning: ATR indicates high volatility (>5% of price). Market conditions are unstable with large price swings. Interpretation: Use wider stops; reduce position sizes - and expect increased risk.,40.74,35.16,0.1049,0,-0.48,1.5132,0.2672,0.4586,Weak Buy,Hold,Hold,Weak Sell,Hold,Hold,Hold,Weak Sell,Hold,Hold,Hold,Hold,Weak Buy
2024-08-22T00:00:00Z,2,2,2,2,200000,0,0,0,1.96,2.66,2.01,1.96,2.01,2.17,2.44,2.07,37.29,62.5,69.17,-0.2193,-0.2217,0.0024,0,111906667,0.1264,0,2.1156,0,false,false,false,false,false,false,false,false,false,false,false,0.04,-0.66,-0.01,true,Neutral - No Significant Cross Detected: The market shows no clear bullish or bearish signals at the moment. This can indicate a period of consolidation or sideways movement. Interpretation: Monitor other indicators; stay updated with market news and maintain a diversified strategy.,Neutral - Price Oscillating Around SMA10: The asset's price is weaving around its 10-period average; indicating market indecision. This pattern could be a sign of consolidation. Interpretation: Stay alert; monitor other indicators and be ready for a potential breakout.,Neutral; Price Respecting SMA Levels: The asset's price is trading in line with major moving averages - showing balanced market conditions. Interpretation: Wait for clearer directional signals before making significant position changes.,Neutral-Bearish - RSI Below Midline: RSI is below 50; indicating bearish momentum but not extreme oversold. The trend shows weakness with potential for further decline. Interpretation: Exercise caution and look for confirmation before buying.,Neutral-Bearish; Stochastic Bearish Crossover: %K is below %D - indicating bearish momentum. Weakness may be developing. Interpretation: Exercise caution and consider defensive positioning.,,Buy; MACD Bullish: MACD line is above signal line with positive histogram - indicating strong bullish momentum. The trend is accelerating upward. Interpretation: Consider entering long positions or adding to existing bullish positions.,Neutral-Bearish; Mild Volume Distribution: OBV is declining moderately - showing steady distribution. Selling pressure is present but not overwhelming. Interpretation: Cautiously bearish volume pattern.,,High Volatility Warning: ATR indicates high volatility (>5% of price). Market conditions are unstable with large price swings. Interpretation: Use wider stops; reduce position sizes - and expect increased risk.,40.74,34.2,0.103,0,-0.48,1.5261,0.2462,0.4623,Weak Buy,Weak Buy,Weak Buy,Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy,Weak Buy
