Strategy,Number of Trades,Number of Closed Trades,Number of Open Trades,Number of Losing Trades,Number of Winning Trades,Winning Trade Percent,Average Profit,Average Profit Percent,Average Gain Factor,Product of Gain Factors
Liquid_CMF Strategy,57,55,2,24,33,57.89473684210527,0.08534385964912278,5.543252625450583,1.055432526254506,14.608886297486489
Liquid_EMA5 PSAR Strategy,104,99,5,52,52,50.0,0.07206659615384618,3.649444193601733,1.0364944419360174,25.0966544368276
Liquid_EMA5 PSAR Strategy2,100,95,5,50,50,50.0,0.07562790000000004,3.743892297956248,1.0374389229795624,24.596051670014717
Liquid_MACD Strategy,7,7,0,2,5,71.42857142857143,0.08018771428571426,3.3315041653744557,1.0333150416537447,1.230011041123793
Liquid_OBV Strategy,54,51,3,25,29,53.70370370370371,0.13706555555555558,6.400547117012155,1.0640054711701215,19.573885416797268
Liquid_Rolling Std10 Strategy,14,12,2,5,9,64.28571428571429,0.04732457142857159,2.319745199332125,1.0231974519933211,1.313041680778092
Liquid_Rolling Std50 Strategy,5,4,1,1,4,80.0,0.1563135999999999,6.674146015955495,1.0667414601595548,1.3641525530144298
Liquid_RSI OBV Strategy,1,1,0,0,1,100.0,0.109286,20.22601254062377,1.2022601254062375,1.2022601254062375
Liquid_RSI Strategy,8,6,2,1,7,87.5,0.2463637500000001,9.060177595749385,1.0906017759574937,1.9744191792502253
Liquid_RSI Strategy2,15,13,2,2,13,86.66666666666667,0.22776146666666658,7.1436606406657654,1.0714366064066576,2.7368667861031013
Liquid_RSI14_OBV_RoC Strategy,7,6,1,2,5,71.42857142857143,0.05832085714285682,3.7950142160889686,1.0379501421608894,1.2734769222301665
Liquid_RSICMF Strategy,1,1,0,0,1,100.0,0.0693099999999999,12.827488691969998,1.1282748869197,1.1282748869197
