Ticker,Buy Date,Sell Date,Buy Price,Sell Price,Profit,Profit Percent,Gain Factor,Trade Status,Buy Price Commission,Sell Price Commission,Profit Commission,Profit Percent Commission,Gain Factor Commission
BBOB,2023-04-05,2023-04-13 00:00:00,1.76,1.75,-0.010000000000000009,-0.5681818181818187,0.9943181818181818,Closed,1.761056,1.74895,-0.01210599999999995,-0.6874284520196945,0.9931257154798031
TASC,2023-04-05,2023-05-23 00:00:00,7.86,8.32,0.45999999999999996,5.852417302798981,1.0585241730279897,Closed,7.8647160000000005,8.315008,0.45029200000000014,5.7254705700752595,1.0572547057007526
BNOI,2023-04-13,2023-05-04 00:00:00,1.26,1.32,0.06000000000000005,4.761904761904765,1.0476190476190477,Closed,1.260756,1.3192080000000002,0.05845200000000017,4.636265859531914,1.0463626585953192
BBOB,2023-04-16,2023-05-03 00:00:00,2.03,2.34,0.31000000000000005,15.270935960591137,1.1527093596059115,Closed,2.031218,2.338596,0.30737799999999993,15.132693782745127,1.1513269378274513
BMNS,2023-04-16,2023-05-28 00:00:00,0.54,0.58,0.039999999999999925,7.407407407407393,1.074074074074074,Closed,0.540324,0.579652,0.03932799999999992,7.278595805479659,1.0727859580547967
IBSD,2023-04-16,2023-05-24 00:00:00,3.15,3.05,-0.10000000000000009,-3.174603174603177,0.9682539682539683,Closed,3.15189,3.04817,-0.10372000000000003,-3.2907239783114273,0.9670927602168857
BMNS,2023-05-30,2023-06-13 00:00:00,0.58,0.59,0.010000000000000009,1.7241379310344844,1.0172413793103448,Closed,0.580348,0.589646,0.009298000000000028,1.60214216297808,1.0160214216297807
BBOB,2023-05-31,2023-08-01 00:00:00,2.1,2.24,0.14000000000000012,6.666666666666672,1.0666666666666667,Closed,2.10126,2.238656,0.1373960000000003,6.5387434206143125,1.0653874342061431
IBSD,2023-06-04,2023-07-17 00:00:00,2.95,3.31,0.3599999999999999,12.203389830508469,1.1220338983050846,Closed,2.9517700000000002,3.308014,0.3562439999999998,12.068826500709735,1.1206882650070973
TASC,2023-06-05,2023-06-22 00:00:00,7.49,7.3,-0.1900000000000004,-2.5367156208277755,0.9746328437917222,Closed,7.494494,7.2956199999999995,-0.19887400000000088,-2.653601430596927,0.9734639856940307
BNOI,2023-06-22,2023-08-21 00:00:00,1.24,1.46,0.21999999999999997,17.741935483870964,1.1774193548387097,Closed,1.240744,1.4591239999999999,0.2183799999999998,17.600729884649837,1.1760072988464985
BMNS,2023-07-04,2023-07-27 00:00:00,0.65,0.87,0.21999999999999997,33.84615384615384,1.3384615384615384,Closed,0.65039,0.869478,0.21908799999999995,33.685634772982354,1.3368563477298236
TASC,2023-07-09,2023-07-10 00:00:00,7.4,7.39,-0.010000000000000675,-0.13513513513514425,0.9986486486486486,Closed,7.40444,7.385566,-0.01887400000000028,-0.2549011133860262,0.9974509888661397
IBSD,2023-07-18,2023-07-26 00:00:00,3.28,3.25,-0.029999999999999805,-0.9146341463414575,0.9908536585365855,Closed,3.281968,3.24805,-0.03391799999999989,-1.0334652866816463,0.9896653471331835
IBSD,2023-07-27,2023-08-01 00:00:00,3.33,3.28,-0.050000000000000266,-1.5015015015015094,0.9849849849849849,Closed,3.331998,3.2780319999999996,-0.0539660000000004,-1.6196288233066287,0.9838037117669337
TASC,2023-07-31,2023-08-01 00:00:00,7.7,7.46,-0.2400000000000002,-3.1168831168831197,0.9688311688311688,Closed,7.70462,7.455524,-0.24909600000000065,-3.2330731431271196,0.9676692685687288
BMNS,2023-07-31,2023-08-01 00:00:00,0.88,0.85,-0.030000000000000027,-3.4090909090909123,0.9659090909090908,Closed,0.880528,0.84949,-0.03103800000000001,-3.5249304962477073,0.964750695037523
BBOB,2023-08-02,2023-08-28 00:00:00,2.18,3.37,1.19,54.58715596330275,1.5458715596330275,Closed,2.181308,3.367978,1.18667,54.40176261215747,1.5440176261215748
BMNS,2023-08-02,2023-09-21 00:00:00,0.84,0.94,0.09999999999999998,11.904761904761903,1.119047619047619,Closed,0.8405039999999999,0.9394359999999999,0.09893200000000002,11.770556713590896,1.117705567135909
TASC,2023-08-07,2023-08-09 00:00:00,7.73,7.62,-0.11000000000000032,-1.423027166882281,0.9857697283311772,Closed,7.734638,7.6154280000000005,-0.11920999999999982,-1.5412486014212923,0.984587513985787
TASC,2023-08-10,2023-08-13 00:00:00,7.64,7.7,0.0600000000000005,0.7853403141361323,1.0078534031413613,Closed,7.644584,7.69538,0.05079600000000006,0.6644704276910302,1.0066447042769102
TASC,2023-08-14,2023-08-15 00:00:00,7.8,7.75,-0.04999999999999982,-0.6410256410256387,0.9935897435897436,Closed,7.804679999999999,7.74535,-0.05932999999999922,-0.7601849146922003,0.992398150853078
BNOI,2023-08-22,2023-10-30 00:00:00,1.61,2.35,0.74,45.962732919254655,1.4596273291925466,Closed,1.6109660000000001,2.34859,0.7376240000000001,45.787682669901166,1.4578768266990116
TASC,2023-08-27,2023-09-24 00:00:00,8.06,8.79,0.7299999999999986,9.05707196029775,1.0905707196029775,Closed,8.064836,8.784726,0.7198899999999995,8.92628194795281,1.0892628194795282
BBOB,2023-08-29,2023-11-08 00:00:00,3.25,3.16,-0.08999999999999986,-2.7692307692307647,0.9723076923076923,Closed,3.25195,3.1581040000000002,-0.09384599999999965,-2.8858377281323406,0.9711416227186765
IBSD,2023-09-17,2023-09-24 00:00:00,3.37,3.47,0.10000000000000009,2.9673590504451064,1.0296735905044512,Closed,3.3720220000000003,3.467918,0.09589599999999976,2.8438723116278526,1.0284387231162786
BMNS,2023-09-24,2023-10-19 00:00:00,0.94,0.93,-0.009999999999999898,-1.0638297872340319,0.9893617021276597,Closed,0.940564,0.9294420000000001,-0.011121999999999854,-1.1824820001615897,0.9881751799983841
TASC,2023-09-25,2023-10-09 00:00:00,8.8,8.8,0.0,0.0,1.0,Closed,8.805280000000002,8.79472,-0.01056000000000168,-0.1199280431741146,0.9988007195682589
BMNS,2023-10-22,2023-10-24 00:00:00,0.93,0.92,-0.010000000000000009,-1.0752688172043021,0.989247311827957,Closed,0.930558,0.919448,-0.011109999999999953,-1.1939073115270573,0.9880609268847295
BMNS,2023-10-30,2023-11-07 00:00:00,0.98,1.03,0.050000000000000044,5.102040816326536,1.0510204081632653,Closed,0.980588,1.029382,0.048794000000000004,4.975993995439471,1.0497599399543946
BNOI,2023-10-31,2023-11-07 00:00:00,2.46,2.76,0.2999999999999998,12.195121951219505,1.121951219512195,Closed,2.4614759999999998,2.7583439999999997,0.2968679999999999,12.060568536926622,1.1206056853692663
IBSD,2023-10-31,2023-11-08 00:00:00,3.42,3.48,0.06000000000000005,1.7543859649122824,1.0175438596491229,Closed,3.422052,3.477912,0.05586000000000002,1.6323539209807454,1.0163235392098076
BMNS,2023-11-08,2024-01-28 00:00:00,1.0,1.68,0.6799999999999999,68.0,1.68,Closed,1.0006,1.678992,0.6783920000000001,67.79852088746753,1.6779852088746754
BNOI,2023-11-08,2023-11-20 00:00:00,2.52,2.68,0.16000000000000014,6.349206349206354,1.0634920634920635,Closed,2.521512,2.678392,0.15688000000000013,6.22166382710057,1.0622166382710057
BBOB,2023-11-09,2023-12-04 00:00:00,3.16,3.29,0.1299999999999999,4.113924050632908,1.0411392405063291,Closed,3.161896,3.288026,0.12612999999999985,3.989062258847219,1.039890622588472
IBSD,2023-11-09,2023-11-14 00:00:00,3.46,3.46,0.0,0.0,1.0,Closed,3.462076,3.4579239999999998,-0.004152000000000378,-0.11992804317410644,0.9988007195682589
IBSD,2023-11-15,2023-11-19 00:00:00,3.5,3.52,0.020000000000000018,0.571428571428572,1.0057142857142858,Closed,3.5021,3.517888,0.015788000000000135,0.45081522515062783,1.0045081522515062
IBSD,2023-11-20,2023-12-05 00:00:00,3.52,3.4,-0.1200000000000001,-3.4090909090909123,0.9659090909090908,Closed,3.522112,3.39796,-0.12415200000000004,-3.5249304962477073,0.964750695037523
TASC,2023-11-21,2023-12-21 00:00:00,8.84,8.88,0.040000000000000924,0.45248868778281587,1.0045248868778283,Closed,8.845304,8.874672,0.02936799999999984,0.33201798377986597,1.0033201798377986
BBOB,2023-12-05,2024-03-26 00:00:00,3.16,3.2,0.040000000000000036,1.2658227848101276,1.0126582278481013,Closed,3.161896,3.19808,0.036183999999999994,1.1443766651401561,1.0114437666514016
TASC,2023-12-22,2023-12-24 00:00:00,8.88,8.64,-0.2400000000000002,-2.702702702702705,0.9729729729729729,Closed,8.885328000000001,8.634816,-0.2505120000000005,-2.8193894474126386,0.9718061055258737
BNOI,2024-01-15,2024-02-11 00:00:00,2.85,3.0,0.1499999999999999,5.263157894736839,1.0526315789473684,Closed,2.85171,2.9982,0.14649,5.136917849290426,1.0513691784929042
IBSD,2024-01-18,2024-01-29 00:00:00,3.77,4.01,0.23999999999999977,6.366047745358085,1.063660477453581,Closed,3.772262,4.007594,0.2353320000000001,6.238485025695461,1.0623848502569546
BMNS,2024-01-29,2024-02-05 00:00:00,1.61,1.69,0.07999999999999985,4.968944099378873,1.0496894409937887,Closed,1.6109660000000001,1.6889859999999999,0.07801999999999976,4.843056898779971,1.0484305689877997
IBSD,2024-01-30,2024-02-07 00:00:00,4.05,4.2,0.15000000000000036,3.7037037037037126,1.0370370370370372,Closed,4.05243,4.1974800000000005,0.14505000000000035,3.5793338811527984,1.035793338811528
TASC,2024-02-01,2024-02-29 00:00:00,9.7,9.78,0.08000000000000007,0.8247422680412378,1.0082474226804123,Closed,9.70582,9.774132,0.0683120000000006,0.7038251276038563,1.0070382512760385
IBSD,2024-02-08,2024-02-20 00:00:00,4.19,4.1,-0.09000000000000075,-2.147971360381879,0.9785202863961812,Closed,4.192514,4.0975399999999995,-0.09497400000000056,-2.2653233835355246,0.9773467661646448
BNOI,2024-02-12,2024-02-29 00:00:00,3.1,3.52,0.41999999999999993,13.548387096774192,1.135483870967742,Closed,3.1018600000000003,3.517888,0.41602799999999984,13.412210738073279,1.1341221073807328
IBSD,2024-02-21,2024-02-28 00:00:00,4.2,4.03,-0.16999999999999993,-4.047619047619046,0.9595238095238096,Closed,4.20252,4.027582000000001,-0.17493799999999915,-4.162692860474172,0.9583730713952583
IBSD,2024-02-29,2024-03-05 00:00:00,4.05,4.03,-0.019999999999999574,-0.49382716049381664,0.9950617283950618,Closed,4.05243,4.027582000000001,-0.024847999999999537,-0.6131629664176688,0.9938683703358233
TASC,2024-03-03,2024-03-04 00:00:00,9.99,9.85,-0.14000000000000057,-1.4014014014014071,0.985985985985986,Closed,9.995994,9.84409,-0.15190400000000004,-1.5196487712977824,0.9848035122870222
BNOI,2024-03-03,2024-03-18 00:00:00,3.73,3.8,0.06999999999999984,1.8766756032171539,1.0187667560321716,Closed,3.732238,3.79772,0.06548199999999982,1.7544968997153938,1.0175449689971539
TASC,2024-03-05,2024-03-07 00:00:00,9.85,9.31,-0.5399999999999991,-5.482233502538063,0.9451776649746194,Closed,9.85591,9.304414000000001,-0.5514959999999984,-5.595586810350323,0.9440441318964968
IBSD,2024-03-06,2024-03-12 00:00:00,4.05,4.0,-0.04999999999999982,-1.2345679012345634,0.9876543209876544,Closed,4.05243,3.9976,-0.05483000000000038,-1.3530153512830667,0.9864698464871693
IBSD,2024-03-19,2024-03-24 00:00:00,4.04,4.05,0.009999999999999787,0.24752475247524225,1.0024752475247525,Closed,4.0424240000000005,4.0475699999999994,0.005145999999998985,0.12729985770911179,1.0012729985770912
BMNS,2024-03-20,Open Trade - Last Close Price Used,1.35,1.35,0.0,0.0,1.0,Open,1.35081,1.3491900000000001,-0.0016199999999999548,-0.1199280431740922,0.9988007195682591
