Ticker,Sector,Name
AAHP,Agriculture,Al-Ahlyia for Agricultural Production
AIPM,Agriculture,Iraqi Agricultural Products Marketing Meat
AIRP,Agriculture,Iraqi Agricultural Products
AISP,Agriculture,Iraqi for Seed Production
AMAP,Agriculture,Modern for Animal Production 
AMEF,Agriculture,Middle East Producing & Marketing - Fish
AREB,Agriculture,Al-Ribas for Poultry and Fodder 
BAIB,Banks,Asia Al Iraq Islamic Bank for Investment
BASH,Banks,Ashur International Bank For Investment
BBOB,Banks,Bank Of Baghdad
BCIH,Banks,Cihan Islamic Bank 
BCOI,Banks,Commercial Bank of Iraq
BEFI,Banks,Economy Bank For Investment
BELF,Banks,Elaf Islamic Bank
BGUC,Banks,Gulf Commercial Bank
BIBI,Banks,Investment Bank of Iraq
BIIB,Banks,Iraqi Islamic Bank
BIME,Banks,Iraqi Middle East Investment Bank
BINT,Banks,International Islamic Bank
BLAD,Banks,Al-Ataa Islamic Bank
BMFI,Banks,Mousil Bank For Development& Investment
BMNS,Banks,Al-Mansour Bank
BNAI,Banks,National Islamic Bank
BNOI,Banks,National Bank Of Iraq
BROI,Banks,Credit Bank Of Iraq
BSUC,Banks,Sumer Commerical Bank
BTIB,Banks,Al Taif Islamic Bank for Investment & Fi
BUND,Banks,United Bank
BUOI,Banks,Union Bank Of Iraq
HASH,Tourisim,Ashour Hotel
HBAG,Tourisim,Baghdad Hotel
HBAY,Tourisim,Babylon Hotel
HISH,Tourisim,Ishtar Hotels
HKAR,Tourisim, Rehab Karbala
HMAN,Tourisim,Al-Mansour Hotels
HNTI,Tourisim,National company for Tourisim Investment
HTVM,Tourisim,Tourist Village of Mosul dam
IBPM,Industry,Baghdad for Packing Materials
IBSD,Industry,Baghdad Soft Drinks
IFCM,Industry,Fallujah for Construction Materials
IHFI,Industry,National Household Furniture Industry
IHLI,Industry,Al -HiLal Industries
IIDP,Industry,Iraqi Date Processing and Marketing
IIEW,Industry,Iraqi Engineering Works
IITC,Industry,Iraqi For Tufted Carpets
IKHC,Industry,Al -Khazer for Construction Materials
IKLV,Industry,AL- Kindi of Veterinary Vaccines Drugs
IMAP,Industry,Al-Mansour Pharmaceuticals Industries
IMIB,Industry,Metallic & Bicycles Industries
IMOS,Industry,Modern Sewing
INCP,Industry,National Chemical &Plastic
IRMC,Industry,Ready Made Clothes
NAHF,Insurance,AHliya For Insurance
NAME,Insurance,Al-Ameen Insurance
NDSA,Insurance,Dar Al-Salam for Insurance
NGIR,Insurance,Gulf Insurance and Reinsurance
SAEI,Services,Al-Ameen Estate Investment
SBPT,Services,Baghdad -Iraq Transportation
SKTA,Services,Kharkh Tour Amuzement City 
SMOF,Services,Al-Mosul for funfairs
SMRI,Services,Mamoura Realestate Investment
SNUC,Services,AL-Nukhba for General Construction
TASC,Tele,Asia Cell
TZNI,Tele,AlKatmat for Telecommunication
VAMF,Investment,Al-Ameen Financial Investment
VWIF,Investment,AL-Wiaam for Financial Investment
VZAF,Investment,Al-Zawraa for Finanical Investment
