Trade_ID,Ticker,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Signal,Exit_Signal,Quantity,PnL,PnL_Percent,Holding_Days,Trade_Type,Commission,Exit_Reason
1,AISP,OBV Strategy,2024-06-09T00:00:00Z,2024-06-10T00:00:00Z,7.99,8,,Weak Sell,697,-93.03,-1.65562383543067,1,LONG,100,SIGNAL
2,BINT,OBV Strategy,2024-06-10T00:00:00Z,2024-06-12T00:00:00Z,0.38,0.33,,Strong Sell,15935,-896.75,-14.68805791689188,2,LONG,100,SIGNAL
3,IMAP,OBV Strategy,2024-06-09T00:00:00Z,2024-06-13T00:00:00Z,1.87,1.85,,Sell,6417,-228.34,-1.8949707837232,4,LONG,100,SIGNAL
4,BBOB,OBV Strategy,2024-06-12T00:00:00Z,2024-06-30T00:00:00Z,3.2,3.008,,STOP_LOSS,1050,-301.6,-8.84457478005865,18,LONG,100,STOP_LOSS
5,HISH,OBV Strategy,2024-06-09T00:00:00Z,2024-07-01T00:00:00Z,10.1,9.7,,Weak Sell,1044,-517.6,-4.88559993959073,22,LONG,100,SIGNAL
6,BMNS,OBV Strategy,2024-06-13T00:00:00Z,2024-07-04T00:00:00Z,1.33,1.33,,Weak Sell,4971,-100,-1.50117917624294,21,LONG,100,SIGNAL
7,BASH,OBV Strategy,2024-07-02T00:00:00Z,2024-07-04T00:00:00Z,0.29,0.28,,Strong Sell,14368,-243.68,-5.77889923921911,2,LONG,100,SIGNAL
8,IITC,OBV Strategy,2024-06-10T00:00:00Z,2024-07-08T00:00:00Z,16.5,15.51,,STOP_LOSS,414,-509.86,-7.40967882575207,28,LONG,100,STOP_LOSS
9,BMNS,OBV Strategy,2024-07-09T00:00:00Z,2024-07-24T00:00:00Z,1.36,1.39,,Strong Sell,3503,5.09,0.10573152087211,15,LONG,100,SIGNAL
10,AISP,OBV Strategy,2024-06-30T00:00:00Z,2024-07-24T00:00:00Z,8.2,9.184,,TAKE_PROFIT,452,344.768,9.1781492918752,24,LONG,100,TAKE_PROFIT
11,SBPT,OBV Strategy,2024-06-10T00:00:00Z,2024-07-31T00:00:00Z,39,42,,Strong Sell,154,362,5.9775429326288,51,LONG,100,SIGNAL
12,BLAD,OBV Strategy,2024-06-11T00:00:00Z,2024-08-05T00:00:00Z,0.14,0.14,,Strong Sell,31505,-100,-2.24180061425337,55,LONG,100,SIGNAL
13,HISH,OBV Strategy,2024-07-24T00:00:00Z,2024-08-05T00:00:00Z,9.7,9.75,,Weak Sell,488,-75.6,-1.58039969897149,12,LONG,100,SIGNAL
14,NDSA,OBV Strategy,2024-06-09T00:00:00Z,2024-08-07T00:00:00Z,0.84,0.77,,Strong Sell,10248,-817.36,-9.44016853153961,59,LONG,100,SIGNAL
15,AMEF,OBV Strategy,2024-06-11T00:00:00Z,2024-08-11T00:00:00Z,7.4,7.5,,Hold,482,-51.8,-1.43220526432205,61,LONG,100,TIME_LIMIT
16,IMAP,OBV Strategy,2024-07-24T00:00:00Z,2024-08-11T00:00:00Z,1.89,1.89,,Weak Sell,3875,-100,-1.35616206136633,18,LONG,100,SIGNAL
17,BBOB,OBV Strategy,2024-08-08T00:00:00Z,2024-08-12T00:00:00Z,3.02,2.91,,Weak Sell,1404,-254.44,-5.93089173162272,4,LONG,100,SIGNAL
18,SBPT,OBV Strategy,2024-08-11T00:00:00Z,2024-08-14T00:00:00Z,46,44,,Strong Sell,127,-354,-6.0081466395112,3,LONG,100,SIGNAL
