Trade_ID,Ticker,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Signal,Exit_Signal,Quantity,PnL,PnL_Percent,Holding_Days,Trade_Type,Commission,Exit_Reason
1,BINT,RSI14_OBV_RoC Strategy,2024-06-10T00:00:00Z,2024-06-11T00:00:00Z,0.38,0.361,,STOP_LOSS,13936,-364.784,-6.82390266532976,1,LONG,100,STOP_LOSS
2,IMAP,RSI14_OBV_RoC Strategy,2024-06-09T00:00:00Z,2024-06-13T00:00:00Z,1.87,1.85,,Weak Sell,3208,-164.16,-2.71385494365974,4,LONG,100,SIGNAL
3,BBOB,RSI14_OBV_RoC Strategy,2024-06-13T00:00:00Z,2024-06-27T00:00:00Z,3.24,3.078,,STOP_LOSS,1951,-416.062,-6.53031435011081,14,LONG,100,STOP_LOSS
4,HISH,RSI14_OBV_RoC Strategy,2024-06-09T00:00:00Z,2024-07-03T00:00:00Z,10.1,9.62,,Weak Sell,558,-367.84,-6.46945020929333,24,LONG,100,SIGNAL
5,IITC,RSI14_OBV_RoC Strategy,2024-07-02T00:00:00Z,2024-07-08T00:00:00Z,16.05,15.2475,,STOP_LOSS,237,-290.1925,-7.52993759487266,6,LONG,100,STOP_LOSS
6,SBPT,RSI14_OBV_RoC Strategy,2024-06-10T00:00:00Z,2024-07-09T00:00:00Z,39,44.85,,TAKE_PROFIT,127,642.95,12.85128922646412,29,LONG,100,TAKE_PROFIT
7,AISP,RSI14_OBV_RoC Strategy,2024-07-04T00:00:00Z,2024-07-10T00:00:00Z,8.18,9.407,,TAKE_PROFIT,477,485.279,12.27976193488636,6,LONG,100,TAKE_PROFIT
8,BMNS,RSI14_OBV_RoC Strategy,2024-06-12T00:00:00Z,2024-07-24T00:00:00Z,1.34,1.39,,Sell,3486,74.3,1.57373910243919,42,LONG,100,SIGNAL
9,HASH,RSI14_OBV_RoC Strategy,2024-06-26T00:00:00Z,2024-07-24T00:00:00Z,18,20.7,,TAKE_PROFIT,222,499.4,12.34305486900643,28,LONG,100,TAKE_PROFIT
10,SBPT,RSI14_OBV_RoC Strategy,2024-07-10T00:00:00Z,2024-07-31T00:00:00Z,42,42,,Sell,100,-100,-2.35294117647059,21,LONG,100,SIGNAL
11,BBOB,RSI14_OBV_RoC Strategy,2024-07-18T00:00:00Z,2024-08-01T00:00:00Z,3.05,2.8975,,STOP_LOSS,1738,-365.045,-6.82212338111346,14,LONG,100,STOP_LOSS
