Trade_ID,Ticker,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Signal,Exit_Signal,Quantity,PnL,PnL_Percent,Holding_Days,Trade_Type,Commission,Exit_Reason
1,IMOS,RSIMACD Strategy,2024-06-09T00:00:00Z,2024-06-10T00:00:00Z,9.8,9.79,,Weak Sell,609,-106.09,-1.76281944767538,1,LONG,100,SIGNAL
2,HISH,RSIMACD Strategy,2024-06-09T00:00:00Z,2024-06-27T00:00:00Z,10.1,9.85,,Sell,471,-217.75,-4.52975806619376,18,LONG,100,SIGNAL
3,IFCM,RSIMACD Strategy,2024-06-09T00:00:00Z,2024-07-01T00:00:00Z,3.5,3.45,,Weak Sell,2285,-214.25,-2.6623174899037,22,LONG,100,SIGNAL
4,TASC,RSIMACD Strategy,2024-07-01T00:00:00Z,2024-07-02T00:00:00Z,9.15,9.17,,Sell,496,-90.08,-1.96321157702031,1,LONG,100,SIGNAL
5,IRMC,RSIMACD Strategy,2024-06-09T00:00:00Z,2024-07-03T00:00:00Z,3.75,3.45,,Sell,1264,-479.2,-10.00417536534447,24,LONG,100,SIGNAL
6,BNOI,RSIMACD Strategy,2024-06-09T00:00:00Z,2024-07-08T00:00:00Z,2.78,2.69,,Weak Sell,2646,-338.14,-4.56583147445003,29,LONG,100,SIGNAL
7,SBPT,RSIMACD Strategy,2024-06-09T00:00:00Z,2024-07-09T00:00:00Z,38.06,43.769,,TAKE_PROFIT,99,465.191,12.18434548473784,30,LONG,100,TAKE_PROFIT
8,AISP,RSIMACD Strategy,2024-06-09T00:00:00Z,2024-07-10T00:00:00Z,7.99,9.1885,,TAKE_PROFIT,686,722.171,13.05645852392093,31,LONG,100,TAKE_PROFIT
9,AIPM,RSIMACD Strategy,2024-07-10T00:00:00Z,2024-07-15T00:00:00Z,5.4,5.25,,Sell,660,-199,-5.50636413945766,5,LONG,100,SIGNAL
10,IKLV,RSIMACD Strategy,2024-06-27T00:00:00Z,2024-07-18T00:00:00Z,1.67,1.6,,Weak Sell,2549,-278.43,-6.46484769540474,21,LONG,100,SIGNAL
11,BTIB,RSIMACD Strategy,2024-06-10T00:00:00Z,2024-07-22T00:00:00Z,0.68,0.782,,TAKE_PROFIT,6016,513.632,12.4039334634184,42,LONG,100,TAKE_PROFIT
12,SMRI,RSIMACD Strategy,2024-07-18T00:00:00Z,2024-07-25T00:00:00Z,6.13,5.95,,Weak Sell,809,-245.62,-4.90340715128454,7,LONG,100,SIGNAL
13,BIIB,RSIMACD Strategy,2024-07-15T00:00:00Z,2024-07-31T00:00:00Z,1.16,1.14,,Sell,3193,-163.86,-4.36508359350858,16,LONG,100,SIGNAL
14,AIRP,RSIMACD Strategy,2024-07-25T00:00:00Z,2024-07-31T00:00:00Z,23,20.25,,Weak Sell,218,-699.5,-13.81319115323855,6,LONG,100,SIGNAL
15,BMNS,RSIMACD Strategy,2024-07-03T00:00:00Z,2024-08-04T00:00:00Z,1.33,1.36,,Sell,2544,-23.68,-0.68967124117524,32,LONG,100,SIGNAL
16,IBSD,RSIMACD Strategy,2024-07-08T00:00:00Z,2024-08-05T00:00:00Z,4.15,4.45,,Sell,1157,247.1,5.0932176314786,28,LONG,100,SIGNAL
17,IMAP,RSIMACD Strategy,2024-06-09T00:00:00Z,2024-08-05T00:00:00Z,1.87,1.88,,Sell,2712,-72.88,-1.4230372707676,57,LONG,100,SIGNAL
