Trade_ID,Ticker,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Signal,Exit_Signal,Quantity,PnL,PnL_Percent,Holding_Days,Trade_Type,Commission,Exit_Reason
1,BIIB,RSI Strategy,2024-06-09T00:00:00Z,2024-07-02T00:00:00Z,1.07,1.09,,Weak Sell,4775,-4.5,-0.08722197993894,23,LONG,100,SIGNAL
2,BMNS,RSI Strategy,2024-06-09T00:00:00Z,2024-07-02T00:00:00Z,1.31,1.33,,Weak Sell,6106,22.12,0.27482152752067,23,LONG,100,SIGNAL
3,TASC,RSI Strategy,2024-06-09T00:00:00Z,2024-07-02T00:00:00Z,9.12,9.17,,Weak Sell,441,-77.95,-1.9143303404782,23,LONG,100,SIGNAL
4,BNOI,RSI Strategy,2024-06-09T00:00:00Z,2024-07-02T00:00:00Z,2.78,2.641,,STOP_LOSS,1541,-314.199,-7.24966428086885,23,LONG,100,STOP_LOSS
5,IBSD,RSI Strategy,2024-06-09T00:00:00Z,2024-07-09T00:00:00Z,4.16,4.25,,Weak Sell,1138,2.42,0.05058443838732,30,LONG,100,SIGNAL
6,BASH,RSI Strategy,2024-07-02T00:00:00Z,2024-07-09T00:00:00Z,0.29,0.2755,,STOP_LOSS,14094,-304.363,-7.35663216718311,7,LONG,100,STOP_LOSS
7,SMRI,RSI Strategy,2024-07-03T00:00:00Z,2024-07-10T00:00:00Z,5.96,5.662,,STOP_LOSS,786,-334.228,-7.05932547058227,7,LONG,100,STOP_LOSS
8,IFCM,RSI Strategy,2024-06-09T00:00:00Z,2024-07-16T00:00:00Z,3.5,3.61,,Weak Sell,1890,107.9,1.61890472618155,37,LONG,100,SIGNAL
9,BIBI,RSI Strategy,2024-07-09T00:00:00Z,2024-07-23T00:00:00Z,0.36,0.342,,STOP_LOSS,9303,-267.454,-7.86842322040081,14,LONG,100,STOP_LOSS
10,BBOB,RSI Strategy,2024-07-16T00:00:00Z,2024-07-24T00:00:00Z,2.98,3,,Weak Sell,1614,-67.72,-1.39349592157573,8,LONG,100,SIGNAL
11,BCOI,RSI Strategy,2024-07-09T00:00:00Z,2024-07-24T00:00:00Z,0.82,0.82,,Weak Sell,4050,-100,-2.96647878967665,15,LONG,100,SIGNAL
12,IKHC,RSI Strategy,2024-06-09T00:00:00Z,2024-07-24T00:00:00Z,2.25,2.1375,,STOP_LOSS,1680,-289,-7.54569190600522,45,LONG,100,STOP_LOSS
13,BROI,RSI Strategy,2024-06-09T00:00:00Z,2024-07-24T00:00:00Z,0.92,0.874,,STOP_LOSS,3548,-263.208,-7.94192193496995,45,LONG,100,STOP_LOSS
14,HBAG,RSI Strategy,2024-07-03T00:00:00Z,2024-08-01T00:00:00Z,10.55,10.75,,Weak Sell,306,-38.8,-1.18354024951957,29,LONG,100,SIGNAL
15,IIDP,RSI Strategy,2024-07-24T00:00:00Z,2024-08-04T00:00:00Z,1.41,1.6,,Weak Sell,2707,414.33,10.71486758023932,11,LONG,100,SIGNAL
16,BEFI,RSI Strategy,2024-07-02T00:00:00Z,2024-08-04T00:00:00Z,0.23,0.2185,,STOP_LOSS,19138,-320.087,-7.190154860796,33,LONG,100,STOP_LOSS
17,SKTA,RSI Strategy,2024-07-24T00:00:00Z,2024-08-12T00:00:00Z,4.05,3.8475,,STOP_LOSS,831,-268.2775,-7.85459150063679,19,LONG,100,STOP_LOSS
18,HKAR,RSI Strategy,2024-06-09T00:00:00Z,2024-08-12T00:00:00Z,0.8,0.76,,STOP_LOSS,11493,-559.72,-6.05469257063736,64,LONG,100,STOP_LOSS
19,BUOI,RSI Strategy,2024-07-24T00:00:00Z,2024-08-14T00:00:00Z,0.22,0.25,,Sell,21269,538.07,11.37765955197307,21,LONG,100,SIGNAL
20,BNOI,RSI Strategy,2024-07-10T00:00:00Z,2024-09-01T00:00:00Z,2.7,2.565,,STOP_LOSS,1262,-270.37,-7.82003817897842,53,LONG,100,STOP_LOSS
21,IMAP,RSI Strategy,2024-09-01T00:00:00Z,2024-09-03T00:00:00Z,1.87,2.02,,Sell,1939,190.85,5.19188341453727,2,LONG,100,SIGNAL
22,SMRI,RSI Strategy,2024-08-04T00:00:00Z,2024-09-04T00:00:00Z,5.8,5.51,,STOP_LOSS,761,-320.69,-7.18423764505578,31,LONG,100,STOP_LOSS
23,IMOS,RSI Strategy,2024-08-04T00:00:00Z,2024-09-05T00:00:00Z,8.79,8.3505,,STOP_LOSS,646,-383.917,-6.70206377414748,32,LONG,100,STOP_LOSS
24,IITC,RSI Strategy,2024-07-24T00:00:00Z,2024-09-08T00:00:00Z,14.9,14.8,,Weak Sell,240,-124,-3.41974627688913,46,LONG,100,SIGNAL
25,BIME,RSI Strategy,2024-09-09T00:00:00Z,2024-09-11T00:00:00Z,0.09,0.1,,Weak Sell,38614,286.14,8.11684811900399,2,LONG,100,SIGNAL
26,IRMC,RSI Strategy,2024-08-12T00:00:00Z,2024-09-16T00:00:00Z,3.35,3.5,,Sell,1062,59.3,1.64370651661724,35,LONG,100,SIGNAL
27,HISH,RSI Strategy,2024-09-04T00:00:00Z,2024-09-18T00:00:00Z,9.19,9.6,,Sell,527,116.07,2.37210129303738,14,LONG,100,SIGNAL
28,NAME,RSI Strategy,2024-06-09T00:00:00Z,2024-09-18T00:00:00Z,0.65,0.6175,,STOP_LOSS,7019,-328.1175,-7.11388988259781,101,LONG,100,STOP_LOSS
29,IKHC,RSI Strategy,2024-09-05T00:00:00Z,2024-09-25T00:00:00Z,2.2,2.5,,Weak Sell,2152,545.6,11.40372878521863,20,LONG,100,SIGNAL
30,BMFI,RSI Strategy,2024-08-01T00:00:00Z,2024-09-26T00:00:00Z,0.18,0.171,,STOP_LOSS,18651,-267.859,-7.8616040244425,56,LONG,100,STOP_LOSS
31,HNTI,RSI Strategy,2024-09-04T00:00:00Z,2024-10-01T00:00:00Z,9.9,9.405,,STOP_LOSS,605,-399.475,-6.61437205066645,27,LONG,100,STOP_LOSS
32,BIME,RSI Strategy,2024-09-12T00:00:00Z,2024-10-10T00:00:00Z,0.09,0.0855,,STOP_LOSS,38804,-274.618,-7.75240235323344,28,LONG,100,STOP_LOSS
33,IBSD,RSI Strategy,2024-09-25T00:00:00Z,2024-10-14T00:00:00Z,3.88,4.28,,Weak Sell,1315,426,8.268312565506,19,LONG,100,SIGNAL
34,AISP,RSI Strategy,2024-08-15T00:00:00Z,2024-10-16T00:00:00Z,9.3,8.835,,STOP_LOSS,393,-282.745,-7.63164997705741,62,LONG,100,STOP_LOSS
35,NAME,RSI Strategy,2024-09-25T00:00:00Z,2024-10-17T00:00:00Z,0.6,0.7,,Weak Sell,9254,825.4,14.73297158360703,22,LONG,100,SIGNAL
36,HMAN,RSI Strategy,2024-07-24T00:00:00Z,2024-10-22T00:00:00Z,42,41,,Hold,111,-211,-4.47792869269949,90,LONG,100,TIME_LIMIT
37,BELF,RSI Strategy,2024-09-25T00:00:00Z,2024-10-22T00:00:00Z,0.46,0.46,,Sell,7650,-100,-2.80190529560101,27,LONG,100,SIGNAL
38,IHFI,RSI Strategy,2024-09-29T00:00:00Z,2024-10-27T00:00:00Z,1.5,1.425,,STOP_LOSS,2328,-274.6,-7.75268210050819,28,LONG,100,STOP_LOSS
39,BCOI,RSI Strategy,2024-10-23T00:00:00Z,2024-10-28T00:00:00Z,0.89,0.9,,Sell,5841,-41.59,-0.79241839081336,5,LONG,100,SIGNAL
40,TZNI,RSI Strategy,2024-09-16T00:00:00Z,2024-10-28T00:00:00Z,2.42,2.4,,Strong Sell,1446,-128.92,-3.63224504975601,42,LONG,100,SIGNAL
41,HNTI,RSI Strategy,2024-10-16T00:00:00Z,2024-10-29T00:00:00Z,9.25,10,,Sell,510,282.5,5.9255374934452,13,LONG,100,SIGNAL
42,SMRI,RSI Strategy,2024-10-10T00:00:00Z,2024-10-31T00:00:00Z,5.25,6.1,,Weak Sell,684,481.4,13.22164240593244,21,LONG,100,SIGNAL
43,HKAR,RSI Strategy,2024-10-28T00:00:00Z,2024-11-03T00:00:00Z,0.46,0.529,,TAKE_PROFIT,7912,445.928,12.08634185476702,6,LONG,100,TAKE_PROFIT
44,BIBI,RSI Strategy,2024-10-01T00:00:00Z,2024-11-04T00:00:00Z,0.31,0.2945,,STOP_LOSS,11674,-280.947,-7.65744329424848,34,LONG,100,STOP_LOSS
45,TASC,RSI Strategy,2024-10-28T00:00:00Z,2024-11-05T00:00:00Z,10.84,11.9,,Weak Sell,357,278.42,7.10276845209547,8,LONG,100,SIGNAL
46,IBSD,RSI Strategy,2024-10-31T00:00:00Z,2024-11-11T00:00:00Z,4.14,4.2,,Weak Sell,867,-47.98,-1.31835642334683,11,LONG,100,SIGNAL
47,BMNS,RSI Strategy,2024-11-05T00:00:00Z,2024-11-12T00:00:00Z,1.91,1.95,,Weak Sell,2019,-19.24,-0.49253895640109,7,LONG,100,SIGNAL
48,BGUC,RSI Strategy,2024-10-30T00:00:00Z,2024-11-13T00:00:00Z,0.32,0.304,,STOP_LOSS,11128,-278.048,-7.70011298934355,14,LONG,100,STOP_LOSS
49,IMOS,RSI Strategy,2024-11-05T00:00:00Z,2024-11-17T00:00:00Z,8.6,8.6,,Weak Sell,421,-100,-2.72435024246717,12,LONG,100,SIGNAL
50,BROI,RSI Strategy,2024-10-20T00:00:00Z,2024-11-24T00:00:00Z,0.87,0.86,,Weak Sell,4186,-141.86,-3.84254920337395,35,LONG,100,SIGNAL
51,BSUC,RSI Strategy,2024-11-13T00:00:00Z,2024-11-24T00:00:00Z,0.08,0.09,,Weak Sell,44271,342.71,9.54177432287954,11,LONG,100,SIGNAL
52,NGIR,RSI Strategy,2024-10-23T00:00:00Z,2024-11-27T00:00:00Z,0.35,0.39,,Weak Sell,10241,309.64,8.51981784913396,35,LONG,100,SIGNAL
53,BIBI,RSI Strategy,2024-11-11T00:00:00Z,2024-11-28T00:00:00Z,0.28,0.266,,STOP_LOSS,17225,-341.15,-7.00082084957931,17,LONG,100,STOP_LOSS
54,TZNI,RSI Strategy,2024-11-13T00:00:00Z,2024-12-02T00:00:00Z,2.37,2.4,,Weak Sell,1501,-54.97,-1.52382483637664,19,LONG,100,SIGNAL
