Trade_ID,Ticker,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Signal,Exit_Signal,Quantity,PnL,PnL_Percent,Holding_Days,Trade_Type,Commission,Exit_Reason
1,BMNS,RSI Strategy2,2024-06-09T00:00:00Z,2024-07-02T00:00:00Z,1.31,1.33,,Weak Sell,5496,9.92,0.13683211582177,23,LONG,100,SIGNAL
2,IBSD,RSI Strategy2,2024-06-09T00:00:00Z,2024-07-09T00:00:00Z,4.16,4.25,,Weak Sell,1214,9.26,0.18156008344705,30,LONG,100,SIGNAL
3,BCOI,RSI Strategy2,2024-06-09T00:00:00Z,2024-07-09T00:00:00Z,0.87,0.8178,,STOP_LOSS,4388,-329.0536,-8.50804124564325,30,LONG,100,STOP_LOSS
4,BIIB,RSI Strategy2,2024-06-09T00:00:00Z,2024-07-14T00:00:00Z,1.07,1.16,,Weak Sell,7295,556.55,7.08470973121257,35,LONG,100,SIGNAL
5,BROI,RSI Strategy2,2024-07-15T00:00:00Z,2024-07-22T00:00:00Z,0.85,0.952,,TAKE_PROFIT,5052,415.304,9.55996501081902,7,LONG,100,TAKE_PROFIT
6,BGUC,RSI Strategy2,2024-07-09T00:00:00Z,2024-07-23T00:00:00Z,0.35,0.34,,Weak Sell,12260,-222.6,-5.12785072563925,14,LONG,100,SIGNAL
7,BIBI,RSI Strategy2,2024-07-09T00:00:00Z,2024-07-31T00:00:00Z,0.36,0.3384,,STOP_LOSS,11052,-338.7232,-8.40771262336424,22,LONG,100,STOP_LOSS
8,BEFI,RSI Strategy2,2024-07-02T00:00:00Z,2024-08-04T00:00:00Z,0.23,0.2162,,STOP_LOSS,23549,-424.9762,-7.77451900473266,33,LONG,100,STOP_LOSS
9,SNUC,RSI Strategy2,2024-06-09T00:00:00Z,2024-08-08T00:00:00Z,0.65,0.68,,Hold,6335,90.05,2.16063823405914,60,LONG,100,TIME_LIMIT
10,IFCM,RSI Strategy2,2024-06-09T00:00:00Z,2024-08-08T00:00:00Z,3.5,3.49,,Hold,1678,-116.78,-1.97163599527267,60,LONG,100,TIME_LIMIT
11,NAME,RSI Strategy2,2024-06-09T00:00:00Z,2024-08-11T00:00:00Z,0.65,0.62,,Hold,8379,-351.37,-6.39278794108818,63,LONG,100,TIME_LIMIT
12,HKAR,RSI Strategy2,2024-06-09T00:00:00Z,2024-08-12T00:00:00Z,0.8,0.752,,STOP_LOSS,13912,-767.776,-6.86765179433969,64,LONG,100,STOP_LOSS
13,BGUC,RSI Strategy2,2024-08-08T00:00:00Z,2024-09-01T00:00:00Z,0.32,0.3008,,STOP_LOSS,12094,-332.2048,-8.4744392971572,24,LONG,100,STOP_LOSS
