Trade_ID,Ticker,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Signal,Exit_Signal,Quantity,PnL,PnL_Percent,Holding_Days,Trade_Type,Commission,Exit_Reason
1,IFCM,Rolling Std10 Strategy,2024-06-09T00:00:00Z,2024-06-12T00:00:00Z,3.5,3.59,,Sell,1513,36.17,0.67664390608923,3,LONG,100,SIGNAL
2,BMNS,Rolling Std10 Strategy,2024-06-09T00:00:00Z,2024-06-12T00:00:00Z,1.31,1.34,,Weak Sell,4580,37.4,0.61820225461999,3,LONG,100,SIGNAL
3,TASC,Rolling Std10 Strategy,2024-06-09T00:00:00Z,2024-06-24T00:00:00Z,9.12,9.3,,Weak Sell,545,-1.9,-0.03784558999283,15,LONG,100,SIGNAL
4,AIRP,Rolling Std10 Strategy,2024-06-09T00:00:00Z,2024-06-26T00:00:00Z,20.5,23,,Weak Sell,166,315,9.12250217202433,17,LONG,100,SIGNAL
5,IBSD,Rolling Std10 Strategy,2024-06-09T00:00:00Z,2024-07-08T00:00:00Z,4.16,4.15,,Weak Sell,1055,-110.55,-2.49053798323871,29,LONG,100,SIGNAL
6,BCOI,Rolling Std10 Strategy,2024-06-12T00:00:00Z,2024-07-08T00:00:00Z,0.86,0.817,,STOP_LOSS,4108,-276.644,-7.7212745054258,26,LONG,100,STOP_LOSS
7,IMAP,Rolling Std10 Strategy,2024-06-12T00:00:00Z,2024-07-09T00:00:00Z,1.85,1.98,,Strong Sell,2655,245.15,4.94079709779816,27,LONG,100,SIGNAL
8,SMRI,Rolling Std10 Strategy,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,5.65,6.45,,Weak Sell,664,431.2,11.34259259259259,1,LONG,100,SIGNAL
9,BROI,Rolling Std10 Strategy,2024-06-09T00:00:00Z,2024-07-15T00:00:00Z,0.92,0.874,,STOP_LOSS,4211,-293.706,-7.48463349744656,36,LONG,100,STOP_LOSS
10,IRMC,Rolling Std10 Strategy,2024-07-08T00:00:00Z,2024-07-16T00:00:00Z,3.45,3.5,,Weak Sell,1137,-43.15,-1.08617673341472,8,LONG,100,SIGNAL
11,AIPM,Rolling Std10 Strategy,2024-07-15T00:00:00Z,2024-07-24T00:00:00Z,5.25,5.5,,Weak Sell,717,79.25,2.07773481025103,9,LONG,100,SIGNAL
12,BEFI,Rolling Std10 Strategy,2024-07-09T00:00:00Z,2024-07-28T00:00:00Z,0.23,0.24,,Weak Sell,17379,73.79,1.82324933224945,19,LONG,100,SIGNAL
13,SKTA,Rolling Std10 Strategy,2024-06-26T00:00:00Z,2024-08-05T00:00:00Z,4.3,4.3,,Weak Sell,857,-100,-2.67730448983963,40,LONG,100,SIGNAL
14,IMOS,Rolling Std10 Strategy,2024-06-09T00:00:00Z,2024-08-05T00:00:00Z,9.8,9.31,,STOP_LOSS,420,-305.8,-7.34037445991359,57,LONG,100,STOP_LOSS
15,IKLV,Rolling Std10 Strategy,2024-07-16T00:00:00Z,2024-08-06T00:00:00Z,1.6,1.62,,Sell,2359,-52.82,-1.38113168078653,21,LONG,100,SIGNAL
16,BMFI,Rolling Std10 Strategy,2024-06-24T00:00:00Z,2024-08-07T00:00:00Z,0.19,0.1805,,STOP_LOSS,19406,-284.357,-7.6089469487362,44,LONG,100,STOP_LOSS
17,BBOB,Rolling Std10 Strategy,2024-08-05T00:00:00Z,2024-08-08T00:00:00Z,2.9,3.02,,Weak Sell,1282,53.84,1.42895058124104,3,LONG,100,SIGNAL
18,BNOI,Rolling Std10 Strategy,2024-07-10T00:00:00Z,2024-08-22T00:00:00Z,2.7,2.565,,STOP_LOSS,1400,-289,-7.54569190600522,43,LONG,100,STOP_LOSS
19,SMRI,Rolling Std10 Strategy,2024-07-28T00:00:00Z,2024-08-29T00:00:00Z,5.99,5.63,,Weak Sell,621,-323.56,-8.58297146525403,32,LONG,100,SIGNAL
20,BGUC,Rolling Std10 Strategy,2024-08-08T00:00:00Z,2024-09-01T00:00:00Z,0.32,0.31,,Weak Sell,11358,-213.58,-5.79662157761035,24,LONG,100,SIGNAL
21,BIBI,Rolling Std10 Strategy,2024-07-24T00:00:00Z,2024-09-01T00:00:00Z,0.34,0.34,,Weak Sell,14820,-100,-1.96509982707122,39,LONG,100,SIGNAL
22,BMNS,Rolling Std10 Strategy,2024-08-05T00:00:00Z,2024-09-01T00:00:00Z,1.37,1.37,,Weak Sell,2710,-100,-2.6576660376857,27,LONG,100,SIGNAL
23,IITC,Rolling Std10 Strategy,2024-08-07T00:00:00Z,2024-09-02T00:00:00Z,14.5,14.8,,Weak Sell,250,-25,-0.68027210884354,26,LONG,100,SIGNAL
24,SBPT,Rolling Std10 Strategy,2024-09-01T00:00:00Z,2024-09-04T00:00:00Z,46.25,47.5,,Weak Sell,84,5,0.12706480304956,3,LONG,100,SIGNAL
25,IMOS,Rolling Std10 Strategy,2024-09-02T00:00:00Z,2024-09-05T00:00:00Z,7.73,9.2,,Weak Sell,837,1130.39,17.33724334778628,3,LONG,100,SIGNAL
26,IKHC,Rolling Std10 Strategy,2024-06-09T00:00:00Z,2024-09-05T00:00:00Z,2.25,2.2,,Weak Sell,2077,-203.85,-4.31588418991161,88,LONG,100,SIGNAL
27,AIPM,Rolling Std10 Strategy,2024-08-22T00:00:00Z,2024-09-09T00:00:00Z,5,5.26,,Sell,725,88.5,2.40816326530612,18,LONG,100,SIGNAL
28,BIME,Rolling Std10 Strategy,2024-08-06T00:00:00Z,2024-09-10T00:00:00Z,0.09,0.1,,Strong Sell,55099,450.99,9.00375530804107,35,LONG,100,SIGNAL
29,IKHC,Rolling Std10 Strategy,2024-09-11T00:00:00Z,2024-09-12T00:00:00Z,2,2.3,,Sell,1877,463.1,12.17402733964248,1,LONG,100,SIGNAL
30,HISH,Rolling Std10 Strategy,2024-09-09T00:00:00Z,2024-09-17T00:00:00Z,9.15,9.3,,Sell,543,-18.55,-0.36963604300133,8,LONG,100,SIGNAL
31,HBAY,Rolling Std10 Strategy,2024-06-09T00:00:00Z,2024-09-18T00:00:00Z,110,110,,Sell,33,-100,-2.71739130434783,101,LONG,100,SIGNAL
32,SMRI,Rolling Std10 Strategy,2024-09-17T00:00:00Z,2024-09-25T00:00:00Z,5.5,5.75,,Weak Sell,700,75,1.92307692307692,8,LONG,100,SIGNAL
33,BELF,Rolling Std10 Strategy,2024-09-04T00:00:00Z,2024-09-25T00:00:00Z,0.4,0.46,,Weak Sell,8791,427.46,11.98575594436967,21,LONG,100,SIGNAL
34,IFCM,Rolling Std10 Strategy,2024-09-18T00:00:00Z,2024-09-26T00:00:00Z,3.36,3.49,,Weak Sell,1140,48.2,1.2421399855685,8,LONG,100,SIGNAL
35,SMRI,Rolling Std10 Strategy,2024-09-25T00:00:00Z,2024-09-29T00:00:00Z,5.4,5.75,,Weak Sell,710,148.5,3.82337796086509,4,LONG,100,SIGNAL
36,AISP,Rolling Std10 Strategy,2024-09-05T00:00:00Z,2024-10-10T00:00:00Z,9.28,8.816,,STOP_LOSS,401,-286.064,-7.5853291190259,35,LONG,100,STOP_LOSS
37,HMAN,Rolling Std10 Strategy,2024-09-01T00:00:00Z,2024-10-14T00:00:00Z,40,41,,Strong Sell,90,-10,-0.27397260273973,43,LONG,100,SIGNAL
38,BIME,Rolling Std10 Strategy,2024-09-29T00:00:00Z,2024-10-15T00:00:00Z,0.07,0.08,,Strong Sell,73179,631.79,12.21433225133542,16,LONG,100,SIGNAL
39,NGIR,Rolling Std10 Strategy,2024-09-12T00:00:00Z,2024-10-22T00:00:00Z,0.36,0.39,,Weak Sell,10508,215.24,5.61562062991797,40,LONG,100,SIGNAL
40,NDSA,Rolling Std10 Strategy,2024-10-16T00:00:00Z,2024-10-24T00:00:00Z,0.75,0.78,,Weak Sell,5037,51.11,1.33524916726536,8,LONG,100,SIGNAL
41,BNOI,Rolling Std10 Strategy,2024-10-22T00:00:00Z,2024-10-27T00:00:00Z,2.84,2.9,,Weak Sell,1335,-19.9,-0.51804029780809,5,LONG,100,SIGNAL
42,IHFI,Rolling Std10 Strategy,2024-09-29T00:00:00Z,2024-10-27T00:00:00Z,1.5,1.56,,Sell,2726,63.56,1.53563662720464,28,LONG,100,SIGNAL
43,HKAR,Rolling Std10 Strategy,2024-06-09T00:00:00Z,2024-10-28T00:00:00Z,0.8,0.46,,Weak Sell,7046,-2495.64,-43.88478581979321,141,LONG,100,SIGNAL
44,TASC,Rolling Std10 Strategy,2024-10-27T00:00:00Z,2024-10-30T00:00:00Z,10.72,11.25,,Weak Sell,355,88.15,2.2862848843241,3,LONG,100,SIGNAL
45,IBSD,Rolling Std10 Strategy,2024-10-27T00:00:00Z,2024-10-30T00:00:00Z,4.15,4.2,,Weak Sell,913,-54.35,-1.41575170293961,3,LONG,100,SIGNAL
46,BIBI,Rolling Std10 Strategy,2024-10-10T00:00:00Z,2024-11-04T00:00:00Z,0.31,0.2945,,STOP_LOSS,12066,-287.023,-7.57224716788991,25,LONG,100,STOP_LOSS
47,BMFI,Rolling Std10 Strategy,2024-10-14T00:00:00Z,2024-11-05T00:00:00Z,0.16,0.17,,Sell,31097,210.97,4.19797354303634,22,LONG,100,SIGNAL
48,BROI,Rolling Std10 Strategy,2024-10-24T00:00:00Z,2024-11-07T00:00:00Z,0.87,0.8265,,STOP_LOSS,4360,-289.66,-7.53694837635304,14,LONG,100,STOP_LOSS
49,IIDP,Rolling Std10 Strategy,2024-11-07T00:00:00Z,2024-11-10T00:00:00Z,4.5,4.99,,Weak Sell,849,316.01,8.16457821986823,3,LONG,100,SIGNAL
50,TZNI,Rolling Std10 Strategy,2024-09-02T00:00:00Z,2024-11-10T00:00:00Z,2.44,2.4,,Weak Sell,1431,-157.24,-4.43975107577281,69,LONG,100,SIGNAL
51,IBSD,Rolling Std10 Strategy,2024-11-06T00:00:00Z,2024-11-11T00:00:00Z,4.12,4.2,,Weak Sell,933,-25.36,-0.6512650361072,5,LONG,100,SIGNAL
52,BMNS,Rolling Std10 Strategy,2024-10-28T00:00:00Z,2024-11-11T00:00:00Z,1.92,1.92,,Weak Sell,1965,-100,-2.61588364549545,14,LONG,100,SIGNAL
53,IHFI,Rolling Std10 Strategy,2024-11-10T00:00:00Z,2024-11-12T00:00:00Z,1.45,1.49,,Weak Sell,2650,6,0.15414258188825,2,LONG,100,SIGNAL
54,BINT,Rolling Std10 Strategy,2024-11-12T00:00:00Z,2024-11-14T00:00:00Z,0.23,0.29,,Weak Sell,25971,1458.26,24.21019602113781,2,LONG,100,SIGNAL
55,NDSA,Rolling Std10 Strategy,2024-11-05T00:00:00Z,2024-11-17T00:00:00Z,0.73,0.77,,Weak Sell,5150,106,2.78251739073369,12,LONG,100,SIGNAL
56,TZNI,Rolling Std10 Strategy,2024-11-14T00:00:00Z,2024-11-17T00:00:00Z,2.37,2.4,,Weak Sell,1500,-55,-1.52565880721221,3,LONG,100,SIGNAL
57,BIIB,Rolling Std10 Strategy,2024-11-10T00:00:00Z,2024-11-18T00:00:00Z,1.5,1.53,,Weak Sell,3389,1.67,0.03253141131781,8,LONG,100,SIGNAL
58,BGUC,Rolling Std10 Strategy,2024-10-30T00:00:00Z,2024-11-18T00:00:00Z,0.32,0.304,,STOP_LOSS,11817,-289.072,-7.54473513874679,19,LONG,100,STOP_LOSS
59,IMOS,Rolling Std10 Strategy,2024-11-19T00:00:00Z,2024-11-24T00:00:00Z,8.4,8.65,,Weak Sell,709,77.25,1.28629945384308,5,LONG,100,SIGNAL
60,BIIB,Rolling Std10 Strategy,2024-11-24T00:00:00Z,2024-11-25T00:00:00Z,1.5,1.51,,Weak Sell,2385,-76.15,-2.09924190213646,1,LONG,100,SIGNAL
61,IKLV,Rolling Std10 Strategy,2024-11-17T00:00:00Z,2024-11-28T00:00:00Z,3.08,2.926,,STOP_LOSS,1230,-289.42,-7.54012088370154,11,LONG,100,STOP_LOSS
62,BASH,Rolling Std10 Strategy,2024-11-12T00:00:00Z,2024-12-02T00:00:00Z,0.29,0.2755,,STOP_LOSS,19865,-388.0425,-6.67789566070368,20,LONG,100,STOP_LOSS
63,TASC,Rolling Std10 Strategy,2024-11-28T00:00:00Z,2024-12-05T00:00:00Z,12.1,12.3,,Weak Sell,289,-42.2,-1.18977134962925,7,LONG,100,SIGNAL
64,AISP,Rolling Std10 Strategy,2024-10-30T00:00:00Z,2024-12-09T00:00:00Z,8.9,8.455,,STOP_LOSS,424,-288.68,-7.54995292394602,40,LONG,100,STOP_LOSS
65,BIIB,Rolling Std10 Strategy,2024-12-02T00:00:00Z,2024-12-09T00:00:00Z,1.44,1.52,,Weak Sell,2507,100.56,2.74748092937859,7,LONG,100,SIGNAL
66,BBOB,Rolling Std10 Strategy,2024-11-18T00:00:00Z,2024-12-15T00:00:00Z,4.24,4.15,,Weak Sell,844,-175.96,-4.84930661198933,27,LONG,100,SIGNAL
67,BROI,Rolling Std10 Strategy,2024-12-11T00:00:00Z,2024-12-15T00:00:00Z,0.82,0.85,,Weak Sell,5835,75.05,1.55231968891555,4,LONG,100,SIGNAL
