Code,Company,Open,High,Low,AvgPrice,PrevAvg,Close,PrevClose,ChangePct,Trades,Volume,Value
AAHP,Al-Ahlyia for Agricultural Production,2.310000,2.310000,2.310000,2.310000,0.000000,2.310000,0.000000,0.000000,3,364495,841983.450000
AIPM,Iraqi Agricultural Products Marketing Meat,5.000000,5.000000,5.000000,5.000000,0.000000,5.000000,0.000000,0.000000,3,339695,1698475.000000
AIRP,Iraqi Agricultural Products,15.000000,15.000000,15.000000,15.000000,0.000000,15.000000,0.000000,0.000000,1,7845,117675.000000
AMAP,Modern for Animal Production ,0.500000,0.500000,0.500000,0.500000,0.000000,0.500000,0.000000,0.000000,3,20370,10185.000000
AMEF,Middle East Producing & Marketing - Fish,7.450000,7.450000,7.450000,7.450000,0.000000,7.450000,0.000000,0.000000,1,3502,26089.900000
BAIB,Asia Al Iraq Islamic Bank for Investment,0.900000,0.900000,0.900000,0.900000,0.000000,0.900000,0.000000,0.000000,2,153000000,137700000.000000
BELF,Elaf Islamic Bank,0.380000,0.380000,0.380000,0.380000,0.000000,0.380000,0.000000,0.000000,1,57000,21660.000000
BIBI,Investment Bank of Iraq,0.230000,0.230000,0.230000,0.230000,0.000000,0.230000,0.000000,0.000000,1,230000,52900.000000
BIME,Iraqi Middle East Investment Bank,0.070000,0.070000,0.070000,0.070000,0.000000,0.070000,0.000000,0.000000,2,17500,1225.000000
BINT,International Islamic Bank,0.280000,0.280000,0.280000,0.280000,0.000000,0.280000,0.000000,0.000000,1,560,156.800000
BLAD,Al-Ataa Islamic Bank,0.080000,0.080000,0.080000,0.080000,0.000000,0.080000,0.000000,0.000000,1,98,7.840000
BMFI,Mousil Bank For Development& Investment,0.170000,0.170000,0.170000,0.170000,0.000000,0.170000,0.000000,0.000000,2,1700000,289000.000000
BNAI,National Islamic Bank,0.550000,0.550000,0.550000,0.550000,0.000000,0.550000,0.000000,0.000000,1,275000,151250.000000
BTIB,Al Taif Islamic Bank for Investment & Fi,0.900000,0.900000,0.900000,0.900000,0.000000,0.900000,0.000000,0.000000,1,33797,30417.300000
BUOI,Union Bank Of Iraq,0.200000,0.200000,0.200000,0.200000,0.000000,0.200000,0.000000,0.000000,1,67,13.400000
HASH,Ashour Hotel,25.200000,25.200000,25.200000,25.200000,0.000000,25.200000,0.000000,0.000000,1,19757,497876.400000
HBAY,Babylon Hotel,98.000000,98.000000,98.000000,98.000000,0.000000,98.000000,0.000000,0.000000,1,68600,6722800.000000
HISH,Ishtar Hotels,9.220000,9.500000,9.220000,9.360000,0.000000,9.500000,0.000000,0.000000,18,3238092,30761874.000000
HKAR," Rehab Karbala",0.700000,0.700000,0.700000,0.700000,0.000000,0.700000,0.000000,0.000000,1,788,551.600000
HMAN,Al-Mansour Hotels,43.000000,43.000000,43.000000,43.000000,0.000000,43.000000,0.000000,0.000000,3,34916,1501388.000000
HNTI,National company for Tourisim Investment,11.250000,11.250000,11.250000,11.250000,0.000000,11.250000,0.000000,0.000000,2,3396251,38207823.750000
HTVM,Tourist Village of Mosul dam,7.000000,7.000000,7.000000,7.000000,0.000000,7.000000,0.000000,0.000000,2,10017,70119.000000
IBPM,Baghdad for Packing Materials,2.900000,2.900000,2.900000,2.900000,0.000000,2.900000,0.000000,0.000000,1,39150,113535.000000
IFCM,Fallujah for Construction Materials,2.800000,2.800000,2.800000,2.800000,0.000000,2.800000,0.000000,0.000000,2,700000,1960000.000000
IIDP,Iraqi Date Processing and Marketing,2.800000,2.850000,2.800000,2.825000,0.000000,2.850000,0.000000,0.000000,7,1870658,5331375.300000
IIEW,Iraqi Engineering Works,4.200000,4.200000,4.200000,4.200000,0.000000,4.200000,0.000000,0.000000,3,180659,758767.800000
IITC,Iraqi For Tufted Carpets,16.550000,16.550000,16.550000,16.550000,0.000000,16.550000,0.000000,0.000000,1,13108,216937.400000
IKHC,Al -Khazer for Construction Materials,1.280000,1.280000,1.280000,1.280000,0.000000,1.280000,0.000000,0.000000,2,128000,163840.000000
IKLV,AL- Kindi of Veterinary Vaccines Drugs,2.400000,2.400000,2.400000,2.400000,0.000000,2.400000,0.000000,0.000000,1,1200000,2880000.000000
IMIB,Metallic & Bicycles Industries,1.760000,1.760000,1.760000,1.760000,0.000000,1.760000,0.000000,0.000000,1,40524,71322.240000
INCP,National Chemical &Plastic,1.750000,1.750000,1.750000,1.750000,0.000000,1.750000,0.000000,0.000000,2,34111,59694.250000
IRMC,Ready Made Clothes,2.750000,3.000000,2.750000,2.840000,0.000000,2.860000,0.000000,0.000000,9,19539532,55883061.520000
NDSA,Dar Al-Salam for Insurance,0.650000,0.650000,0.650000,0.650000,0.000000,0.650000,0.000000,0.000000,2,2566827,1668437.550000
NGIR,Gulf Insurance and Reinsurance,0.700000,0.700000,0.680000,0.690000,0.000000,0.680000,0.000000,0.000000,2,245217,166747.560000
SAEI,Al-Ameen Estate Investment,1.700000,2.200000,1.700000,1.900000,0.000000,2.000000,0.000000,0.000000,7,1993634,3987268.000000
SMOF,Al-Mosul for funfairs,7.700000,7.700000,7.700000,7.700000,0.000000,7.700000,0.000000,0.000000,3,4160649,32036997.300000
SNUC,AL-Nukhba for General Construction,0.740000,0.740000,0.740000,0.740000,0.000000,0.740000,0.000000,0.000000,1,139668,103354.320000
VAMF,Al-Ameen Financial Investment,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,3,100000,100000.000000
VWIF,AL-Wiaam for Financial Investment,0.400000,0.400000,0.400000,0.400000,0.000000,0.400000,0.000000,0.000000,1,8000,3200.000000
VZAF,Al-Zawraa for Finanical Investment,0.180000,0.180000,0.180000,0.180000,0.000000,0.180000,0.000000,0.000000,1,4868,876.240000
