Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-07,0.84,0.84,0.84,0.84,,,19302,16214,2
2012-02-09,0.83,0.83,0.83,0.83,-0.01,-1.19,9651,8010,1
2012-02-14,0.85,0.83,0.85,0.83,0.02,2.41,960000,806000,2
2012-02-21,0.85,0.85,0.85,0.85,0.0,0.0,38598,32808,1
2012-02-23,0.87,0.87,0.87,0.87,0.02,2.35,551698,479977,2
2012-03-04,0.93,0.94,0.94,0.93,0.06,6.9,1000000,935000,2
2012-03-05,0.85,0.94,0.94,0.85,-0.08,-8.6,4640653,3989555,5
2012-03-06,0.92,0.92,0.92,0.92,0.07,8.24,38597,35509,1
2012-03-08,0.88,0.88,0.88,0.88,-0.04,-4.35,1000000,880000,1
2012-04-18,0.88,0.88,0.88,0.88,0.0,0.0,8042,7077,1
2012-05-08,0.85,0.88,0.88,0.85,-0.03,-3.41,19302,16572,3
2012-05-13,0.85,0.85,0.85,0.85,0.0,0.0,168019,142816,1
2012-06-25,0.85,0.85,0.85,0.85,0.0,0.0,4824,4100,1
2012-07-15,0.85,0.85,0.85,0.85,0.0,0.0,31933,27143,1
2012-08-28,0.8,0.8,0.8,0.8,-0.05,-5.88,187404,149923,4
2012-09-30,0.82,0.82,0.82,0.82,0.02,2.5,295886,242627,2
2012-10-03,0.89,0.85,0.9,0.85,0.07,8.54,4371589,3805851,4
2012-10-04,0.95,0.95,0.95,0.95,0.06,6.74,1000000,950000,1
2012-11-26,0.95,0.95,0.95,0.95,0.0,0.0,5792,5502,2
2012-11-29,0.95,0.95,0.95,0.95,0.0,0.0,57500,54625,1
2013-01-16,0.95,0.95,0.95,0.95,0.0,0.0,5500,5225,1
2013-02-14,1.0,1.0,1.0,1.0,0.05,5.26,250000,250000,1
2013-04-28,0.94,0.94,0.94,0.94,-0.06,-6.0,239081,224736,3
2013-06-11,1.0,1.0,1.0,1.0,0.06,6.38,334000,334000,1
2013-06-30,0.85,0.85,0.85,0.85,-0.15,-15.0,400000,340000,2
2013-07-01,0.95,0.95,0.95,0.95,0.1,11.76,3425275,3254011,6
2013-07-02,0.95,0.95,0.95,0.95,0.0,0.0,100000,95000,1
2013-07-03,0.94,0.94,0.94,0.94,-0.01,-1.05,1466000,1378040,1
2013-07-10,0.93,0.93,0.93,0.93,-0.01,-1.06,10000,9300,1
2013-07-11,0.95,0.95,0.95,0.95,0.02,2.15,2000000,1900000,1
2013-07-15,0.9,0.9,0.9,0.9,-0.05,-5.26,28949,26054,1
2013-07-16,0.9,0.9,0.9,0.9,0.0,0.0,47960,43164,1
2013-07-17,0.95,0.95,0.95,0.95,0.05,5.56,2834000,2692300,2
2013-07-30,0.96,0.96,0.96,0.96,0.01,1.05,3000000,2880000,1
2013-07-31,0.9,0.9,0.9,0.9,-0.06,-6.25,96465,86818,1
2013-08-12,0.85,0.85,0.85,0.85,-0.05,-5.56,28949,24607,1
2013-08-14,0.95,0.95,0.95,0.95,0.1,11.76,100000,95000,1
2013-08-15,0.95,0.95,0.95,0.95,0.0,0.0,200000,190000,1
