Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-01,8.0,7.8,8.0,7.8,,,4306272,33841580,21
2011-12-04,8.0,7.84,7.84,7.84,0.0,0.0,27107,212519,2
2011-12-05,7.85,7.85,7.85,7.85,-0.15,-1.88,53343,418743,1
2011-12-07,7.8,7.8,7.8,7.8,-0.05,-0.64,82708,645122,1
2011-12-08,8.0,8.0,8.0,8.0,0.2,2.56,212945,1703560,3
2011-12-11,7.65,7.65,7.65,7.65,-0.35,-4.37,100000,765000,1
2011-12-12,8.15,7.8,8.2,7.8,0.5,6.54,30100445,244305974,57
2011-12-13,8.1,8.13,8.13,8.01,-0.05,-0.61,14053831,113600646,34
2011-12-14,8.05,7.9,8.05,7.9,-0.05,-0.62,1223978,9798215,15
2011-12-15,8.0,8.1,8.1,8.0,-0.05,-0.62,2096682,16843956,7
2011-12-18,8.03,8.0,8.12,8.0,0.03,0.37,18826758,151497561,19
2011-12-19,8.2,8.0,8.35,7.85,0.17,2.12,33263090,273715004,28
2011-12-20,8.09,8.18,8.18,8.08,-0.11,-1.34,4215220,34184968,6
2012-01-03,8.09,8.0,8.12,8.0,0.0,0.0,36800970,297887893,30
2012-01-04,8.07,8.07,8.07,8.07,-0.02,-0.25,1184000,9554880,1
2012-01-05,8.05,8.02,8.05,7.81,-0.02,-0.25,16024367,126219174,18
2012-01-08,7.98,7.9,7.98,7.9,-0.07,-0.87,6790000,54181000,5
2012-01-09,7.8,7.75,7.8,7.75,-0.18,-2.26,2121452,16458998,6
2012-01-10,7.85,7.75,7.87,7.75,0.05,0.64,4425000,34757500,8
2012-01-11,7.82,7.82,7.83,7.8,-0.03,-0.38,2970000,23196600,9
2012-01-15,7.92,7.95,7.95,7.92,0.1,1.28,8022000,63594240,7
2012-01-16,7.92,7.92,7.92,7.92,0.0,0.0,900000,7128000,5
2012-01-17,7.95,7.78,7.95,7.72,0.03,0.38,18129340,142217353,21
2012-01-18,7.78,7.87,7.87,7.78,-0.17,-2.14,3500000,27275000,4
2012-01-19,7.83,7.77,7.85,7.77,0.05,0.64,21650226,169297763,11
2012-01-22,7.83,7.8,7.83,7.78,0.0,0.0,16428293,128396569,14
2012-01-23,7.88,7.88,7.88,7.88,0.05,0.64,11757115,92646066,1
2012-01-24,7.88,7.9,7.9,7.87,0.0,0.0,6010000,47339000,4
2012-01-25,8.2,7.88,8.2,7.8,0.32,4.06,17652076,141139717,18
2012-01-26,8.1,8.1,8.1,8.1,-0.1,-1.22,1938667,15703203,3
2012-01-29,8.09,8.09,8.09,8.09,-0.01,-0.12,22255760,180049098,4
2012-01-30,8.03,8.05,8.05,8.03,-0.06,-0.74,23005000,184745150,9
2012-01-31,8.0,7.9,8.0,7.75,-0.03,-0.37,51139635,405704714,18
2012-02-01,8.08,8.0,8.1,8.0,0.08,1.0,31085002,251299106,15
2012-02-02,8.08,8.08,8.08,8.08,0.0,0.0,4571178,36935118,2
2012-02-06,8.03,8.02,8.03,8.02,-0.05,-0.62,7000000,56195000,4
2012-02-07,7.99,8.0,8.0,7.98,-0.04,-0.5,4871115,38893670,4
