Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-05,0,3,3,3,0,0.00%,,40500,2
2010-01-10,0,3,3,3,0,0.00%,,64308,1
2010-01-13,0,3,3,3,0,0.00%,,108000,1
2010-02-09,0,3,3,3,0,0.00%,,54000,1
2010-02-11,0,3.05,3.5,3.05,0,0.00%,,81300,2
2010-02-28,0,3.75,3.75,3.75,0,0.00%,,33750,1
2010-03-10,0,3.75,3.75,3.75,0,0.00%,,295500,2
2010-03-11,0,3.5,3.5,3.5,0,0.00%,,82250,1
2010-03-14,0,3.56,3.56,3.56,0,0.00%,,101332,1
2010-03-24,0,3.6,3.6,3.6,0,0.00%,,21600,12
2010-03-31,0,3.6,3.6,3.6,0,0.00%,,86400,1
2010-04-08,0,3.6,3.6,3.6,0,0.00%,,10800,1
2010-04-20,0,4,4,4,0,0.00%,,8000,1
2010-04-21,0,3.95,3.95,3.95,0,0.00%,,31600,1
2010-04-22,0,4,4,4,0,0.00%,,205952,3
2010-05-23,0,4.1,4.1,4.1,0,0.00%,,211101,1
2010-05-30,0,4,4,4,0,0.00%,,12000,1
2010-06-21,0,3.75,3.75,3.75,0,0.00%,,703515,2
2010-06-27,0,3.9,3.9,3.9,0,0.00%,,975000,1
2010-06-29,0,3.9,3.9,3.9,0,0.00%,,70200,1
2010-07-13,0,4,4,4,0,0.00%,,100848,3
2010-07-15,0,4,4,4,0,0.00%,,279664,2
2010-07-18,0,4,4,4,0,0.00%,,300000,2
2010-07-19,0,4,4,4,0,0.00%,,12000,2
2010-08-15,0,3.6,3.6,3.6,0,0.00%,,27000,1
2010-08-23,0,3.75,3.85,3.6,0,0.00%,,4754000,18
2010-08-29,0,3.85,3.85,3.85,0,0.00%,,1155000,1
2010-08-31,0,4,4,4,0,0.00%,,92000,2
2010-09-01,0,4.4,4.4,4.4,0,0.00%,,44000,1
2010-09-06,0,4.1,4.1,4,0,0.00%,,2707000,6
2010-10-03,0,3.75,3.75,3.75,0,0.00%,,450000,1
2010-10-17,0,3.85,3.85,3.8,0,0.00%,,1993303,4
2010-10-26,0,4,4,4,0,0.00%,,634832,8
2010-10-27,0,4.4,4.4,4.4,0,0.00%,,895840,2
2010-11-23,0,4.01,4.01,4.01,0,0.00%,,206467,1
2010-11-25,0,4.3,4.3,4.3,0,0.00%,,43000,1
2010-12-05,0,4.3,4.3,4.3,0,0.00%,,172000,1
2010-12-14,0,4.3,4.5,4.3,0,0.00%,,1047900,6
2010-12-19,0,4.75,4.75,4.75,0,0.00%,,237500,1
2010-12-20,0,4.65,4.65,4.65,0,0.00%,,232500,1
2010-12-21,0,4.65,4.65,4.65,0,0.00%,,930000,1
2011-01-04,0,4.65,4.65,4.65,0,0.00%,,1627500,2
2011-01-05,0,4.65,4.65,4.65,0,0.00%,,55800,2
2011-01-09,0,4.71,4.71,4.71,0,0.00%,,111156,1
2011-01-12,0,4.71,4.71,4.71,0,0.00%,,830844,1
2011-01-24,0,4.85,4.85,4.85,0,0.00%,,582000,1
2011-02-01,0,4.85,4.85,4.85,0,0.00%,,48500,1
2011-02-13,0,4.85,4.85,4.85,0,0.00%,,14550,1
