Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-01,4.0,4.2,4.2,4.2,,,2278137,9568175,10
2012-02-12,4.23,4.23,4.23,4.23,0.23,5.75,351295,1485978,5
2012-02-13,4.23,4.24,4.25,4.23,0.0,0.0,2290969,9710799,6
2012-02-16,4.3,4.4,4.4,4.3,0.07,1.65,650000,2829000,6
2012-02-19,4.1,4.3,4.3,4.0,-0.2,-4.65,4251727,17132426,12
2012-02-20,4.15,4.05,4.15,4.05,0.05,1.22,3207234,13207038,18
2012-02-21,4.18,4.15,4.2,4.14,0.03,0.72,5948039,24691173,22
2012-02-22,4.1,4.11,4.13,4.1,-0.08,-1.91,3153525,12947404,17
2012-02-23,4.2,4.12,4.2,4.12,0.1,2.44,523000,2159100,4
2012-02-26,4.3,4.25,4.3,4.25,0.1,2.38,854124,3634277,16
2012-02-27,4.3,4.4,4.4,4.3,0.0,0.0,99137,428989,3
2012-02-28,4.3,4.3,4.3,4.3,0.0,0.0,10000,43000,1
2012-02-29,4.25,4.2,4.5,4.2,-0.05,-1.16,7798312,33987013,39
2012-03-01,4.2,4.15,4.2,4.15,-0.05,-1.18,164779,686659,6
2012-03-04,4.3,4.2,4.3,4.2,0.1,2.38,1070181,4535278,8
2012-03-05,4.39,4.3,4.39,4.3,0.09,2.09,34931,152564,5
2012-03-06,4.33,4.3,4.33,4.3,-0.06,-1.37,487539,2104418,8
2012-03-07,4.28,4.25,4.28,4.25,-0.05,-1.15,400000,1703000,6
2012-03-08,4.21,4.25,4.33,4.21,-0.07,-1.64,650000,2764000,8
2012-03-11,4.29,4.21,4.29,4.21,0.08,1.9,435649,1866740,11
2012-03-12,4.22,4.22,4.22,4.22,-0.07,-1.63,296000,1249120,2
2012-03-13,4.22,4.22,4.22,4.22,0.0,0.0,46826,197606,4
2012-03-14,4.1,4.11,4.11,4.1,-0.12,-2.84,5402641,22191392,21
2012-03-15,4.11,4.1,4.11,4.1,0.01,0.24,2251295,9252810,7
2012-03-19,4.15,4.15,4.15,4.15,0.04,0.97,100000,415000,2
2012-03-20,4.0,4.05,4.05,4.0,-0.15,-3.61,250000,1001250,2
2012-03-22,4.3,4.0,4.3,4.0,0.3,7.5,1013108,4055432,5
2012-04-01,4.05,4.1,4.1,4.05,-0.25,-5.81,544847,2207380,3
2012-04-02,4.01,4.05,4.05,4.0,-0.04,-0.99,1534908,6148981,12
2012-04-03,4.02,4.0,4.02,4.0,0.01,0.25,691300,2771200,12
2012-04-05,3.87,3.87,3.87,3.87,-0.15,-3.73,9218,35674,1
2012-04-08,3.8,3.87,3.91,3.8,-0.07,-1.81,2235500,8598885,17
2012-04-09,3.8,3.8,3.8,3.8,0.0,0.0,100000,380000,1
2012-04-10,4.0,3.8,4.0,3.8,0.2,5.26,1650000,6556207,17
2012-04-11,3.95,4.0,4.0,3.95,-0.05,-1.25,853291,3387559,10
2012-04-12,3.95,3.95,3.95,3.95,0.0,0.0,525000,2073750,4
2012-04-15,3.95,3.9,3.95,3.9,0.0,0.0,125000,488750,2
2012-04-16,3.95,3.95,4.0,3.95,0.0,0.0,1156295,4611180,14
2012-04-17,3.8,4.0,4.0,3.8,-0.15,-3.8,400000,1540500,3
2012-04-18,3.6,3.8,3.8,3.6,-0.2,-5.26,2829645,10342290,12
2012-04-19,3.4,3.61,3.61,3.4,-0.2,-5.56,1922082,6715995,13
2012-04-22,3.42,3.42,3.45,3.4,0.02,0.59,3050179,10450159,13
2012-04-23,3.5,3.45,3.5,3.45,0.08,2.34,680000,2378500,3
2012-04-24,3.7,3.74,3.74,3.7,0.2,5.71,225000,833500,4
2012-04-26,4.05,3.61,4.05,3.61,0.35,9.46,1965179,7562698,12
2012-04-29,3.9,3.9,4.05,3.81,-0.15,-3.7,4715179,18690244,33
2012-05-17,3.4,3.4,3.55,3.4,-0.5,-12.82,10864701,37595430,65
2012-05-20,3.25,3.45,3.48,3.25,-0.15,-4.41,3706537,12367399,12
2012-05-21,3.19,3.2,3.29,3.15,-0.06,-1.85,9300793,29693614,32
2012-05-22,3.15,3.2,3.29,3.15,-0.04,-1.25,2579054,8206973,15
2012-05-23,3.13,3.24,3.24,3.13,-0.02,-0.63,1340211,4225607,7
2012-05-24,3.1,3.1,3.1,3.1,-0.03,-0.96,250000,775000,1
2012-05-27,3.05,3.01,3.05,3.0,-0.05,-1.61,2760000,8310500,15
2012-05-28,3.1,3.1,3.2,3.1,0.05,1.64,161295,501014,4
2012-05-29,3.1,3.1,3.1,3.1,0.0,0.0,200000,620000,1
2012-05-30,3.14,3.1,3.14,3.1,0.04,1.29,2300000,7151500,11
2012-06-03,3.14,3.12,3.14,3.12,0.0,0.0,250000,783000,3
2012-06-04,3.1,3.1,3.1,3.1,-0.04,-1.27,650000,2015000,2
2012-06-06,3.0,3.0,3.0,3.0,-0.1,-3.23,250000,750000,1
2012-06-10,2.85,2.85,2.85,2.85,-0.15,-5.0,942613,2686447,9
2012-06-11,2.84,2.85,2.85,2.84,-0.01,-0.35,3058190,8715316,23
2012-06-12,2.9,2.85,2.99,2.85,0.06,2.11,1576295,4561506,8
2012-06-13,2.9,2.9,2.9,2.9,0.0,0.0,85846,248953,1
2012-06-17,2.85,2.86,2.86,2.85,-0.05,-1.72,1050000,2998500,5
2012-06-19,2.8,2.85,2.85,2.8,-0.05,-1.75,1938400,5468740,13
2012-06-21,2.8,2.8,2.8,2.8,0.0,0.0,1727,4836,1
2012-06-25,2.8,2.81,2.81,2.8,0.0,0.0,685000,1919850,7
2012-06-26,2.8,2.8,2.8,2.8,0.0,0.0,550000,1540000,2
2012-06-28,2.84,2.84,2.84,2.84,0.04,1.43,146727,416705,2
2012-07-01,2.9,2.9,2.9,2.9,0.06,2.11,100000,290000,1
2012-07-02,2.9,2.9,2.9,2.9,0.0,0.0,1010000,2929000,3
2012-07-03,2.95,2.99,2.99,2.95,0.05,1.72,800000,2364000,4
2012-07-04,2.95,2.95,2.95,2.95,0.0,0.0,2000000,5900000,2
2012-07-05,3.05,2.95,3.15,2.95,0.1,3.39,2715000,8253500,14
2012-07-08,3.0,3.0,3.0,3.0,-0.05,-1.64,300000,900000,2
2012-07-09,3.0,3.0,3.0,3.0,0.0,0.0,200000,600000,2
2012-07-10,2.92,2.95,2.95,2.92,-0.08,-2.67,1300000,3823500,10
2012-07-11,2.9,2.9,2.9,2.9,-0.02,-0.68,1090000,3161000,3
2012-07-15,2.81,2.9,2.9,2.81,-0.09,-3.1,1452789,4159088,7
2012-07-16,2.9,2.82,2.9,2.82,0.09,3.2,633171,1804253,6
2012-07-17,2.83,2.85,2.85,2.83,-0.07,-2.41,281622,800382,7
2012-07-18,2.85,2.85,2.85,2.85,0.02,0.71,23512,67009,1
