Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2012-01-15,1.03,1.05,1.05,1.0,,,44456227,45105031,47
2012-01-16,1.0,1.03,1.03,1.0,-0.03,-2.91,43689567,44113567,25
2012-01-17,0.98,1.0,1.0,0.98,-0.02,-2.0,6694963,6634064,10
2012-01-18,1.0,0.99,1.0,0.99,0.02,2.04,72500000,71826667,7
2012-01-19,0.99,0.99,1.0,0.99,-0.01,-1.0,25285804,25033996,12
2012-01-22,1.0,1.0,1.0,0.99,0.01,1.01,4882493,4840001,6
2012-01-23,0.99,0.99,0.99,0.97,-0.01,-1.0,3500840,3425832,4
2012-01-25,0.99,0.99,0.99,0.99,0.0,0.0,250000,247500,1
2012-01-30,0.92,0.95,0.95,0.92,-0.07,-7.07,6661450,6242763,5
2012-01-31,0.98,0.99,1.0,0.98,0.06,6.52,1450000,1436000,3
2012-02-01,0.97,0.97,0.97,0.97,-0.01,-1.02,5200000,5044000,4
2012-02-02,0.96,0.96,0.97,0.96,-0.01,-1.03,15000000,14410000,14
2012-02-06,0.96,0.96,0.96,0.96,0.0,0.0,11027100,10586016,12
2012-02-07,0.98,0.99,0.99,0.98,0.02,2.08,17124580,16928334,6
2012-02-08,0.98,0.96,0.98,0.96,0.0,0.0,7873740,7676265,5
2012-02-09,0.98,0.96,0.98,0.96,0.0,0.0,1106767,1082496,2
2012-02-12,0.97,0.97,0.97,0.97,-0.01,-1.02,4724580,4582843,10
2012-02-13,0.97,0.96,0.97,0.96,0.0,0.0,1775000,1714000,2
2012-02-16,0.98,0.98,0.98,0.98,0.01,1.03,5000000,4900000,1
2012-02-20,0.97,0.97,0.97,0.97,-0.01,-1.02,1000000,970000,2
2012-02-21,0.97,0.97,0.97,0.97,0.0,0.0,1500000,1455000,1
2012-02-26,1.0,0.99,1.0,0.99,0.03,3.09,3960000,3921400,8
2012-02-27,1.0,1.0,1.0,1.0,0.0,0.0,2250000,2250000,3
2012-02-28,1.01,1.0,1.01,1.0,0.01,1.0,12619780,12624780,16
2012-02-29,1.02,1.02,1.02,1.02,0.01,0.99,287709,293463,2
2012-03-01,1.04,1.02,1.05,1.02,0.02,1.96,11886032,12281596,11
2012-03-04,1.07,1.03,1.07,1.02,0.03,2.88,25936347,26936929,27
2012-03-05,1.08,1.08,1.09,1.08,0.01,0.93,10716000,11625040,20
2012-03-06,1.12,1.11,1.14,1.11,0.04,3.7,51453309,57823071,46
2012-03-07,1.12,1.15,1.15,1.09,0.0,0.0,27889295,30974058,34
2012-03-08,1.13,1.1,1.14,1.09,0.01,0.89,32153340,35852866,32
2012-03-11,1.12,1.12,1.12,1.1,-0.01,-0.88,29548124,32851518,34
2012-03-12,1.22,1.12,1.23,1.12,0.1,8.93,65763325,77025190,64
2012-03-13,1.21,1.2,1.31,1.19,-0.01,-0.82,24936411,30787306,42
2012-03-14,1.25,1.25,1.29,1.22,0.04,3.31,48550000,60683500,48
2012-03-15,1.22,1.23,1.24,1.21,-0.03,-2.4,20436911,24976136,23
2012-03-18,1.2,1.25,1.25,1.2,-0.02,-1.64,3556000,4291000,4
2012-03-19,1.16,1.19,1.19,1.16,-0.04,-3.33,8025000,9369250,14
2012-03-20,1.16,1.16,1.16,1.15,0.0,0.0,16294850,18829526,25
2012-03-22,1.15,1.15,1.15,1.15,-0.01,-0.86,500000,575000,1
2012-04-02,1.21,1.19,1.21,1.19,0.06,5.22,5650000,6775000,11
2012-04-03,1.2,1.21,1.21,1.19,-0.01,-0.83,10105902,12068679,18
2012-04-04,1.21,1.2,1.21,1.2,0.01,0.83,3850000,4622500,11
2012-04-05,1.21,1.21,1.21,1.2,0.0,0.0,3446825,4148690,7
2012-04-08,1.23,1.21,1.23,1.21,0.02,1.65,3933333,4763333,7
2012-04-09,1.22,1.23,1.23,1.22,-0.01,-0.81,3796666,4643933,8
2012-04-10,1.21,1.21,1.21,1.2,-0.01,-0.82,5360000,6466000,14
2012-04-11,1.22,1.21,1.22,1.21,0.01,0.83,1707375,2068224,4
2012-04-15,1.21,1.22,1.23,1.21,-0.01,-0.82,5000000,6080000,3
2012-04-16,1.22,1.22,1.22,1.22,0.01,0.83,4856717,5925195,7
2012-04-17,1.22,1.22,1.22,1.22,0.0,0.0,12676429,15465243,14
2012-04-18,1.22,1.22,1.22,1.22,0.0,0.0,9075721,11072380,11
2012-04-19,1.23,1.22,1.23,1.22,0.01,0.82,2224279,2720863,7
2012-04-22,1.22,1.22,1.22,1.22,-0.01,-0.81,4755000,5801100,8
2012-04-23,1.24,1.23,1.24,1.23,0.02,1.64,4479262,5544092,9
2012-04-24,1.27,1.24,1.28,1.24,0.03,2.42,12124994,15343992,12
2012-04-25,1.26,1.27,1.27,1.26,-0.01,-0.79,2100000,2662000,5
2012-04-26,1.28,1.27,1.29,1.27,0.02,1.59,10594221,13557603,17
2012-04-29,1.31,1.3,1.31,1.3,0.03,2.34,4936327,6423725,8
2012-04-30,1.31,1.31,1.31,1.31,0.0,0.0,6550000,8580500,3
2012-05-02,1.3,1.3,1.3,1.3,-0.01,-0.76,1172371,1524082,2
2012-05-03,1.3,1.3,1.31,1.3,0.0,0.0,4923433,6402463,6
2012-05-06,1.3,1.3,1.3,1.3,0.0,0.0,664970,864461,2
2012-05-08,1.3,1.3,1.3,1.3,0.0,0.0,400000,520000,2
2012-05-10,1.3,1.3,1.3,1.3,0.0,0.0,3049338,3964139,8
2012-05-13,1.3,1.3,1.3,1.3,0.0,0.0,956666,1243666,2
2012-05-14,1.31,1.3,1.31,1.3,0.01,0.77,2587375,3377461,6
2012-05-15,1.44,1.36,1.44,1.36,0.13,9.92,8174669,11541537,14
2012-05-16,1.58,1.5,1.58,1.5,0.14,9.72,4250000,6625000,7
2012-05-20,1.55,1.73,1.73,1.55,-0.03,-1.9,6050000,9656500,5
2012-05-22,1.55,1.52,1.55,1.52,0.0,0.0,800000,1219000,5
2012-05-24,1.5,1.5,1.5,1.5,-0.05,-3.23,2850000,4275000,6
2012-05-27,1.45,1.48,1.48,1.45,-0.05,-3.33,1900000,2785000,3
2012-05-28,1.4,1.41,1.41,1.4,-0.05,-3.45,2247646,3156704,5
2012-05-29,1.4,1.4,1.41,1.4,0.0,0.0,6502354,9120819,5
2012-05-30,1.38,1.38,1.38,1.38,-0.02,-1.43,947646,1307751,3
2012-06-03,1.33,1.38,1.38,1.33,-0.05,-3.62,563049,749508,2
2012-06-04,1.33,1.33,1.33,1.32,0.0,0.0,4000000,5315000,9
2012-06-05,1.34,1.33,1.34,1.33,0.01,0.75,800000,1069000,5
2012-06-06,1.34,1.34,1.35,1.34,0.0,0.0,1700000,2285000,5
2012-06-07,1.33,1.33,1.33,1.33,-0.01,-0.75,750000,997500,1
2012-06-11,1.31,1.31,1.31,1.31,-0.02,-1.5,1000000,1310000,1
2012-06-12,1.3,1.31,1.31,1.3,-0.01,-0.76,6000000,7810000,2
2012-06-13,1.31,1.31,1.31,1.31,0.01,0.77,100000,131000,1
2012-06-17,1.31,1.29,1.31,1.29,0.0,0.0,2100000,2711000,2
2012-06-19,1.29,1.29,1.31,1.29,-0.02,-1.53,5240000,6760004,11
2012-06-21,1.28,1.3,1.3,1.28,-0.01,-0.78,5000000,6440000,3
2012-06-24,1.29,1.29,1.29,1.29,0.01,0.78,11000000,14190000,8
2012-06-26,1.25,1.28,1.29,1.25,-0.04,-3.1,8200000,10256202,6
2012-07-03,1.22,1.24,1.24,1.22,-0.03,-2.4,123800,151512,2
2012-07-05,1.14,1.18,1.18,1.14,-0.08,-6.56,5600000,6457000,6
2012-07-08,1.1,1.11,1.12,1.1,-0.04,-3.51,11400000,12634000,9
2012-07-10,1.09,1.09,1.09,1.09,-0.01,-0.91,300000,327000,1
2012-07-11,1.09,1.09,1.09,1.09,0.0,0.0,122000,132980,1
2012-07-16,1.09,1.09,1.09,1.09,0.0,0.0,200000,218000,1
2012-08-05,1.0,1.01,1.01,1.0,-0.09,-8.26,3200000,3210000,4
2012-08-12,1.0,1.02,1.02,1.0,0.0,0.0,5000000,5050000,4
2012-08-14,1.07,1.07,1.07,1.07,0.07,7.0,70000,74900,2
2012-08-15,1.02,1.07,1.07,1.01,-0.05,-4.67,2890000,2936750,9
2012-08-28,1.09,1.09,1.09,1.09,0.07,6.86,5000,5450,1
2012-08-29,1.1,1.1,1.1,1.1,0.01,0.92,6000,6600,1
2012-08-30,1.02,1.02,1.02,1.02,-0.08,-7.27,200000,204000,1
2012-09-04,1.0,1.0,1.0,1.0,-0.02,-1.96,200000,200000,1
2012-09-06,0.99,0.99,0.99,0.99,-0.01,-1.0,200000,198000,1
2012-09-09,1.01,1.04,1.04,1.01,0.02,2.02,3120000,3154800,4
2012-09-11,1.0,1.0,1.0,1.0,-0.01,-0.99,150000,150000,1
2012-09-13,1.0,1.0,1.0,1.0,0.0,0.0,2923000,2923000,5
2012-09-16,1.0,1.0,1.0,1.0,0.0,0.0,1021000,1021000,4
2012-09-17,1.0,1.0,1.0,1.0,0.0,0.0,1100000,1100000,3
2012-09-18,0.93,1.0,1.0,0.93,-0.07,-7.0,63329695,59749195,44
2012-09-19,0.96,0.95,0.96,0.95,0.03,3.23,14470000,13798980,13
2012-09-20,0.94,0.96,0.96,0.94,-0.02,-2.08,1100000,1036000,2
2012-09-23,0.95,0.95,0.95,0.95,0.01,1.06,110000,104500,2
2012-09-25,0.95,0.95,0.95,0.95,0.0,0.0,6740000,6403000,14
2012-09-26,0.97,0.96,1.0,0.96,0.02,2.11,9330000,9093100,10
2012-09-27,0.97,0.98,0.98,0.97,0.0,0.0,6700000,6519000,6
2012-09-30,0.97,1.0,1.0,0.95,0.0,0.0,13500000,12971000,22
2012-10-02,0.96,0.96,0.97,0.96,-0.01,-1.03,3075630,2955105,9
2012-10-03,0.97,0.97,0.97,0.97,0.01,1.04,200000,194000,2
2012-10-04,0.96,0.96,0.96,0.96,-0.01,-1.03,500000,480000,1
2012-10-09,0.95,0.97,0.97,0.95,-0.01,-1.04,1350000,1289500,6
2012-10-10,0.94,0.94,0.94,0.93,-0.01,-1.05,2750000,2574000,6
2012-10-24,0.96,0.94,0.96,0.94,0.02,2.13,2250000,2140000,6
2012-11-08,0.95,0.95,0.95,0.95,-0.01,-1.04,7274370,6910652,12
2012-11-11,0.95,0.95,0.95,0.95,0.0,0.0,2000000,1900000,2
2012-11-13,0.95,0.95,0.95,0.95,0.0,0.0,597827,567936,2
2012-11-14,0.94,0.95,0.95,0.94,-0.01,-1.05,8850000,8371500,10
2012-11-18,0.92,0.94,0.94,0.92,-0.02,-2.13,6900000,6356000,10
2012-11-28,0.92,0.92,0.92,0.92,0.0,0.0,5000000,4600000,2
2012-12-02,0.95,0.94,0.95,0.94,0.03,3.26,6000000,5650000,3
