Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-17,0,5,5.5,5,0,0.00%,,48730141,
2010-01-20,0,5.5,5.5,5.5,0,0.00%,,6877238,
2010-01-21,0,5,5,5,0,0.00%,,16775,
2010-01-24,0,5,5,5,0,0.00%,,55915,
2010-01-25,0,5.5,5.5,5.5,0,0.00%,,15372,
2010-01-26,0,5.5,6,5.5,0,0.00%,,200118,
2010-01-27,0,6,6,6,0,0.00%,,241542,
2010-01-28,0,6,6,6,0,0.00%,,67098,
2010-01-31,0,6.5,6.5,6.5,0,0.00%,,34704,
2010-02-01,0,6.5,6.5,6.5,0,0.00%,,242912,
2010-02-02,0,6.5,6.5,6.5,0,0.00%,,43608,
2010-02-07,0,6.5,6.5,6.5,0,0.00%,,87224,
2010-02-11,0,7,7,7,0,0.00%,,1237600,
2010-02-16,0,7.5,7.5,7.5,0,0.00%,,58710,
2010-02-17,0,8,8.5,8,0,0.00%,,85170,
2010-02-22,0,8.25,8.5,8.25,0,0.00%,,371835,
2010-02-23,0,8.5,8.5,8.5,0,0.00%,,345763,
2010-03-01,0,8.25,8.5,8.25,0,0.00%,,163541,
2010-03-10,0,8.75,8.75,8.55,0,0.00%,,966230,
2010-03-14,0,8.55,8.55,8.55,0,0.00%,,28685,
2010-03-24,0,8.5,8.5,8.5,0,0.00%,,142026,
2010-03-25,0,8.5,8.5,8.5,0,0.00%,,28518,
2010-03-29,0,8.5,8.5,8.5,0,0.00%,,95056,
2010-03-31,0,8.5,8.5,8.5,0,0.00%,,570333,
2010-04-04,0,8.5,8.5,8,0,0.00%,,1650000,
2010-04-14,0,7,7,7,0,0.00%,,700000,
2010-04-19,0,8,8,7.25,0,0.00%,,18513132,
2010-04-21,0,8.25,8.25,8.25,0,0.00%,,1650000,
2010-04-22,0,8.25,8.25,8.25,0,0.00%,,46126,
2010-04-25,0,7.5,7.5,7,0,0.00%,,590900,
2010-05-02,0,7.25,7.25,7.1,0,0.00%,,682157,
2010-05-03,0,7.5,7.81,7.5,0,0.00%,,801036,
2010-05-04,0,7.81,7.81,7.75,0,0.00%,,9241387,
2010-05-05,0,8,8.1,8,0,0.00%,,2206672,
2010-05-06,0,8.25,8.5,8.25,0,0.00%,,295520,
2010-05-10,0,8.5,8.5,8.5,0,0.00%,,1477011,
2010-05-13,0,9,9.35,9,0,0.00%,,924023,
2010-05-17,0,9.25,9.25,9,0,0.00%,,1825000,
2010-05-20,0,9,9,9,0,0.00%,,900000,
2010-05-23,0,8.8,8.8,8.8,0,0.00%,,434386,
2010-05-25,0,8.6,8.6,8.6,0,0.00%,,936523,
2010-05-26,0,8.6,8.6,8.6,0,0.00%,,5341924,
2010-05-31,0,8.6,8.6,8.6,0,0.00%,,326963,
2010-06-02,0,9,9,9,0,0.00%,,25155,
2010-06-03,0,9.4,9.4,9.4,0,0.00%,,940000,
2010-06-06,0,9.19,9.19,9.19,0,0.00%,,934577,
2010-06-09,0,8.75,8.75,8.5,0,0.00%,,342500,
2010-06-10,0,8.5,8.75,8.5,0,0.00%,,15431242,
2010-06-14,0,8.7,8.7,8.7,0,0.00%,,291876,
2010-06-16,0,8.7,8.7,8.7,0,0.00%,,43787,
2010-06-20,0,8.7,8.7,8.7,0,0.00%,,552963,
2010-06-22,0,8.7,8.7,8.7,0,0.00%,,58360,
2010-06-27,0,9,9,9,0,0.00%,,40257,
2010-06-29,0,8.5,8.5,8.5,0,0.00%,,151258,
2010-07-01,0,8.5,8.51,8.5,0,0.00%,,6031860,
2010-07-11,0,8.5,8.5,8.5,0,0.00%,,587775,
2010-07-12,0,8.5,8.5,8.5,0,0.00%,,95056,
2010-07-21,0,8.25,8.25,8.25,0,0.00%,,46126,
2010-07-22,0,8.5,8.5,8.5,0,0.00%,,47524,
2010-07-26,0,8.5,8.5,8.5,0,0.00%,,190111,
2010-07-27,0,8.5,8.5,8.5,0,0.00%,,38012,
2010-07-28,0,8.5,8.5,8.5,0,0.00%,,38012,
2010-07-29,0,8.5,8.5,8.5,0,0.00%,,4778156,
2010-08-02,0,8.4,8.4,8.4,0,0.00%,,21353,
2010-08-04,0,8.4,8.4,8.4,0,0.00%,,290094,
2010-08-10,0,8.25,8.25,8.25,0,0.00%,,46126,
2010-08-15,0,8.25,9.07,8.25,0,0.00%,,557015,
2010-10-12,0,8.17,8.2,8.17,0,0.00%,,1359205,
2010-10-17,0,8.15,8.15,8.15,0,0.00%,,1225727,
2010-10-25,0,8.96,8.96,8.96,0,0.00%,,448000,
2010-10-26,0,9,9,9,0,0.00%,,548811,
2010-11-04,0,9.9,9.9,9.9,0,0.00%,,479160,
2010-11-07,0,9.9,10.5,9.9,0,0.00%,,1017465,
2010-11-08,0,10.5,11.55,10.5,0,0.00%,,698411,
2010-11-09,0,12.7,12.7,12.7,0,0.00%,,444500,
2010-11-10,0,13.97,13.97,13.79,0,0.00%,,3981021,
2010-11-11,0,15.16,15.16,15.16,0,0.00%,,379000,
2010-11-14,0,16.67,16.67,16.65,0,0.00%,,1005703,
2010-11-15,0,18.33,18.33,18.33,0,0.00%,,2334839,
2010-11-21,0,20,20,20,0,0.00%,,440000,
2010-11-22,0,20,20,20,0,0.00%,,4777200,
2010-11-23,0,20,20,20,0,0.00%,,6271180,
2010-11-24,0,20,20,20,0,0.00%,,8302600,
2010-11-25,0,20,20,20,0,0.00%,,89460,
2010-11-29,0,20,20,20,0,0.00%,,3213460,
2010-11-30,0,20,20,20,0,0.00%,,2211440,
2010-12-01,0,20,20,20,0,0.00%,,4447340,
2010-12-02,0,20,20,20,0,0.00%,,6732140,
2010-12-05,0,20,20,20,0,0.00%,,8067100,
2010-12-06,0,20,20,20,0,0.00%,,29060,
2010-12-08,0,20,20,20,0,0.00%,,11011800,
2010-12-09,0,20,20,20,0,0.00%,,2246000,
2010-12-15,0,20,20,20,0,0.00%,,1984440,
2010-12-21,0,20,20,19.45,0,0.00%,,374288,
2010-12-22,0,19.5,20,19.5,0,0.00%,,38428216,
