Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2018-10-28,1,1,1,1,0,0.00%,,1100000,1
2018-10-29,1.1,1.05,1.1,1.05,0.1,10.00%,,432500,2
2018-10-31,1.15,1.15,1.15,1.15,0.05,4.55%,,460000,2
2018-11-27,1.15,1.15,1.15,1.15,0,0.00%,,287500,1
2018-11-28,1.15,1.15,1.15,1.15,0,0.00%,,529287488,2
2018-11-29,1.15,1.15,1.15,1.15,0,0.00%,,529000000,1
2018-12-03,1.15,1.15,1.15,1.15,0,0.00%,,529000000,1
2018-12-04,1.15,1.15,1.15,1.15,0,0.00%,,529000000,1
2018-12-05,1.15,1.15,1.15,1.15,0,0.00%,,529000000,1
2018-12-06,1.15,1.15,1.15,1.15,0,0.00%,,575000,1
2018-12-13,1.15,1.15,1.15,1.15,0,0.00%,,338904992,1
2019-01-27,1.15,1.15,1.15,1.15,0,0.00%,,488750016,1
2019-01-28,1.15,1.15,1.15,1.15,0,0.00%,,488750016,1
2019-01-29,1.15,1.15,1.15,1.15,0,0.00%,,488750016,1
2019-01-30,1.15,1.15,1.15,1.15,0,0.00%,,488750016,1
2019-02-03,1.15,1.15,1.15,1.15,0,0.00%,,172500000,1
2019-07-09,1.15,1.15,1.15,1.15,0,0.00%,,23000,1
2019-08-20,1.15,1.15,1.15,1.15,0,0.00%,,173650000,2
2019-08-22,1.15,1.15,1.15,1.15,0,0.00%,,149500,3
2019-08-27,1.15,1.15,1.15,1.15,0,0.00%,,115000000,2
2019-09-11,1.1,1.1,1.1,1.1,-0.05,-4.35%,,165000000,2
2019-11-04,1.1,1.1,1.1,1.1,0,0.00%,,110000000,2
2019-11-06,1.1,1.1,1.1,1.1,0,0.00%,,110000000,2
2019-11-13,1.1,1.1,1.1,1.1,0,0.00%,,110000000,2
2019-11-19,1.1,1.1,1.1,1.1,0,0.00%,,110000000,2
2019-12-04,1.1,1.1,1.1,1.1,0,0.00%,,110000000,2
2019-12-15,1.1,1.1,1.1,1.1,0,0.00%,,110000000,2
2020-01-08,1.1,1.1,1.1,1.1,0,0.00%,,220000000,4
2020-01-13,1.1,1.1,1.1,1.1,0,0.00%,,220000000,5
2020-01-16,1.1,1.1,1.1,1.1,0,0.00%,,440000000,4
2020-01-19,1.1,1.1,1.1,1.1,0,0.00%,,330000000,3
2020-01-22,1.1,1.1,1.1,1.1,0,0.00%,,440000000,4
2020-01-23,1.1,1.1,1.1,1.1,0,0.00%,,440000000,4
2020-01-29,1.1,1.1,1.1,1.1,0,0.00%,,440000000,4
2020-02-02,1.1,1.1,1.1,1.1,0,0.00%,,330000000,3
2020-02-20,1.1,1.1,1.1,1.1,0,0.00%,,220000000,2
2020-02-23,1.1,1.1,1.1,1.1,0,0.00%,,220000000,2
2020-02-26,1.1,1.1,1.1,1.1,0,0.00%,,220000000,2
2020-03-02,1.1,1.1,1.1,1.1,0,0.00%,,220000000,2
2020-03-11,1.1,1.1,1.1,1.1,0,0.00%,,220000000,2
2020-04-26,1.1,1.1,1.1,1.1,0,0.00%,,220000000,2
2020-05-10,1.1,1.1,1.1,1.1,0,0.00%,,220000000,2
2020-05-12,1.1,1.1,1.1,1.1,0,0.00%,,220000000,2
2020-05-17,1.1,1.1,1.1,1.1,0,0.00%,,220000000,2
