Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-05,0,1.24,1.24,1.23,0,0.00%,,11874500,
2010-01-07,0,1.22,1.22,1.22,0,0.00%,,12200000,
2010-01-10,0,1.21,1.21,1.21,0,0.00%,,968000,
2010-01-11,0,1.2,1.21,1.2,0,0.00%,,6078789,
2010-01-13,0,1.2,1.2,1.19,0,0.00%,,260000,
2010-01-14,0,1.21,1.21,1.21,0,0.00%,,8386494,
2010-01-17,0,1.2,1.2,1.19,0,0.00%,,36136987,
2010-01-18,0,1.19,1.19,1.19,0,0.00%,,8330000,
2010-01-19,0,1.18,1.18,1.18,0,0.00%,,29500000,
2010-01-20,0,1.19,1.19,1.18,0,0.00%,,16778500,
2010-01-21,0,1.18,1.18,1.18,0,0.00%,,6679482,
2010-01-24,0,1.18,1.18,1.18,0,0.00%,,51326865,
2010-01-25,0,1.18,1.19,1.17,0,0.00%,,20613642,
2010-01-26,0,1.18,1.18,1.17,0,0.00%,,5600400,
2010-01-27,0,1.15,1.16,1.15,0,0.00%,,17407500,
2010-01-28,0,1.16,1.16,1.16,0,0.00%,,16453418,
2010-01-31,0,1.17,1.18,1.17,0,0.00%,,17527219,
2010-02-01,0,1.18,1.18,1.17,0,0.00%,,23717000,
2010-02-02,0,1.18,1.2,1.18,0,0.00%,,66751195,
2010-02-03,0,1.21,1.22,1.21,0,0.00%,,52906834,
2010-02-04,0,1.21,1.21,1.21,0,0.00%,,34513977,
2010-02-07,0,1.2,1.2,1.2,0,0.00%,,16085662,
2010-02-08,0,1.21,1.21,1.2,0,0.00%,,26581375,
2010-02-09,0,1.2,1.2,1.2,0,0.00%,,5925000,
2010-02-10,0,1.2,1.2,1.17,0,0.00%,,4847749,
2010-02-11,0,1.17,1.17,1.17,0,0.00%,,58500,
2010-02-14,0,1.18,1.18,1.16,0,0.00%,,27420239,
2010-02-16,0,1.17,1.17,1.17,0,0.00%,,53358,
2010-02-17,0,1.18,1.18,1.17,0,0.00%,,9478000,
