Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2014-09-09,1.7,1.76,1.77,1.69,0,0.00%,,822166144,
2014-09-10,1.67,1.7,1.7,1.67,-0.03,-1.76%,,364430720,
2014-09-11,1.69,1.66,1.69,1.66,0.02,1.20%,,266958544,
2014-09-14,1.71,1.7,1.71,1.69,0.02,1.18%,,195755840,
2014-09-15,1.72,1.71,1.73,1.71,0.01,0.58%,,262765280,
2014-09-16,1.71,1.72,1.72,1.7,-0.01,-0.58%,,723814947,
2014-09-17,1.7,1.71,1.71,1.7,-0.01,-0.58%,,274849984,
2014-09-18,1.7,1.7,1.7,1.7,0,0.00%,,227514958,
2014-09-21,1.7,1.7,1.7,1.69,0,0.00%,,112596688,
2014-09-22,1.7,1.7,1.7,1.69,0,0.00%,,152783946,
2014-09-23,1.69,1.7,1.7,1.68,-0.01,-0.59%,,209263584,
2014-09-24,1.68,1.68,1.68,1.66,-0.01,-0.59%,,223548704,
2014-09-28,1.68,1.68,1.68,1.68,0,0.00%,,151845520,
2014-09-29,1.68,1.68,1.68,1.68,0,0.00%,,33634448,
2014-09-30,1.7,1.68,1.7,1.68,0.02,1.19%,,67462560,
2014-10-01,1.68,1.69,1.69,1.68,-0.02,-1.18%,,173529328,
2014-10-12,1.65,1.68,1.68,1.65,-0.03,-1.79%,,40841953,
2014-10-13,1.6,1.64,1.64,1.6,-0.05,-3.03%,,52566912,
2014-10-14,1.45,1.51,1.51,1.44,-0.15,-9.38%,,376191104,
2014-10-15,1.5,1.42,1.5,1.37,0.05,3.45%,,717637568,
2014-10-16,1.6,1.52,1.6,1.51,0.1,6.67%,,593284182,
2015-03-11,1.08,0.99,1.08,0.99,-0.52,-32.50%,,76459520,
2015-03-12,1.18,1.09,1.18,1.09,0.1,9.26%,,420690912,
2015-03-15,1.23,1.23,1.25,1.19,0.05,4.24%,,131630208,
2015-03-16,1.29,1.25,1.29,1.25,0.06,4.88%,,203625216,
2015-03-17,1.32,1.32,1.33,1.28,0.03,2.33%,,175047760,
2015-03-18,1.4,1.33,1.4,1.33,0.08,6.06%,,237208928,
2015-03-19,1.35,1.42,1.42,1.3,-0.05,-3.57%,,105442080,
2015-03-22,1.27,1.3,1.3,1.26,-0.08,-5.93%,,177420128,
2015-03-23,1.28,1.27,1.3,1.27,0.01,0.79%,,72781224,
2015-03-24,1.26,1.27,1.27,1.24,-0.02,-1.56%,,247715280,
2015-03-25,1.23,1.25,1.25,1.23,-0.03,-2.38%,,290801504,
2015-03-26,1.24,1.22,1.25,1.19,0.01,0.81%,,68674424,
2015-03-29,1.28,1.24,1.28,1.23,0.04,3.23%,,175005568,
2015-03-30,1.28,1.29,1.31,1.28,0,0.00%,,183827136,
2015-03-31,1.27,1.27,1.28,1.27,-0.01,-0.78%,,117776704,
2015-04-01,1.27,1.27,1.29,1.27,0,0.00%,,167510000,
2015-04-02,1.27,1.28,1.28,1.26,0,0.00%,,100806000,
2015-04-05,1.27,1.27,1.28,1.27,0,0.00%,,35338676,
2015-04-06,1.27,1.28,1.28,1.27,0,0.00%,,130692992,
2015-04-07,1.27,1.27,1.27,1.27,0,0.00%,,142839440,
2015-04-08,1.26,1.27,1.27,1.26,-0.01,-0.79%,,200586384,
2015-04-09,1.26,1.26,1.26,1.26,0,0.00%,,18900000,
2015-04-12,1.25,1.26,1.26,1.25,-0.01,-0.79%,,52165032,
2015-04-13,1.22,1.25,1.25,1.21,-0.03,-2.40%,,184949696,
2015-04-14,1.24,1.2,1.24,1.18,0.02,1.64%,,178874112,
2015-04-15,1.23,1.24,1.24,1.22,-0.01,-0.81%,,67452096,
2015-04-16,1.25,1.23,1.26,1.23,0.02,1.63%,,218287136,
2015-04-19,1.24,1.23,1.24,1.23,-0.01,-0.80%,,51963460,
2015-04-20,1.22,1.23,1.23,1.22,-0.02,-1.61%,,52921056,
2015-04-21,1.22,1.22,1.24,1.22,0,0.00%,,64168380,
2015-04-22,1.2,1.22,1.23,1.2,-0.02,-1.64%,,109473944,
2015-04-23,1.22,1.2,1.22,1.2,0.02,1.67%,,49711260,
2015-04-26,1.22,1.22,1.22,1.22,0,0.00%,,37312460,
2015-04-27,1.2,1.22,1.22,1.2,-0.02,-1.64%,,198239680,
2015-04-28,1.2,1.21,1.21,1.2,0,0.00%,,96010000,
2015-04-29,1.2,1.21,1.21,1.2,0,0.00%,,88830000,
2015-04-30,1.21,1.21,1.22,1.21,0.01,0.83%,,80467408,
2015-05-03,1.22,1.21,1.23,1.21,0.01,0.83%,,74332816,
2015-05-04,1.22,1.22,1.24,1.22,0,0.00%,,162391504,
2015-05-05,1.24,1.23,1.24,1.23,0.02,1.64%,,68030672,
2015-05-06,1.23,1.23,1.24,1.22,-0.01,-0.81%,,71295576,
2015-05-07,1.27,1.24,1.27,1.24,0.04,3.25%,,126907552,
2015-05-10,1.27,1.26,1.28,1.26,0,0.00%,,89304232,
2015-05-11,1.3,1.27,1.3,1.27,0.03,2.36%,,160776512,
2015-05-12,1.33,1.32,1.33,1.31,0.03,2.31%,,36865152,
2015-05-17,1.31,1.33,1.33,1.28,-0.02,-1.50%,,91666368,
2015-05-18,1.32,1.29,1.33,1.29,0.01,0.76%,,88961480,
2015-05-19,1.34,1.32,1.34,1.32,0.02,1.52%,,203565488,
2015-05-20,1.37,1.34,1.37,1.33,0.03,2.24%,,259139376,
2015-05-21,1.36,1.36,1.37,1.34,-0.01,-0.73%,,161011600,
2015-05-24,1.33,1.36,1.36,1.33,-0.03,-2.21%,,226456560,
2015-05-25,1.34,1.33,1.34,1.33,0.01,0.75%,,116941504,
2015-05-26,1.37,1.34,1.37,1.34,0.03,2.24%,,423068192,
2015-05-27,1.43,1.38,1.43,1.38,0.06,4.38%,,123803000,
2015-05-28,1.44,1.45,1.45,1.4,0.01,0.70%,,384593248,
2015-05-31,1.48,1.43,1.48,1.42,0.04,2.78%,,428376480,
2015-06-08,1.46,1.48,1.48,1.46,-0.02,-1.35%,,94980928,
2015-06-09,1.46,1.46,1.46,1.43,0,0.00%,,405760960,
2015-06-10,1.48,1.46,1.48,1.45,0.02,1.37%,,254048800,
2015-06-11,1.51,1.48,1.52,1.48,0.03,2.03%,,396935296,
2015-06-14,1.52,1.54,1.54,1.5,0.01,0.66%,,220596480,
2015-06-15,1.5,1.52,1.52,1.49,-0.02,-1.32%,,618187712,
2015-06-16,1.53,1.51,1.53,1.51,0.03,2.00%,,100547752,
2015-06-17,1.57,1.53,1.58,1.53,0.04,2.61%,,366729120,
2015-06-18,1.59,1.57,1.59,1.56,0.02,1.27%,,651669952,
2015-06-21,1.58,1.57,1.58,1.55,-0.01,-0.63%,,505174784,
2015-07-06,1.45,1.45,1.49,1.45,-0.13,-8.23%,,73902304,
2015-07-07,1.5,1.45,1.51,1.45,0.05,3.45%,,184439552,
2015-07-08,1.49,1.49,1.51,1.49,-0.01,-0.67%,,109503208,
2015-07-09,1.48,1.48,1.49,1.48,-0.01,-0.67%,,64163952,
2015-07-12,1.42,1.47,1.47,1.42,-0.06,-4.05%,,136397600,
2015-07-13,1.43,1.42,1.44,1.38,0.01,0.70%,,195461712,
2015-07-15,1.41,1.42,1.42,1.4,-0.02,-1.40%,,139149497,
2015-07-22,1.39,1.4,1.4,1.39,-0.02,-1.42%,,56933000,
2015-07-23,1.39,1.38,1.39,1.38,0,0.00%,,26132000,
2015-07-26,1.4,1.4,1.4,1.4,0.01,0.72%,,50120000,
2015-07-27,1.39,1.39,1.39,1.39,-0.01,-0.71%,,118150000,
2015-07-28,1.41,1.4,1.42,1.4,0.02,1.44%,,253191376,
2015-07-29,1.38,1.39,1.39,1.37,-0.03,-2.13%,,70686000,
2015-08-03,1.34,1.36,1.36,1.33,-0.04,-2.90%,,39981288,
2015-08-04,1.34,1.36,1.36,1.33,0,0.00%,,29432500,
2015-08-05,1.36,1.34,1.37,1.34,0.02,1.49%,,94536024,
2015-08-06,1.38,1.37,1.38,1.35,0.02,1.47%,,159582448,
2015-08-09,1.36,1.36,1.36,1.36,-0.02,-1.45%,,35267400,
2015-08-10,1.35,1.35,1.35,1.34,-0.01,-0.74%,,36415000,
2015-08-11,1.35,1.35,1.35,1.35,0,0.00%,,34771696,
2015-08-12,1.37,1.36,1.37,1.36,0.02,1.48%,,17728886,
2015-08-13,1.4,1.37,1.4,1.36,0.03,2.19%,,47437752,
2015-08-16,1.42,1.4,1.42,1.4,0.02,1.43%,,166716336,
2015-08-17,1.43,1.45,1.45,1.42,0.01,0.70%,,78303512,
2015-08-18,1.45,1.43,1.45,1.42,0.02,1.40%,,296160704,
2015-08-19,1.44,1.44,1.46,1.44,-0.01,-0.69%,,148902784,
2015-08-20,1.44,1.43,1.44,1.41,0,0.00%,,348966304,
2015-08-23,1.41,1.42,1.43,1.41,-0.03,-2.08%,,37055608,
2015-08-24,1.41,1.4,1.41,1.37,0,0.00%,,130975104,
2015-08-25,1.45,1.37,1.45,1.37,0.04,2.84%,,242485936,
2015-08-26,1.45,1.42,1.45,1.42,0,0.00%,,103715960,
2015-08-27,1.46,1.43,1.46,1.42,0.01,0.69%,,247470560,
2015-08-30,1.5,1.47,1.5,1.47,0.04,2.74%,,163327600,
2015-08-31,1.52,1.5,1.52,1.48,0.02,1.33%,,310454368,
2015-09-01,1.51,1.52,1.52,1.5,-0.01,-0.66%,,178286128,
2015-09-02,1.47,1.51,1.51,1.47,-0.04,-2.65%,,224677504,
2015-09-03,1.45,1.44,1.45,1.43,-0.02,-1.36%,,110507728,
2015-09-06,1.44,1.44,1.45,1.44,-0.01,-0.69%,,24717700,
2015-09-07,1.42,1.43,1.43,1.41,-0.02,-1.39%,,79323952,
2015-09-08,1.42,1.4,1.42,1.38,0,0.00%,,68991520,
2015-09-09,1.42,1.42,1.42,1.4,0,0.00%,,75466088,
2015-09-10,1.42,1.41,1.42,1.41,0,0.00%,,67927256,
2015-09-13,1.4,1.41,1.41,1.4,-0.02,-1.41%,,49715000,
2015-09-14,1.39,1.39,1.41,1.39,-0.01,-0.71%,,62574664,
2015-09-15,1.42,1.4,1.42,1.4,0.03,2.16%,,22353126,
2015-09-16,1.42,1.4,1.42,1.4,0,0.00%,,78872496,
2015-09-17,1.45,1.41,1.45,1.41,0.03,2.11%,,64262612,
2015-09-20,1.46,1.45,1.46,1.45,0.01,0.69%,,19210000,
2015-09-21,1.46,1.47,1.47,1.45,0,0.00%,,8811480,
2015-09-22,1.5,1.46,1.5,1.45,0.04,2.74%,,171148176,
2015-09-29,1.5,1.48,1.5,1.48,0,0.00%,,97191184,
2015-09-30,1.5,1.49,1.5,1.48,0,0.00%,,188380064,
2015-10-01,1.49,1.49,1.49,1.49,-0.01,-0.67%,,19749314,
2015-10-04,1.47,1.48,1.48,1.47,-0.02,-1.34%,,23540000,
2015-10-05,1.47,1.45,1.48,1.45,0,0.00%,,46958896,
2015-10-06,1.46,1.46,1.47,1.46,-0.01,-0.68%,,24550414,
2015-10-07,1.43,1.46,1.46,1.43,-0.03,-2.05%,,139102336,
2015-10-08,1.39,1.41,1.41,1.39,-0.04,-2.80%,,236046176,
2015-10-11,1.39,1.4,1.4,1.38,0,0.00%,,53052680,
2015-10-12,1.4,1.4,1.42,1.39,0.01,0.72%,,55791140,
2015-10-13,1.39,1.39,1.39,1.39,-0.01,-0.71%,,23712444,
2015-10-15,1.38,1.39,1.39,1.38,-0.01,-0.72%,,15211758,
2015-10-18,1.37,1.38,1.38,1.37,-0.01,-0.72%,,11625500,
2015-10-19,1.39,1.37,1.39,1.36,0.02,1.46%,,30005500,
2015-10-20,1.39,1.38,1.39,1.37,0,0.00%,,9985590,
2015-10-21,1.38,1.38,1.38,1.38,-0.01,-0.72%,,8286900,
2015-10-22,1.37,1.38,1.38,1.37,-0.01,-0.72%,,5154858,
2015-10-26,1.37,1.37,1.37,1.36,0,0.00%,,37974832,
2015-10-27,1.34,1.36,1.37,1.34,-0.03,-2.19%,,87641848,
2015-10-28,1.34,1.34,1.35,1.34,0,0.00%,,69980000,
2015-11-01,1.31,1.32,1.32,1.31,-0.03,-2.24%,,1847500,
2015-11-02,1.31,1.33,1.33,1.31,0,0.00%,,35198904,
2015-11-03,1.27,1.3,1.3,1.27,-0.04,-3.05%,,132151504,
2015-11-04,1.25,1.26,1.26,1.24,-0.02,-1.57%,,44568916,
2015-11-05,1.18,1.25,1.25,1.18,-0.07,-5.60%,,165770576,
2015-11-08,1.19,1.18,1.19,1.18,0.01,0.85%,,41030000,
2015-11-09,1.18,1.17,1.18,1.17,-0.01,-0.84%,,25567632,
2015-11-10,1.19,1.17,1.19,1.17,0.01,0.85%,,10701608,
