Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2017-06-14,2.6,2.6,2.6,2.6,0,0.00%,,1300000,
2017-06-19,2.7,2.7,2.7,2.7,0.1,3.85%,,1350000,
2017-07-23,2.75,2.75,2.75,2.75,0.05,1.85%,,1375000,
2017-10-12,2.75,2.75,2.75,2.75,0,0.00%,,1375000064,
2017-10-19,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2017-10-22,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2017-10-23,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2017-10-24,2.75,2.75,2.75,2.75,0,0.00%,,845149,
2017-10-25,2.75,2.75,2.75,2.75,0,0.00%,,2750000,
2017-10-26,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2017-10-29,2.75,2.75,2.75,2.75,0,0.00%,,845149,
2017-10-30,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2017-10-31,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2017-11-02,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2017-11-05,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2017-11-06,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2017-11-08,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2017-11-09,2.75,2.75,2.75,2.75,0,0.00%,,2062500,
2017-11-12,2.75,2.75,2.75,2.75,0,0.00%,,687500,
2017-11-13,2.75,2.75,2.75,2.75,0,0.00%,,2750000,
2017-11-14,2.75,2.75,2.75,2.75,0,0.00%,,2750000,
2017-11-22,2.75,2.75,2.75,2.75,0,0.00%,,1443750016,
2017-11-26,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2017-11-27,2.75,2.75,2.75,2.75,0,0.00%,,2750000,
2017-12-04,2.75,2.75,2.75,2.75,0,0.00%,,1375000064,
2017-12-11,2.75,2.75,2.75,2.75,0,0.00%,,1375000064,
2017-12-17,2.75,2.75,2.75,2.75,0,0.00%,,1443750016,
2018-03-12,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2018-03-13,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2018-03-18,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2018-03-19,2.75,2.75,2.75,2.75,0,0.00%,,845146,
2018-03-26,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2018-03-27,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2018-03-28,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2018-03-29,2.75,2.75,2.75,2.75,0,0.00%,,812146,
2018-04-02,2.75,2.75,2.75,2.75,0,0.00%,,1375000,
2018-04-04,2.75,2.75,2.75,2.75,0,0.00%,,785400,
2018-04-15,2.7,2.7,2.7,2.7,-0.05,-1.82%,,270000,
2018-04-16,2.65,2.65,2.65,2.65,-0.05,-1.85%,,265000,
2018-04-17,2.65,2.65,2.65,2.65,0,0.00%,,1590000,
2018-04-19,2.65,2.65,2.65,2.65,0,0.00%,,1060000,
2018-04-23,2.65,2.65,2.65,2.65,0,0.00%,,1551840,
2018-04-24,2.65,2.65,2.65,2.65,0,0.00%,,826800,
2018-05-06,2.65,2.65,2.65,2.65,0,0.00%,,3180000,
2018-05-09,2.65,2.65,2.65,2.65,0,0.00%,,1590000,
2018-05-23,2.65,2.65,2.65,2.65,0,0.00%,,1325000,
2018-05-24,2.65,2.65,2.65,2.65,0,0.00%,,1325000,
