Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-01,1.0,1.27,1.3,1.26,,,192651889,248088768,59
2011-12-04,1.0,1.27,1.27,1.25,0.0,0.0,1802290,2253262,3
2011-12-05,1.26,1.26,1.26,1.26,0.26,26.0,5000000,6300000,1
2011-12-07,1.25,1.24,1.25,1.24,-0.01,-0.79,73025181,90652200,16
2011-12-08,1.24,1.25,1.25,1.24,-0.01,-0.8,79979673,99524795,21
2011-12-11,1.27,1.24,1.27,1.24,0.03,2.42,45415520,57120370,17
2011-12-12,1.25,1.27,1.28,1.25,-0.02,-1.57,68372059,86117274,23
2011-12-13,1.26,1.25,1.26,1.25,0.01,0.8,41128465,51582872,10
2011-12-14,1.25,1.25,1.25,1.25,-0.01,-0.79,30135100,37668875,8
2011-12-15,1.26,1.25,1.27,1.25,0.01,0.8,124492176,156801635,44
2011-12-18,1.26,1.26,1.28,1.26,0.0,0.0,93496110,117809099,16
2011-12-19,1.29,1.26,1.29,1.26,0.03,2.38,152577111,193792492,42
2011-12-20,1.27,1.29,1.3,1.27,-0.02,-1.55,151015089,195035523,43
2012-01-03,1.27,1.27,1.27,1.27,0.0,0.0,801000,1017270,3
2012-01-04,1.26,1.26,1.26,1.26,-0.01,-0.79,88356766,111329525,10
2012-01-05,1.25,1.26,1.26,1.25,-0.01,-0.79,10500661,13145826,5
2012-01-08,1.26,1.25,1.26,1.25,0.01,0.8,8985658,11316829,3
2012-01-09,1.25,1.26,1.26,1.25,-0.01,-0.79,11111000,13893860,6
2012-01-10,1.25,1.25,1.26,1.25,0.0,0.0,5637205,7052506,8
2012-01-11,1.25,1.25,1.25,1.25,0.0,0.0,10141977,12677471,7
2012-01-15,1.25,1.25,1.25,1.24,0.0,0.0,16627349,20782520,10
2012-01-16,1.25,1.25,1.25,1.25,0.0,0.0,9614405,12018006,3
2012-01-17,1.25,1.25,1.25,1.25,0.0,0.0,78584624,98230780,15
2012-01-18,1.25,1.25,1.25,1.25,0.0,0.0,43427626,54284532,16
2012-01-19,1.23,1.25,1.25,1.23,-0.02,-1.6,94573340,116672942,10
2012-01-22,1.24,1.23,1.24,1.23,0.01,0.81,12479993,15400391,6
2012-01-23,1.24,1.23,1.24,1.23,0.0,0.0,122847839,151722842,11
2012-01-24,1.24,1.24,1.24,1.24,0.0,0.0,22646248,28081348,9
2012-01-25,1.24,1.23,1.24,1.23,0.0,0.0,519004218,643445230,16
2012-01-26,1.23,1.24,1.24,1.23,-0.01,-0.81,65200000,80198000,8
2012-01-29,1.22,1.22,1.22,1.22,-0.01,-0.81,46325000,56516500,11
2012-01-30,1.21,1.22,1.22,1.21,-0.01,-0.82,16000100,19470121,4
2012-01-31,1.23,1.21,1.23,1.2,0.02,1.65,76100000,91678000,21
2012-02-01,1.22,1.23,1.23,1.22,-0.01,-0.81,20549673,25212922,12
2012-02-02,1.23,1.22,1.23,1.21,0.01,0.82,67418088,82166218,27
2012-02-06,1.24,1.23,1.25,1.23,0.01,0.81,111597229,138406816,25
2012-02-07,1.24,1.24,1.25,1.24,0.0,0.0,36000000,44800000,11
2012-02-08,1.23,1.23,1.23,1.23,-0.01,-0.81,136914376,168404682,3
2012-02-09,1.22,1.24,1.24,1.22,-0.01,-0.81,3195027,3918883,5
2012-02-12,1.23,1.23,1.23,1.22,0.01,0.82,24650001,30128182,9
2012-02-13,1.23,1.23,1.23,1.23,0.0,0.0,1500000,1845000,2
2012-02-14,1.22,1.23,1.23,1.22,-0.01,-0.81,23303393,28659638,3
2012-02-16,1.22,1.22,1.22,1.22,0.0,0.0,18261431,22278946,7
2012-02-19,1.22,1.22,1.22,1.22,0.0,0.0,753109,918793,1
2012-02-20,1.21,1.21,1.22,1.21,-0.01,-0.82,59037089,71922618,9
2012-02-21,1.21,1.21,1.21,1.21,0.0,0.0,15086424,18254573,5
2012-02-22,1.22,1.21,1.22,1.21,0.01,0.83,15210803,18555072,4
2012-02-23,1.24,1.23,1.24,1.23,0.02,1.64,8293898,10281495,2
2012-02-26,1.23,1.22,1.23,1.22,-0.01,-0.81,27671836,33936358,5
2012-02-27,1.23,1.23,1.24,1.23,0.0,0.0,28548594,35164771,10
2012-02-28,1.22,1.23,1.23,1.22,-0.01,-0.81,26000000,31950000,8
2012-02-29,1.22,1.22,1.22,1.22,0.0,0.0,61555779,75098050,14
2012-03-01,1.22,1.22,1.22,1.22,0.0,0.0,11803562,14400346,6
2012-03-04,1.22,1.22,1.22,1.22,0.0,0.0,10422333,12715246,5
2012-03-05,1.22,1.23,1.23,1.22,0.0,0.0,3393089,4150388,4
2012-03-06,1.22,1.22,1.22,1.22,0.0,0.0,5781676,7053645,5
2012-03-07,1.22,1.22,1.22,1.22,0.0,0.0,43545994,53126113,20
2012-03-08,1.24,1.23,1.24,1.23,0.02,1.64,68317339,84542254,29
2012-03-11,1.24,1.23,1.24,1.23,0.0,0.0,9773891,12112499,4
2012-03-12,1.23,1.24,1.24,1.23,-0.01,-0.81,13452525,16589480,4
2012-03-13,1.22,1.22,1.23,1.22,-0.01,-0.81,10452108,12849643,6
2012-03-14,1.23,1.22,1.23,1.22,0.01,0.82,21049792,25885746,4
2012-03-15,1.23,1.22,1.23,1.22,0.0,0.0,19413241,23877986,6
2012-03-18,1.23,1.23,1.23,1.23,0.0,0.0,20904352,25712353,5
2012-03-19,1.23,1.23,1.23,1.23,0.0,0.0,28474804,35024009,5
2012-03-20,1.25,1.23,1.25,1.23,0.02,1.63,80069265,99665196,25
2012-03-22,1.28,1.27,1.3,1.27,0.03,2.4,101644736,131035866,37
2012-04-01,1.28,1.28,1.33,1.28,0.0,0.0,198021232,256127177,61
2012-04-02,1.27,1.27,1.27,1.27,-0.01,-0.78,2000000,2540000,1
2012-04-03,1.27,1.27,1.28,1.25,0.0,0.0,42928945,54119248,20
2012-04-04,1.27,1.26,1.27,1.26,0.0,0.0,28742279,36225272,11
2012-04-05,1.25,1.27,1.27,1.25,-0.02,-1.57,23082801,29092543,12
2012-04-08,1.25,1.25,1.26,1.25,0.0,0.0,51637451,64695439,14
2012-04-09,1.25,1.25,1.26,1.25,0.0,0.0,101215329,126521650,28
2012-04-10,1.25,1.25,1.25,1.25,0.0,0.0,29000000,36250000,8
2012-04-11,1.25,1.25,1.25,1.24,0.0,0.0,91880818,114565898,26
2012-04-12,1.24,1.25,1.25,1.24,-0.01,-0.8,3703651,4627727,6
2012-04-15,1.24,1.24,1.24,1.24,0.0,0.0,4683689,5807774,3
2012-04-16,1.24,1.24,1.25,1.24,0.0,0.0,21407550,26547862,15
2012-04-17,1.25,1.24,1.25,1.24,0.01,0.81,3966754,4957443,4
2012-04-18,1.24,1.24,1.24,1.24,-0.01,-0.8,3613056,4480189,5
2012-04-19,1.25,1.24,1.25,1.24,0.01,0.81,18472694,22913441,11
2012-04-22,1.24,1.24,1.24,1.24,-0.01,-0.8,10733408,13309426,6
2012-04-23,1.24,1.25,1.25,1.24,0.0,0.0,14110290,17525459,9
2012-04-24,1.28,1.25,1.28,1.24,0.04,3.23,14565236,18281555,14
2012-04-25,1.26,1.26,1.26,1.26,-0.02,-1.56,500000,630000,1
2012-04-26,1.26,1.26,1.26,1.26,0.0,0.0,1000000,1260000,1
2012-04-29,1.25,1.25,1.25,1.24,-0.01,-0.79,17000000,21220000,11
2012-04-30,1.24,1.25,1.25,1.24,-0.01,-0.8,10150000,12623000,4
2012-05-02,1.26,1.25,1.26,1.25,0.02,1.61,4435722,5555852,4
2012-05-03,1.25,1.26,1.26,1.25,-0.01,-0.79,1319192,1650990,3
2012-05-06,1.25,1.25,1.25,1.25,0.0,0.0,3243021,4053776,8
2012-05-07,1.25,1.25,1.25,1.24,0.0,0.0,1750000,2177500,3
2012-05-08,1.24,1.24,1.24,1.24,-0.01,-0.8,10438417,12943637,4
2012-05-09,1.24,1.24,1.24,1.24,0.0,0.0,12544026,15554592,5
2012-05-10,1.24,1.24,1.24,1.24,0.0,0.0,21156014,26233457,5
2012-05-13,1.24,1.24,1.24,1.24,0.0,0.0,500000,620000,1
2012-05-15,1.24,1.24,1.24,1.24,0.0,0.0,14769699,18314427,11
2012-05-16,1.23,1.23,1.23,1.23,-0.01,-0.81,3000000,3690000,1
2012-05-17,1.23,1.23,1.23,1.23,0.0,0.0,16544240,20349415,12
2012-05-20,1.23,1.23,1.23,1.23,0.0,0.0,3647412,4486317,6
2012-05-21,1.23,1.23,1.23,1.23,0.0,0.0,22881609,28144379,9
2012-05-22,1.23,1.23,1.23,1.23,0.0,0.0,7668333,9432050,8
2012-05-23,1.22,1.23,1.23,1.22,-0.01,-0.81,95754521,116858016,15
2012-05-24,1.22,1.22,1.22,1.22,0.0,0.0,43700000,53314000,15
2012-05-27,1.22,1.22,1.22,1.22,0.0,0.0,64833333,79096666,9
2012-05-28,1.22,1.22,1.22,1.22,0.0,0.0,2721279765,3319961313,8
2012-05-29,1.21,1.22,1.22,1.21,-0.01,-0.82,2708441492,3277216205,6
2012-05-30,1.22,1.22,1.22,1.22,0.01,0.83,29303167,35749864,11
2012-06-03,1.23,1.22,1.23,1.22,0.01,0.82,17583331,21501664,6
2012-06-04,1.22,1.22,1.23,1.22,-0.01,-0.81,15348160,18769755,8
2012-06-05,1.26,1.24,1.26,1.23,0.04,3.28,44444531,55519218,27
2012-06-06,1.24,1.27,1.27,1.24,-0.02,-1.59,15833333,19705500,10
2012-06-07,1.22,1.24,1.24,1.22,-0.02,-1.61,15200000,18678000,7
2012-06-10,1.23,1.22,1.23,1.22,0.01,0.82,38620000,47266400,12
2012-06-11,1.22,1.23,1.23,1.22,-0.01,-0.81,21098361,25805000,7
2012-06-12,1.23,1.23,1.23,1.23,0.01,0.82,11014482,13547813,9
2012-06-13,1.21,1.23,1.23,1.21,-0.02,-1.63,24493334,29814334,9
2012-06-17,1.21,1.22,1.22,1.21,0.0,0.0,8688359,10523131,10
2012-06-18,1.22,1.22,1.22,1.22,0.01,0.83,17108963,20872935,10
2012-06-19,1.22,1.22,1.22,1.22,0.0,0.0,36022330,43947243,16
2012-06-20,1.23,1.23,1.25,1.23,0.01,0.82,24545102,30361475,12
2012-06-21,1.24,1.25,1.25,1.24,0.01,0.81,2949804,3658757,2
2012-06-24,1.26,1.25,1.28,1.25,0.02,1.61,22880000,28840900,14
2012-06-25,1.25,1.25,1.25,1.25,-0.01,-0.79,21150126,26437658,16
2012-06-26,1.24,1.24,1.24,1.23,-0.01,-0.8,6500000,8035000,5
2012-06-27,1.22,1.23,1.23,1.22,-0.02,-1.61,32407097,39569158,18
2012-06-28,1.22,1.22,1.22,1.22,0.0,0.0,61806902,75404420,28
2012-07-01,1.23,1.22,1.23,1.22,0.01,0.82,39789165,48779723,16
2012-07-02,1.25,1.23,1.25,1.23,0.02,1.63,52557021,64908136,28
2012-07-03,1.25,1.24,1.26,1.24,0.0,0.0,37314996,46626245,19
2012-07-04,1.24,1.24,1.24,1.24,-0.01,-0.8,10298125,12769675,4
2012-07-05,1.23,1.23,1.23,1.23,-0.01,-0.81,5012000,6164760,3
2012-07-08,1.22,1.23,1.23,1.22,-0.01,-0.81,350923020,431634190,4
2012-07-09,1.22,1.22,1.22,1.22,0.0,0.0,405918605,495220698,34
2012-07-10,1.23,1.22,1.23,1.22,0.01,0.82,869826,1063188,3
2012-07-11,1.22,1.22,1.22,1.22,-0.01,-0.81,8000000,9760000,3
2012-07-12,1.24,1.22,1.24,1.22,0.02,1.64,15569960,19265351,6
2012-07-15,1.24,1.24,1.24,1.23,0.0,0.0,351214115,435465503,6
2012-07-16,1.24,1.24,1.24,1.24,0.0,0.0,3591977,4454051,4
2012-07-17,1.23,1.23,1.23,1.23,-0.01,-0.81,6500000,7995000,4
2012-07-18,1.23,1.23,1.23,1.23,0.0,0.0,5000000,6150000,3
2012-07-19,1.23,1.22,1.23,1.22,0.0,0.0,127988826,156213468,12
2012-07-22,1.21,1.22,1.22,1.21,-0.02,-1.63,23333333,28393333,6
2012-07-23,1.22,1.22,1.22,1.22,0.01,0.83,17251272,21046552,9
2012-07-24,1.21,1.22,1.22,1.21,-0.01,-0.82,30985500,37522455,10
2012-07-25,1.21,1.21,1.21,1.21,0.0,0.0,60054931,72666467,13
2012-07-29,1.21,1.21,1.21,1.21,0.0,0.0,20486382,24788522,8
2012-07-30,1.2,1.2,1.2,1.2,-0.01,-0.83,29620912,35545094,11
2012-07-31,1.19,1.18,1.19,1.18,-0.01,-0.83,32000000,37870000,8
2012-08-01,1.2,1.2,1.2,1.2,0.01,0.84,2000000,2400000,1
2012-08-05,1.2,1.19,1.2,1.19,0.0,0.0,6614625,7897550,7
2012-08-06,1.21,1.2,1.21,1.2,0.01,0.83,74360000,89302000,20
2012-08-07,1.21,1.21,1.21,1.2,0.0,0.0,29054830,35153070,14
2012-08-08,1.21,1.21,1.21,1.21,0.0,0.0,5900000,7139000,5
2012-08-12,1.22,1.21,1.22,1.21,0.01,0.83,12235000,14924350,4
2012-08-13,1.21,1.21,1.21,1.2,-0.01,-0.82,29823763,35939516,15
2012-08-14,1.21,1.21,1.21,1.21,0.0,0.0,15000000,18150000,2
2012-08-15,1.22,1.2,1.22,1.2,0.01,0.83,25000000,30210000,9
2012-08-26,1.22,1.21,1.22,1.21,0.0,0.0,4444305,5407052,3
2012-08-27,1.23,1.22,1.23,1.22,0.01,0.82,23000000,28090000,8
2012-08-28,1.21,1.23,1.23,1.2,-0.02,-1.63,58506305,70394575,12
2012-08-29,1.2,1.21,1.21,1.2,-0.01,-0.83,11504220,13820048,9
2012-08-30,1.2,1.2,1.2,1.2,0.0,0.0,58000,69600,3
2012-09-02,1.2,1.2,1.2,1.2,0.0,0.0,366733,440080,1
2012-09-03,1.21,1.21,1.21,1.21,0.01,0.83,1712411,2072017,3
2012-09-04,1.21,1.21,1.21,1.21,0.0,0.0,1425706,1725104,3
2012-09-05,1.22,1.22,1.22,1.22,0.01,0.83,17804088,21720987,7
2012-09-06,1.22,1.22,1.22,1.22,0.0,0.0,1190051,1451862,3
2012-09-09,1.21,1.21,1.21,1.21,-0.01,-0.82,5900000,7139000,4
2012-09-11,1.21,1.21,1.21,1.21,0.0,0.0,19074999,23080749,6
2012-09-12,1.2,1.2,1.2,1.2,-0.01,-0.83,5884600,7061520,8
2012-09-13,1.2,1.2,1.2,1.2,0.0,0.0,2078781,2494537,2
2012-09-16,1.21,1.21,1.21,1.21,0.01,0.83,1081967,1309180,2
2012-09-17,1.22,1.23,1.24,1.22,0.01,0.83,50000000,61490000,26
2012-09-18,1.2,1.22,1.22,1.2,-0.02,-1.64,92937257,111778708,28
2012-09-19,1.21,1.21,1.21,1.21,0.01,0.83,22450000,27164500,9
2012-09-20,1.2,1.21,1.21,1.2,-0.01,-0.83,4800000,5773000,6
2012-09-23,1.2,1.2,1.2,1.2,0.0,0.0,85000000,102000000,17
2012-09-24,1.21,1.2,1.21,1.2,0.01,0.83,44391561,53319873,11
