Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-05,0,1.9,1.9,1.85,0,0.00%,,35872505,
2010-01-07,0,1.85,1.85,1.85,0,0.00%,,4819661,
2010-01-10,0,1.85,1.85,1.85,0,0.00%,,9250000,
2010-01-13,0,1.85,1.89,1.85,0,0.00%,,3936244,
2010-01-21,0,1.8,1.8,1.8,0,0.00%,,5400000,
2010-01-24,0,1.8,1.8,1.71,0,0.00%,,33830044,
2010-01-25,0,1.75,1.75,1.73,0,0.00%,,741120,
2010-01-26,0,1.7,1.7,1.7,0,0.00%,,944834,
2010-01-27,0,1.7,1.7,1.7,0,0.00%,,539816,
2010-01-28,0,1.75,1.75,1.71,0,0.00%,,1950714,
2010-01-31,0,1.83,1.83,1.75,0,0.00%,,9102000,
2010-02-01,0,1.75,1.8,1.75,0,0.00%,,89567977,
2010-02-02,0,1.81,1.85,1.81,0,0.00%,,4250000,
2010-02-03,0,1.89,1.9,1.85,0,0.00%,,15478600,
2010-02-04,0,1.9,1.9,1.85,0,0.00%,,11443332,
2010-02-07,0,1.84,1.84,1.84,0,0.00%,,1287996,
2010-02-08,0,1.85,1.85,1.8,0,0.00%,,2262500,
2010-02-09,0,1.85,1.85,1.85,0,0.00%,,370000,
2010-02-10,0,1.8,1.8,1.8,0,0.00%,,1106847,
2010-02-14,0,1.8,1.8,1.8,0,0.00%,,1440000,
2010-02-15,0,1.85,1.85,1.85,0,0.00%,,133200000,
2010-02-16,0,1.85,1.85,1.85,0,0.00%,,55500000,
2010-02-17,0,1.85,1.85,1.85,0,0.00%,,3792500,
2010-02-24,0,1.82,1.82,1.82,0,0.00%,,910000,
2010-02-25,0,1.78,1.8,1.78,0,0.00%,,72883000,
2010-02-28,0,1.76,1.76,1.76,0,0.00%,,352000,
2010-03-01,0,1.76,1.8,1.76,0,0.00%,,2071718,
2010-03-02,0,1.85,1.85,1.85,0,0.00%,,370000,
2010-03-03,0,1.85,1.85,1.81,0,0.00%,,74181000,
2010-03-09,0,1.82,1.82,1.82,0,0.00%,,364000,
2010-03-10,0,1.83,1.84,1.83,0,0.00%,,4160440,
2010-03-16,0,1.78,1.78,1.75,0,0.00%,,24000000,
2010-03-17,0,1.75,1.75,1.75,0,0.00%,,2187500,
2010-03-18,0,1.75,1.75,1.75,0,0.00%,,126923979,
2010-03-23,0,1.7,1.7,1.7,0,0.00%,,9523930,
2010-03-24,0,1.7,1.7,1.7,0,0.00%,,3060000,
2010-03-25,0,1.7,1.7,1.7,0,0.00%,,9680388,
2010-03-28,0,1.7,1.7,1.7,0,0.00%,,595000,
2010-03-30,0,1.7,1.7,1.7,0,0.00%,,1326000,
2010-04-01,0,1.75,1.75,1.75,0,0.00%,,149208,
2010-04-04,0,1.7,1.7,1.7,0,0.00%,,12240218,
2010-04-07,0,1.7,1.7,1.7,0,0.00%,,14830800,
2010-04-15,0,1.57,1.58,1.57,0,0.00%,,4008708,
2010-04-19,0,1.6,1.62,1.6,0,0.00%,,160162000,
2010-04-20,0,1.62,1.62,1.62,0,0.00%,,5438956,
2010-04-21,0,1.61,1.61,1.61,0,0.00%,,563500,
2010-04-22,0,1.62,1.65,1.62,0,0.00%,,6244985,
2010-04-25,0,1.64,1.64,1.64,0,0.00%,,328000,
2010-05-03,0,1.6,1.6,1.6,0,0.00%,,800000,
2010-05-10,0,1.6,1.6,1.6,0,0.00%,,4379336,
2010-05-12,0,1.6,1.6,1.6,0,0.00%,,1200000,
2010-05-13,0,1.62,1.62,1.62,0,0.00%,,2592000,
2010-05-16,0,1.62,1.62,1.61,0,0.00%,,25519100,
2010-05-18,0,1.67,1.67,1.67,0,0.00%,,3006000,
2010-05-20,0,1.66,1.67,1.63,0,0.00%,,9346500,
2010-05-23,0,1.61,1.61,1.61,0,0.00%,,1932000,
2010-08-26,0,1.35,1.35,1.34,0,0.00%,,366931350,
2010-08-29,0,1.3,1.3,1.3,0,0.00%,,83386,
2011-01-27,0,1.43,1.43,1.43,0,0.00%,,286000,
2011-01-30,0,1.57,1.57,1.45,0,0.00%,,59221178,
2011-01-31,0,1.4,1.4,1.34,0,0.00%,,28654193,
2011-02-01,0,1.32,1.38,1.32,0,0.00%,,78876931,
2011-02-02,0,1.37,1.41,1.37,0,0.00%,,20147676,
2011-02-03,0,1.41,1.52,1.41,0,0.00%,,19169837,
2011-02-06,0,1.52,1.53,1.47,0,0.00%,,17835834,
2011-02-07,0,1.47,1.52,1.47,0,0.00%,,15553861,
2011-02-08,0,1.5,1.52,1.5,0,0.00%,,12639157,
2011-02-09,0,1.52,1.55,1.52,0,0.00%,,42069451,
2011-02-10,0,1.56,1.67,1.56,0,0.00%,,170605935,
2011-02-13,0,1.56,1.56,1.5,0,0.00%,,4620000,
2011-02-14,0,1.5,1.5,1.5,0,0.00%,,4875000,
2011-02-16,0,1.5,1.5,1.5,0,0.00%,,3000000,
2011-02-17,0,1.5,1.5,1.5,0,0.00%,,3075000,
2011-02-22,0,1.49,1.49,1.49,0,0.00%,,78888704,
2011-02-23,0,1.48,1.55,1.48,0,0.00%,,81228074,
2011-02-28,0,1.55,1.55,1.5,0,0.00%,,926913,
2011-03-01,0,1.47,1.54,1.47,0,0.00%,,10808337,
2011-03-02,0,1.54,1.54,1.5,0,0.00%,,13196440,
2011-03-03,0,1.52,1.52,1.52,0,0.00%,,380000,
2011-03-07,0,1.53,1.53,1.5,0,0.00%,,11439000,
2011-03-08,0,1.5,1.5,1.41,0,0.00%,,154171529,
2011-03-09,0,1.45,1.45,1.42,0,0.00%,,41661000,
2011-03-10,0,1.41,1.41,1.41,0,0.00%,,9870000,
2011-03-13,0,1.42,1.42,1.41,0,0.00%,,9336000,
2011-03-14,0,1.41,1.41,1.4,0,0.00%,,16671184,
2011-03-15,0,1.4,1.41,1.38,0,0.00%,,20752550,
2011-03-16,0,1.39,1.39,1.38,0,0.00%,,15453626,
2011-03-17,0,1.37,1.39,1.37,0,0.00%,,17707000,
2011-03-20,0,1.37,1.4,1.37,0,0.00%,,771380,
2011-03-23,0,1.39,1.41,1.39,0,0.00%,,15515000,
2011-03-24,0,1.4,1.4,1.4,0,0.00%,,2353196,
2011-03-27,0,1.4,1.41,1.4,0,0.00%,,7705000,
2011-03-28,0,1.41,1.41,1.41,0,0.00%,,2115000,
2011-03-29,0,1.41,1.42,1.41,0,0.00%,,8515000,
2011-03-30,0,1.4,1.4,1.38,0,0.00%,,28273353,
2011-03-31,0,1.39,1.39,1.37,0,0.00%,,37928091,
2011-04-03,0,1.37,1.37,1.37,0,0.00%,,3566691,
2011-04-04,0,1.37,1.37,1.35,0,0.00%,,18291343,
2011-04-05,0,1.37,1.37,1.35,0,0.00%,,12238500,
2011-04-06,0,1.34,1.34,1.31,0,0.00%,,21292500,
2011-04-07,0,1.31,1.31,1.28,0,0.00%,,18712000,
2011-04-10,0,1.26,1.29,1.25,0,0.00%,,6891999,
2011-04-11,0,1.22,1.22,1.2,0,0.00%,,8344000,
2011-04-12,0,1.2,1.26,1.2,0,0.00%,,5562485,
2011-04-13,0,1.26,1.28,1.26,0,0.00%,,464186000,
2011-04-14,0,1.28,1.3,1.28,0,0.00%,,2983300,
2011-04-17,0,1.28,1.3,1.28,0,0.00%,,7092000,
2011-04-18,0,1.3,1.3,1.3,0,0.00%,,390000,
2011-04-19,0,1.3,1.3,1.28,0,0.00%,,9425500,
2011-04-20,0,1.26,1.26,1.26,0,0.00%,,1260000,
2011-04-21,0,1.26,1.26,1.24,0,0.00%,,6204000,
2011-04-24,0,1.27,1.28,1.27,0,0.00%,,24197248,
2011-04-25,0,1.28,1.28,1.27,0,0.00%,,7630000,
2011-04-26,0,1.28,1.28,1.25,0,0.00%,,4103942,
2011-04-27,0,1.25,1.25,1.25,0,0.00%,,4931250,
2011-04-28,0,1.28,1.32,1.25,0,0.00%,,16953000,
2011-05-02,0,1.32,1.32,1.32,0,0.00%,,39613200,
2011-05-03,0,1.33,1.34,1.32,0,0.00%,,21215900,
2011-05-04,0,1.35,1.35,1.32,0,0.00%,,14697000,
2011-05-05,0,1.34,1.34,1.34,0,0.00%,,268000,
2011-05-09,0,1.33,1.34,1.33,0,0.00%,,16050000,
2011-05-10,0,1.34,1.34,1.34,0,0.00%,,3216000,
2011-05-12,0,1.32,1.32,1.3,0,0.00%,,16280000,
2011-05-15,0,1.3,1.3,1.3,0,0.00%,,179230422,
2011-05-16,0,1.3,1.3,1.28,0,0.00%,,7299144,
2011-05-17,0,1.29,1.29,1.24,0,0.00%,,8869650,
2011-05-18,0,1.25,1.26,1.25,0,0.00%,,3260000,
2011-05-19,0,1.25,1.25,1.25,0,0.00%,,7170191,
2011-05-22,0,1.26,1.26,1.25,0,0.00%,,10167700,
2011-05-23,0,1.26,1.36,1.26,0,0.00%,,112722892,
2011-09-06,0,1.54,1.55,1.42,0,0.00%,,92357183,
2011-09-07,0,1.44,1.49,1.44,0,0.00%,,115963021,
2011-09-08,0,1.48,1.5,1.45,0,0.00%,,274120935,
2011-09-11,0,1.48,1.48,1.47,0,0.00%,,39178978,
2011-09-12,0,1.48,1.48,1.47,0,0.00%,,25999518,
2011-09-13,0,1.47,1.47,1.41,0,0.00%,,29383384,
2011-09-14,0,1.42,1.44,1.42,0,0.00%,,21949581,
2011-09-15,0,1.43,1.45,1.43,0,0.00%,,18899058,
2011-09-18,0,1.42,1.42,1.42,0,0.00%,,18662039,
2011-09-19,0,1.42,1.42,1.4,0,0.00%,,12875344,
2011-09-20,0,1.37,1.37,1.35,0,0.00%,,22365000,
2011-09-21,0,1.35,1.35,1.35,0,0.00%,,1207895,
2011-09-22,0,1.35,1.36,1.35,0,0.00%,,56207763,
2011-09-25,0,1.35,1.35,1.32,0,0.00%,,46092053,
2011-09-26,0,1.31,1.31,1.3,0,0.00%,,44250000,
2011-09-27,0,1.3,1.3,1.29,0,0.00%,,16271750,
2011-09-29,0,1.29,1.3,1.29,0,0.00%,,21782341,
2011-10-02,0,1.29,1.29,1.29,0,0.00%,,12323557,
2011-10-03,0,1.27,1.27,1.27,0,0.00%,,635000,
2011-10-04,0,1.27,1.27,1.26,0,0.00%,,10560615,
2011-10-05,0,1.28,1.3,1.28,0,0.00%,,9730000,
2011-10-06,0,1.3,1.35,1.3,0,0.00%,,25941434,
2011-10-09,0,1.3,1.3,1.3,0,0.00%,,9750000,
2011-10-10,0,1.29,1.29,1.27,0,0.00%,,25560000,
2011-10-11,0,1.29,1.29,1.28,0,0.00%,,25703557,
2011-10-12,0,1.28,1.28,1.28,0,0.00%,,3840000,
2011-10-13,0,1.28,1.28,1.28,0,0.00%,,1280000,
2011-10-16,0,1.28,1.28,1.28,0,0.00%,,4224000,
2011-10-17,0,1.28,1.28,1.28,0,0.00%,,2560000,
2011-10-18,0,1.27,1.27,1.26,0,0.00%,,9878000,
2011-10-19,0,1.27,1.27,1.27,0,0.00%,,1460500,
