Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-11-13,0,1,1.1,1,0,0.00%,,2116140,6
2011-11-14,0,1,1.03,1,0,0.00%,,18105375,10
2011-11-15,0,1.03,1.03,1,0,0.00%,,10965714,6
2011-11-16,0,0.95,0.99,0.95,0,0.00%,,13611091,5
2011-11-20,0,0.99,0.99,0.98,0,0.00%,,161624732,2
2011-11-21,0,0.98,0.98,0.98,0,0.00%,,9800000,1
2011-11-22,0,0.98,0.98,0.97,0,0.00%,,11059500,7
2011-11-24,0,0.95,0.96,0.94,0,0.00%,,47247164,16
2011-11-28,0,1,1,0.95,0,0.00%,,4932419,2
2011-11-29,0,0.95,0.95,0.95,0,0.00%,,33850798,6
2011-11-30,0,0.95,0.95,0.92,0,0.00%,,16083887,8
2011-12-01,1,0.92,0.95,0.91,1,0.00%,,1730287,6
2011-12-04,1,0.98,1,0.98,0,0.00%,,8587945,6
2011-12-05,0.99,0.97,0.99,0.97,-0.01,-1.00%,,7391268,8
2011-12-07,0.98,0.99,1,0.98,-0.01,-1.01%,,15974368,6
2011-12-08,0.99,0.98,0.99,0.98,0.01,1.02%,,3494999,4
2011-12-11,0.95,0.96,0.96,0.95,-0.04,-4.04%,,5188224,3
2011-12-13,0.97,0.98,0.98,0.97,0.02,2.11%,,1942000,6
2011-12-14,0.95,0.97,0.98,0.95,-0.02,-2.06%,,917000,3
2011-12-15,0.97,0.97,0.97,0.97,0.02,2.11%,,582000,3
2012-01-03,0.95,0.95,0.95,0.95,-0.02,-2.06%,,950000,1
2012-01-04,0.95,0.95,0.95,0.95,0,0.00%,,5827461,2
2012-01-05,0.95,0.95,0.95,0.95,0,0.00%,,950000,4
2012-01-09,0.95,0.95,0.97,0.95,0,0.00%,,22459888,12
2012-01-10,0.95,0.95,0.95,0.95,0,0.00%,,1900000,1
2012-01-11,0.95,0.95,0.95,0.95,0,0.00%,,5842500,4
2012-01-15,0.95,0.96,0.96,0.95,0,0.00%,,10412000,2
2012-01-16,0.96,0.95,0.96,0.95,0.01,1.05%,,25833804,8
2012-01-17,0.95,0.96,0.96,0.95,-0.01,-1.04%,,5326000,5
2012-01-18,0.96,0.96,0.98,0.96,0.01,1.05%,,4810000,4
2012-01-19,0.95,0.96,0.96,0.95,-0.01,-1.04%,,10923888,7
2012-01-22,0.95,0.95,0.95,0.95,0,0.00%,,237500,2
2012-01-23,0.96,0.96,0.96,0.96,0.01,1.05%,,1920000,1
2012-01-24,0.95,0.96,0.96,0.95,-0.01,-1.04%,,12837724,2
2012-01-25,0.94,0.94,0.94,0.94,-0.01,-1.05%,,9400000,1
2012-01-26,0.92,0.94,0.94,0.92,-0.02,-2.13%,,635364,2
2012-01-29,0.93,0.93,0.93,0.93,0.01,1.09%,,930000,1
2012-01-30,0.93,0.93,0.93,0.93,0,0.00%,,279000,2
2012-01-31,0.93,0.93,0.93,0.93,0,0.00%,,186000,1
2012-02-01,0.93,0.93,0.93,0.93,0,0.00%,,93000,1
2012-02-02,0.93,0.93,0.93,0.93,0,0.00%,,1196352,3
2012-02-06,0.93,0.93,0.93,0.93,0,0.00%,,3166455,4
2012-02-07,0.93,0.93,0.93,0.93,0,0.00%,,2072064,3
2012-02-08,0.93,0.93,0.93,0.93,0,0.00%,,106032,1
2012-02-09,0.95,0.94,0.95,0.94,0.02,2.15%,,378000,2
2012-02-12,0.95,0.94,0.95,0.94,0,0.00%,,8032500,3
2012-02-13,0.94,0.94,0.94,0.94,-0.01,-1.05%,,1410000,1
2012-02-14,0.94,0.92,0.94,0.92,0,0.00%,,7905362,4
