Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2012-02-08,0.9,0.9,0.9,0.9,0,0.00%,,31396440,14
2012-02-09,0.91,0.9,0.91,0.9,0.01,1.11%,,33516137,15
2012-02-12,0.9,0.91,0.91,0.9,-0.01,-1.10%,,120930689,27
2012-02-13,0.9,0.9,0.9,0.9,0,0.00%,,79274160,18
2012-02-14,0.9,0.91,0.91,0.9,0,0.00%,,9372209,10
2012-02-15,0.9,0.91,0.91,0.9,0,0.00%,,39523500,13
2012-02-16,0.89,0.9,0.9,0.89,-0.01,-1.11%,,17975344,14
2012-02-19,0.88,0.89,0.89,0.88,-0.01,-1.12%,,47562676,20
2012-02-20,0.88,0.88,0.88,0.88,0,0.00%,,54404358,35
2012-02-21,0.9,0.88,0.9,0.88,0.02,2.27%,,94635381,28
2012-02-22,0.9,0.9,0.91,0.9,0,0.00%,,35655498,16
2012-02-23,0.9,0.9,0.9,0.89,0,0.00%,,4720000,5
2012-02-26,0.9,0.9,0.9,0.9,0,0.00%,,76949127,29
2012-02-27,0.9,0.9,0.91,0.9,0,0.00%,,20442274,14
2012-02-28,0.89,0.9,0.91,0.89,-0.01,-1.11%,,48333135,25
2012-02-29,0.89,0.89,0.89,0.89,0,0.00%,,78691921,20
2012-03-01,0.91,0.9,0.91,0.9,0.02,2.25%,,91490653,23
2012-03-04,0.91,0.9,0.91,0.86,0,0.00%,,1115548030,107
2012-03-05,0.9,0.9,0.9,0.89,-0.01,-1.10%,,497819060,27
2012-03-06,0.91,0.9,0.91,0.9,0.01,1.11%,,421344881,28
2012-03-07,0.93,0.92,0.93,0.92,0.02,2.20%,,80201690,37
2012-03-08,0.95,0.93,0.95,0.93,0.02,2.15%,,133840220,47
2012-03-11,0.94,0.95,0.96,0.94,-0.01,-1.05%,,169312975,56
2012-03-12,0.94,0.94,0.94,0.94,0,0.00%,,80202062,25
2012-03-13,0.93,0.94,0.94,0.93,-0.01,-1.06%,,157770743,31
2012-03-14,0.93,0.94,0.94,0.93,0,0.00%,,74181423,25
2012-03-15,0.91,0.93,0.93,0.91,-0.02,-2.15%,,147545480,32
2012-03-18,0.9,0.93,0.93,0.9,-0.01,-1.10%,,40023500,9
2012-03-19,0.91,0.91,0.91,0.9,0.01,1.11%,,95600000,24
2012-03-20,0.9,0.92,0.92,0.9,-0.01,-1.10%,,48657452,25
2012-03-22,0.91,0.9,0.91,0.9,0.01,1.11%,,64222618,13
2012-04-01,0.9,0.91,0.91,0.9,-0.01,-1.10%,,36733309,13
2012-04-02,0.9,0.9,0.91,0.9,0,0.00%,,18544150,14
2012-04-03,0.89,0.9,0.9,0.89,-0.01,-1.11%,,120023112,25
2012-04-04,0.89,0.89,0.9,0.89,0,0.00%,,116679766,26
2012-04-05,0.9,0.9,0.9,0.9,0.01,1.12%,,161312309,37
2012-04-08,0.89,0.89,0.89,0.88,-0.01,-1.11%,,17010129,12
2012-04-09,0.89,0.89,0.89,0.89,0,0.00%,,58072500,15
2012-04-10,0.89,0.89,0.89,0.88,0,0.00%,,88273926,27
2012-04-11,0.89,0.89,0.89,0.88,0,0.00%,,110032153,24
2012-04-12,0.88,0.88,0.88,0.87,-0.01,-1.12%,,105488000,21
2012-04-15,0.89,0.89,0.89,0.89,0.01,1.14%,,88555000,27
2012-04-16,0.9,0.89,0.9,0.89,0.01,1.12%,,57595007,18
2012-04-17,0.88,0.89,0.89,0.88,-0.02,-2.22%,,40034794,15
