Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-01,1.0,0.93,0.93,0.91,,,230877143,213361115,55
2011-12-04,1.0,0.91,0.93,0.91,0.0,0.0,108303321,99408618,23
2011-12-05,0.93,0.92,0.93,0.91,-0.07,-7.0,137459000,126041280,26
2011-12-07,0.92,0.93,0.93,0.92,-0.01,-1.08,219420905,202837233,40
2011-12-08,0.92,0.92,0.93,0.91,0.0,0.0,144547842,132964715,39
2011-12-11,0.93,0.93,0.95,0.93,0.01,1.09,320749897,299507731,86
2011-12-12,0.92,0.93,0.93,0.92,-0.01,-1.08,214777892,197778440,44
2011-12-13,0.92,0.92,0.93,0.92,0.0,0.0,88406717,81562020,32
2011-12-14,0.92,0.92,0.92,0.9,0.0,0.0,133782952,121764162,41
2011-12-15,0.93,0.91,0.93,0.91,0.01,1.09,282245740,260858116,66
2011-12-18,0.93,0.93,0.93,0.93,0.0,0.0,326543083,303685067,92
2011-12-19,0.95,0.92,0.95,0.92,0.02,2.15,345259944,323095200,78
2011-12-20,0.95,0.94,0.96,0.93,0.0,0.0,310599833,295489892,83
2012-01-03,0.94,0.95,0.95,0.93,-0.01,-1.05,34762051,32485712,15
2012-01-04,0.94,0.94,0.94,0.93,0.0,0.0,76814905,71772065,24
2012-01-05,0.93,0.94,0.94,0.93,-0.01,-1.06,99762816,93064419,30
2012-01-08,0.93,0.93,0.93,0.93,0.0,0.0,147276387,136967040,47
2012-01-09,0.93,0.93,0.93,0.93,0.0,0.0,23147745,21527403,14
2012-01-10,0.92,0.92,0.93,0.92,-0.01,-1.08,27275717,25099660,17
2012-01-11,0.93,0.92,0.93,0.92,0.01,1.09,115537234,106676755,30
2012-01-15,0.92,0.93,0.93,0.92,-0.01,-1.08,105845419,97382685,26
2012-01-16,0.91,0.92,0.92,0.91,-0.01,-1.09,47128656,42930077,18
2012-01-17,0.91,0.91,0.91,0.91,0.0,0.0,25302453,23025232,26
2012-01-18,0.89,0.91,0.91,0.89,-0.02,-2.2,144259548,129616998,46
2012-01-19,0.89,0.89,0.89,0.89,0.0,0.0,94983045,84534910,38
2012-01-22,0.89,0.89,0.9,0.88,0.0,0.0,78558209,69726806,27
2012-01-23,0.89,0.89,0.89,0.88,0.0,0.0,135429470,120286048,34
2012-01-24,0.89,0.89,0.9,0.89,0.0,0.0,190073109,169405067,32
2012-01-25,0.88,0.89,0.89,0.88,-0.01,-1.12,72979261,64261750,23
2012-01-26,0.88,0.88,0.88,0.87,0.0,0.0,223397900,195460173,58
2012-01-29,0.87,0.88,0.88,0.86,-0.01,-1.14,183191891,159887602,34
2012-01-30,0.86,0.87,0.87,0.85,-0.01,-1.15,280305581,239748114,54
2012-01-31,0.85,0.86,0.86,0.85,-0.01,-1.16,167428181,142430685,42
2012-02-01,0.87,0.85,0.87,0.85,0.02,2.35,85004000,73803480,20
2012-02-02,0.89,0.88,0.9,0.88,0.02,2.3,142314239,125872461,43
2012-02-06,0.92,0.91,0.92,0.9,0.03,3.37,346892593,313185888,79
2012-02-07,0.9,0.92,0.92,0.89,-0.02,-2.17,113448203,101837776,36
2012-02-08,0.89,0.89,0.89,0.88,-0.01,-1.11,280124965,247904262,61
2012-02-09,0.89,0.89,0.89,0.89,0.0,0.0,62157610,55320273,26
2012-02-12,0.89,0.9,0.9,0.89,0.0,0.0,113042390,101244336,27
2012-02-13,0.89,0.89,0.9,0.89,0.0,0.0,99792791,88845584,29
2012-02-14,0.9,0.9,0.9,0.89,0.01,1.12,163708687,146542818,42
2012-02-15,0.89,0.9,0.9,0.89,-0.01,-1.11,141790636,126198166,32
2012-02-16,0.89,0.89,0.89,0.89,0.0,0.0,140255094,124827034,29
2012-02-19,0.89,0.89,0.89,0.89,0.0,0.0,505198589,449626744,26
2012-02-20,0.89,0.9,0.9,0.89,0.0,0.0,104536877,93047821,25
2012-02-21,0.9,0.89,0.9,0.89,0.01,1.12,642039329,572057813,50
2012-02-22,0.9,0.9,0.9,0.9,0.0,0.0,139364445,125428000,45
2012-02-23,0.9,0.91,0.91,0.9,0.0,0.0,100952221,90859129,33
2012-02-26,0.92,0.91,0.93,0.91,0.02,2.22,354610889,324600732,97
2012-02-27,0.91,0.92,0.92,0.91,-0.01,-1.09,264300041,241643037,40
2012-02-28,0.9,0.91,0.91,0.9,-0.01,-1.1,61406438,55866225,21
2012-02-29,0.9,0.9,0.9,0.9,0.0,0.0,254935927,229442334,42
2012-03-01,0.91,0.91,0.91,0.91,0.01,1.11,180187355,163970493,27
2012-03-04,0.92,0.92,0.93,0.92,0.01,1.1,73651866,67935995,26
2012-03-05,0.93,0.92,0.93,0.92,0.01,1.09,2270738050,2111746401,46
2012-03-06,0.94,0.93,0.94,0.93,0.01,1.08,395765376,370912308,55
2012-03-07,0.94,0.93,0.94,0.93,0.0,0.0,581915480,546980551,39
2012-03-08,0.93,0.94,0.94,0.93,-0.01,-1.06,69487387,65108270,21
2012-03-11,0.94,0.94,0.95,0.94,0.01,1.08,67438383,63441565,36
2012-03-12,0.94,0.94,0.95,0.94,0.0,0.0,149393284,140449687,34
2012-03-13,0.94,0.94,0.94,0.94,0.0,0.0,14450628,13583590,11
2012-03-14,0.94,0.94,0.94,0.94,0.0,0.0,69703143,65520954,29
2012-03-15,0.94,0.94,0.94,0.93,0.0,0.0,70939118,66659295,21
2012-03-18,0.92,0.93,0.93,0.92,-0.02,-2.13,118579139,109258599,17
2012-03-19,0.92,0.92,0.93,0.91,0.0,0.0,185641722,170440380,36
2012-03-20,0.92,0.92,0.92,0.91,0.0,0.0,112374477,103284572,19
2012-03-22,0.93,0.93,0.93,0.93,0.01,1.09,58396694,54308925,9
2012-04-01,0.93,0.93,0.93,0.93,0.0,0.0,94036380,87453833,22
2012-04-02,0.93,0.93,0.93,0.93,0.0,0.0,35958076,33441011,14
2012-04-03,0.93,0.93,0.93,0.93,0.0,0.0,46400000,43152000,22
2012-04-04,0.95,0.92,0.95,0.92,0.02,2.15,297485066,281918445,44
2012-04-05,0.95,0.95,0.96,0.95,0.0,0.0,110985002,105437752,44
2012-04-08,0.95,0.95,0.95,0.94,0.0,0.0,8000000,7582756,11
2012-04-09,0.96,0.95,0.96,0.95,0.01,1.05,97312197,92766705,43
2012-04-10,0.97,0.96,0.97,0.96,0.01,1.04,147863768,142414380,58
2012-04-11,0.97,0.97,0.97,0.96,0.0,0.0,151129921,145294174,42
2012-04-12,0.96,0.97,0.97,0.96,-0.01,-1.03,168203225,161655096,36
2012-04-15,0.96,0.96,0.96,0.95,0.0,0.0,217599420,207252422,38
2012-04-16,0.95,0.95,0.96,0.95,-0.01,-1.04,185950000,176670000,22
2012-04-17,0.95,0.95,0.95,0.95,0.0,0.0,38023432,36122260,20
2012-04-18,0.94,0.95,0.95,0.94,-0.01,-1.05,178595802,169383512,27
2012-04-19,0.95,0.95,0.95,0.94,0.01,1.06,104630502,99393977,20
2012-04-22,0.94,0.94,0.94,0.94,-0.01,-1.05,7165908,6735954,9
2012-04-23,0.95,0.94,0.95,0.94,0.01,1.06,59421974,56063784,32
2012-04-24,0.96,0.95,0.96,0.94,0.01,1.05,88504926,83720163,36
2012-04-25,0.95,0.95,0.96,0.95,-0.01,-1.04,103664363,98489845,17
2012-04-26,0.95,0.95,0.95,0.95,0.0,0.0,59644436,56662214,14
2012-04-29,0.95,0.95,0.95,0.94,0.0,0.0,344698291,327443376,31
2012-04-30,0.95,0.95,0.95,0.94,0.0,0.0,59983893,56504859,16
2012-05-02,0.93,0.95,0.95,0.93,-0.02,-2.11,69137433,64967851,30
2012-05-03,0.94,0.93,0.94,0.93,0.01,1.08,34539450,32226688,19
2012-05-06,0.93,0.93,0.93,0.93,-0.01,-1.06,96504693,89749364,17
2012-05-07,0.93,0.93,0.93,0.93,0.0,0.0,40566375,37726729,13
2012-05-08,0.92,0.93,0.93,0.92,-0.01,-1.08,46149335,42768618,9
2012-05-09,0.92,0.92,0.92,0.92,0.0,0.0,94700518,87124477,33
2012-05-10,0.92,0.92,0.92,0.92,0.0,0.0,150428884,138394573,41
2012-05-13,0.93,0.91,0.93,0.91,0.01,1.09,3122156,2867550,7
2012-05-14,0.92,0.92,0.92,0.91,-0.01,-1.08,19414056,17776947,6
2012-05-15,0.92,0.92,0.92,0.91,0.0,0.0,12000000,10991000,7
2012-05-16,0.92,0.92,0.92,0.92,0.0,0.0,40965087,37687880,22
2012-05-17,0.93,0.92,0.93,0.92,0.01,1.09,13130000,12080600,7
2012-05-20,0.92,0.92,0.92,0.92,-0.01,-1.08,42481847,39083299,20
2012-05-21,0.93,0.92,0.93,0.92,0.01,1.09,246549346,226875398,11
2012-05-22,0.93,0.93,0.93,0.92,0.0,0.0,24580691,22825208,20
2012-05-23,0.93,0.93,0.93,0.93,0.0,0.0,28604688,26602360,25
2012-05-24,0.95,0.93,0.95,0.93,0.02,2.15,380931772,361597095,31
2012-05-27,0.94,0.94,0.94,0.94,-0.01,-1.05,55605201,52268889,19
2012-05-28,0.94,0.94,0.94,0.94,0.0,0.0,259448784,243881857,22
2012-05-29,0.94,0.94,0.94,0.93,0.0,0.0,127267343,119164606,27
2012-05-30,0.94,0.94,0.95,0.94,0.0,0.0,187091917,176403220,51
2012-06-03,0.95,0.94,0.95,0.94,0.01,1.06,102885835,97005185,14
2012-06-04,0.94,0.94,0.94,0.94,-0.01,-1.05,83000000,78020000,25
2012-06-05,0.95,0.94,0.95,0.94,0.01,1.06,58637162,55406932,25
