Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-05-09,0,1,1,0.94,0,0.00%,,11583850689,31
2010-05-10,0,0.93,0.99,0.9,0,0.00%,,7879995043,9
2010-05-11,0,0.9,0.9,0.9,0,0.00%,,704250,3
2010-05-13,0,0.85,0.93,0.82,0,0.00%,,15116000,7
2010-05-16,0,0.86,0.9,0.86,0,0.00%,,5850950,3
2010-05-17,0,0.88,0.88,0.85,0,0.00%,,268284595,5
2010-05-18,0,0.88,0.88,0.88,0,0.00%,,9240000,5
2010-05-19,0,0.88,0.88,0.88,0,0.00%,,8954000,3
2010-05-20,0,0.88,0.88,0.84,0,0.00%,,19526000,8
2010-05-23,0,0.87,0.87,0.85,0,0.00%,,219640000,7
2010-05-24,0,0.84,0.84,0.84,0,0.00%,,4683000,6
2010-05-25,0,0.83,0.83,0.83,0,0.00%,,22580097,8
2010-05-26,0,0.84,0.84,0.84,0,0.00%,,18819397,2
2010-05-27,0,0.82,0.84,0.81,0,0.00%,,21750202,12
2010-05-30,0,0.8,0.82,0.8,0,0.00%,,9423000,7
2010-05-31,0,0.8,0.8,0.79,0,0.00%,,5999500,6
2010-06-01,0,0.79,0.8,0.79,0,0.00%,,1748848,5
2010-06-02,0,0.81,0.81,0.81,0,0.00%,,3118500,2
2010-06-03,0,0.82,0.84,0.82,0,0.00%,,37454752,16
2010-06-06,0,0.83,0.83,0.83,0,0.00%,,6947100,7
2010-06-07,0,0.84,0.85,0.84,0,0.00%,,17065059,12
2010-06-08,0,0.85,0.9,0.85,0,0.00%,,16401186,17
2010-06-09,0,0.87,0.87,0.87,0,0.00%,,243600,1
2010-06-10,0,0.9,0.9,0.88,0,0.00%,,4010000,8
2010-06-13,0,0.9,0.9,0.9,0,0.00%,,900000,1
2010-06-14,0,0.89,0.89,0.89,0,0.00%,,29592500,9
2010-06-15,0,0.89,0.89,0.88,0,0.00%,,29479595,10
2010-06-16,0,0.88,0.89,0.88,0,0.00%,,1600750,2
2010-06-17,0,0.89,0.9,0.88,0,0.00%,,2227000,5
2010-06-20,0,0.89,0.9,0.89,0,0.00%,,35002509,14
2010-06-21,0,0.9,0.9,0.9,0,0.00%,,58500000,7
2010-06-22,0,0.9,0.94,0.9,0,0.00%,,49344469,16
2010-06-23,0,0.94,1,0.94,0,0.00%,,13231118370,28
2010-06-24,0,0.96,0.96,0.89,0,0.00%,,6786808153,24
2010-06-27,0,0.92,0.92,0.9,0,0.00%,,7721145,10
2010-06-28,0,0.9,0.93,0.9,0,0.00%,,1970837,5
2010-06-29,0,0.9,0.92,0.9,0,0.00%,,7842780,9
2010-06-30,0,0.9,0.9,0.9,0,0.00%,,1350000,1
2010-07-01,0,0.89,0.9,0.89,0,0.00%,,15731860,6
2010-07-04,0,0.89,0.89,0.88,0,0.00%,,6620000,5
2010-07-05,0,0.9,0.9,0.9,0,0.00%,,90000,1
2010-07-06,0,0.9,0.9,0.9,0,0.00%,,360000,2
2010-07-11,0,0.88,0.88,0.88,0,0.00%,,4708000,3
2010-07-12,0,0.88,0.88,0.88,0,0.00%,,1760000,1
