Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-01,2.0,1.85,1.99,1.85,,,632854340,1227523343,171
2011-12-04,2.0,1.9,1.94,1.87,0.0,0.0,181212253,342932267,68
2011-12-05,1.88,1.85,1.88,1.81,-0.12,-6.0,152225192,282054933,68
2011-12-07,1.91,1.91,1.93,1.89,0.03,1.6,194429957,372139252,81
2011-12-08,1.91,1.93,1.93,1.91,0.0,0.0,92868411,178421349,56
2011-12-11,1.9,1.93,1.94,1.9,-0.01,-0.52,136803658,263435962,54
2011-12-12,1.91,1.92,1.92,1.9,0.01,0.53,112206244,213900346,59
2011-12-13,1.9,1.91,1.91,1.89,-0.01,-0.52,89486404,170261068,52
2011-12-14,1.9,1.9,1.91,1.86,0.0,0.0,153251435,289840909,65
2011-12-15,1.91,1.9,1.92,1.9,0.01,0.53,301952680,576359313,84
2011-12-18,1.91,1.9,1.93,1.89,0.0,0.0,148462096,284155281,61
2011-12-19,1.92,1.91,1.92,1.9,0.01,0.52,196980176,376860457,68
2011-12-20,1.92,1.92,1.94,1.9,0.0,0.0,222921747,427540354,82
2012-01-03,1.91,1.94,1.94,1.91,-0.01,-0.52,145629263,279068227,44
2012-01-04,1.91,1.91,1.91,1.91,0.0,0.0,82289738,157173400,33
2012-01-05,1.89,1.9,1.9,1.87,-0.02,-1.05,87395000,164348500,29
2012-01-08,1.88,1.89,1.89,1.87,-0.01,-0.53,131075375,246087373,65
2012-01-09,1.88,1.87,1.88,1.86,0.0,0.0,101245589,188913643,31
2012-01-10,1.84,1.87,1.87,1.84,-0.04,-2.13,175426000,324446520,68
2012-01-11,1.86,1.87,1.87,1.84,0.02,1.09,109766007,202975113,45
2012-01-15,1.84,1.85,1.85,1.84,-0.02,-1.08,62627611,115596080,29
2012-01-16,1.81,1.84,1.84,1.81,-0.03,-1.63,42870000,77771800,29
2012-01-17,1.8,1.81,1.81,1.8,-0.01,-0.55,70949043,128082259,44
2012-01-18,1.76,1.8,1.81,1.76,-0.04,-2.22,71930870,128538949,46
2012-01-19,1.74,1.76,1.77,1.74,-0.02,-1.14,94618123,165747515,53
2012-01-22,1.7,1.73,1.73,1.7,-0.04,-2.3,214066000,365423200,81
2012-01-23,1.74,1.72,1.74,1.71,0.04,2.35,101914209,175686439,36
2012-01-24,1.82,1.74,1.89,1.73,0.08,4.6,103929914,187154102,66
2012-01-25,1.83,1.83,1.86,1.81,0.01,0.55,101800000,186986000,48
2012-01-26,1.76,1.81,1.81,1.76,-0.07,-3.83,47860000,85076400,42
2012-01-29,1.75,1.78,1.78,1.73,-0.01,-0.57,98552409,172607764,58
2012-01-30,1.75,1.75,1.78,1.74,0.0,0.0,49080876,86001533,41
2012-01-31,1.79,1.77,1.79,1.75,0.04,2.29,161306341,286231369,64
2012-02-01,1.83,1.8,1.86,1.8,0.04,2.23,177819070,325428457,76
2012-02-02,1.87,1.85,1.87,1.85,0.04,2.19,97865879,181273576,57
2012-02-06,1.89,1.89,1.91,1.87,0.02,1.07,161222845,304134825,61
2012-02-07,1.89,1.88,1.9,1.88,0.0,0.0,131455494,247657097,58
2012-02-08,1.89,1.9,1.9,1.89,0.0,0.0,107987086,204687342,47
2012-02-09,1.89,1.9,1.9,1.89,0.0,0.0,74442105,140829775,54
2012-02-12,1.9,1.89,1.9,1.89,0.01,0.53,84677826,160857869,48
2012-02-13,1.88,1.89,1.89,1.86,-0.02,-1.05,162391224,303333084,70
2012-02-14,1.89,1.88,1.89,1.86,0.01,0.53,68436207,128020523,40
2012-02-15,1.89,1.89,1.93,1.89,0.0,0.0,132485935,251575720,59
2012-02-16,1.89,1.89,1.89,1.88,0.0,0.0,59153421,111791966,29
2012-02-19,1.86,1.9,1.9,1.86,-0.03,-1.59,133983446,250502208,57
2012-02-20,1.86,1.87,1.87,1.84,0.0,0.0,226974349,420500026,81
2012-02-21,1.86,1.86,1.88,1.84,0.0,0.0,103793548,192104859,48
2012-02-22,1.89,1.87,1.89,1.87,0.03,1.61,67177739,126345780,40
2012-02-23,1.86,1.89,1.89,1.86,-0.03,-1.59,21086502,39552359,20
2012-02-26,1.86,1.86,1.87,1.85,0.0,0.0,113209475,210494729,41
2012-02-27,1.87,1.88,1.88,1.87,0.01,0.54,73610242,137653653,52
2012-02-28,1.87,1.87,1.88,1.86,0.0,0.0,88433132,165473731,49
2012-02-29,1.89,1.88,1.89,1.88,0.02,1.07,117820952,222280800,51
2012-03-01,1.9,1.89,1.91,1.89,0.01,0.53,128924599,244872372,66
2012-03-04,1.88,1.9,1.9,1.87,-0.02,-1.05,61527370,116042362,38
2012-03-05,1.88,1.88,1.88,1.88,0.0,0.0,57931971,108912105,27
2012-03-06,1.88,1.89,1.9,1.87,0.0,0.0,152952820,287422261,46
2012-03-07,1.89,1.88,1.89,1.87,0.01,0.53,117173951,220522394,37
2012-03-08,1.88,1.88,1.89,1.88,-0.01,-0.53,87879180,165484203,31
2012-03-11,1.87,1.88,1.88,1.87,-0.01,-0.53,90815574,170478014,37
2012-03-12,1.86,1.87,1.88,1.86,-0.01,-0.53,101901915,190476581,36
2012-03-13,1.88,1.86,1.88,1.86,0.02,1.08,22537253,42189218,16
2012-03-14,1.88,1.87,1.88,1.87,0.0,0.0,112530000,210866648,44
2012-03-15,1.87,1.88,1.88,1.87,-0.01,-0.53,99603607,186816755,38
2012-03-18,1.88,1.89,1.89,1.87,0.01,0.53,157747690,295186634,43
2012-03-19,1.86,1.88,1.88,1.86,-0.02,-1.06,98017128,182931858,20
2012-03-20,1.86,1.86,1.86,1.85,0.0,0.0,63800000,118078000,20
2012-03-22,1.88,1.9,1.9,1.87,0.02,1.08,110068975,207796009,31
