Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2017-04-16,0,1,1,1,0,0.00%,,371000000,2
2019-01-07,1,1,1,1,1,0.00%,,500000,3
2019-01-09,1,1,1,1,0,0.00%,,600000,3
2019-01-10,1,1,1,1,0,0.00%,,1000000,3
2019-01-29,1,1,1,1,0,0.00%,,47500000,6
2019-01-30,1,1,1,1,0,0.00%,,47500000,5
2019-02-05,1,1,1,1,0,0.00%,,1050000000,1
2019-02-11,1,1,1,1,0,0.00%,,11500000256,4
2019-02-13,1,1,1,1,0,0.00%,,300000000,10
2019-09-17,1,1,1,1,0,0.00%,,150000,1
2019-09-19,1,1,1,1,0,0.00%,,250000,1
2019-09-22,1,1.03,1.03,1,0,0.00%,,662000,6
2019-10-08,1,1,1,1,0,0.00%,,3249999872,2
2019-10-09,1,1,1,1,0,0.00%,,250000000,1
2019-10-10,1,1,1,1,0,0.00%,,350000000,7
2019-10-13,1,1,1,1,0,0.00%,,365000000,2
2019-10-14,1,1,1,1,0,0.00%,,385000000,9
2019-10-15,1,1,1,1,0,0.00%,,250000000,1
2019-10-16,1,1,1,1,0,0.00%,,300000000,1
2019-10-17,1,1,1,1,0,0.00%,,350000000,1
2019-10-20,1,1,1,1,0,0.00%,,385000000,1
2019-10-21,1,1,1,1,0,0.00%,,400000000,1
2019-10-22,1,1,1,1,0,0.00%,,400000000,1
2019-10-23,1,1,1,1,0,0.00%,,400000000,8
2019-10-24,1,1,1,1,0,0.00%,,400000000,8
2019-10-27,1,1,1,1,0,0.00%,,400000000,4
2019-10-28,1,1,1,1,0,0.00%,,400000000,1
2019-10-29,1,1,1,1,0,0.00%,,400000000,4
2019-10-30,1,1,1,1,0,0.00%,,400000000,4
2019-10-31,1,1,1,1,0,0.00%,,400000000,1
2019-11-04,1,1,1,1,0,0.00%,,400000000,1
2019-11-06,1,1,1,1,0,0.00%,,475000000,3
2019-11-07,1,1,1,1,0,0.00%,,475000000,1
2019-11-10,1,1,1,1,0,0.00%,,490000000,1
2019-11-11,1,1,1,1,0,0.00%,,499000000,2
2019-11-12,1,1,1,1,0,0.00%,,499000000,1
2019-11-13,1,1,1,1,0,0.00%,,499000000,1
2019-11-14,1,1,1,1,0,0.00%,,499000000,1
2019-11-17,1,1,1,1,0,0.00%,,499000000,1
2019-11-18,1,1,1,1,0,0.00%,,499000000,1
2019-11-19,1,1,1,1,0,0.00%,,499500000,3
2019-11-20,1,1,1,1,0,0.00%,,499000000,2
2019-11-21,1,1,1,1,0,0.00%,,499000000,2
2019-11-24,1,1,1,1,0,0.00%,,499000000,2
2019-11-25,1,1,1,1,0,0.00%,,499000000,1
2019-11-26,1,1,1,1,0,0.00%,,499000000,1
2019-11-27,1,1,1,1,0,0.00%,,499000000,1
2019-11-28,1,1,1,1,0,0.00%,,499000000,1
2019-12-01,1,1,1,1,0,0.00%,,374000000,1
2019-12-02,1.19,1.19,1.19,1.19,0.19,19.00%,,238000,1
2019-12-03,1.25,1.25,1.25,1.25,0.06,5.04%,,375000,2
2019-12-04,1.35,1.35,1.35,1.35,0.1,8.00%,,472500,2
2019-12-05,1.46,1.46,1.46,1.46,0.11,8.15%,,584000,2
2019-12-09,1.62,1.62,1.62,1.62,0.16,10.96%,,32724000,10
2019-12-11,1.91,1.91,1.91,1.91,0.29,17.90%,,28936500,2
2019-12-12,2.06,2.05,2.06,2.05,0.15,7.85%,,11019500,3
2019-12-15,2.06,2.05,2.06,2.05,0,0.00%,,822000,2
2019-12-16,2.01,2.01,2.01,2.01,-0.05,-2.43%,,8040000,3
2019-12-18,1.95,1.95,1.95,1.95,-0.06,-2.99%,,8580000,5
2019-12-23,1.96,1.96,1.96,1.96,0.01,0.51%,,5880000,4
2020-01-22,1.97,1.96,1.97,1.96,0.01,0.51%,,981000,5
2020-01-27,1.97,1.97,1.97,1.97,0,0.00%,,78800,1
2020-02-17,1.97,1.97,1.97,1.97,0,0.00%,,39400,1
2020-02-20,1.85,1.85,1.85,1.85,-0.12,-6.09%,,3977500,7
2020-02-23,1.88,1.88,1.88,1.88,0.03,1.62%,,3760000,2
2020-02-26,1.95,1.95,1.95,1.95,0.07,3.72%,,19500,1
2020-03-15,1.9,1.9,1.9,1.9,-0.05,-2.56%,,4275000,2
2020-05-10,1.9,1.9,1.9,1.9,0,0.00%,,285000,1
2020-05-19,1.83,1.83,1.83,1.83,-0.07,-3.68%,,54900,1
2020-07-15,1.81,1.81,1.81,1.81,-0.02,-1.09%,,54300,1
2020-08-12,1.75,1.75,1.75,1.75,-0.06,-3.31%,,437500,1
2020-10-06,1.73,1.73,1.73,1.73,-0.02,-1.14%,,34600,1
2020-11-23,1.73,1.73,1.73,1.73,0,0.00%,,34600,1
2020-12-14,1.7,1.7,1.7,1.7,-0.03,-1.73%,,340000,1
2020-12-16,1.7,1.7,1.7,1.7,0,0.00%,,51000,1
2020-12-20,1.7,1.7,1.7,1.7,0,0.00%,,3638000,4
2021-03-17,1.7,1.7,1.7,1.7,0,0.00%,,1700000,1
2021-03-18,1.7,1.7,1.7,1.7,0,0.00%,,1700000,1
2021-03-31,1.7,1.7,1.7,1.7,0,0.00%,,1700000,1
2021-06-03,1.4,1.4,1.4,1.4,-0.3,-17.65%,,1680000,3
2021-08-05,1.68,1.68,1.68,1.68,0.28,20.00%,,42000,1
2021-08-10,1.75,1.75,1.75,1.75,0.07,4.17%,,43750,1
2021-11-21,1.75,1.75,1.75,1.75,0,0.00%,,299249984,80
2021-11-24,1.75,1.75,1.75,1.75,0,0.00%,,299249984,95
2021-12-02,1.7,1.7,1.7,1.7,-0.05,-2.86%,,187000,1
2021-12-23,1.7,1.7,1.7,1.7,0,0.00%,,249900000,65
2022-01-03,1.7,1.7,1.7,1.7,0,0.00%,,249900000,4
2022-01-10,1.7,1.7,1.7,1.7,0,0.00%,,249900000,5
2022-01-11,1.7,1.7,1.7,1.7,0,0.00%,,249984992,9
2022-01-12,1.7,1.7,1.7,1.7,0,0.00%,,249900000,5
2022-01-13,1.7,1.7,1.7,1.7,0,0.00%,,249900000,9
2022-01-16,1.7,1.7,1.7,1.7,0,0.00%,,496400000,9
2022-01-18,1.7,1.7,1.7,1.7,0,0.00%,,496400000,3
2022-01-19,1.7,1.7,1.7,1.7,0,0.00%,,249900000,4
2022-01-20,1.7,1.7,1.7,1.7,0,0.00%,,499800000,2
2022-01-23,1.7,1.7,1.7,1.7,0,0.00%,,499800000,1
2022-01-24,1.7,1.7,1.7,1.7,0,0.00%,,499800000,2
2022-01-25,1.7,1.7,1.7,1.7,0,0.00%,,499800000,1
