Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2017-08-07,0.76,0.76,0.76,0.76,,,1000000,760000,1
2017-08-20,0.69,0.69,0.69,0.69,-0.07,-9.21,1000000,690000,1
2017-08-29,0.63,0.69,0.69,0.63,-0.06,-8.7,250000,160500,2
2017-08-31,0.57,0.57,0.57,0.57,-0.06,-9.52,200000,114000,1
2017-09-06,0.52,0.52,0.52,0.52,-0.05,-8.77,200000,104000,1
2017-09-17,0.49,0.49,0.49,0.49,-0.03,-5.77,3000000,1470000,4
2017-09-19,0.45,0.45,0.45,0.45,-0.04,-8.16,50000,22500,1
2017-09-20,0.41,0.41,0.41,0.41,-0.04,-8.89,250000,102500,2
2017-09-24,0.38,0.38,0.38,0.38,-0.03,-7.32,500000,190000,3
2017-09-25,0.38,0.38,0.38,0.38,0.0,0.0,125000,47500,1
2017-09-26,0.35,0.38,0.38,0.35,-0.03,-7.89,652024,230519,4
2017-10-02,0.32,0.33,0.33,0.32,-0.03,-8.57,5000000,1630000,2
2017-10-03,0.29,0.29,0.29,0.29,-0.03,-9.38,1000000,290000,2
2017-10-05,0.27,0.27,0.27,0.27,-0.02,-6.9,400000,108000,1
2017-10-08,0.25,0.25,0.25,0.25,-0.02,-7.41,400000,100000,1
2017-10-22,0.27,0.27,0.27,0.27,0.02,8.0,100000,27000,1
2017-10-23,0.29,0.29,0.29,0.29,0.02,7.41,100000,29000,1
2017-10-30,0.31,0.31,0.31,0.31,0.02,6.9,100000,31000,1
2017-10-31,0.33,0.33,0.33,0.33,0.02,6.45,50000,16500,1
2017-11-01,0.36,0.36,0.36,0.36,0.03,9.09,50000,18000,1
2017-11-02,0.39,0.38,0.39,0.38,0.03,8.33,150000,58000,3
2017-11-05,0.39,0.39,0.39,0.39,0.0,0.0,100000,39000,1
2017-11-07,0.36,0.37,0.37,0.36,-0.03,-7.69,500000,183000,2
2017-11-23,0.36,0.36,0.36,0.36,0.0,0.0,400000,144000,2
2017-12-05,0.35,0.35,0.35,0.35,-0.01,-2.78,2000000,700000,1
2017-12-13,0.35,0.35,0.35,0.35,0.0,0.0,2718661651,951531584,30
