Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-05,0,1.11,1.14,1.11,0,0.00%,,94047597,19
2010-01-07,0,1.12,1.12,1.11,0,0.00%,,47651200,14
2010-01-10,0,1.12,1.12,1.11,0,0.00%,,28807846,7
2010-01-11,0,1.11,1.11,1.1,0,0.00%,,24252834,7
2010-01-13,0,1.11,1.11,1.11,0,0.00%,,11211000,4
2010-01-14,0,1.11,1.13,1.11,0,0.00%,,15525779,4
2010-01-17,0,1.11,1.11,1.1,0,0.00%,,31012804,11
2010-01-18,0,1.1,1.11,1.1,0,0.00%,,58219363,16
2010-01-19,0,1.11,1.12,1.11,0,0.00%,,19621120,9
2010-01-20,0,1.11,1.12,1.11,0,0.00%,,57702518,17
2010-01-21,0,1.11,1.11,1.11,0,0.00%,,23310000,10
2010-01-24,0,1.11,1.12,1.11,0,0.00%,,49084534,18
2010-01-25,0,1.12,1.12,1.12,0,0.00%,,70456658,19
2010-01-26,0,1.12,1.12,1.12,0,0.00%,,49581598,23
2010-01-27,0,1.11,1.12,1.11,0,0.00%,,34062761,10
2010-01-28,0,1.1,1.12,1.1,0,0.00%,,24681400,14
2010-01-31,0,1.12,1.12,1.12,0,0.00%,,42560000,9
2010-02-01,0,1.12,1.13,1.12,0,0.00%,,50724698,14
2010-02-02,0,1.13,1.14,1.13,0,0.00%,,63532329,22
2010-02-03,0,1.14,1.14,1.14,0,0.00%,,43890000,12
2010-02-04,0,1.14,1.15,1.14,0,0.00%,,56314342,10
2010-02-07,0,1.14,1.15,1.14,0,0.00%,,71131935,14
2010-02-08,0,1.15,1.15,1.15,0,0.00%,,67993434,14
2010-02-09,0,1.16,1.16,1.14,0,0.00%,,46136892,12
2010-02-10,0,1.14,1.14,1.14,0,0.00%,,17157000,4
2010-02-11,0,1.14,1.14,1.13,0,0.00%,,23005500,10
2010-02-14,0,1.12,1.12,1.1,0,0.00%,,85535688,15
2010-02-15,0,1.1,1.12,1.1,0,0.00%,,42740206,13
2010-02-16,0,1.12,1.12,1.12,0,0.00%,,15952787,5
2010-02-17,0,1.1,1.11,1.1,0,0.00%,,45009054,8
2010-02-18,0,1.12,1.12,1.11,0,0.00%,,39150000,7
2010-02-21,0,1.12,1.12,1.12,0,0.00%,,61320000,12
2010-02-22,0,1.12,1.12,1.12,0,0.00%,,30490546,9
2010-02-23,0,1.13,1.13,1.11,0,0.00%,,15338466,11
2010-02-24,0,1.13,1.13,1.11,0,0.00%,,21391893,8
2010-02-25,0,1.12,1.12,1.12,0,0.00%,,7280000,4
2010-02-28,0,1.11,1.13,1.11,0,0.00%,,2785322,3
2010-03-01,0,1.13,1.13,1.13,0,0.00%,,9718000,6
2010-03-02,0,1.13,1.14,1.13,0,0.00%,,37440000,12
2010-03-03,0,1.15,1.15,1.15,0,0.00%,,795628,4
2010-03-09,0,1.13,1.13,1.13,0,0.00%,,5650000,1
2010-03-10,0,1.13,1.13,1.13,0,0.00%,,20319443,7
2010-03-11,0,1.13,1.14,1.13,0,0.00%,,83911525,26
2010-03-14,0,1.13,1.13,1.12,0,0.00%,,42206375,17
2010-03-15,0,1.11,1.11,1.11,0,0.00%,,77899890,18
2010-03-16,0,1.11,1.11,1.1,0,0.00%,,60580775,26
2010-03-17,0,1.11,1.11,1.11,0,0.00%,,56176413,14
2010-03-18,0,1.1,1.12,1.1,0,0.00%,,34587679,14
2010-03-22,0,1.11,1.11,1.11,0,0.00%,,25530000,12
2010-03-23,0,1.1,1.1,1.1,0,0.00%,,65307884,2
2010-03-24,0,1.08,1.09,1.08,0,0.00%,,6614975,15
2010-03-25,0,1.09,1.09,1.07,0,0.00%,,4724566,4
2010-03-28,0,1.05,1.06,1.05,0,0.00%,,34330727,13
2010-03-29,0,1.07,1.07,1.06,0,0.00%,,11299047,5
2010-03-30,0,1.06,1.07,1.06,0,0.00%,,45345312,15
2010-03-31,0,1.05,1.05,1.02,0,0.00%,,19326857,9
2010-04-01,0,1.03,1.04,1.03,0,0.00%,,3223000,2
2010-04-04,0,1.04,1.04,1.03,0,0.00%,,4215029,4
2010-04-05,0,1.02,1.02,1.02,0,0.00%,,3192506,2
2010-04-06,0,1.02,1.02,1.02,0,0.00%,,3978000,4
2010-04-07,0,1.02,1.03,1.02,0,0.00%,,8160905,4
2010-04-08,0,1.02,1.02,1.02,0,0.00%,,3273251,2
2010-04-11,0,1.02,1.02,1.02,0,0.00%,,14697691,5
2010-04-12,0,1.03,1.03,1.03,0,0.00%,,22403207,5
2010-04-13,0,1.03,1.03,1.03,0,0.00%,,4120000,3
2010-04-14,0,1.03,1.03,1.03,0,0.00%,,6591640,5
2010-04-15,0,1.02,1.03,1.02,0,0.00%,,12960418,7
2010-04-18,0,1.03,1.03,1.03,0,0.00%,,5150000,2
2010-04-19,0,1.02,1.03,1.02,0,0.00%,,8512531,11
2010-04-20,0,1.03,1.04,1.03,0,0.00%,,193243827,5
2010-04-21,0,1.05,1.05,1.05,0,0.00%,,2111627,2
2010-04-22,0,1.06,1.06,1.05,0,0.00%,,5462000,5
2010-04-25,0,1.03,1.05,1.03,0,0.00%,,117368927,23
2010-04-26,0,1.04,1.04,1.03,0,0.00%,,14446466,8
2010-04-27,0,1.02,1.02,1.02,0,0.00%,,3185008,3
2010-04-28,0,1.02,1.03,1.02,0,0.00%,,6573682,7
2010-04-29,0,1.02,1.03,1.02,0,0.00%,,2656565,4
2010-05-02,0,1.02,1.02,1.02,0,0.00%,,3516960,3
2010-05-03,0,1.02,1.02,1.02,0,0.00%,,11880671,7
