Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2023-05-25,0.59,0.59,0.59,0.59,,,6455441,3808710,4
2023-05-28,0.58,0.59,0.59,0.58,-0.01,-1.69,16394559,9617790,8
2023-05-30,0.58,0.58,0.58,0.58,0.0,0.0,4114675,2386512,3
2023-05-31,0.58,0.58,0.58,0.58,0.0,0.0,4114675,2386512,3
2023-06-01,0.58,0.58,0.58,0.58,0.0,0.0,300000,174000,2
2023-06-05,0.59,0.58,0.59,0.58,0.01,1.72,2000000,1170000,2
2023-06-06,0.59,0.59,0.6,0.59,0.0,0.0,1910000,1130000,4
2023-06-07,0.59,0.59,0.59,0.59,0.0,0.0,2462000,1452580,6
2023-06-08,0.59,0.59,0.59,0.59,0.0,0.0,300000,177000,2
2023-06-11,0.59,0.59,0.59,0.59,0.0,0.0,5150000,3038500,4
2023-06-13,0.59,0.59,0.59,0.59,0.0,0.0,2000000,1180000,2
2023-06-14,0.6,0.59,0.6,0.59,0.01,1.69,5033659,2980196,8
2023-06-15,0.6,0.6,0.61,0.6,0.0,0.0,8974532,5454801,13
2023-06-18,0.6,0.6,0.6,0.6,0.0,0.0,14335051,8601031,14
2023-06-19,0.61,0.61,0.61,0.61,0.01,1.67,12000000,7320000,12
2023-06-20,0.62,0.61,0.63,0.61,0.01,1.64,10576643,6576268,10
2023-06-21,0.63,0.63,0.63,0.63,0.01,1.61,10000000,6300000,4
2023-06-22,0.63,0.63,0.63,0.63,0.0,0.0,2200000,1386000,3
2023-06-25,0.64,0.64,0.64,0.64,0.01,1.59,2000000,1280000,4
2023-06-26,0.65,0.64,0.65,0.64,0.01,1.56,17883000,11463950,13
2023-07-03,0.65,0.65,0.65,0.65,0.0,0.0,10618653,6902124,13
2023-07-04,0.65,0.65,0.65,0.65,0.0,0.0,10618653,6902124,13
2023-07-05,0.66,0.65,0.66,0.65,0.01,1.54,2110000,1391600,4
2023-07-06,0.67,0.66,0.67,0.66,0.01,1.52,7760000,5173194,23
2023-07-09,0.73,0.69,0.74,0.69,0.06,8.96,41490000,29824800,32
2023-07-10,0.73,0.72,0.73,0.72,0.0,0.0,75444559,54887528,42
2023-07-11,0.74,0.74,0.74,0.74,0.01,1.37,67188525,49719508,21
2023-07-12,0.74,0.74,0.74,0.74,0.0,0.0,9600000,7104000,6
2023-07-13,0.77,0.74,0.8,0.74,0.03,4.05,82686256,64242984,64
2023-07-16,0.77,0.79,0.79,0.77,0.0,0.0,13883000,10748740,10
2023-07-17,0.78,0.77,0.78,0.77,0.01,1.3,9750000,7584000,16
2023-07-18,0.79,0.78,0.79,0.77,0.01,1.28,44400000,34711500,25
2023-07-20,0.79,0.79,0.8,0.79,0.0,0.0,23313750,18627712,19
2023-07-23,0.82,0.8,0.82,0.8,0.03,3.8,11853059,9634508,14
2023-07-24,0.82,0.82,0.82,0.81,0.0,0.0,9500000,7725000,7
2023-07-25,0.88,0.84,0.88,0.84,0.06,7.32,21179118,18381236,27
2023-07-26,0.89,0.88,0.9,0.88,0.01,1.14,32584793,29069818,28
2023-07-27,0.87,0.89,0.89,0.87,-0.02,-2.25,29371400,25660418,35
2023-07-31,0.88,0.88,0.88,0.88,0.01,1.15,4478906,3941437,10
2023-08-01,0.85,0.88,0.88,0.8,-0.03,-3.41,27772710,23869674,16
2023-08-02,0.84,0.85,0.85,0.84,-0.01,-1.18,18308551,15420183,21
2023-08-03,0.84,0.85,0.85,0.84,0.0,0.0,4500000,3810000,8
2023-08-06,0.9,0.83,0.9,0.83,0.06,7.14,94396254,80925000,40
