Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2015-05-06,1.25,1.25,1.25,1.25,,,160000,200000,1
2015-05-24,1.22,1.22,1.22,1.22,-0.03,-2.4,11098889,13540645,3
2015-05-25,1.22,1.22,1.22,1.22,0.0,0.0,8028822,9795163,3
2015-05-26,1.22,1.22,1.22,1.22,0.0,0.0,520000,634400,1
2015-06-10,1.22,1.22,1.22,1.22,0.0,0.0,100000,122000,1
2015-06-11,1.22,1.22,1.22,1.22,0.0,0.0,250000,305000,1
2015-06-16,1.18,1.18,1.22,1.18,-0.04,-3.28,7708588,9124477,4
2015-06-17,1.15,1.18,1.18,1.15,-0.03,-2.54,3598155,4197878,2
2015-06-18,1.2,1.2,1.2,1.2,0.05,4.35,100000,120000,2
2015-06-22,1.2,1.2,1.2,1.2,0.0,0.0,2147483647,3000413952,5
2015-07-07,1.2,1.2,1.2,1.2,0.0,0.0,500000,600000,1
2015-07-22,1.2,1.2,1.2,1.2,0.0,0.0,2147483647,3000024064,2
2015-07-23,1.2,1.2,1.2,1.2,0.0,0.0,1500020000,1800024064,3
2015-07-26,1.2,1.2,1.2,1.2,0.0,0.0,2147483647,3482537728,5
2015-07-27,1.2,1.2,1.2,1.2,0.0,0.0,2147483647,3240000000,2
2015-07-28,1.2,1.2,1.2,1.2,0.0,0.0,2147483647,3000143872,2
2015-08-25,1.2,1.1,1.2,1.1,0.0,0.0,9670229,11117926,5
2015-08-26,1.2,1.2,1.2,1.2,0.0,0.0,2500000,3000000,1
2015-08-30,1.2,1.2,1.2,1.2,0.0,0.0,2000000,2400000,1
2015-09-17,1.19,1.19,1.19,1.19,-0.01,-0.83,2056743,2447524,1
2015-09-22,1.19,1.19,1.19,1.19,0.0,0.0,2333641,2777033,1
2015-10-01,1.2,1.2,1.2,1.2,0.01,0.84,250000,300000,1
2015-11-02,1.08,1.08,1.08,1.08,-0.12,-10.0,1000000,1080000,1
2015-11-03,1.08,1.08,1.08,1.08,0.0,0.0,1521183,1642878,2
2015-11-24,1.0,1.0,1.0,1.0,-0.08,-7.41,100000,100000,1
2015-11-25,1.0,1.0,1.0,1.0,0.0,0.0,100000,100000,1
2015-12-09,0.9,0.9,0.9,0.9,-0.1,-10.0,100000,90000,1
2015-12-24,0.9,0.9,0.9,0.9,0.0,0.0,800000000,720000000,4
2015-12-27,0.99,0.99,0.99,0.99,0.09,10.0,1000000,990000,1
2016-01-12,0.9,0.9,0.9,0.9,-0.09,-9.09,1000000,900000,1
2016-01-13,0.9,0.9,0.9,0.9,0.0,0.0,2147483647,8325000192,4
2016-01-18,0.9,0.9,0.9,0.9,0.0,0.0,100000000,90000000,1
2016-01-19,0.9,0.9,0.9,0.9,0.0,0.0,100000000,90000000,1
2016-01-20,0.9,0.9,0.9,0.9,0.0,0.0,1250000000,1124999936,6
2016-01-27,0.9,0.81,0.9,0.81,0.0,0.0,500000,432000,4
2016-02-01,0.99,0.99,0.99,0.99,0.09,10.0,250000,247500,2
2016-02-03,1.0,1.0,1.0,1.0,0.01,1.01,2906743,2906743,2
2016-02-22,1.02,0.9,1.02,0.9,0.02,2.0,300000,294000,3
2016-03-16,1.02,1.02,1.02,1.02,0.0,0.0,1000000,1020000,1
2016-03-28,1.02,1.02,1.02,1.02,0.0,0.0,20000,20400,1
2016-03-30,0.94,1.02,1.02,0.94,-0.08,-7.84,120000,114400,2
2016-04-10,1.0,1.0,1.0,1.0,0.06,6.38,1360000,1360000,1
2016-04-26,1.0,1.0,1.0,1.0,0.0,0.0,30000,30000,1
2016-05-09,1.0,1.0,1.0,1.0,0.0,0.0,25000,25000,1
2016-05-24,1.0,1.0,1.0,1.0,0.0,0.0,595000,595000,3
2016-06-12,1.0,1.0,1.0,1.0,0.0,0.0,100000,100000,1
2016-06-19,1.0,1.0,1.0,1.0,0.0,0.0,4113485,4113485,1
2016-06-29,1.0,1.0,1.0,1.0,0.0,0.0,100000,100000,1
2016-07-11,1.0,1.0,1.0,1.0,0.0,0.0,50000,50000,1
2016-07-28,1.05,1.05,1.05,1.05,0.05,5.0,100000,105000,1
2016-07-31,1.1,1.1,1.1,1.1,0.05,4.76,100000,110000,1
2016-08-03,1.1,1.1,1.1,1.1,0.0,0.0,50000,55000,2
2016-08-07,1.15,1.15,1.15,1.15,0.05,4.55,50000,57500,2
2016-10-04,1.15,1.15,1.15,1.15,0.0,0.0,20000,23000,1
2016-10-10,1.17,1.15,1.17,1.15,0.02,1.74,19512983,22651320,4
2016-12-26,1.1,1.1,1.1,1.1,-0.07,-5.98,2056743,2262417,1
2017-01-02,1.1,1.1,1.1,1.1,0.0,0.0,60000,66000,1
2017-01-08,1.1,1.1,1.1,1.1,0.0,0.0,21577,23735,1
2017-01-12,1.1,1.1,1.1,1.1,0.0,0.0,30000,33000,1
2017-01-16,1.0,1.0,1.0,1.0,-0.1,-9.09,4083486,4083486,3
2017-01-19,1.1,1.1,1.1,1.1,0.1,10.0,1250000,1375000,2
2017-01-23,1.1,1.1,1.1,1.1,0.0,0.0,750000,825000,1
2017-01-24,1.0,1.0,1.0,1.0,-0.1,-9.09,4113486,4113486,7
2017-01-31,1.02,1.02,1.02,1.02,0.02,2.0,21620,22052,1
2017-02-05,1.02,1.02,1.02,1.02,0.0,0.0,77086428,78628160,1
2017-02-06,1.02,1.02,1.02,1.02,0.0,0.0,72457407,73906552,1
2017-02-07,1.02,1.02,1.02,1.02,0.0,0.0,72457406,73906552,1
2017-02-08,1.02,1.02,1.02,1.02,0.0,0.0,50000000,51000000,1
2017-02-09,1.02,1.02,1.02,1.02,0.0,0.0,56915448,58053756,1
2017-02-19,1.12,1.12,1.12,1.12,0.1,9.8,100000,112000,1
2017-03-06,1.15,1.15,1.15,1.15,0.03,2.68,200000,230000,1
2017-03-08,1.15,1.15,1.15,1.15,0.0,0.0,1000000,1150000,1
2017-03-12,1.15,1.15,1.15,1.15,0.0,0.0,1056743,1215254,2
2017-04-13,1.15,1.15,1.15,1.15,0.0,0.0,1000000,1150000,1
2017-05-11,1.04,1.04,1.04,1.04,-0.11,-9.57,1000000,1040000,1
2017-05-15,1.05,1.05,1.05,1.05,0.01,0.96,1250000,1312500,4
2017-05-17,1.0,1.0,1.0,1.0,-0.05,-4.76,1000000,1000000,1
2017-05-29,1.0,1.0,1.0,1.0,0.0,0.0,2056743,2056743,2
2017-06-04,1.05,1.05,1.05,1.05,0.05,5.0,2956743,3104580,4
2017-06-13,1.06,1.06,1.06,1.06,0.01,0.95,1000000,1060000,1
2017-06-19,1.05,1.05,1.05,1.05,-0.01,-0.94,4000000,4200000,4
2017-07-20,1.05,1.05,1.05,1.05,0.0,0.0,100000,105000,1
2017-07-23,1.05,1.05,1.05,1.05,0.0,0.0,56743,59580,1
2017-09-20,1.0,1.0,1.0,1.0,-0.05,-4.76,250000,250000,1
