Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-06-16,0,0.79,0.79,0.79,0,0.00%,,79000,
2010-06-17,0,0.82,0.82,0.79,0,0.00%,,41140,
2010-06-21,0,0.82,0.82,0.82,0,0.00%,,6558360,
2010-06-23,0,0.82,0.82,0.82,0,0.00%,,83435,
2010-06-24,0,0.82,0.82,0.82,0,0.00%,,1640000,
2010-06-27,0,0.83,0.83,0.83,0,0.00%,,20750,
2010-06-28,0,0.83,0.83,0.8,0,0.00%,,483857,
2010-06-29,0,0.81,0.82,0.81,0,0.00%,,14531478,
2010-06-30,0,0.83,0.83,0.83,0,0.00%,,9841087,
2010-07-04,0,0.83,0.84,0.83,0,0.00%,,6889200,
2010-07-05,0,0.83,0.83,0.83,0,0.00%,,6640000,
2010-07-06,0,0.85,0.85,0.85,0,0.00%,,18700000,
2010-07-12,0,0.85,0.85,0.85,0,0.00%,,3575721,
2010-07-19,0,0.83,0.83,0.83,0,0.00%,,17517519,
2010-07-20,0,0.83,0.83,0.83,0,0.00%,,1159060,
2010-07-22,0,0.84,0.84,0.84,0,0.00%,,3045045,
2010-07-25,0,0.84,0.84,0.84,0,0.00%,,7190400,
2010-07-29,0,0.82,0.82,0.82,0,0.00%,,100123,
2010-08-01,0,0.84,0.84,0.84,0,0.00%,,4853489,
2010-08-02,0,0.82,0.82,0.82,0,0.00%,,2204160,
2010-08-03,0,0.83,0.83,0.82,0,0.00%,,677188,
2010-08-05,0,0.82,0.82,0.82,0,0.00%,,26568,
2010-08-09,0,0.82,0.83,0.82,0,0.00%,,46669625,
2010-08-10,0,0.82,0.83,0.82,0,0.00%,,44394793,
2010-08-11,0,0.83,0.83,0.83,0,0.00%,,83000,
2010-08-12,0,0.82,0.82,0.82,0,0.00%,,8446000,
2010-08-15,0,0.82,0.82,0.82,0,0.00%,,7292034,
2010-08-16,0,0.82,0.82,0.82,0,0.00%,,5949965,
2010-08-17,0,0.82,0.82,0.82,0,0.00%,,492414,
2010-08-18,0,0.82,0.82,0.82,0,0.00%,,4100000,
2010-08-19,0,0.82,0.83,0.82,0,0.00%,,17275239,
2010-08-22,0,0.83,0.83,0.83,0,0.00%,,304033,
2010-08-23,0,0.83,0.83,0.83,0,0.00%,,1058242,
2010-08-24,0,0.83,0.84,0.83,0,0.00%,,572763,
2010-08-25,0,0.83,0.84,0.83,0,0.00%,,17372000,
2010-08-26,0,0.85,0.85,0.84,0,0.00%,,4039196,
2010-08-30,0,0.83,0.83,0.82,0,0.00%,,5385000,
2010-08-31,0,0.82,0.82,0.82,0,0.00%,,6308385,
2010-09-01,0,0.82,0.82,0.82,0,0.00%,,246000,
2010-09-02,0,0.82,0.82,0.8,0,0.00%,,1300000,
2010-09-05,0,0.82,0.82,0.82,0,0.00%,,72848802,
2010-09-06,0,0.81,0.82,0.81,0,0.00%,,3302699,
2010-09-07,0,0.83,0.86,0.83,0,0.00%,,12655264,
2010-09-08,0,0.84,0.85,0.84,0,0.00%,,2540000,
2010-09-15,0,0.85,0.85,0.83,0,0.00%,,15599892,
2010-09-16,0,0.85,0.85,0.85,0,0.00%,,1020000,
2010-09-19,0,0.82,0.82,0.82,0,0.00%,,500617,
2010-09-21,0,0.82,0.82,0.82,0,0.00%,,948248,
2010-09-22,0,0.83,0.84,0.82,0,0.00%,,4753868,
2010-09-23,0,0.83,0.83,0.83,0,0.00%,,1516908,
2010-09-26,0,0.82,0.82,0.82,0,0.00%,,83436,
2010-09-27,0,0.82,0.84,0.82,0,0.00%,,4426782,
2010-09-28,0,0.83,0.83,0.83,0,0.00%,,7715228,
2010-09-29,0,0.82,0.82,0.82,0,0.00%,,2460000,
2010-10-03,0,0.82,0.82,0.82,0,0.00%,,4265957,
2010-10-04,0,0.82,0.82,0.81,0,0.00%,,3176043,
2010-10-05,0,0.81,0.81,0.81,0,0.00%,,1620000,
2010-10-07,0,0.81,0.81,0.8,0,0.00%,,5860000,
2010-10-10,0,0.8,0.8,0.8,0,0.00%,,4240000,
2010-10-11,0,0.8,0.8,0.8,0,0.00%,,1040000,
2010-10-12,0,0.78,0.78,0.78,0,0.00%,,3526090,
2010-10-13,0,0.8,0.8,0.79,0,0.00%,,1545000,
2010-10-14,0,0.78,0.78,0.78,0,0.00%,,3188685,
2010-10-17,0,0.78,0.78,0.78,0,0.00%,,3731991,
2010-10-18,0,0.8,0.8,0.79,0,0.00%,,14660001,
2010-10-19,0,0.78,0.78,0.78,0,0.00%,,5508440,
2010-10-21,0,0.8,0.8,0.8,0,0.00%,,458610,
2010-10-24,0,0.8,0.8,0.8,0,0.00%,,800000,
2010-10-25,0,0.81,0.81,0.8,0,0.00%,,10868593,
2010-10-26,0,0.81,0.81,0.79,0,0.00%,,18992882,
2010-10-28,0,0.81,0.85,0.81,0,0.00%,,20947380,
2010-10-31,0,0.85,0.85,0.85,0,0.00%,,4250,
2010-11-01,0,0.84,0.84,0.83,0,0.00%,,2120200,
2010-11-02,0,0.83,0.83,0.83,0,0.00%,,117404,
2010-11-03,0,0.84,0.86,0.84,0,0.00%,,16094382,
2010-11-08,0,0.81,0.81,0.81,0,0.00%,,162000,
2010-11-09,0,0.81,0.81,0.81,0,0.00%,,1244526,
2010-11-10,0,0.84,0.84,0.84,0,0.00%,,84000,
2010-11-11,0,0.83,0.84,0.83,0,0.00%,,1804500,
2010-11-14,0,0.85,0.85,0.85,0,0.00%,,522103,
2010-11-15,0,0.85,0.85,0.85,0,0.00%,,2643500,
2010-11-21,0,0.86,0.86,0.86,0,0.00%,,860000,
2010-11-22,0,0.86,0.86,0.86,0,0.00%,,665005,
2010-11-23,0,0.87,0.87,0.87,0,0.00%,,3142440,
2010-11-24,0,0.88,0.88,0.88,0,0.00%,,991529,
2010-11-25,0,0.9,0.9,0.85,0,0.00%,,9624023,
2010-11-28,0,0.86,0.86,0.83,0,0.00%,,1554877,
2010-12-05,0,0.84,0.84,0.83,0,0.00%,,5182738,
2010-12-08,0,0.8,0.8,0.8,0,0.00%,,16817,
2010-12-09,0,0.8,0.8,0.8,0,0.00%,,316000,
2010-12-12,0,0.8,0.8,0.8,0,0.00%,,800000,
2010-12-13,0,0.8,0.8,0.8,0,0.00%,,2544000,
2010-12-14,0,0.8,0.8,0.8,0,0.00%,,200000,
2010-12-19,0,0.8,0.8,0.8,0,0.00%,,4000000,
2010-12-20,0,0.8,0.8,0.8,0,0.00%,,297498,
2010-12-22,0,0.8,0.8,0.8,0,0.00%,,15850,
2010-12-23,0,0.81,0.82,0.81,0,0.00%,,7293000,
2011-01-04,0,0.81,0.82,0.81,0,0.00%,,1132110,
2011-01-05,0,0.85,0.88,0.85,0,0.00%,,1389685,
2011-01-09,0,0.89,0.89,0.89,0,0.00%,,4450,
2011-01-10,0,0.85,0.85,0.83,0,0.00%,,7105033,
2011-01-13,0,0.84,0.86,0.84,0,0.00%,,738708,
2011-01-18,0,0.85,0.86,0.85,0,0.00%,,3100889,
2011-01-19,0,0.85,0.85,0.85,0,0.00%,,1402500,
2011-01-20,0,0.85,0.88,0.85,0,0.00%,,8826000,
2011-01-23,0,0.86,0.89,0.86,0,0.00%,,17086571,
2011-01-25,0,0.9,0.9,0.86,0,0.00%,,18065688,
2011-01-26,0,0.86,0.9,0.86,0,0.00%,,10949034,
2011-01-27,0,0.9,0.93,0.88,0,0.00%,,63814891,
2011-01-30,0,0.93,1.01,0.93,0,0.00%,,41439500,
2011-02-01,0,1.01,1.01,0.96,0,0.00%,,11791531,
2011-02-02,0,1,1,1,0,0.00%,,274027,
2011-02-03,0,1,1,1,0,0.00%,,7500000,
2011-02-06,0,1,1,0.97,0,0.00%,,29004874,
2011-02-07,0,0.97,0.97,0.9,0,0.00%,,29187354,
2011-02-08,0,0.9,0.92,0.9,0,0.00%,,6419301,
2011-08-17,0,1,1.16,1,0,0.00%,,218933363,
2011-08-18,0,1.05,1.09,1.05,0,0.00%,,99561062,
2011-08-21,0,1.07,1.12,1.07,0,0.00%,,54752781,
2011-08-22,0,1.1,1.1,1.08,0,0.00%,,15550339,
2011-08-23,0,1.07,1.07,1.06,0,0.00%,,26460430,
2011-08-24,0,1.08,1.08,1.05,0,0.00%,,15997700,
2011-08-25,0,1.06,1.06,1.05,0,0.00%,,34237622,
2011-09-04,0,1.07,1.14,1.07,0,0.00%,,38542204,
2011-09-05,0,1.14,1.14,1.1,0,0.00%,,42206131,
2011-09-06,0,1.11,1.11,1.08,0,0.00%,,58297309,
2011-09-07,0,1.09,1.09,1.09,0,0.00%,,16313430,
2011-09-08,0,1.09,1.13,1.09,0,0.00%,,75889002,
2011-09-11,0,1.12,1.12,1.11,0,0.00%,,7012204,
2011-09-12,0,1.11,1.11,1.11,0,0.00%,,5439000,
2011-09-13,0,1.11,1.11,1.05,0,0.00%,,13447088,
2011-09-14,0,1.05,1.08,1.05,0,0.00%,,30271366,
2011-09-15,0,1.06,1.08,1.06,0,0.00%,,4644690,
2011-09-18,0,1.07,1.07,1.07,0,0.00%,,4125373,
2011-09-19,0,1.06,1.06,1.06,0,0.00%,,41710970,
2011-09-20,0,1.06,1.06,1.05,0,0.00%,,2891598,
2011-09-21,0,1.05,1.05,1.05,0,0.00%,,12081757,
2011-09-22,0,1.05,1.05,1.04,0,0.00%,,40410215,
2011-09-27,0,1.03,1.04,1.03,0,0.00%,,934682,
2011-09-28,0,1.03,1.03,1.02,0,0.00%,,11296115,
2011-09-29,0,1.03,1.03,1.01,0,0.00%,,4445283,
2011-10-02,0,1.01,1.02,1.01,0,0.00%,,2125065,
2011-10-05,0,1.01,1.02,1,0,0.00%,,20577284,
2011-10-06,0,1.02,1.02,1,0,0.00%,,12524897,
2011-10-09,0,1,1,1,0,0.00%,,8500000,
2011-10-11,0,0.98,0.98,0.97,0,0.00%,,7026000,
2011-10-12,0,0.95,0.95,0.95,0,0.00%,,231994,
2011-10-13,0,0.95,0.95,0.95,0,0.00%,,10591291,
2011-10-16,0,0.96,1,0.96,0,0.00%,,10388823,
2011-10-17,0,1,1,1,0,0.00%,,18306100,
2011-10-18,0,1,1,1,0,0.00%,,6518750,
2011-10-19,0,1,1.05,1,0,0.00%,,38355828,
2011-10-20,0,1.03,1.06,1.03,0,0.00%,,29168152,
2011-10-23,0,1.03,1.03,1.03,0,0.00%,,188648,
2011-10-24,0,1.03,1.03,1.03,0,0.00%,,2060000,
2011-10-25,0,1.03,1.03,1.01,0,0.00%,,1513226,
2011-10-26,0,1,1.01,1,0,0.00%,,1007845,
2011-10-27,0,1.01,1.01,0.99,0,0.00%,,522800,
2011-10-30,0,0.98,0.98,0.98,0,0.00%,,83762,
2011-10-31,0,0.95,0.95,0.95,0,0.00%,,47500,
2011-11-01,0,0.95,0.95,0.94,0,0.00%,,3930091,
