Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-01,4.0,4.0,4.0,3.68,,,721428,2690284,5
2011-12-05,3.68,3.8,3.8,3.68,-0.32,-8.0,4100000,15100000,2
2011-12-07,3.68,3.69,3.69,3.68,0.0,0.0,3000000,11045000,4
2011-12-08,3.61,3.6,3.62,3.6,-0.07,-1.9,19550000,70590000,23
2011-12-11,3.54,3.55,3.55,3.54,-0.07,-1.94,10025127,35550951,20
2011-12-12,3.52,3.52,3.52,3.52,-0.02,-0.56,5500000,19360000,6
2011-12-13,3.75,3.54,3.85,3.54,0.23,6.53,14226471,52658016,23
2011-12-14,3.65,3.65,3.65,3.65,-0.1,-2.67,1000000,3650000,1
2011-12-15,3.65,3.65,3.75,3.65,0.0,0.0,19029219,69644399,27
2011-12-18,3.65,3.65,3.68,3.65,0.0,0.0,111464282,408971375,9
2011-12-19,3.62,3.65,3.65,3.61,-0.03,-0.82,18901095,68583453,19
2011-12-20,3.6,3.75,3.75,3.6,-0.02,-0.55,4723000,17106250,7
2012-01-03,3.65,3.6,3.65,3.6,0.05,1.39,37991886,136785790,3
2012-01-04,3.64,3.64,3.64,3.64,-0.01,-0.27,3551471,12927354,7
2012-01-05,3.6,3.6,3.6,3.6,-0.04,-1.1,500000,1800000,1
2012-01-08,3.65,3.65,3.65,3.65,0.05,1.39,260000,949000,1
2012-01-09,3.55,3.55,3.55,3.55,-0.1,-2.74,2240000,7952000,6
2012-01-11,3.55,3.55,3.55,3.55,0.0,0.0,1750000,6212500,3
2012-01-16,3.6,3.55,3.85,3.5,0.05,1.41,5500127,20091951,10
2012-01-19,3.4,3.4,3.4,3.4,-0.2,-5.56,100000,340000,1
2012-01-22,3.4,3.4,3.41,3.4,0.0,0.0,18100000,61541000,8
2012-01-23,3.46,3.46,3.46,3.46,0.06,1.76,100000,346000,1
2012-01-24,3.5,3.46,3.5,3.46,0.04,1.16,5778572,20208002,7
2012-01-25,3.5,3.5,3.5,3.5,0.0,0.0,5000000,17500000,1
2012-01-26,3.42,3.45,3.45,3.42,-0.08,-2.29,700000,2400000,3
2012-01-29,3.4,3.4,3.4,3.4,-0.02,-0.58,6650000,22610000,4
2012-01-30,3.37,3.37,3.4,3.37,-0.03,-0.88,3275000,11051000,8
2012-01-31,3.44,3.4,3.45,3.4,0.07,2.08,16342000,55944480,17
2012-02-01,3.5,3.44,3.5,3.44,0.06,1.74,964286,3327001,2
2012-02-08,3.5,3.5,3.5,3.5,0.0,0.0,7335714,25674999,7
2012-02-09,3.36,3.45,3.45,3.36,-0.14,-4.0,2941176,9885951,2
2012-02-12,3.5,3.5,3.5,3.5,0.14,4.17,1000000,3500000,1
2012-02-15,3.5,3.5,3.5,3.5,0.0,0.0,2000000,7000000,1
2012-02-20,3.31,3.31,3.33,3.3,-0.19,-5.43,21120000,69884100,18
2012-02-21,3.31,3.31,3.31,3.31,0.0,0.0,249500,825845,2
2012-02-26,3.25,3.25,3.25,3.25,-0.06,-1.81,485714,1578570,2
2012-02-27,3.2,3.25,3.25,3.2,-0.05,-1.54,2500000,8022000,3
2012-02-28,3.13,3.2,3.2,3.13,-0.07,-2.19,9050000,28349500,7
2012-02-29,3.23,3.13,3.23,3.13,0.1,3.19,7910266,25257993,6
2012-03-01,3.44,3.3,3.45,3.3,0.21,6.5,8337500,28399000,11
2012-03-04,3.59,3.58,3.59,3.52,0.15,4.36,8505799,30430760,14
2012-03-05,3.64,3.68,3.68,3.58,0.05,1.39,1065000,3849100,9
2012-03-06,3.5,3.6,3.6,3.5,-0.14,-3.85,7189500,25582200,9
2012-03-07,3.5,3.6,3.6,3.5,0.0,0.0,2544734,8964858,7
2012-03-08,3.55,3.5,3.55,3.5,0.05,1.43,51250000,179625000,25
2012-03-11,3.6,3.55,3.6,3.55,0.05,1.41,1005000,3617750,2
2012-03-12,3.75,3.6,3.75,3.6,0.15,4.17,20490000,74881100,22
2012-03-13,3.83,3.8,3.85,3.8,0.08,2.13,7205118,27610852,11
2012-03-14,3.85,3.85,3.85,3.85,0.02,0.52,1000000,3850000,1
2012-03-15,3.8,3.75,3.8,3.75,-0.05,-1.3,1075000,4035000,2
2012-03-18,3.73,3.8,3.8,3.73,-0.07,-1.84,37250000,139657500,36
2012-03-19,3.61,3.61,3.61,3.61,-0.12,-3.22,100000,361000,1
2012-03-20,3.61,3.61,3.61,3.61,0.0,0.0,50000,180500,1
2012-03-22,3.5,3.55,3.55,3.5,-0.11,-3.05,1015000,3553250,2
2012-04-01,3.7,3.5,3.7,3.5,0.2,5.71,3205700,11223950,12
2012-04-02,3.5,3.7,3.7,3.5,-0.2,-5.41,2520000,8924000,2
2012-04-03,3.5,3.5,3.51,3.5,0.0,0.0,4000000,14000300,8
2012-04-05,3.4,3.5,3.5,3.4,-0.1,-2.86,1980000,6824500,8
2012-04-08,3.4,3.4,3.4,3.4,0.0,0.0,428572,1457145,1
2012-04-09,3.4,3.4,3.4,3.4,0.0,0.0,2150000,7310000,6
2012-04-10,3.4,3.4,3.4,3.4,0.0,0.0,1571428,5342855,5
2012-04-11,3.38,3.38,3.38,3.38,-0.02,-0.59,500000,1690000,1
2012-04-12,3.4,3.38,3.4,3.38,0.02,0.59,2353000,7980140,5
2012-04-15,3.4,3.4,3.4,3.4,0.0,0.0,650000,2210000,2
2012-04-17,3.4,3.4,3.4,3.4,0.0,0.0,950000,3230000,3
2012-04-18,3.4,3.4,3.4,3.4,0.0,0.0,500000,1700000,2
2012-04-19,3.4,3.4,3.4,3.4,0.0,0.0,397500,1351500,5
2012-04-22,3.4,3.4,3.4,3.4,0.0,0.0,3100000,10540000,7
2012-04-23,3.4,3.35,3.4,3.35,0.0,0.0,870000,2950500,6
2012-04-24,3.4,3.4,3.4,3.4,0.0,0.0,40000,136000,1
2012-04-25,3.4,3.4,3.4,3.4,0.0,0.0,31150000,105910000,10
2012-04-26,3.4,3.4,3.4,3.4,0.0,0.0,25000000,85000000,14
2012-04-29,3.4,3.4,3.4,3.4,0.0,0.0,846410000,2877794000,7
2012-04-30,3.4,3.4,3.4,3.4,0.0,0.0,9600000,32640000,4
2012-05-02,3.4,3.4,3.4,3.4,0.0,0.0,22720000,77248000,16
2012-05-03,3.35,3.35,3.35,3.35,-0.05,-1.47,325500,1090425,3
2012-05-06,3.35,3.35,3.35,3.35,0.0,0.0,350000,1172500,1
2012-05-07,3.35,3.36,3.36,3.35,0.0,0.0,13132089,44038998,17
2012-05-08,3.35,3.36,3.36,3.34,0.0,0.0,6550588,21949524,8
2012-05-09,3.34,3.35,3.35,3.34,-0.01,-0.3,23043968,77162293,13
2012-05-13,3.33,3.34,3.34,3.33,-0.01,-0.3,225000,749500,2
2012-05-15,3.3,3.3,3.3,3.3,-0.03,-0.9,1000000,3300000,1
2012-05-16,3.25,3.25,3.25,3.25,-0.05,-1.52,1000000,3250000,1
2012-05-17,3.25,3.25,3.25,3.25,0.0,0.0,1235294,4014706,2
2012-05-22,3.15,3.15,3.15,3.15,-0.1,-3.08,1125000,3543750,3
2012-05-24,3.1,3.1,3.1,3.05,-0.05,-1.59,2355000,7188000,14
2012-05-27,3.2,3.08,3.2,3.05,0.1,3.23,3193552,10066639,9
2012-05-28,3.25,3.2,3.25,3.18,0.05,1.56,3159706,10223350,6
