Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2012-02-29,0.77,0.82,0.82,0.77,,,31784211,24563053,5
2012-03-01,0.81,0.78,0.81,0.78,0.04,5.19,80142279,64528561,13
2012-03-04,0.75,0.83,0.83,0.75,-0.06,-7.41,55145923,45569442,6
2012-03-05,0.71,0.76,0.76,0.71,-0.04,-5.33,64295684,46931201,20
2012-03-06,0.76,0.71,0.76,0.7,0.05,7.04,25031777,18586672,20
2012-03-07,0.75,0.75,0.75,0.75,-0.01,-1.32,12640154,9480116,3
2012-07-04,0.7,0.7,0.7,0.7,-0.05,-6.67,514948,360464,3
2012-07-05,0.65,0.65,0.65,0.65,-0.05,-7.14,1652068,1073844,1
2012-07-08,0.6,0.6,0.6,0.6,-0.05,-7.69,385892,231535,4
2012-07-09,0.64,0.6,0.64,0.6,0.04,6.67,3404975,2062985,7
2012-07-10,0.66,0.64,0.66,0.64,0.02,3.13,3136498,2036477,8
2012-07-11,0.72,0.72,0.72,0.72,0.06,9.09,200000,144000,1
2012-07-12,0.75,0.76,0.76,0.75,0.03,4.17,250000,189000,2
2012-07-15,0.8,0.76,0.8,0.76,0.05,6.67,550000,422000,6
2012-07-16,0.79,0.8,0.8,0.79,-0.01,-1.25,2036213,1624808,13
2012-07-17,0.81,0.81,0.81,0.81,0.02,2.53,400000,324000,4
2012-07-18,0.79,0.8,0.8,0.75,-0.02,-2.47,1608576726,1273284936,19
2012-07-19,0.8,0.8,0.8,0.8,0.01,1.27,2717042480,2173633984,22
2012-07-23,0.8,0.8,0.8,0.8,0.0,0.0,2632326397,2105861118,11
2012-07-24,0.8,0.8,0.8,0.8,0.0,0.0,600000,480000,3
2012-07-25,0.8,0.8,0.8,0.8,0.0,0.0,500000,400000,5
2012-07-29,0.78,0.79,0.79,0.78,-0.02,-2.5,2000000,1565000,4
2012-07-30,0.72,0.72,0.72,0.72,-0.06,-7.69,944714,680194,1
2012-07-31,0.7,0.78,0.78,0.7,-0.02,-2.78,5316829,4053780,8
2012-08-01,0.76,0.77,0.77,0.76,0.06,8.57,2111543,1616441,5
2012-08-05,0.79,0.79,0.79,0.79,0.03,3.95,200000,158000,2
2012-08-06,0.79,0.79,0.79,0.79,0.0,0.0,188694,149068,2
2012-08-07,0.72,0.79,0.79,0.72,-0.07,-8.86,3288694,2383068,5
2012-08-08,0.74,0.78,0.78,0.72,0.02,2.78,14750000,10840000,14
2012-08-12,0.73,0.74,0.74,0.73,-0.01,-1.35,6537220,4802482,9
