Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2019-07-23,1.2,1.2,1.2,1.2,0,0.00%,,120000,1
2019-07-24,1.2,1.2,1.2,1.2,0,0.00%,,5441999872,9
2019-07-30,1.2,1.2,1.2,1.2,0,0.00%,,5520000000,2
2019-08-04,1.2,1.2,1.2,1.2,0,0.00%,,2400120064,7
2019-08-06,1.2,1.2,1.2,1.2,0,0.00%,,4638179840,21
2019-11-27,1.2,1.2,1.2,1.2,0,0.00%,,240000,2
2019-12-23,1.2,1.2,1.25,1.2,0,0.00%,,480120064,4
2019-12-24,1.2,1.2,1.2,1.2,0,0.00%,,659398784,6
2020-01-07,1.2,1.2,1.2,1.2,0,0.00%,,479280000,2
2020-01-27,1.2,1.2,1.2,1.2,0,0.00%,,479520000,1
2020-02-05,1.2,1.2,1.2,1.2,0,0.00%,,480000000,1
2020-02-10,1.2,1.2,1.2,1.2,0,0.00%,,492000000,5
2020-02-11,1.2,1.2,1.2,1.2,0,0.00%,,468480000,4
2020-02-27,1.2,1.2,1.2,1.2,0,0.00%,,124020000,1
2020-03-01,1.2,1.2,1.2,1.2,0,0.00%,,486000000,9
2020-03-09,1.2,1.2,1.2,1.2,0,0.00%,,351418816,10
2020-03-11,1.2,1.2,1.2,1.2,0,0.00%,,132000000,8
2020-03-15,1.2,1.2,1.2,1.2,0,0.00%,,324000000,9
2020-04-30,1.2,1.2,1.2,1.2,0,0.00%,,480000000,8
2020-05-07,1.2,1.2,1.2,1.2,0,0.00%,,492000000,9
2020-05-10,1.2,1.2,1.2,1.2,0,0.00%,,12000000,1
2020-05-12,1.2,1.2,1.2,1.2,0,0.00%,,30000,1
2020-07-01,1.2,1.2,1.2,1.2,0,0.00%,,300000000,5
2020-07-05,1.2,1.2,1.2,1.2,0,0.00%,,179400000,1
2020-07-08,1.2,1.2,1.2,1.2,0,0.00%,,300000000,5
2020-07-20,1.2,1.2,1.2,1.2,0,0.00%,,300000000,5
2020-07-26,1.2,1.2,1.2,1.2,0,0.00%,,107700000,4
2020-08-11,1.2,1.2,1.2,1.2,0,0.00%,,300000000,5
2020-08-12,1.2,1.2,1.2,1.2,0,0.00%,,300030016,6
2020-08-26,1.2,1.2,1.2,1.2,0,0.00%,,300120000,6
2020-09-07,1,1,1,1,-0.2,-16.67%,,100000,1
2020-09-09,1,1,1,1,0,0.00%,,1712400000,20
2020-09-10,1,1,1,1,0,0.00%,,4046301952,32
2020-09-13,1,1,1,1,0,0.00%,,2910299904,34
2020-09-14,1,1,1,1,0,0.00%,,200000,1
2020-09-16,1,1,1,1,0,0.00%,,100000,1
2020-09-20,1,1,1,1,0,0.00%,,1498471040,19
2020-09-21,1,1,1,1,0,0.00%,,31182332,1
2021-01-28,1,1,1,1,0,0.00%,,155000000,3
2021-02-10,1,1,1,1,0,0.00%,,652000000,6
2021-03-04,1,1,1,1,0,0.00%,,2000000,1
2021-05-26,1,1,1,1,0,0.00%,,462450000,7
2021-06-01,1,1,1,1,0,0.00%,,95750000,1
2021-09-08,0.9,0.99,0.99,0.9,-0.1,-10.00%,,162157504,6
2021-09-14,0.9,0.9,0.9,0.9,0,0.00%,,155700000,2
2021-09-16,0.9,0.9,0.9,0.9,0,0.00%,,156824992,2
2021-09-20,0.9,0.9,0.9,0.9,0,0.00%,,180764992,6
2021-09-22,0.9,0.9,0.9,0.9,0,0.00%,,178650000,6
2021-09-30,0.9,0.9,0.9,0.9,0,0.00%,,18000,1
2021-10-07,0.85,0.85,0.85,0.85,-0.05,-5.56%,,442000,3
2021-10-20,0.8,0.8,0.8,0.8,-0.05,-5.88%,,80000,1
2021-11-16,0.8,0.8,0.8,0.8,0,0.00%,,24000,1
2021-11-25,0.79,0.79,0.79,0.79,-0.01,-1.25%,,98750,2
2021-12-07,0.8,0.8,0.8,0.8,0.01,1.27%,,1600,1
2021-12-08,0.96,0.96,0.96,0.96,0.16,20.00%,,960000,1
2021-12-09,1,1,1,1,0.04,4.17%,,1000000,1
2022-01-13,0.9,0.9,0.9,0.9,-0.1,-10.00%,,90000,1
2022-03-23,0.87,0.87,0.87,0.87,-0.03,-3.33%,,3480000,3
2022-03-31,0.85,0.85,0.85,0.85,-0.02,-2.30%,,4250000,2
2022-04-03,0.83,0.83,0.83,0.83,-0.02,-2.35%,,4150000,1
2022-04-07,0.8,0.81,0.81,0.8,-0.03,-3.61%,,2416200,2
2022-04-12,0.8,0.8,0.8,0.8,0,0.00%,,1976019968,5
2022-04-20,0.8,0.8,0.8,0.8,0,0.00%,,40000,1
2022-05-11,0.77,0.77,0.77,0.77,-0.03,-3.75%,,785400,3
2022-05-29,0.77,0.77,0.77,0.77,0,0.00%,,38591,2
2022-05-30,0.77,0.77,0.77,0.77,0,0.00%,,192500,2
2022-05-31,0.77,0.77,0.77,0.77,0,0.00%,,523600,4
2022-06-05,0.75,0.75,0.75,0.75,-0.02,-2.60%,,29912,1
2022-06-06,0.75,0.75,0.75,0.75,0,0.00%,,30000,1
2022-06-23,0.7,0.7,0.7,0.7,-0.05,-6.67%,,670600,1
2022-08-04,0.69,0.69,0.69,0.69,-0.01,-1.43%,,48991,1
2022-09-01,0.69,0.69,0.69,0.69,0,0.00%,,3408,2
2022-10-18,0.69,0.69,0.69,0.69,0,0.00%,,144063,1
2022-11-01,0.68,0.68,0.68,0.68,-0.01,-1.45%,,34000,1
2022-11-03,0.67,0.67,0.67,0.67,-0.01,-1.47%,,68005,7
2022-11-20,0.65,0.65,0.65,0.65,-0.02,-2.99%,,33782,2
2022-11-21,0.65,0.65,0.65,0.65,0,0.00%,,455000,3
2022-12-07,0.74,0.64,0.74,0.64,0.09,13.85%,,6670396,7
2022-12-11,0.8,0.75,0.8,0.75,0.06,8.11%,,161960,2
2022-12-15,1.11,1,1.11,1,0.31,38.75%,,6892690,14
2022-12-18,1.24,1.15,1.24,1.15,0.13,11.71%,,3919536,9
2022-12-22,1,1.03,1.03,1,-0.24,-19.35%,,856500,6
2022-12-27,1,0.85,1,0.85,0,0.00%,,9615000,7
2023-01-02,0.93,1.05,1.05,0.93,-0.07,-7.00%,,2953500,11
2023-01-03,1,1.03,1.05,1,0.07,7.53%,,458000,4
2023-01-08,0.88,0.88,0.88,0.88,-0.12,-12.00%,,6160000,16
2023-01-09,0.92,0.92,0.92,0.9,0.04,4.55%,,343000,7
2023-01-10,1,1,1,1,0.08,8.70%,,50000,3
2023-01-12,1,1,1,1,0,0.00%,,60000,3
2023-01-18,0.85,0.85,0.85,0.85,-0.15,-15.00%,,756500,3
2023-01-19,0.97,0.85,0.97,0.85,0.12,14.12%,,382000,4
2023-01-22,0.97,0.97,0.97,0.97,0,0.00%,,32897,1
2023-01-26,0.97,0.97,0.97,0.97,0,0.00%,,1655,1
2023-02-09,0.9,0.9,0.9,0.9,-0.07,-7.22%,,90000,1
2023-02-12,0.8,0.8,0.8,0.8,-0.1,-11.11%,,40000,2
2023-02-13,0.72,0.72,0.72,0.72,-0.08,-10.00%,,1552,1
2023-02-14,0.65,0.65,0.65,0.65,-0.07,-9.72%,,16250,1
2023-02-15,0.74,0.65,0.74,0.65,0.09,13.85%,,2010599,12
2023-02-19,0.72,0.72,0.72,0.72,-0.02,-2.70%,,72000,1
2023-02-20,0.74,0.72,0.74,0.71,0.02,2.78%,,1246854,8
2023-02-21,0.75,0.75,0.75,0.75,0.01,1.35%,,7500,1
2023-02-22,0.64,0.72,0.72,0.64,-0.11,-14.67%,,454400,5
2023-02-26,0.73,0.73,0.73,0.73,0.09,14.06%,,2869,1
2023-02-27,0.74,0.74,0.74,0.74,0.01,1.37%,,11100,1
2023-02-28,0.66,0.74,0.75,0.66,-0.08,-10.81%,,3672750,14
