Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-03-22,0,2.69,2.71,2.66,0,0.00%,,64943640,
2011-03-23,0,2.69,2.72,2.69,0,0.00%,,93254278,
2011-03-24,0,2.7,2.75,2.7,0,0.00%,,191650427,
2011-03-27,0,2.72,2.73,2.72,0,0.00%,,10315382,
2011-03-28,0,2.72,2.74,2.72,0,0.00%,,38180000,
2011-03-29,0,2.71,2.72,2.71,0,0.00%,,99740000,
2011-03-30,0,2.72,2.72,2.7,0,0.00%,,97146325,
2011-03-31,0,2.7,2.7,2.68,0,0.00%,,40021750,
2011-04-03,0,2.68,2.73,2.67,0,0.00%,,49527446,
2011-04-04,0,2.75,2.78,2.75,0,0.00%,,73504939,
2011-04-05,0,2.75,2.78,2.72,0,0.00%,,84945560,
2011-04-06,0,2.73,2.73,2.72,0,0.00%,,8216063400,
2011-04-07,0,2.73,2.77,2.73,0,0.00%,,593520648,
2011-04-10,0,2.72,2.72,2.67,0,0.00%,,104280600,
2011-04-11,0,2.7,2.72,2.7,0,0.00%,,153142480,
2011-04-12,0,2.7,2.73,2.7,0,0.00%,,537892869,
2011-04-13,0,2.7,2.72,2.69,0,0.00%,,343142025,
2011-04-14,0,2.75,2.75,2.7,0,0.00%,,119599330,
2011-04-17,0,2.7,2.7,2.7,0,0.00%,,5400000,
2011-04-18,0,2.7,2.71,2.7,0,0.00%,,5667050000,
2011-04-19,0,2.72,2.72,2.71,0,0.00%,,52817145,
2011-04-20,0,2.73,2.73,2.71,0,0.00%,,346684353,
2011-04-21,0,2.7,2.71,2.7,0,0.00%,,124410000,
2011-04-24,0,2.68,2.7,2.68,0,0.00%,,22922954,
2011-04-25,0,2.71,2.71,2.7,0,0.00%,,117428402,
2011-04-26,0,2.72,2.73,2.7,0,0.00%,,122258448,
2011-04-27,0,2.71,2.71,2.7,0,0.00%,,74378500,
2011-04-28,0,2.7,2.71,2.7,0,0.00%,,156337500,
2011-05-02,0,2.72,2.72,2.7,0,0.00%,,114323125,
2011-05-03,0,2.7,2.7,2.69,0,0.00%,,139905584,
2011-05-04,0,2.7,2.71,2.69,0,0.00%,,144372718,
2011-05-05,0,2.71,2.71,2.7,0,0.00%,,30155438,
2011-05-08,0,2.7,2.71,2.69,0,0.00%,,16601031,
2011-05-09,0,2.68,2.7,2.68,0,0.00%,,7737175,
2011-05-10,0,2.7,2.7,2.7,0,0.00%,,33202489,
2011-05-11,0,2.7,2.72,2.69,0,0.00%,,39428220,
2011-05-12,0,2.73,2.76,2.73,0,0.00%,,94966304,
2011-05-15,0,2.73,2.76,2.73,0,0.00%,,52423033,
2011-05-16,0,2.72,2.74,2.72,0,0.00%,,47408442,
2011-05-17,0,2.74,2.79,2.74,0,0.00%,,151593370,
2011-05-18,0,2.79,2.88,2.79,0,0.00%,,113993717,
2011-05-19,0,2.87,2.91,2.84,0,0.00%,,214610322,
2011-05-22,0,2.9,2.95,2.85,0,0.00%,,108789174,
2011-05-23,0,2.88,2.9,2.86,0,0.00%,,89719410,
2011-05-24,0,2.85,2.88,2.85,0,0.00%,,158675751,
2011-05-25,0,2.85,2.85,2.83,0,0.00%,,186874000,
2011-05-26,0,2.86,2.86,2.82,0,0.00%,,126678842,
2011-05-29,0,2.84,2.86,2.84,0,0.00%,,23301040,
2011-05-30,0,2.81,2.91,2.8,0,0.00%,,114456099,
2011-05-31,0,2.9,2.96,2.9,0,0.00%,,558031251,
2011-06-01,0,2.98,2.99,2.96,0,0.00%,,799024493,
2011-06-02,0,2.97,2.97,2.95,0,0.00%,,287077972,
2011-06-05,0,3,3.19,3,0,0.00%,,51683063948,
2011-06-06,0,3.2,3.28,3.19,0,0.00%,,693777888,
2011-06-07,0,3.2,3.56,3.2,0,0.00%,,1170537048,
2011-10-04,0,3.05,3.14,2.86,0,0.00%,,789141138,
2011-10-05,0,2.87,2.92,2.81,0,0.00%,,181921076,
2011-10-06,0,2.9,2.94,2.86,0,0.00%,,682410717,
2011-10-09,0,2.9,2.91,2.87,0,0.00%,,479723682,
2011-10-10,0,2.88,2.91,2.88,0,0.00%,,370714003,
