Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-11,0,0.9,0.9,0.9,0,0.00%,,450000,
2010-01-13,0,0.85,0.86,0.85,0,0.00%,,24893440,
2010-01-14,0,0.86,0.86,0.86,0,0.00%,,4330960,
2010-01-17,0,0.86,0.88,0.86,0,0.00%,,233200,
2010-01-18,0,0.86,0.86,0.86,0,0.00%,,1118000,
2010-01-20,0,0.86,0.86,0.86,0,0.00%,,43000,
2010-01-21,0,0.86,0.86,0.85,0,0.00%,,21525000,
2010-01-24,0,0.85,0.85,0.85,0,0.00%,,13600000,
2010-01-25,0,0.86,0.87,0.85,0,0.00%,,29800000,
2010-01-26,0,0.85,0.87,0.85,0,0.00%,,4310030,
2010-01-27,0,0.86,0.87,0.85,0,0.00%,,7452500,
2010-01-28,0,0.85,0.85,0.82,0,0.00%,,15370000,
2010-01-31,0,0.82,0.83,0.81,0,0.00%,,24393150,
2010-02-01,0,0.83,0.84,0.82,0,0.00%,,45461000,
2010-02-02,0,0.82,0.82,0.82,0,0.00%,,902000,
2010-02-03,0,0.84,0.85,0.84,0,0.00%,,12125060,
2010-02-04,0,0.85,0.85,0.85,0,0.00%,,29750000,
2010-02-07,0,0.85,0.85,0.85,0,0.00%,,3400000,
2010-02-08,0,0.84,0.84,0.84,0,0.00%,,2562000,
2010-02-09,0,0.85,0.85,0.85,0,0.00%,,170000,
2010-02-10,0,0.83,0.83,0.83,0,0.00%,,4150000,
2010-02-11,0,0.83,0.83,0.83,0,0.00%,,5851500,
2010-02-14,0,0.84,0.84,0.84,0,0.00%,,840000,
2010-02-15,0,0.84,0.85,0.84,0,0.00%,,1072125,
2010-02-16,0,0.83,0.83,0.83,0,0.00%,,16517000,
2010-02-17,0,0.83,0.83,0.83,0,0.00%,,2905332,
2010-02-21,0,0.84,0.84,0.84,0,0.00%,,42000,
2010-02-22,0,0.85,0.85,0.85,0,0.00%,,4250000,
2010-02-24,0,0.84,0.84,0.83,0,0.00%,,3321000,
2010-03-03,0,0.84,0.84,0.84,0,0.00%,,9030000,
2010-03-09,0,0.83,0.84,0.83,0,0.00%,,7470840,
2010-03-10,0,0.84,0.84,0.84,0,0.00%,,13691496,
2010-03-11,0,0.84,0.85,0.84,0,0.00%,,33895500,
2010-03-16,0,0.84,0.84,0.82,0,0.00%,,4748800,
2010-03-22,0,0.83,0.83,0.83,0,0.00%,,41500,
2010-03-23,0,0.83,0.84,0.83,0,0.00%,,7550000,
2010-03-25,0,0.82,0.82,0.82,0,0.00%,,3280000,
2010-03-28,0,0.82,0.82,0.8,0,0.00%,,8013000,
2010-03-29,0,0.8,0.82,0.79,0,0.00%,,16240000,
2010-03-30,0,0.82,0.83,0.82,0,0.00%,,11965000,
2010-03-31,0,0.83,0.83,0.83,0,0.00%,,155167255,
2010-04-01,0,0.83,0.85,0.83,0,0.00%,,144625271,
2010-04-04,0,0.84,0.84,0.82,0,0.00%,,7502001,
2010-04-05,0,0.82,0.82,0.82,0,0.00%,,5149600,
2010-04-07,0,0.83,0.83,0.83,0,0.00%,,41500,
2010-04-12,0,0.83,0.83,0.83,0,0.00%,,41500,
2010-04-13,0,0.82,0.82,0.82,0,0.00%,,9020000,
2010-04-14,0,0.81,0.81,0.81,0,0.00%,,13770000,
2010-04-18,0,0.8,0.81,0.8,0,0.00%,,75522214,
2010-04-19,0,0.8,0.8,0.8,0,0.00%,,778621,
2010-04-20,0,0.8,0.8,0.8,0,0.00%,,760000,
2010-04-21,0,0.8,0.8,0.8,0,0.00%,,26264800,
2010-04-22,0,0.82,0.82,0.82,0,0.00%,,779000,
2010-04-25,0,0.81,0.81,0.8,0,0.00%,,1402214,
2010-04-26,0,0.81,0.81,0.8,0,0.00%,,30765906,
2010-04-28,0,0.81,0.82,0.81,0,0.00%,,66850603,
2010-04-29,0,0.82,0.82,0.82,0,0.00%,,2050000,
2010-05-02,0,0.82,0.82,0.82,0,0.00%,,586300,
2010-05-03,0,0.82,0.82,0.82,0,0.00%,,41000000,
2010-05-04,0,0.8,0.82,0.8,0,0.00%,,1782000,
2010-05-05,0,0.81,0.81,0.81,0,0.00%,,850500,
2010-05-11,0,0.83,0.83,0.83,0,0.00%,,830000,
2010-05-12,0,0.83,0.83,0.83,0,0.00%,,418772,
2010-05-13,0,0.83,0.83,0.83,0,0.00%,,24650786,
2010-05-16,0,0.83,0.83,0.83,0,0.00%,,9858325,
2010-05-18,0,0.82,0.82,0.82,0,0.00%,,27062050,
2010-05-20,0,0.83,0.83,0.83,0,0.00%,,166000,
2010-05-23,0,0.82,0.83,0.82,0,0.00%,,5781500,
2010-05-24,0,0.83,0.91,0.83,0,0.00%,,77601022,
2010-05-25,0,0.88,0.97,0.88,0,0.00%,,78736300,
2010-05-26,0,0.95,1,0.92,0,0.00%,,66001600,
2010-05-27,0,0.97,1,0.97,0,0.00%,,47639062,
2010-05-30,0,0.94,0.96,0.94,0,0.00%,,9496000,
2010-05-31,0,0.95,1.04,0.95,0,0.00%,,170773000,
2010-06-01,0,1.04,1.09,1.03,0,0.00%,,158269705,
2010-06-02,0,1.1,1.12,1.05,0,0.00%,,208716100,
