Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-05,0,16.55,16.55,16.55,0,0.00%,,8275000,
2010-01-13,0,15.6,15.85,15.35,0,0.00%,,4409469,
2010-01-14,0,15.75,15.75,15.75,0,0.00%,,5158534,
2010-01-17,0,15.75,15.75,15.75,0,0.00%,,1030900,
2010-01-18,0,15.75,15.75,15.75,0,0.00%,,511875,
2010-01-21,0,15.4,15.4,15.4,0,0.00%,,1540000,
2010-01-24,0,15.2,15.2,15.05,0,0.00%,,10622500,
2010-01-25,0,15.05,15.1,15.05,0,0.00%,,4957458,
2010-01-31,0,15,15,15,0,0.00%,,575250,
2010-02-01,0,15,15,15,0,0.00%,,132210000,
2010-02-02,0,15,15.1,15,0,0.00%,,5270000,
2010-02-03,0,15.5,15.5,15,0,0.00%,,4600000,
2010-02-04,0,15.2,15.2,15.2,0,0.00%,,1520000,
2010-02-07,0,15.2,15.2,15.2,0,0.00%,,760000,
2010-02-08,0,15,15,14.9,0,0.00%,,3735000,
2010-02-11,0,14.75,14.75,14,0,0.00%,,2562007,
2010-02-14,0,14,14,13.9,0,0.00%,,7110584,
2010-02-15,0,14,14,14,0,0.00%,,140000,
2010-02-16,0,13.6,13.6,13.6,0,0.00%,,1349800,
2010-02-17,0,13.01,13.25,13,0,0.00%,,9662500,
2010-02-18,0,13.25,13.25,13,0,0.00%,,9907500,
2010-02-22,0,13.05,13.05,13,0,0.00%,,15480000,
2010-02-23,0,13,13,12.8,0,0.00%,,4500000,
2010-02-24,0,12.77,12.77,12.73,0,0.00%,,3826000,
2010-02-25,0,12.8,12.95,12.8,0,0.00%,,2121700,
2010-03-02,0,13,13.1,13,0,0.00%,,14531228,
2010-03-03,0,13.5,13.5,13.5,0,0.00%,,135000,
2010-03-11,0,13.2,13.35,13.2,0,0.00%,,17451250,
2010-03-14,0,13,13,13,0,0.00%,,17697264,
2010-03-15,0,12.95,12.95,12.8,0,0.00%,,6205475,
2010-03-16,0,12.8,12.8,12.8,0,0.00%,,6400000,
2010-03-17,0,12.8,12.8,12.7,0,0.00%,,11480500,
2010-03-18,0,12.75,12.75,12.52,0,0.00%,,9436150,
2010-03-22,0,12.25,12.25,12.25,0,0.00%,,1225000,
2010-03-23,0,12.25,12.25,12.25,0,0.00%,,4287500,
2010-03-24,0,12,12,12,0,0.00%,,4800000,
2010-03-25,0,12.5,12.5,12.5,0,0.00%,,250000,
2010-03-29,0,12.25,12.25,12.2,0,0.00%,,7553812,
