Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-19,0,22,22,22,0,0.00%,,396000,1
2010-01-24,0,22.25,22.25,22.25,0,0.00%,,17466517,1
2010-01-26,0,22,22,22,0,0.00%,,1100000,2
2010-02-16,0,22.5,23,22.5,0,0.00%,,6924050,2
2010-02-18,0,23.5,24,23.5,0,0.00%,,15682560,6
2010-02-21,0,24.9,24.9,24.9,0,0.00%,,921300,1
2010-02-22,0,25,25.25,25,0,0.00%,,6458200,5
2010-02-25,0,24.8,24.8,24.8,0,0.00%,,271312,1
2010-03-01,0,24.8,24.9,24.8,0,0.00%,,6557126,3
2010-03-02,0,24.95,24.95,24.5,0,0.00%,,2973950,2
2010-03-10,0,24.5,24.5,24.5,0,0.00%,,490000,2
2010-03-16,0,23.75,23.75,23.75,0,0.00%,,23750000,1
2010-03-22,0,22,22,21.8,0,0.00%,,656000,2
2010-03-23,0,22,22,22,0,0.00%,,1516768,3
2010-03-25,0,22,22.25,22,0,0.00%,,5410662,6
2010-03-28,0,23,23,23,0,0.00%,,6793050,1
2010-03-30,0,22.75,23,22.75,0,0.00%,,16000000,4
2010-03-31,0,22.75,22.75,22,0,0.00%,,1682688,2
2010-04-05,0,22,22,22,0,0.00%,,2200000,1
2010-04-15,0,21.5,21.5,21.5,0,0.00%,,1033290,1
2010-04-20,0,21.5,21.5,21.5,0,0.00%,,107500,1
2010-04-22,0,21.5,21.5,21,0,0.00%,,2637500,4
2010-04-26,0,20,20,20,0,0.00%,,5240000,3
2010-04-27,0,21.25,21.25,21.25,0,0.00%,,106250,1
2010-04-28,0,21.5,21.5,21.5,0,0.00%,,537500,1
2010-05-03,0,21.25,21.25,21.25,0,0.00%,,4292500,5
2010-05-11,0,21,21,21,0,0.00%,,44940000,9
2010-05-12,0,21.1,21.1,21.1,0,0.00%,,527500,1
2010-05-13,0,21,21,21,0,0.00%,,273000,1
2010-05-17,0,21.1,21.1,21,0,0.00%,,25521250,6
2010-05-19,0,21,21,21,0,0.00%,,2625000,2
2010-05-20,0,21,21,21,0,0.00%,,2730000,2
2010-05-24,0,21,21,21,0,0.00%,,399000,1
2010-05-25,0,21,21,21,0,0.00%,,5250000,2
2010-05-26,0,21,21,21,0,0.00%,,985740,1
2010-05-27,0,21,21,21,0,0.00%,,4200000,1
2010-06-06,0,19.1,19.5,19.1,0,0.00%,,15737670,2
2010-06-10,0,19.25,19.25,19.25,0,0.00%,,1443750,2
2010-06-14,0,18.6,18.71,18.25,0,0.00%,,10783709,8
2010-06-15,0,17.5,17.5,16.8,0,0.00%,,18798660,11
2010-07-05,0,19.25,19.25,19.25,0,0.00%,,128975,1
2010-07-06,0,19.15,19.25,19.15,0,0.00%,,5957500,2
2010-07-07,0,20,21.17,20,0,0.00%,,13145850,10
2010-07-11,0,21,21,19.9,0,0.00%,,19767332,12
2010-07-12,0,20,20,19.3,0,0.00%,,78340000,11
2010-07-13,0,20,20.5,20,0,0.00%,,29870900,11
2010-07-18,0,20,20,20,0,0.00%,,1000000,1
2010-07-19,0,20.1,20.5,20.1,0,0.00%,,6622200,8
2010-07-20,0,20.5,21,20.5,0,0.00%,,1260200,2
2010-07-21,0,21.25,21.25,21,0,0.00%,,6319800,8
2010-07-28,0,19.55,19.55,18.99,0,0.00%,,7512447,7
2010-07-29,0,20,20,20,0,0.00%,,1000000,1
2010-08-05,0,20,20,19,0,0.00%,,6911650,3
2010-08-09,0,18.25,18.25,18,0,0.00%,,3063170,4
2010-08-11,0,19.8,19.8,19.8,0,0.00%,,19800,1
2010-08-24,0,20,20,20,0,0.00%,,2325500,1
2010-08-29,0,19.75,19.75,19.75,0,0.00%,,2962500,1
2010-08-30,0,19.5,19.5,19.5,0,0.00%,,3308955,2
2010-08-31,0,19,19,19,0,0.00%,,3224110,3
2010-09-01,0,19.5,19.5,19.4,0,0.00%,,3987955,5
2010-09-05,0,19.5,19.5,19.5,0,0.00%,,1950000,1
2010-09-07,0,19,19.25,19,0,0.00%,,1052500,2
2010-09-08,0,19.5,19.95,19.5,0,0.00%,,6870000,2
2010-09-14,0,19.95,19.95,19.95,0,0.00%,,6982500,2
2010-09-15,0,19.15,19.2,19.1,0,0.00%,,9949000,7
2010-09-16,0,19.05,19.05,19.05,0,0.00%,,10121513,7
2010-09-19,0,19.07,19.07,19.05,0,0.00%,,5716000,3
2010-09-20,0,19,19,19,0,0.00%,,5700000,2
2010-09-21,0,18.9,18.9,18.85,0,0.00%,,9666670,5
2010-09-26,0,19,19,18.98,0,0.00%,,5125000,2
2010-09-27,0,19.5,19.5,18.98,0,0.00%,,5040600,6
2010-09-28,0,18.98,18.98,18.98,0,0.00%,,3829595,3
2010-09-29,0,19.4,19.4,19.4,0,0.00%,,4850000,1
2010-10-03,0,19,19.08,19,0,0.00%,,10850000,4
2010-10-04,0,18.5,18.5,18.4,0,0.00%,,8305000,3
2010-10-05,0,18.4,18.4,18.4,0,0.00%,,10120000,2
2010-10-06,0,18.4,18.5,18.4,0,0.00%,,1587450,3
2010-10-07,0,18.65,18.8,18.65,0,0.00%,,32450579,6
2010-10-10,0,19,19,18.85,0,0.00%,,8216000,4
2010-10-11,0,18.75,18.75,18.7,0,0.00%,,39954206,11
2010-10-12,0,18.71,18.71,18.7,0,0.00%,,6955441,5
2010-10-13,0,18.55,18.55,18.55,0,0.00%,,4550352,3
2010-10-14,0,18.56,18.56,18.55,0,0.00%,,18555000,5
2010-10-17,0,18.75,18.75,18.75,0,0.00%,,937500,1
2010-10-18,0,19,19.26,19,0,0.00%,,22938100,7
2010-10-19,0,19.1,19.1,19.1,0,0.00%,,34960831,8
2010-10-20,0,19.1,19.1,19.1,0,0.00%,,3820000,1
2010-10-21,0,19.25,19.5,19.25,0,0.00%,,22309848,8
2010-10-26,0,19.45,19.45,19.45,0,0.00%,,972500,1
2010-10-28,0,19.45,19.45,19.45,0,0.00%,,291750,1
2010-10-31,0,19.45,19.45,19.45,0,0.00%,,39580750,16
2010-11-01,0,19.5,19.5,19.45,0,0.00%,,41294144,8
2010-11-02,0,19.5,19.5,19.5,0,0.00%,,2076750,2
2010-11-03,0,19.55,19.55,19.5,0,0.00%,,6832500,5
2010-11-04,0,19.65,19.8,19.5,0,0.00%,,51265350,12
2010-11-07,0,19.1,19.1,19.1,0,0.00%,,11460000,3
2010-11-08,0,19.1,19.1,19.1,0,0.00%,,11312987,5
2010-11-09,0,19.05,19.05,18.8,0,0.00%,,17426250,4
2010-11-10,0,18.8,18.8,18.75,0,0.00%,,13551100,6
2010-11-11,0,18.8,19.1,18.8,0,0.00%,,19060000,4
2010-11-14,0,19.5,19.5,19.5,0,0.00%,,19500000,2
2010-11-15,0,19,19,19,0,0.00%,,22800000,5
2010-11-21,0,19.4,19.4,19.4,0,0.00%,,9700000,1
2010-11-22,0,19.5,19.5,19.5,0,0.00%,,15600000,2
2010-11-23,0,19.4,19.4,19.4,0,0.00%,,9700000,1
2010-11-25,0,19.35,19.35,19.35,0,0.00%,,9675000,1
2010-11-28,0,19,19,18.9,0,0.00%,,26038250,3
2010-11-29,0,19,19,19,0,0.00%,,9500000,1
2010-11-30,0,19,19,18.9,0,0.00%,,15481380,6
2010-12-02,0,19,19,19,0,0.00%,,7727300,3
2010-12-05,0,19.25,19.35,19.25,0,0.00%,,5268395,4
2010-12-06,0,19,19,18.75,0,0.00%,,1127500,2
2010-12-08,0,19,19,19,0,0.00%,,822700,1
2010-12-09,0,19,19,19,0,0.00%,,7951557,2
2010-12-14,0,19,19,19,0,0.00%,,191900,2
2010-12-15,0,19.25,19.25,19.25,0,0.00%,,577500,1
2010-12-19,0,19,19,19,0,0.00%,,9500000,2
2010-12-21,0,19,20,19,0,0.00%,,2739428,2
2010-12-22,0,19.75,20,19.75,0,0.00%,,5037500,7
2010-12-23,0,19.5,19.7,19.5,0,0.00%,,4392500,3
2011-01-04,0,20,20,19.94,0,0.00%,,5825900,4
2011-01-05,0,19.94,19.94,19.5,0,0.00%,,3225130,4
2011-01-09,0,19.5,19.95,19.5,0,0.00%,,38332500,4
2011-01-10,0,19.99,20.75,19.7,0,0.00%,,29954975,14
2011-01-11,0,20.65,20.9,20.5,0,0.00%,,41891030,16
2011-01-12,0,20.49,20.49,20.25,0,0.00%,,9187926,4
2011-01-13,0,20,20,20,0,0.00%,,1000000,1
2011-01-16,0,20.05,20.05,20,0,0.00%,,11785980,7
2011-01-17,0,20,20,20,0,0.00%,,4855000,5
2011-01-19,0,19.5,20,19.5,0,0.00%,,16900000,4
2011-01-23,0,19.5,19.5,19.5,0,0.00%,,5850000,1
2011-01-25,0,19.6,19.7,19.5,0,0.00%,,2948880,3
2011-01-26,0,19.8,19.8,19.8,0,0.00%,,990000,1
2011-01-31,0,20,20,20,0,0.00%,,1000000,1
2011-02-14,0,20,20,20,0,0.00%,,2400000,3
2011-02-16,0,20.25,20.25,20,0,0.00%,,8419250,3
2011-02-17,0,20.25,20.25,20.25,0,0.00%,,14300550,2
2011-02-20,0,20.25,20.25,20.25,0,0.00%,,16200000,3
2011-02-22,0,20.25,20.25,20.25,0,0.00%,,4050000,1
2011-02-23,0,20.5,20.5,20.5,0,0.00%,,3214400,1
2011-03-02,0,20.5,20.5,20.5,0,0.00%,,2460000,1
2011-03-03,0,20.5,20.5,20.5,0,0.00%,,21525000,9
2011-03-09,0,19.6,19.6,19.5,0,0.00%,,4417332,5
2011-03-13,0,19.5,19.5,19.2,0,0.00%,,17229000,3
2011-03-14,0,19.6,19.6,19.25,0,0.00%,,23177500,6
2011-03-15,0,19.3,19.3,19,0,0.00%,,24435000,6
2011-03-16,0,19,19,19,0,0.00%,,23370000,5
2011-03-17,0,19,19,19,0,0.00%,,4275000,3
2011-03-20,0,19,19.5,19,0,0.00%,,22668400,8
2011-03-22,0,19.6,19.6,19.6,0,0.00%,,9800000,3
2011-03-24,0,19.5,19.5,19.43,0,0.00%,,25267500,4
2011-03-27,0,19.5,19.5,19.5,0,0.00%,,14235000,2
2011-03-28,0,19.45,19.45,19.45,0,0.00%,,9336000,2
2011-03-29,0,19.42,19.42,19.4,0,0.00%,,3994578,2
2011-03-30,0,19.4,19.45,19.4,0,0.00%,,16408300,4
2011-03-31,0,19.25,19.3,19.2,0,0.00%,,43345000,10
2011-04-03,0,19.3,19.4,19.3,0,0.00%,,6121520,2
2011-04-04,0,19.6,19.6,19.6,0,0.00%,,9800000,1
2011-04-05,0,19.5,19.5,19.2,0,0.00%,,29408750,8
2011-04-06,0,19.5,19.5,19.5,0,0.00%,,9750000,1
2011-04-07,0,19.25,19.28,19.15,0,0.00%,,10602000,4
2011-04-10,0,19,19,19,0,0.00%,,16625000,4
2011-04-11,0,19.15,19.15,19.15,0,0.00%,,6032250,1
2011-04-13,0,19,19,19,0,0.00%,,5985000,2
2011-04-14,0,19.2,19.2,19.2,0,0.00%,,9600000,2
2011-04-17,0,19.2,19.2,19,0,0.00%,,6344400,2
2011-04-18,0,19,19,19,0,0.00%,,2850000,1
2011-04-19,0,19.5,19.5,19.5,0,0.00%,,4875000,1
2011-04-20,0,19.3,19.3,19.3,0,0.00%,,6755000,1
2011-04-21,0,19.3,19.3,19.1,0,0.00%,,153400,3
2011-04-28,0,19.25,19.25,19.25,0,0.00%,,6737500,1
2011-05-04,0,18.5,18.9,18.5,0,0.00%,,8882638,3
2011-05-05,0,18.75,18.75,18.75,0,0.00%,,5625000,1
2011-05-08,0,18.8,18.8,18.1,0,0.00%,,9403553,5
