Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-01,37.0,35.65,36.5,35.65,,,67586,2451941,3
2011-12-04,36.0,36.5,36.5,35.51,-1.0,-2.7,112500,4036700,4
2011-12-05,36.0,36.0,36.0,36.0,0.0,0.0,40000,1440000,1
2011-12-07,36.0,36.0,36.0,36.0,0.0,0.0,220000,7920000,5
2011-12-08,36.0,36.0,36.0,36.0,0.0,0.0,42857,1542852,1
2011-12-12,35.16,35.4,35.4,35.0,-0.84,-2.33,1517077,53341727,12
2011-12-13,35.25,34.3,35.25,34.0,0.09,0.26,863166,29984602,13
2011-12-14,34.75,35.0,35.0,34.75,-0.5,-1.42,250000,8725000,3
2011-12-15,34.0,34.5,34.5,34.0,-0.75,-2.16,271666,9286644,5
2011-12-18,34.0,34.0,34.0,34.0,0.0,0.0,629523,21403782,7
2011-12-20,34.0,34.0,34.0,34.0,0.0,0.0,150000,5100000,2
2012-01-03,33.75,33.75,33.75,33.75,-0.25,-0.74,15000,506250,1
2012-01-04,33.75,33.75,33.75,33.75,0.0,0.0,65000,2193750,1
2012-01-05,34.0,33.75,34.0,33.75,0.25,0.74,215000,7293750,4
2012-01-08,34.75,34.5,34.75,34.5,0.75,2.21,214000,7411500,2
2012-01-09,35.0,35.0,35.0,35.0,0.25,0.72,410000,14350000,8
2012-01-11,34.5,35.0,35.0,34.5,-0.5,-1.43,144750,5043875,2
2012-01-15,34.5,34.4,34.5,34.35,0.0,0.0,838250,28845750,9
2012-01-16,34.4,34.4,34.4,34.4,-0.1,-0.29,250000,8600000,1
2012-01-18,34.0,34.3,34.3,34.0,-0.4,-1.16,285000,9765000,2
2012-01-19,34.25,34.25,34.25,34.25,0.25,0.74,421000,14419250,1
2012-01-22,34.05,34.15,34.15,34.0,-0.2,-0.58,571000,19446500,5
2012-01-23,33.5,33.5,33.5,33.5,-0.55,-1.62,56250,1884375,1
2012-01-24,33.25,33.5,33.5,33.25,-0.25,-0.75,680000,22717500,7
2012-01-25,31.5,32.5,32.5,31.5,-1.75,-5.26,250000,8025000,4
2012-01-26,32.25,31.5,32.5,31.0,0.75,2.38,901000,28556000,10
2012-01-29,32.5,32.5,32.5,32.5,0.25,0.78,471000,15307500,1
2012-01-30,31.85,32.4,32.4,31.85,-0.65,-2.0,565000,18223500,2
2012-01-31,31.25,31.46,31.46,31.25,-0.6,-1.88,435000,13597950,2
2012-02-01,32.95,31.5,32.95,31.5,1.7,5.44,515000,16431250,10
