Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2012-02-22,35.0,30.84,35.0,30.84,,,992000,31946700,8
2012-02-23,33.0,36.0,36.0,32.5,-2.0,-5.71,1734500,58085165,25
2012-02-26,32.02,31.5,33.0,31.27,-0.98,-2.97,5223123,167304431,25
2012-02-27,31.8,32.1,32.1,31.8,-0.22,-0.69,884749,28197568,14
2012-02-28,31.1,31.3,31.3,31.0,-0.7,-2.2,2760000,85760000,16
2012-02-29,31.1,31.1,31.1,31.1,0.0,0.0,450000,13995000,5
2012-03-01,31.1,31.1,31.1,31.1,0.0,0.0,450000,13995000,5
2012-03-04,30.0,31.4,31.4,30.0,-1.1,-3.54,1809574,55318574,20
2012-03-05,28.0,30.9,30.95,28.0,-2.0,-6.67,3141750,92046600,45
2012-03-06,29.9,28.5,29.9,28.5,1.9,6.79,661949,19370051,16
2012-03-07,28.9,29.8,29.9,28.9,-1.0,-3.34,2808560,82868870,30
2012-03-08,29.1,29.0,29.1,29.0,0.2,0.69,12000,348200,2
2012-03-11,29.0,29.1,29.1,29.0,-0.1,-0.34,605926,17605354,11
2012-03-13,28.0,28.0,28.15,28.0,-1.0,-3.45,1387874,38901772,20
2012-03-14,28.0,28.0,28.0,27.8,0.0,0.0,592500,16559900,17
2012-04-16,26.1,26.0,26.1,26.0,-1.9,-6.79,680000,17685000,8
2012-04-17,25.3,25.5,25.5,25.25,-0.8,-3.07,1430000,36308000,18
2012-04-18,24.8,25.0,25.0,24.8,-0.5,-1.98,880000,21839000,14
2012-04-19,26.0,26.0,26.5,26.0,1.2,4.84,450000,11800000,6
2012-04-22,25.25,25.5,25.5,25.0,-0.75,-2.88,1550000,39059233,16
2012-04-23,25.0,25.0,25.0,24.5,-0.25,-0.99,2060000,51420000,15
2012-04-24,24.25,24.3,24.3,24.25,-0.75,-3.0,360000,8736750,7
2012-04-25,24.5,24.0,24.5,24.0,0.25,1.03,700000,16900000,2
2012-04-29,23.9,24.0,24.0,23.9,-0.6,-2.45,4350000,104179000,20
2012-04-30,24.0,23.75,24.0,23.75,0.1,0.42,4385000,104831250,7
2012-05-02,23.51,23.75,23.75,23.51,-0.49,-2.04,1500000,35293440,12
2012-05-03,23.0,23.5,23.5,23.0,-0.51,-2.17,1619000,37308273,31
2012-05-06,23.49,23.49,23.49,23.49,0.49,2.13,401549,9432386,2
2012-05-07,23.0,23.0,23.0,23.0,-0.49,-2.09,325000,7475000,3
2012-05-08,23.35,24.0,24.0,23.35,0.35,1.52,647972,15137546,8
2012-05-09,23.35,23.0,23.35,23.0,0.0,0.0,1720000,39885500,11
2012-05-10,23.5,23.5,23.5,23.49,0.15,0.64,963500,22639115,10
2012-05-13,23.25,23.75,23.75,23.25,-0.25,-1.06,510000,12010000,5
2012-05-14,23.0,23.25,23.25,23.0,-0.25,-1.08,2200000,50642500,13
2012-05-15,22.0,22.6,22.6,22.0,-1.0,-4.35,2000000,44327500,14
2012-05-16,21.8,21.8,21.81,21.8,-0.2,-0.91,460000,10028600,6
2012-05-17,22.1,22.0,22.25,21.75,0.3,1.38,2163219,47602138,14
2012-05-20,22.0,22.0,22.0,22.0,-0.1,-0.45,3561781,78359182,14
2012-05-21,22.05,22.0,22.05,22.0,0.05,0.23,850000,18717500,9
2012-05-22,22.0,22.05,22.05,22.0,-0.05,-0.23,351000,7736050,5
2012-05-23,21.77,22.0,22.0,21.77,-0.23,-1.05,300000,6577000,2
2012-05-24,22.3,22.25,22.3,22.25,0.53,2.43,1800000,40116500,11
2012-05-27,22.9,22.5,22.9,22.5,0.6,2.69,636690,14516032,6
2012-05-28,23.1,22.95,23.1,22.95,0.2,0.87,25000,576576,4
2012-05-29,23.09,23.1,23.1,23.09,-0.01,-0.04,531549,12274466,3
2012-05-30,23.25,23.1,23.3,23.1,0.16,0.69,4935500,114747175,33
2012-06-03,23.55,23.4,23.55,23.4,0.3,1.29,85000,1997750,7
2012-06-04,24.0,23.0,24.0,23.0,0.45,1.91,2097000,49127030,13
2012-06-05,24.5,24.0,24.5,24.0,0.5,2.08,440000,10601312,10
2012-06-06,23.75,23.75,24.0,23.5,-0.75,-3.06,14126528,335301173,21
2012-06-10,23.0,23.05,23.05,23.0,-0.75,-3.16,2885000,66361250,7
2012-06-11,23.0,23.0,23.0,23.0,0.0,0.0,466000,10718000,2
2012-06-12,23.0,23.0,23.0,23.0,0.0,0.0,234000,5382000,1
2012-06-17,23.0,23.0,23.0,23.0,0.0,0.0,490000,11270000,1
2012-06-19,22.0,22.1,22.5,22.0,-1.0,-4.35,323650,7136800,8
2012-06-24,21.8,21.9,21.9,21.8,-0.2,-0.91,207000,4513300,3
2012-06-26,21.0,21.5,21.5,21.0,-0.8,-3.67,64000,1369750,5
2012-07-01,20.8,20.8,20.8,20.8,-0.2,-0.95,310481,6458005,3
2012-07-02,20.5,20.5,20.5,20.5,-0.3,-1.44,290000,5945000,4
2012-07-03,20.5,20.5,20.5,20.5,0.0,0.0,30049,616004,1
2012-07-04,20.05,20.4,20.4,20.05,-0.45,-2.2,602771,12121658,4
2012-07-08,22.0,20.05,22.05,20.05,1.95,9.73,445480,9410984,5
2012-07-09,22.0,23.0,23.0,21.5,0.0,0.0,3547012,78997106,20
2012-07-10,23.35,21.5,23.35,21.2,1.35,6.14,12187974,274582556,52
2012-07-11,23.0,23.35,23.35,23.0,-0.35,-1.5,4129661,95284063,13
2012-11-19,23.06,22.8,23.4,22.0,0.06,0.26,3728481,85015123,27
2012-11-20,24.5,23.5,24.5,23.5,1.44,6.24,7936862,190307036,49
2012-11-21,25.3,25.0,25.3,23.65,0.8,3.27,9519126,230709255,53
2012-11-26,27.5,26.5,27.6,26.5,2.2,8.7,8030532,217377920,85
2012-11-27,28.1,27.9,28.1,27.75,0.6,2.18,1259800,35193880,18
2012-11-28,29.0,29.0,29.1,29.0,0.9,3.2,9164177,265771133,34
2012-11-29,28.4,29.0,29.0,28.0,-0.6,-2.07,14408922,412514277,11
2012-12-02,28.0,28.25,28.4,28.0,-0.4,-1.41,4318624,120937720,9
2012-12-03,28.01,28.0,28.01,28.0,0.01,0.04,745626,20878028,3
2012-12-05,28.0,28.0,28.0,28.0,-0.01,-0.04,1599233,44778524,8
2012-12-09,28.0,28.0,28.0,28.0,0.0,0.0,1255829,35163212,9
2012-12-10,28.0,28.0,28.1,28.0,0.0,0.0,2136500,59932000,11
2012-12-11,28.0,28.01,28.01,28.0,0.0,0.0,500000,14001000,5
2012-12-13,28.0,28.05,28.05,28.0,0.0,0.0,270450,7577600,5
2012-12-18,27.51,28.0,28.0,27.51,-0.49,-1.75,428000,11788000,5
2013-01-13,26.0,26.0,26.0,26.0,-1.51,-5.49,200000,5200000,2
2013-01-14,25.5,25.5,25.5,25.5,-0.5,-1.92,100000,2550000,1
2013-01-15,25.5,25.5,25.5,25.5,0.0,0.0,75000,1912500,2
2013-01-16,25.5,25.5,25.5,25.5,0.0,0.0,137000,3493500,1
2013-01-21,25.5,25.51,25.51,25.5,0.0,0.0,300000,7651000,4
2013-01-22,25.9,25.51,25.9,25.51,0.4,1.57,600000,15354000,5
2013-01-27,25.0,25.0,25.0,25.0,-0.9,-3.47,100000,2500000,1
2013-01-28,25.1,24.36,25.1,24.25,0.1,0.4,2834549,69143365,21
2013-01-29,25.2,25.2,25.2,25.2,0.1,0.4,200000,5040000,1
2013-01-31,25.5,25.5,25.6,25.5,0.3,1.19,410000,10466000,4
2013-02-05,25.5,25.5,25.5,25.5,0.0,0.0,50000,1275000,2
2013-02-06,25.3,25.3,25.3,25.3,-0.2,-0.78,40000,1012000,7
2013-02-07,25.6,25.5,25.6,25.5,0.3,1.19,934000,23819150,6
2013-02-10,25.7,25.6,25.8,25.6,0.1,0.39,120000,3083750,9
2013-02-11,25.8,25.8,25.8,25.8,0.1,0.39,25000,645000,2
2013-02-12,25.6,25.6,25.6,25.6,-0.2,-0.78,15000,384000,1
2013-02-13,25.8,25.75,25.8,25.75,0.2,0.78,8020000,206515750,3
2013-02-14,25.8,25.8,25.8,25.8,0.0,0.0,20000,516000,1
2013-02-17,26.0,26.0,26.0,26.0,0.2,0.78,10000,260000,1
2013-02-19,25.71,25.6,25.71,25.6,-0.29,-1.12,718000,18420480,3
2013-02-20,25.85,25.85,25.85,25.85,0.14,0.54,3344,86442,2
2013-02-24,26.0,26.0,26.0,25.9,0.15,0.58,151000,3921100,4
2013-02-25,26.0,26.0,26.0,25.75,0.0,0.0,649000,16726500,11
2013-03-17,26.0,25.0,26.0,25.0,0.0,0.0,455344,11637608,6
2013-03-18,26.3,26.25,26.3,26.05,0.3,1.15,431910,11343756,6
2013-03-19,26.3,26.3,26.3,26.3,0.0,0.0,86000,2261800,1
2013-03-20,27.0,26.5,27.0,26.5,0.7,2.66,2356000,62854000,9
2013-03-24,27.0,27.05,27.05,27.0,0.0,0.0,2050000,55356130,11
2013-03-25,27.6,27.5,27.6,27.5,0.6,2.22,162591,4472252,6
2013-03-26,27.6,27.6,27.6,27.6,0.0,0.0,310000,8556000,7
2013-03-27,27.0,27.3,27.3,27.0,-0.6,-2.17,520000,14104000,6
2013-03-28,27.0,27.0,27.0,26.75,0.0,0.0,1850000,49815500,9
2013-03-31,27.0,27.0,27.0,27.0,0.0,0.0,35000,945000,1
2013-04-02,27.0,27.05,27.05,26.9,0.0,0.0,2371609,63982943,5
2013-04-14,26.5,26.5,26.5,26.5,-0.5,-1.85,100000,2650000,2
2013-04-15,26.5,26.5,26.5,26.5,0.0,0.0,875000,23187500,8
2013-04-25,26.5,26.5,26.5,26.5,0.0,0.0,4001,106026,1
2013-04-29,26.5,26.5,26.5,26.5,0.0,0.0,1480000,39220000,3
2013-04-30,26.5,26.5,26.5,26.5,0.0,0.0,797225,21126462,3
2013-05-05,28.0,26.5,28.0,26.5,1.5,5.66,2220000,60500000,9
2013-05-06,28.25,28.25,28.25,28.25,0.25,0.89,10000,282500,1
2013-05-07,29.0,29.0,29.0,29.0,0.75,2.65,25000,725000,1
2013-05-08,29.0,29.0,29.0,29.0,0.0,0.0,50000,1450000,2
2013-05-13,30.0,29.0,30.0,29.0,1.0,3.45,1035000,30402500,14
2013-05-15,30.0,29.95,30.0,29.95,0.0,0.0,1679942,50339264,11
2013-05-19,30.15,30.0,31.0,30.0,0.15,0.5,2470000,74493000,13
2013-05-20,31.15,30.0,31.15,30.0,1.0,3.32,2517591,77190456,18
2013-05-21,31.09,31.1,31.1,31.09,-0.06,-0.19,4140000,128734000,7
2013-05-22,31.2,31.15,31.2,31.15,0.11,0.35,1050000,32710000,2
2013-05-23,31.25,31.1,31.25,31.1,0.05,0.16,1150000,35856000,6
2013-05-26,31.3,31.25,31.3,31.2,0.05,0.16,2554000,79847296,13
2013-05-27,31.5,31.1,31.5,31.1,0.2,0.64,2350000,73262496,13
2013-05-28,31.25,31.25,31.25,31.25,-0.25,-0.79,2000000,62500000,5
