Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-01,18.0,18.7,18.7,18.0,,,239500,4381000,3
2011-12-04,18.0,18.09,18.1,17.9,0.0,0.0,534621,9629678,8
2011-12-07,17.65,17.85,17.85,17.65,-0.35,-1.94,60000,1061000,2
2011-12-08,18.0,17.7,18.0,17.7,0.35,1.98,202500,3617000,4
2011-12-12,17.7,17.85,17.85,17.7,-0.3,-1.67,125000,2216750,3
2011-12-13,17.59,17.6,17.7,17.5,-0.11,-0.62,1905895,33619706,20
2011-12-14,17.7,17.49,17.7,17.49,0.11,0.63,1162165,20367502,9
2011-12-15,17.45,17.7,17.7,17.4,-0.25,-1.41,343934,6017952,9
2011-12-18,17.3,17.4,17.45,17.3,-0.15,-0.86,1770018,30779231,17
2011-12-20,17.17,17.2,17.25,17.17,-0.13,-0.75,2342350,40374820,11
2012-01-03,17.2,17.9,18.0,17.2,0.03,0.17,310000,5367042,5
2012-01-04,17.15,17.15,17.15,17.15,-0.05,-0.29,40820,700063,1
2012-01-05,16.5,16.52,16.52,16.4,-0.65,-3.79,252764,4166860,8
2012-01-08,16.3,16.5,16.5,16.3,-0.2,-1.21,600000,9817000,8
2012-01-09,17.0,17.0,17.0,16.9,0.7,4.29,1296675,22014066,8
2012-01-10,17.0,17.3,17.4,17.0,0.0,0.0,1085500,18589130,13
2012-01-11,17.34,17.0,17.4,17.0,0.34,2.0,1235250,21074115,17
2012-01-15,18.25,17.3,18.25,17.3,0.91,5.25,4611513,81826634,61
2012-01-16,19.3,17.75,19.75,17.75,1.05,5.75,8239927,159227982,86
2012-01-17,19.0,19.29,19.3,18.5,-0.3,-1.55,6260000,118946350,58
2012-01-18,18.5,19.0,19.0,18.5,-0.5,-2.63,1982658,36773336,21
2012-01-19,18.0,18.3,18.3,17.61,-0.5,-2.7,645000,11538050,15
2012-01-22,19.05,17.75,19.4,17.75,1.05,5.83,4588594,87386293,67
2012-01-23,18.65,19.25,19.25,18.61,-0.4,-2.1,1270000,23956200,18
2012-01-24,18.65,18.9,18.9,18.4,0.0,0.0,1095000,20300300,16
2012-01-25,18.9,19.0,19.0,18.5,0.25,1.34,730000,13528900,10
2012-01-26,18.2,18.6,18.75,18.2,-0.7,-3.7,1713950,31507906,23
2012-01-29,18.4,18.25,18.5,17.95,0.2,1.1,2615000,47353750,33
2012-01-30,18.23,17.95,18.4,17.8,-0.17,-0.92,605000,10838000,15
2012-01-31,17.6,17.9,17.9,17.6,-0.63,-3.46,490000,8709800,8
2012-02-01,17.86,18.0,18.2,17.86,0.26,1.48,285000,5130750,10
2012-02-02,18.25,18.5,18.5,18.01,0.39,2.18,140000,2553350,10
2012-02-06,18.36,18.25,19.0,18.25,0.11,0.6,834411,15445324,12
2012-02-07,18.29,18.3,18.45,18.29,-0.07,-0.38,1405000,25714300,13
2012-02-08,18.25,18.29,18.45,18.25,-0.04,-0.22,342136,6269114,13
2012-02-09,18.25,18.25,18.4,18.25,0.0,0.0,2545379,46467817,13
2012-02-12,18.2,18.25,18.25,18.2,-0.05,-0.27,400000,7290000,2
2012-02-13,18.15,18.2,18.2,18.15,-0.05,-0.27,490272,8907453,6
2012-02-14,18.05,18.15,18.15,18.05,-0.1,-0.55,55303,998749,2
2012-02-15,18.3,18.0,18.3,18.0,0.25,1.39,222277,4023191,6
2012-02-16,18.5,18.55,18.55,18.5,0.2,1.09,110000,2035500,3
2012-02-19,18.4,18.2,18.45,18.2,-0.1,-0.54,313065,5748415,8
2012-02-20,18.1,18.4,18.4,18.1,-0.3,-1.63,1320580,24146248,18
2012-02-21,18.32,18.16,18.32,18.16,0.22,1.22,403210,7378434,5
2012-02-22,18.5,18.35,18.5,18.35,0.18,0.98,828000,15246900,11
2012-02-23,18.75,18.6,18.99,18.5,0.25,1.35,478783,8936464,10
2012-02-26,18.65,18.6,18.65,18.6,-0.1,-0.53,100000,1864000,5
2012-02-27,18.4,18.4,18.4,18.4,-0.25,-1.34,100000,1840000,2
2012-02-28,19.0,19.0,19.0,19.0,0.6,3.26,100000,1900000,2
2012-02-29,18.7,18.45,18.7,18.45,-0.3,-1.58,275000,5097500,4
2012-03-01,18.75,18.75,18.75,18.75,0.05,0.27,51000,956250,3
2012-03-04,18.99,18.99,18.99,18.99,0.24,1.28,74000,1405260,1
2012-03-05,18.65,18.69,18.7,18.65,-0.34,-1.79,350000,6531677,5
2012-03-06,18.6,18.5,18.6,18.5,-0.05,-0.27,282282,5237945,8
2012-03-07,18.69,18.6,18.8,18.6,0.09,0.48,1420381,26522731,17
2012-03-08,18.6,18.65,18.65,18.5,-0.09,-0.48,195000,3614000,5
2012-03-11,18.3,18.3,18.3,18.3,-0.3,-1.61,495000,9058500,2
2012-03-12,18.35,18.5,18.95,18.35,0.05,0.27,4219500,77799500,13
2012-03-13,18.0,18.1,18.1,18.0,-0.35,-1.91,695000,12519500,10
2012-03-14,18.5,18.5,18.5,18.5,0.5,2.78,500000,9250000,3
2012-03-15,19.75,18.3,19.75,18.3,1.25,6.76,105066,1981554,5
2012-03-18,18.5,19.0,19.0,18.5,-1.25,-6.33,105000,1945000,2
2012-03-19,18.7,18.7,18.7,18.7,0.2,1.08,5000,93500,1
2012-03-20,18.6,18.05,18.6,18.0,-0.1,-0.53,2576872,46390946,13
2012-03-22,18.5,18.0,18.5,18.0,-0.1,-0.54,261564,4710652,4
2012-04-02,18.5,18.1,18.5,18.1,0.0,0.0,142675,2586418,6
2012-04-05,18.3,18.0,18.3,18.0,-0.2,-1.08,866000,15589500,11
2012-04-10,18.0,18.0,18.0,17.9,-0.3,-1.64,45000,806500,4
2012-04-11,18.13,17.8,18.2,17.6,0.13,0.72,161000,2853250,7
2012-04-15,16.5,17.99,17.99,16.5,-1.63,-8.99,1497667,25069923,14
2012-04-16,17.34,17.5,17.5,17.0,0.84,5.09,451803,7729851,8
2012-04-17,17.0,17.25,17.25,17.0,-0.34,-1.96,395000,6725000,11
2012-04-22,16.7,16.75,16.8,16.7,-0.3,-1.76,775000,12972500,10
2012-04-23,16.7,16.7,16.7,16.7,0.0,0.0,75000,1252500,2
2012-04-24,16.7,16.7,16.7,16.7,0.0,0.0,355000,5928500,3
2012-04-25,16.5,16.7,16.7,16.5,-0.2,-1.2,548400,9073280,6
2012-04-26,16.5,16.5,16.5,16.5,0.0,0.0,250000,4125000,4
2012-04-29,16.5,16.6,16.6,16.5,0.0,0.0,1131700,18700150,16
2012-04-30,16.5,16.5,16.5,16.5,0.0,0.0,100000,1650000,2
2012-05-02,17.2,16.65,17.75,16.65,0.7,4.24,1118400,19356900,16
2012-05-03,17.0,17.0,17.0,17.0,-0.2,-1.16,120000,2040000,2
2012-05-06,17.1,17.0,17.1,17.0,0.1,0.59,102580,1744360,3
2012-05-07,17.0,17.0,17.0,17.0,-0.1,-0.58,100000,1700000,2
2012-05-08,17.3,17.0,17.35,17.0,0.3,1.76,911000,15617600,9
2012-05-09,17.89,17.4,17.89,17.4,0.59,3.41,335000,5889450,10
2012-05-10,18.1,17.85,18.1,17.85,0.21,1.17,1830687,32882316,18
2012-05-13,18.48,18.25,18.5,18.0,0.38,2.1,1937313,35650689,29
2012-05-14,18.25,18.34,18.45,18.25,-0.23,-1.24,609000,11173950,18
2012-05-15,17.95,18.25,18.25,17.7,-0.3,-1.64,975000,17365750,12
2012-05-16,17.9,17.9,17.9,17.85,-0.05,-0.28,575000,10281250,5
2012-05-17,18.1,18.0,18.15,17.9,0.2,1.12,645000,11585500,11
2012-05-20,17.8,18.1,18.1,17.8,-0.3,-1.66,500000,8935000,5
2012-05-21,17.75,17.75,17.75,17.75,-0.05,-0.28,275000,4881250,3
2012-05-22,17.5,17.6,17.6,17.5,-0.25,-1.41,220000,3860500,3
2012-05-23,17.65,17.5,17.65,17.5,0.15,0.86,100000,1757500,2
2012-05-24,18.0,18.0,18.0,18.0,0.35,1.98,50000,900000,1
2012-05-27,17.75,17.75,17.75,17.75,-0.25,-1.39,330000,5857500,3
2012-05-28,18.0,18.1,18.1,17.75,0.25,1.41,970000,17235500,9
2012-05-29,17.5,18.0,18.0,17.5,-0.5,-2.78,620000,10857500,5
2012-05-30,17.6,17.5,17.6,17.5,0.1,0.57,402094,7046645,3
2012-06-03,17.8,17.4,17.8,17.4,0.2,1.14,50764,903294,6
2012-06-04,17.7,17.9,17.9,17.5,-0.1,-0.56,770000,13526500,8
2012-06-05,17.5,17.5,17.5,17.5,-0.2,-1.13,475000,8312500,5
2012-06-06,17.52,17.5,17.53,17.5,0.02,0.11,1777500,31147760,6
2012-06-10,17.5,17.5,17.5,17.5,-0.02,-0.11,100000,1750000,1
2012-06-11,17.6,17.5,17.6,17.5,0.1,0.57,500000,8792500,4
2012-06-12,17.85,17.85,17.85,17.85,0.25,1.42,255000,4551750,2
2012-06-13,17.5,17.5,17.5,17.5,-0.35,-1.96,989573,17317528,5
2012-06-17,17.29,17.5,17.5,17.29,-0.21,-1.2,2705578,46902072,16
