Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-10,0,36,36,36,0,0.00%,,2947680,1
2010-01-17,0,31,31,30,0,0.00%,,3050000,3
2010-01-18,0,29.51,29.51,29.51,0,0.00%,,59020,2
2010-01-19,0,30.01,30.01,30,0,0.00%,,4068500,8
2010-01-20,0,33,33,33,0,0.00%,,990000,1
2010-01-27,0,33,33,33,0,0.00%,,2744313,1
2010-01-28,0,33,33,33,0,0.00%,,3855687,3
2010-01-31,0,33,36.5,33,0,0.00%,,6217510,6
2010-02-01,0,35.5,39.5,35.5,0,0.00%,,7290465,9
2010-02-03,0,38.9,38.9,38.9,0,0.00%,,3143120,1
2010-02-07,0,38,38,38,0,0.00%,,4643600,6
2010-02-08,0,35.5,35.5,35.5,0,0.00%,,284000,1
2010-02-09,0,34,34,34,0,0.00%,,6401146,3
2010-02-18,0,34,34,34,0,0.00%,,340000,1
2010-02-21,0,35,35,35,0,0.00%,,5250000,3
2010-02-23,0,35,35.05,35,0,0.00%,,9261812,3
2010-03-02,0,34,34,33.75,0,0.00%,,7978546,6
2010-03-09,0,36,36,36,0,0.00%,,3448800,2
2010-03-10,0,36,36,35.95,0,0.00%,,4293443,4
2010-03-14,0,36,36,36,0,0.00%,,1958400,2
2010-03-18,0,36.5,36.5,36.5,0,0.00%,,3467500,2
2010-03-23,0,36.5,36.5,36,0,0.00%,,1836500,3
2010-03-25,0,35.98,36,35.98,0,0.00%,,4895256,7
2010-04-06,0,35,35,35,0,0.00%,,476000,1
2010-04-13,0,35,35,35,0,0.00%,,210000,3
2010-04-14,0,37.5,37.5,37.5,0,0.00%,,562500,1
2010-04-20,0,37.75,37.75,37.75,0,0.00%,,218950,1
2010-04-21,0,38.5,38.5,38.5,0,0.00%,,115500,1
2010-04-22,0,37.25,37.25,37.25,0,0.00%,,74500,1
2010-04-26,0,36.25,36.25,36.25,0,0.00%,,213150,1
2010-04-28,0,36.4,36.4,36.3,0,0.00%,,3820500,3
2010-05-04,0,36.3,36.3,36.3,0,0.00%,,326700,1
2010-05-05,0,36.3,36.3,36.3,0,0.00%,,3267000,1
2010-05-06,0,36.3,39,36.3,0,0.00%,,3504834,14
2010-05-09,0,37,37,37,0,0.00%,,217560,1
2010-05-17,0,37,37,37,0,0.00%,,185000,1
2010-05-26,0,35,35,34,0,0.00%,,4884000,6
2010-06-20,0,36,36,36,0,0.00%,,72000,1
2010-06-27,0,36,36,36,0,0.00%,,1260000,4
2010-07-01,0,37.9,37.9,37.9,0,0.00%,,227400,1
2010-07-11,0,35.25,35.25,35,0,0.00%,,3506250,2
2010-07-15,0,35,35,35,0,0.00%,,15225000,3
2010-07-18,0,35,35,35,0,0.00%,,350000,1
2010-08-09,0,34.75,34.75,34.75,0,0.00%,,347500,1
2010-08-11,0,34.5,34.75,34.5,0,0.00%,,2956420,3
2010-08-15,0,34.99,34.99,34.99,0,0.00%,,3345044,3
2010-08-16,0,34.99,34.99,34.99,0,0.00%,,1749500,2
2010-08-19,0,35,35,35,0,0.00%,,1295000,4
2010-08-26,0,33.5,33.5,33.5,0,0.00%,,3350000,1
2010-08-29,0,33.5,33.5,33.5,0,0.00%,,3350000,4
