Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-19,0,7.3,7.3,7.3,0,0.00%,,365000,
2010-01-24,0,8,8,8,0,0.00%,,10000000,
2010-01-25,0,7.95,8,7.95,0,0.00%,,7975306,
2010-01-26,0,8.5,8.5,8.5,0,0.00%,,5729,
2010-01-27,0,7.99,7.99,7.99,0,0.00%,,1198500,
2010-02-01,0,8,8,8,0,0.00%,,8784888,
2010-02-07,0,7.5,7.5,7.5,0,0.00%,,1500000,
2010-02-08,0,7.75,7.75,7.75,0,0.00%,,1550000,
2010-02-10,0,7.25,7.5,7.25,0,0.00%,,6807536,
2010-02-16,0,7.75,7.75,7.75,0,0.00%,,2168062,
2010-03-01,0,7.5,7.5,7.5,0,0.00%,,1372635,
2010-03-11,0,8,8,8,0,0.00%,,2000000,
2010-03-14,0,7.99,7.99,7.99,0,0.00%,,799000,
2010-03-16,0,8,8,8,0,0.00%,,1600000,
2010-03-18,0,8,8,8,0,0.00%,,12742224,
2010-03-25,0,7.5,8,7.5,0,0.00%,,774302,
2010-04-06,0,7.5,7.5,7.5,0,0.00%,,765210,
2010-04-12,0,7.25,7.25,7.25,0,0.00%,,380625,
2010-04-15,0,7.5,7.5,7.5,0,0.00%,,750000,
2010-04-18,0,7.5,7.5,7.5,0,0.00%,,750000,
2010-04-21,0,7.75,7.75,7.75,0,0.00%,,775000,
2010-04-26,0,7.75,7.75,7.5,0,0.00%,,1552312,
2010-05-05,0,7.5,7.5,7.5,0,0.00%,,1372635,
2010-05-12,0,7.75,7.75,7.75,0,0.00%,,1418390,
2010-05-13,0,7.5,7.5,7.5,0,0.00%,,1500000,
2010-05-17,0,7.5,7.5,7.5,0,0.00%,,375000,
2010-05-27,0,7.6,7.6,7.6,0,0.00%,,4451001,
2010-06-06,0,7.5,7.5,7.5,0,0.00%,,4296742,
2010-06-08,0,7.8,7.8,7.8,0,0.00%,,1738612,
2010-06-09,0,7.5,7.5,7.5,0,0.00%,,7905000,
2010-06-15,0,7.5,7.5,7.5,0,0.00%,,3750000,
2010-06-16,0,7.5,7.5,7.5,0,0.00%,,1647165,
2010-06-23,0,7.75,7.75,7.75,0,0.00%,,193750,
2010-06-28,0,7.9,7.9,7.9,0,0.00%,,395000,
2010-07-01,0,7.75,7.75,7.65,0,0.00%,,5018235,
2010-07-04,0,7.75,7.75,7.75,0,0.00%,,387500,
2010-07-06,0,7.6,7.6,7.6,0,0.00%,,4925644,
2010-07-29,0,8,8,8,0,0.00%,,1600000,
2010-08-01,0,8,8,8,0,0.00%,,4104000,
2010-08-04,0,7.75,7.75,7.75,0,0.00%,,2836787,
2010-08-29,0,7.5,7.75,7.5,0,0.00%,,9738000,
2010-08-30,0,7.75,7.9,7.75,0,0.00%,,2750000,
2010-08-31,0,7.9,7.9,7.9,0,0.00%,,1185000,
2010-09-05,0,8,8.05,8,0,0.00%,,2494000,
2010-09-29,0,8.25,8.25,8.25,0,0.00%,,825000,
2010-10-19,0,8,8,8,0,0.00%,,1464144,
2010-10-28,0,7.5,7.5,7.5,0,0.00%,,37500,
2010-11-25,0,8,8,8,0,0.00%,,1464144,
2010-11-29,0,8.5,8.5,8.5,0,0.00%,,1555653,
2010-12-05,0,8.25,8.25,8.25,0,0.00%,,2062500,
2010-12-06,0,8,8.3,8,0,0.00%,,1891403,
2010-12-13,0,8,8.17,8,0,0.00%,,6323644,
2010-12-14,0,8,8,8,0,0.00%,,800000,
2010-12-21,0,8.2,8.2,8.2,0,0.00%,,680748,
2011-01-05,0,9,9,8.5,0,0.00%,,6853814,
2011-01-12,0,8.5,8.5,8.5,0,0.00%,,47600000,
2011-01-13,0,8.75,8.75,8.75,0,0.00%,,919126,
2011-01-16,0,8.75,8.75,8.75,0,0.00%,,175000,
2011-01-17,0,8.75,8.75,8.75,0,0.00%,,1715324,
2011-01-18,0,9.25,9.26,9.25,0,0.00%,,2412194,
2011-02-06,0,9,9,9,0,0.00%,,81357813,
2011-02-10,0,9.5,9.5,9.5,0,0.00%,,1738671,
2011-02-23,0,9.5,9.5,9,0,0.00%,,50855308,
2011-03-02,0,9,9,9,0,0.00%,,1800000,
2011-03-16,0,9,9,9,0,0.00%,,2635461,
2011-04-10,0,9.9,9.9,9.9,0,0.00%,,495000,
2011-04-11,0,10.89,10.89,10.89,0,0.00%,,73290,
2011-04-12,0,11.97,11.97,11.97,0,0.00%,,59850,
2011-04-13,0,13.16,13.16,13.16,0,0.00%,,921200,
2011-04-14,0,14.47,14.47,14.47,0,0.00%,,651150,
2011-04-17,0,15.91,15.91,15.91,0,0.00%,,1348054,
2011-04-18,0,17.5,17.5,17.5,0,0.00%,,3430648,
2011-04-19,0,17.5,17.5,17.5,0,0.00%,,4108598,
2011-12-08,8,7,8,7,8,0.00%,,97383917,
2011-12-11,7.2,7.95,7.95,7.2,-0.8,-10.00%,,25560129,
