Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2023-07-20,3.27,3.28,3.28,3.25,,,40631243,132338504,78
2023-07-23,3.25,3.26,3.26,3.22,-0.02,-0.61,40253368,130799176,135
2023-07-24,3.24,3.25,3.25,3.2,-0.01,-0.31,25340185,81738536,64
2023-07-25,3.24,3.24,3.25,3.22,0.0,0.0,14638230,47418776,42
2023-07-26,3.25,3.24,3.27,3.24,0.01,0.31,29519010,96120288,95
2023-07-27,3.33,3.25,3.33,3.25,0.08,2.46,31989908,104956232,81
2023-07-31,3.32,3.32,3.34,3.3,-0.01,-0.3,67241892,223620224,120
2023-08-01,3.28,3.3,3.31,3.27,-0.04,-1.2,45723193,150189712,110
2023-08-02,3.22,3.28,3.28,3.22,-0.06,-1.83,78913025,255757152,194
2023-08-03,3.22,3.28,3.28,3.22,0.0,0.0,78913025,255757152,194
2023-08-10,3.05,3.1,3.1,3.0,-0.17,-5.28,57585149,174961728,172
2023-08-13,3.1,3.08,3.11,3.06,0.05,1.64,35843371,110579920,105
2023-08-14,3.13,3.15,3.2,3.12,0.03,0.97,37792506,118888712,79
2023-08-15,3.1,3.15,3.15,3.1,-0.03,-0.96,38313160,119242304,75
2023-08-16,3.07,3.12,3.13,3.07,-0.03,-0.97,71204329,220624592,84
2023-08-17,3.07,3.07,3.1,3.06,0.0,0.0,82515131,254390224,99
2023-08-20,3.11,3.12,3.12,3.09,0.04,1.3,29652300,91918440,47
2023-08-21,3.15,3.11,3.17,3.1,0.04,1.29,90812002,284877248,161
2023-08-22,3.13,3.15,3.16,3.13,-0.02,-0.63,22169662,69626608,58
2023-08-23,3.11,3.13,3.15,3.11,-0.02,-0.64,43841086,137452352,103
2023-08-24,3.14,3.11,3.15,3.11,0.03,0.96,56789585,178157792,106
2023-08-27,3.22,3.14,3.24,3.14,0.08,2.55,50070268,159430144,138
2023-08-28,3.18,3.22,3.24,3.16,-0.04,-1.24,36347323,116324112,76
2023-08-29,3.16,3.18,3.18,3.15,-0.02,-0.63,22135376,69980696,86
2023-08-30,3.15,3.16,3.18,3.14,-0.01,-0.32,50220636,158364480,63
2023-08-31,3.13,3.15,3.15,3.13,-0.02,-0.63,7673307,24030514,27
2023-09-03,3.13,3.13,3.15,3.12,0.0,0.0,25824235,80742304,41
2023-09-04,3.13,3.13,3.14,3.12,0.0,0.0,21529155,67313352,54
2023-09-05,3.13,3.13,3.13,3.12,0.0,0.0,10977255,34291068,42
2023-09-10,3.22,3.15,3.23,3.15,0.09,2.88,67887357,215490080,135
2023-09-11,3.24,3.22,3.28,3.21,0.02,0.62,47961410,155370048,113
2023-09-12,3.26,3.26,3.3,3.24,0.02,0.62,62959606,205662960,131
2023-09-13,3.27,3.27,3.31,3.27,0.01,0.31,42422432,139434208,91
2023-09-14,3.31,3.26,3.31,3.25,0.04,1.22,62969741,207105968,107
2023-09-17,3.37,3.31,3.38,3.31,0.06,1.81,52976382,177535232,126
2023-09-18,3.4,3.38,3.41,3.38,0.03,0.89,30623481,104110248,75
2023-09-19,3.45,3.4,3.46,3.4,0.05,1.47,48401089,165947056,131
2023-09-20,3.57,3.45,3.64,3.45,0.12,3.48,131597945,464805504,303
2023-09-21,3.56,3.6,3.65,3.55,-0.01,-0.28,136077701,488003264,189
2023-09-24,3.47,3.56,3.56,3.45,-0.09,-2.53,113888447,400312160,152
