Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2012-03-18,2.51,2.41,2.53,2.34,,,121590754,297558476,310
2012-03-19,2.41,2.51,2.52,2.39,-0.1,-3.98,65855315,159958001,175
2012-03-20,2.35,2.37,2.37,2.29,-0.06,-2.49,22134857,51699657,93
2012-03-22,2.37,2.35,2.37,2.32,0.02,0.85,12469732,29182070,43
2012-04-01,2.35,2.39,2.39,2.33,-0.02,-0.84,6657456,15646857,34
2012-04-02,2.29,2.32,2.33,2.29,-0.06,-2.55,9335782,21511650,31
2012-04-03,2.22,2.29,2.29,2.2,-0.07,-3.06,28231843,63082137,55
2012-04-04,2.22,2.24,2.24,2.15,0.0,0.0,14473928,31696599,42
2012-04-05,2.16,2.18,2.18,2.15,-0.06,-2.7,10011465,21630321,22
2012-04-08,2.11,2.12,2.13,2.11,-0.05,-2.31,2200000,4665000,9
2012-04-09,2.1,2.1,2.1,2.1,-0.01,-0.47,2551419,5357980,12
2012-04-10,2.13,2.1,2.14,2.1,0.03,1.43,6868782,14579237,38
2012-04-11,2.05,2.13,2.17,2.05,-0.08,-3.76,9268686,19409667,23
2012-04-12,2.05,2.04,2.05,2.04,0.0,0.0,8120000,16609800,9
2012-04-15,2.0,2.05,2.05,2.0,-0.05,-2.44,12492931,25248251,27
2012-04-16,2.0,2.01,2.02,1.98,0.0,0.0,12779688,25545126,30
2012-04-17,2.09,1.99,2.1,1.99,0.09,4.5,8010301,16328647,26
2012-04-18,2.05,2.09,2.13,2.02,-0.04,-1.91,14003412,28883803,35
2012-04-19,2.06,2.05,2.07,2.05,0.01,0.49,17890472,36755301,23
2012-04-22,2.03,2.06,2.07,2.02,-0.03,-1.46,22571156,46055843,32
2012-04-23,2.05,2.05,2.05,2.05,0.02,0.99,125000,256250,1
2012-04-24,2.05,2.03,2.05,2.03,0.0,0.0,9780997,20021120,14
2012-04-25,2.03,2.05,2.07,2.03,-0.02,-0.98,7522681,15411496,13
2012-04-26,2.05,2.05,2.07,2.04,0.02,0.99,9403739,19283217,25
2012-04-29,2.02,2.06,2.06,2.02,-0.03,-1.46,14734344,30007405,32
2012-04-30,2.05,2.05,2.05,2.05,0.03,1.49,5200000,10660000,10
2012-05-02,2.1,2.05,2.1,2.05,0.05,2.44,16527617,34617996,27
2012-05-03,2.12,2.1,2.12,2.1,0.02,0.95,12182620,25700639,36
2012-05-07,2.15,2.11,2.17,2.1,0.03,1.42,17798310,37842091,36
2012-05-08,2.17,2.15,2.21,2.15,0.02,0.93,10071229,22003991,25
2012-05-09,2.16,2.17,2.18,2.15,-0.01,-0.46,12564346,27198212,24
