Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-07-13,0,1.62,1.62,1.62,0,0.00%,,16200,
2010-07-15,0,1.6,1.6,1.6,0,0.00%,,400000,
2010-07-19,0,1.45,1.45,1.44,0,0.00%,,4267500,
2010-07-20,0,1.45,1.45,1.41,0,0.00%,,1424000,
2010-07-27,0,1.41,1.41,1.38,0,0.00%,,621025,
2010-07-28,0,1.41,1.41,1.38,0,0.00%,,621025,
2010-07-29,0,1.4,1.4,1.35,0,0.00%,,8857131,
2010-08-01,0,1.38,1.39,1.38,0,0.00%,,10737658,
2010-08-02,0,1.39,1.41,1.39,0,0.00%,,72494757,
2010-08-03,0,1.35,1.4,1.35,0,0.00%,,28374224,
2010-08-04,0,1.39,1.39,1.38,0,0.00%,,4016500,
2010-08-05,0,1.4,1.4,1.39,0,0.00%,,122400335,
2010-08-08,0,1.38,1.42,1.38,0,0.00%,,8826341,
2010-08-09,0,1.42,1.42,1.42,0,0.00%,,6177000,
2010-08-11,0,1.42,1.45,1.42,0,0.00%,,2467129,
2010-08-19,0,1.45,1.45,1.45,0,0.00%,,107439,
2010-08-22,0,1.45,1.48,1.45,0,0.00%,,3256588,
2010-08-24,0,1.48,1.48,1.48,0,0.00%,,666000,
2010-08-25,0,1.48,1.5,1.48,0,0.00%,,651501,
2010-08-26,0,1.49,1.49,1.49,0,0.00%,,745000,
2010-08-29,0,1.52,1.55,1.52,0,0.00%,,3763000,
2010-08-30,0,1.55,1.55,1.55,0,0.00%,,4394,
2010-08-31,0,1.53,1.53,1.52,0,0.00%,,2411600,
2010-09-01,0,1.51,1.51,1.51,0,0.00%,,355754,
2010-09-02,0,1.51,1.51,1.5,0,0.00%,,1569073,
2010-09-05,0,1.48,1.48,1.47,0,0.00%,,2950000,
2010-09-06,0,1.5,1.5,1.44,0,0.00%,,5019706,
2010-09-08,0,1.48,1.48,1.48,0,0.00%,,740000,
2010-10-14,0,1.48,1.48,1.48,0,0.00%,,74290,
2010-10-17,0,1.48,1.48,1.48,0,0.00%,,1508700,
2010-10-19,0,1.47,1.47,1.46,0,0.00%,,4083816,
2010-10-21,0,1.51,1.51,1.5,0,0.00%,,14620000,
2010-10-24,0,1.52,1.52,1.52,0,0.00%,,8733014,
2010-10-25,0,1.53,1.54,1.53,0,0.00%,,6300680,
2010-10-26,0,1.54,1.54,1.54,0,0.00%,,3080000,
2010-10-27,0,1.54,1.55,1.51,0,0.00%,,9241593,
2010-10-28,0,1.52,1.52,1.51,0,0.00%,,2397300,
2010-10-31,0,1.53,1.54,1.5,0,0.00%,,41196272,
2010-11-01,0,1.55,1.58,1.55,0,0.00%,,10535620,
2010-11-03,0,1.6,1.67,1.6,0,0.00%,,12624200,
2010-11-04,0,1.66,1.67,1.55,0,0.00%,,43486652,
2010-11-07,0,1.56,1.6,1.56,0,0.00%,,10696000,
2010-11-08,0,1.59,1.6,1.59,0,0.00%,,6390000,
2010-11-09,0,1.61,1.61,1.58,0,0.00%,,11825705,
2010-11-10,0,1.56,1.56,1.55,0,0.00%,,4105500,
2010-11-11,0,1.56,1.56,1.56,0,0.00%,,58506,
2010-11-14,0,1.6,1.61,1.6,0,0.00%,,14233032,
2010-11-21,0,1.65,1.65,1.64,0,0.00%,,4197500,
2010-11-22,0,1.65,1.7,1.65,0,0.00%,,3626107,
2010-11-23,0,1.79,1.85,1.72,0,0.00%,,4528500,
2010-11-24,0,1.73,1.73,1.72,0,0.00%,,4899300,
2010-11-25,0,1.72,1.73,1.72,0,0.00%,,21626000,
2010-11-28,0,1.7,1.7,1.7,0,0.00%,,189453,
2010-11-30,0,1.67,1.67,1.67,0,0.00%,,4091500,
2010-12-05,0,1.68,1.69,1.67,0,0.00%,,46590063,
2010-12-06,0,1.7,1.7,1.69,0,0.00%,,849000,
2010-12-08,0,1.7,1.7,1.67,0,0.00%,,3521892,
2010-12-09,0,1.63,1.63,1.63,0,0.00%,,5705000,
2010-12-12,0,1.55,1.62,1.55,0,0.00%,,1035809,
2010-12-13,0,1.6,1.63,1.6,0,0.00%,,2155930,
2010-12-15,0,1.65,1.65,1.65,0,0.00%,,165000,
2010-12-19,0,1.75,1.75,1.68,0,0.00%,,520462,
2010-12-20,0,1.68,1.69,1.68,0,0.00%,,1878659,
2010-12-21,0,1.7,1.7,1.7,0,0.00%,,129508,
2010-12-23,0,1.67,1.67,1.66,0,0.00%,,3579000,
2011-01-04,0,1.66,1.66,1.66,0,0.00%,,155874,
2011-01-05,0,1.66,1.66,1.66,0,0.00%,,10004820,
2011-01-09,0,1.69,1.71,1.69,0,0.00%,,6179800,
2011-01-10,0,1.71,1.71,1.7,0,0.00%,,1871000,
2011-01-11,0,1.7,1.7,1.68,0,0.00%,,12088414,
2011-01-12,0,1.7,1.7,1.68,0,0.00%,,10865900,
2011-01-13,0,1.69,1.69,1.69,0,0.00%,,12252500,
2011-01-16,0,1.69,1.69,1.69,0,0.00%,,5070000,
2011-01-18,0,1.7,1.7,1.7,0,0.00%,,2040000,
2011-01-23,0,1.61,1.61,1.61,0,0.00%,,402500,
2011-01-24,0,1.61,1.7,1.61,0,0.00%,,9098194,
2011-01-25,0,1.7,1.71,1.65,0,0.00%,,5634370,
2011-01-27,0,1.68,1.68,1.68,0,0.00%,,1680000,
2011-01-30,0,1.69,1.69,1.69,0,0.00%,,172830,
2011-02-09,0,1.69,1.69,1.69,0,0.00%,,845000,
2011-02-14,0,1.6,1.65,1.6,0,0.00%,,2780537,
2011-02-16,0,1.6,1.6,1.6,0,0.00%,,718464,
2011-02-17,0,1.6,1.6,1.6,0,0.00%,,640000,
2011-02-21,0,1.6,1.6,1.6,0,0.00%,,2320000,
2011-02-22,0,1.59,1.59,1.59,0,0.00%,,1590000,
2011-02-24,0,1.57,1.58,1.57,0,0.00%,,2832104,
2011-03-02,0,1.5,1.5,1.5,0,0.00%,,2250000,
2011-03-03,0,1.5,1.5,1.5,0,0.00%,,720000,
2011-03-06,0,1.55,1.55,1.55,0,0.00%,,2898500,
2011-03-09,0,1.55,1.55,1.55,0,0.00%,,166904,
2011-03-10,0,1.55,1.55,1.55,0,0.00%,,439219,
2011-03-13,0,1.59,1.59,1.59,0,0.00%,,1590000,
2011-03-14,0,1.55,1.55,1.55,0,0.00%,,351376,
2011-03-15,0,1.55,1.59,1.55,0,0.00%,,791931,
2011-03-27,0,1.5,1.5,1.5,0,0.00%,,272870,
2011-03-29,0,1.55,1.55,1.55,0,0.00%,,886278,
2011-03-30,0,1.55,1.55,1.55,0,0.00%,,775000,
2011-03-31,0,1.55,1.55,1.55,0,0.00%,,525227,
2011-04-05,0,1.55,1.55,1.55,0,0.00%,,1364000,
2011-04-06,0,1.55,1.55,1.52,0,0.00%,,2944736,
2011-04-13,0,1.52,1.52,1.52,0,0.00%,,190000,
2011-04-14,0,1.52,1.52,1.5,0,0.00%,,1657600,
2011-04-17,0,1.5,1.5,1.5,0,0.00%,,2677500,
2011-04-20,0,1.49,1.49,1.49,0,0.00%,,1323233,
2011-04-25,0,1.45,1.45,1.45,0,0.00%,,36250,
2011-04-26,0,1.45,1.45,1.45,0,0.00%,,580000,
2011-04-28,0,1.45,1.45,1.45,0,0.00%,,7250,
2011-05-02,0,1.45,1.45,1.45,0,0.00%,,725000,
2011-05-03,0,1.45,1.45,1.45,0,0.00%,,725000,
2011-05-08,0,1.43,1.43,1.42,0,0.00%,,3126000,
2011-05-09,0,1.4,1.4,1.4,0,0.00%,,1400000,
2011-05-10,0,1.4,1.4,1.4,0,0.00%,,436535,
2011-05-11,0,1.4,1.41,1.4,0,0.00%,,2325000,
2011-05-12,0,1.4,1.41,1.4,0,0.00%,,868860,
2011-05-15,0,1.4,1.4,1.4,0,0.00%,,912391,
2011-05-16,0,1.4,1.4,1.4,0,0.00%,,4130000,
2011-05-17,0,1.35,1.4,1.35,0,0.00%,,1405465,
2011-05-19,0,1.4,1.4,1.4,0,0.00%,,397797,
2011-05-25,0,1.4,1.4,1.4,0,0.00%,,840000,
2011-05-30,0,1.4,1.4,1.4,0,0.00%,,1642383,
2011-05-31,0,1.4,1.4,1.4,0,0.00%,,1340602,
2011-06-01,0,1.4,1.4,1.4,0,0.00%,,70000,
2011-06-06,0,1.4,1.4,1.4,0,0.00%,,4321604,
2011-06-07,0,1.4,1.4,1.4,0,0.00%,,31903,
2011-06-13,0,1.4,1.4,1.4,0,0.00%,,1043700,
2011-06-14,0,1.4,1.4,1.4,0,0.00%,,140000,
2011-06-19,0,1.4,1.4,1.4,0,0.00%,,113347,
2011-06-21,0,1.4,1.4,1.4,0,0.00%,,9188,
2011-06-23,0,1.35,1.4,1.35,0,0.00%,,494238,
2011-06-26,0,1.4,1.4,1.4,0,0.00%,,406000,
2011-06-30,0,1.45,1.45,1.4,0,0.00%,,705000,
2011-07-03,0,1.41,1.45,1.41,0,0.00%,,612426,
2011-07-04,0,1.5,1.5,1.5,0,0.00%,,1800000,
